name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Brees,00-0020531,no,NO,QB,,,,,,2,5,9,5,0,,,,,,,,,,,,,,,658,448,22,33,0,0,4620,,,,,,,,,,,7,0,1,0,0,0,7,18,8,0,0,0,0,-3
R.Bush,00-0024217,no,NO,RB,,,,,,1,2,2,2,0,,,,,,,,,,35,31,0,1,0,,,,,,,,,,,,,43,82,0,14,0,106,6,34,1,0,0,208,36,61,0,0,0,0,150
P.Thomas,00-0024813,no,NO,RB,,,,,,,,,,,,,,,,,,,,43,61,0,7,0,,,,,,,,,,,,,,,,,,83,0,29,0,0,0,201,83,71,3,2,0,0,269
L.Moore,00-0023310,no,NO,WR,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,95,112,0,11,0,355,191,66,8,0,0,763,,,,,,,
D.Thomas,00-0024301,no,NO,,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,14,30,2,0,0,219,,,,,,,
D.Henderson,00-0022929,no,NO,,,,,,,,,,,,,,,,,,,,,23,27,0,6,0,,,,,,,,,,,,,,,,,,256,29,34,1,0,0,464,3,8,0,0,0,0,8
J.Shockey,00-0021148,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,10,41,3,0,0,409,,,,,,,
R.Meachem,00-0025414,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,161,44,5,0,0,638,4,14,0,0,0,0,14
H.Evans,00-0020507,no,NO,,,,,,,,,,,,,,,,,,,,,21,22,0,4,0,,,,,,,,,,,,,,,,,,41,4,7,1,0,0,41,2,2,0,0,0,0,2
M.Colston,00-0024466,no,NO,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,67,84,7,0,0,1022,1,1,0,0,0,0,1
G.Hartley,00-0025824,no,NO,,,,,,,,,,,,25,20,486,60,40,0,40,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Morstead,00-0027114,no,NO,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,20,850,57,2598,,,,,,,,,,,,,,,,,,,
C.Roby,00-0023503,no,NO,,,,,,,1,0,1,2,0,,,,,,,,,,295,352,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Porter,00-0026180,no,NO,CB,15,0,1,0,45,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,2,0,,,,,,,,,,,,,,
J.Charleston,00-0023847,no,NO,,6,2,0,3,16,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Ellis,00-0026147,no,NO,,14,2,0,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Mitchell,00-0025607,no,NO,,6,2,0,1,23,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Harper,00-0024258,no,NO,SS,21,6,1,3,72,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jenkins,00-0026990,no,NO,FS,11,1,2,1,52,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
