name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_ret,puntret_tds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Succop,00-0026968,no,KC,K,,,,,,,,,,,28,25,500,75,29,0,29,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Colquitt,00-0023534,no,KC,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,41,912,96,4361,,,,,,,,,,,1,0,0,0,0,0
Q.Lawrence,00-0027122,no,KC,,,,,,,,,,,,,,,,,,,,,95,116,16,0,,,,,,,,,,,,,,,,,9,1,0,0,0,9,2,42,0,0,0,42
A.Studebaker,00-0026343,no,KC,LB,4,1,2,0.5,16,0,0,0,1,0,,,,,,,,,,8,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Page,00-0024442,no,KC,,0,1,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Colclough,00-0022713,no,KC,,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Tyler,00-0025469,no,KC,,4,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Magee,00-0027042,no,KC,,2,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Williams,00-0022707,no,KC,,22,0,0,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Vrabel,00-0016960,no,KC,,9,2,0,2,44,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,,,,,,
B.Carr,00-0026280,no,KC,CB,5,1,1,0,56,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Mays,00-0024018,no,KC,,19,0,0,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Brown,00-0019699,no,KC,,24,0,3,2,75,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Hali,00-0024235,no,KC,OLB,15,4,0,8.5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Dorsey,00-0026145,no,KC,DE,13,0,0,1,41,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Gilberry,00-0026105,no,KC,DE,2,0,0,4.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Johnson,00-0023449,no,KC,ILB,7,1,3,1.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Delhomme,00-0004161,no,CAR,,,,,,,3,3,6,3,-8,,,,,,,,,,,,,,321,178,18,8,1,1,2015,,,,,,,,,,,,,,,,17,63,0,0,0,60
J.McCown,00-0021206,yes,CAR,QB,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
M.Moore,00-0025708,no,CAR,QB,,,,,,0,1,2,1,-2,,,,,,,,,,,,,,138,85,2,8,1,0,1053,,,,,,,,,,,,,,,,12,3,0,0,0,-3
J.Stewart,00-0026153,no,CAR,RB,,,,,,2,1,3,1,0,,,,,,,,,,8,17,2,0,,,,,,,,,,,,,,,,,96,18,1,0,0,139,221,358,10,0,0,1133
M.Goodson,00-0027080,no,CAR,,,,,,,1,0,1,0,0,,,,,,,,,,113,142,16,0,,,,,,,,,,,,,,,,,15,2,0,0,0,15,22,23,0,0,0,49
S.Smith,00-0020337,no,CAR,WR,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,65,7,1,1,982,5,20,0,0,0,22
D.Williams,00-0024242,no,CAR,RB,,,,,,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,0,0,0,252,216,358,7,1,1,1117
J.King,00-0024369,no,CAR,,,,,,,0,1,1,1,0,,,,,,,,,,37,37,3,0,,,,,,,,,,,,,,,,,142,25,3,0,0,200,,,,,,
M.Muhammad,00-0011795,no,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,53,1,0,0,581,,,,,,
D.Lewis,00-0020491,no,CAR,,12,0,0,0.5,29,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kasay,00-0009028,no,CAR,,,,,,,,,,,,25,22,425,66,31,1,31,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Baker,00-0019921,no,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,22,804,76,3352,,,,,,,,,,,,,,,,
C.Munnerlyn,00-0026944,no,CAR,CB,4,1,0,0,37,0,1,2,2,0,,,,,,,,,,7,15,2,0,,,,,,,,,,,,,127,202,31,0,,,,,,,,,,,,
C.Godfrey,00-0026207,no,CAR,FS,9,4,1,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Leonard,00-0024745,no,CAR,,0,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.Teal,00-0024663,no,CAR,,2,0,0,0,12,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Johnson,00-0025470,no,CAR,DE,8,2,0,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Diggs,00-0019467,no,CAR,,5,1,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Beason,00-0025412,no,CAR,MLB,30,1,3,3,112,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brayton,00-0022047,no,CAR,,8,2,0,4.5,36,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Davis,00-0023448,no,CAR,OLB,10,0,2,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Gamble,00-0022914,no,CAR,,8,0,4,0,50,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,
R.Marshall,00-0024273,no,CAR,,11,0,4,0,70,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Peppers,00-0021140,no,CAR,OLB,5,5,2,10.5,36,0,0,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.McNabb,00-0011022,no,PHI,,,,,,,3,3,10,3,-12,,,,,,,,,,,,,,443,267,10,22,2,2,3553,,,,,,,,,,1,1,0,0,0,1,36,123,2,0,0,141
K.Kolb,00-0025423,no,PHI,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,96,62,3,4,0,0,741,,,,,,,,,,,,,,,,4,6,1,0,0,5
D.Jackson,00-0026189,no,PHI,WR,,,,,,1,1,3,1,0,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,234,357,28,2,591,63,9,0,0,1167,11,120,1,0,0,137
L.Weaver,00-0023063,no,PHI,,,,,,,,,,,,,,,,,,,,,33,33,2,0,,,,,,,,,,,,,,,,,119,15,2,0,0,140,70,130,2,0,0,323
B.Westbrook,00-0021216,no,PHI,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,99,25,1,0,0,181,61,98,1,0,0,274
L.McCoy,00-0027029,no,PHI,RB,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,40,0,1,1,308,155,227,4,0,0,637
B.Celek,00-0025549,no,PHI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,76,8,0,0,971,,,,,,
H.Baskett,00-0024013,no,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,0,0,0,34,,,,,,
K.Curtis,00-0022001,no,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,0,0,0,77,,,,,,
J.Avant,00-0024324,no,PHI,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,41,3,0,0,587,,,,,,
V.Abiamiri,00-0025444,no,PHI,,2,1,0,1.5,13,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Gaither,00-0024382,no,PHI,,6,0,0,1.5,24,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Akers,00-0000108,no,PHI,,,,,,,,,,,,36,32,557,96,43,2,43,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Rocca,00-0024515,no,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,26,850,76,3202,,,,,,,,,,,,,,,,
E.Hobbs,00-0023519,no,PHI,,3,0,0,0,8,1,0,1,0,0,,,,,,,,,,161,231,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.Mikell,00-0021512,no,PHI,,20,0,2,0,67,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Jordan,00-0025719,no,PHI,,10,0,2,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Laws,00-0026187,no,PHI,,4,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Howard,00-0019605,no,PHI,,2,2,0,6.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Gocong,00-0024286,no,PHI,,8,1,0,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Samuel,00-0021956,no,PHI,,1,1,9,0,39,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Parker,00-0019986,no,PHI,,5,2,0,8.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Patterson,00-0023466,no,PHI,,13,0,0,1.5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Cole,00-0023579,no,PHI,OLB,9,2,0,12.5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.White,00-0021645,no,PHI,,3,0,1,0,16,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Brown,00-0021186,no,PHI,,8,1,5,0,43,0,0,0,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Bunkley,00-0024229,no,PHI,,7,0,0,1,30,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Harris,00-0026920,no,PHI,,3,0,0,0,33,1,0,2,0,0,,,,,,,,,,121,145,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hanson,00-0021654,no,PHI,,9,0,2,0.5,30,0,0,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Palmer,00-0021429,no,CIN,QB,,,,,,2,2,6,2,-12,,,,,,,,,,,,,,466,282,13,21,2,1,3094,,,,,,,,,,,,,,,,39,73,3,1,1,93
K.Huber,00-0027103,no,CIN,P,,,,,,0,1,1,1,-34,,,,,,,,,,,,,,,,,,,,,588,24,839,86,3713,,,,,,,,,,,1,0,0,0,0,0
B.Scott,00-0026941,no,CIN,,,,,,,0,0,1,0,0,,,,,,,,,,161,242,16,1,,,,,,,,,,,,,,,,,58,5,0,0,0,67,74,143,0,0,0,321
C.Ochocinco,00-0020397,no,CIN,,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,72,9,0,0,1047,3,32,0,0,0,32
B.Leonard,00-0025439,no,CIN,,,,,,,1,1,1,1,0,,,,,,,,,,38,38,2,0,,,,,,,,,,,,,,,,,133,30,0,1,1,217,27,53,0,0,0,84
C.Benson,00-0023439,no,CIN,,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,17,0,0,0,111,301,269,6,0,0,1251
C.Henry,00-0023518,no,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,12,2,0,0,236,,,,,,
D.Coats,00-0024607,no,CIN,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,16,0,0,0,150,,,,,,
A.Caldwell,00-0026237,no,CIN,WR,,,,,,2,0,4,0,0,,,,,,,,,,179,256,29,0,,,,,,,,,,,,,,,,,185,51,3,1,0,432,3,26,0,0,0,22
J.Foschi,00-0022484,no,CIN,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,27,2,0,0,260,,,,,,
L.Coles,00-0018958,no,CIN,,,,,,,0,1,0,1,0,,,,,,,,,,14,14,1,0,,,,,,,,,,,,,,,,,287,43,5,0,0,514,2,10,0,0,0,10
S.Graham,00-0019536,no,CIN,K,,,,,,,,,,,26,23,489,69,28,1,28,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.Cosby,00-0026716,no,CIN,,,,,,,0,1,2,1,0,,,,,,,,,,73,93,13,0,,,,,,,,,,,,,157,253,40,0,31,4,0,0,0,55,1,-2,0,0,0,-2
M.Johnson,00-0027044,no,CIN,DE,6,0,0,2.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dh.Jones,00-0019635,no,CIN,,36,1,0,3.5,77,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ndukwe,00-0025640,no,CIN,,25,0,1,2.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Fanene,00-0023665,no,CIN,,19,0,1,5.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Crocker,00-0022167,no,CIN,,11,1,2,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,0,0,0,21
R.Jeanty,00-0023729,no,CIN,,2,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Sims,00-0026217,no,CIN,DT,15,0,0,1.5,20,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Maualuga,00-0027014,no,CIN,MLB,24,2,0,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Hall,00-0025405,no,CIN,SS,13,2,6,0,52,,,,,,,,,,,,,,,22,22,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Geathers,00-0022867,no,CIN,,15,1,0,4.5,22,0,0,0,2,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Joseph,00-0024239,no,CIN,CB,11,1,6,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Johnson,00-0022696,no,CIN,,13,0,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Odom,00-0022918,no,CIN,,1,0,0,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Johnson,00-0024356,no,CIN,,16,0,0,1.5,31,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Williams,00-0021143,no,CIN,,9,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Rivers,00-0026149,no,CIN,,26,0,1,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Orton,00-0023541,no,DEN,,,,,,,2,1,4,1,-2,,,,,,,,,,,,,,541,336,12,21,1,0,3802,,,,,,,,,,,,,,,,24,64,0,0,0,71
K.Moreno,00-0026988,no,DEN,,,,,,,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,28,2,0,0,213,247,220,7,1,0,947
P.Hillis,00-0026367,no,DEN,,,,,,,1,0,1,0,0,,,,,,,,,,46,48,6,0,,,,,,,,,,,,,,,,,15,4,0,0,0,19,13,20,1,0,0,54
C.Buckhalter,00-0020270,no,DEN,,,,,,,2,1,3,1,0,,,,,,,,,,84,100,8,0,,,,,,,,,,,,,,,,,135,31,0,0,0,240,120,237,1,0,0,642
L.Jordan,00-0020462,no,DEN,,0,0,0,0,1,,,,,,,,,,,,,,,6,6,1,0,,,,,,,,,,,,,,,,,,,,,,,25,42,0,0,0,86
E.Royal,00-0026182,no,DEN,WR,,,,,,0,0,2,0,0,,,,,,,,,,221,319,27,1,,,,,,,,,,,,,120,228,31,1,141,37,0,0,0,345,1,1,0,0,0,1
J.Gaffney,00-0021163,no,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,54,2,0,0,732,,,,,,
B.Marshall,00-0024334,no,DEN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,101,10,1,0,1120,7,43,0,0,0,39
D.Graham,00-0021154,no,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,28,1,0,0,289,,,,,,
T.Scheffler,00-0024276,no,DEN,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,31,2,0,0,416,,,,,,
B.Stokley,00-0015754,no,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,19,4,0,0,327,,,,,,
M.Prater,00-0023853,no,DEN,K,,,,,,,,,,,35,30,567,90,32,0,32,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Kern,00-0025825,no,DEN,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,27,886,64,2910,,,,,,,,,,,,,,,,
M.Haggan,00-0022034,no,DEN,,10,3,0,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Bailey,00-0000585,no,DEN,,10,1,3,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Reid,00-0023199,no,DEN,,4,1,0,4.5,9,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0027013,no,DEN,,4,0,0,0,7,,,,,,,,,,,,,,,55,59,4,0,,,,,,,,,,,,,14,37,10,0,,,,,,,,,,,,
B.Dawkins,00-0004073,no,DEN,,21,1,2,0,95,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Hill,00-0020301,no,DEN,,15,1,2,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,
K.Peterson,00-0022002,no,DEN,,14,1,0,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Holliday,00-0007611,no,DEN,,9,2,0,5,24,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Davis,00-0021257,no,DEN,,24,0,0,3.5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Fields,00-0023571,no,DEN,,15,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Thomas,00-0025508,no,DEN,,6,0,0,0,9,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Williams,00-0022780,no,DEN,,22,3,0,3.5,99,0,0,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.McBean,00-0025519,no,DEN,,7,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Woodyard,00-0025828,no,DEN,ILB,10,1,1,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Goodman,00-0021194,no,DEN,,4,0,5,1,39,0,0,0,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Dumervil,00-0024341,no,DEN,OLB,7,4,0,16.5,41,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Quinn,00-0025409,no,CLE,,,,,,,3,1,4,1,-3,,,,,,,,,,,,,,256,136,7,8,0,0,1339,,,,,,,,,,18,1,0,0,0,18,20,69,1,1,0,98
J.Davis,00-0027130,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,0,0,5,9,7,0,0,0,15
J.Cribbs,00-0023176,no,CLE,,,,,,,2,2,6,2,0,,,,,,,,,,427,656,56,3,4,1,1,0,0,0,18,,,,,,165,308,38,1,112,20,1,0,0,135,55,217,1,0,0,381
J.Lewis,00-0019693,no,CLE,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,55,8,0,0,0,88,143,110,0,1,1,500
R.Royal,00-0021273,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,11,1,0,0,134,,,,,,
L.Vickers,00-0024394,no,CLE,,,,,,,0,0,1,0,0,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,27,8,1,0,0,27,,,,,,
M.Furrey,00-0019281,no,CLE,,0,0,0,0,14,,,,,,,,,,,,,,,12,12,1,0,,,,,,,,,,,,,,,,,96,23,0,0,0,170,,,,,,
B.Edwards,00-0023438,no,CLE,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,357,45,4,3,1,680,,,,,,
S.Heiden,00-0007213,no,CLE,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10,1,0,0,73,,,,,,
M.Massaquoi,00-0027026,no,CLE,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,34,3,0,0,624,1,-3,0,0,0,-3
P.Dawson,00-0004091,no,CLE,K,,,,,,,,,,,19,17,328,51,18,0,18,0,18,,,,,1,1,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,
D.Zastudil,00-0021235,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,25,442,49,2188,,,,,,,,,,,,,,,,
A.Elam,00-0023405,no,CLE,,17,1,0,1,71,0,0,0,1,0,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Poteat,00-0019710,no,CLE,,8,0,0,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Adams,00-0022247,no,CLE,SS,9,0,0,1,52,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Bowens,00-0001563,no,CLE,,23,1,1,6.0,49,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.McDonald,00-0025527,no,CLE,,4,1,1,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Coleman,00-0021262,no,CLE,,9,0,0,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Wimbley,00-0024228,no,CLE,,22,1,0,6.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Jackson,00-0024249,no,CLE,ILB,13,1,0,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Rubin,00-0026330,no,CLE,DT,15,1,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Rogers,00-0020528,no,CLE,,9,0,0,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Barton,00-0000846,no,CLE,,22,0,0,0,36,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Wright,00-0025440,no,CLE,,8,0,4,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Pool,00-0023469,no,CLE,,11,0,4,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Mosley,00-0023624,no,CLE,,5,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Williams,00-0022906,no,CLE,,4,1,0,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hall,00-0026371,no,CLE,,1,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Jackson,00-0024279,no,MIN,QB,,,,,,,,,,,,,,,,,,,,,,,,21,14,0,1,0,0,201,,,,,,,,,,,,,,,,17,1,0,0,0,-10
B.Favre,00-0005106,no,MIN,,,,,,,2,0,2,0,0,,,,,,,,,,,,,,532,364,7,33,0,0,4202,,,,,,,,,,-2,1,0,0,0,-2,9,4,0,0,0,7
N.Tahi,00-0023774,no,MIN,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,62,10,1,0,0,67,3,5,0,0,0,5
P.Harvin,00-0026998,no,MIN,WR,,,,,,,,,,,,,,,,,,,,340,536,42,2,,,,,,,,,,,,,,,,,378,60,6,0,0,790,15,104,0,0,0,135
J.Dugan,00-0022746,no,MIN,,,,,,,,,,,,,,,,,,,,,28,32,5,0,,,,,,,,,,,,,,,,,51,6,2,0,0,52,3,7,0,0,0,7
C.Taylor,00-0021314,no,MIN,,,,,,,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,44,1,0,0,389,93,164,1,0,0,332
A.Peterson,00-0025394,no,MIN,RB,,,,,,6,0,7,0,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,43,0,0,0,436,315,406,18,0,0,1389
S.Rice,00-0025431,no,MIN,,,,,,,1,0,1,0,0,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,474,84,8,0,0,1312,,,,,,
