name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_ret,puntret_tds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Scaife,00-0023612,no,TEN,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,45,1,0,0,440,,,,,,
A.Hall,00-0024489,no,TEN,,,,,,,2,0,2,0,0,,,,,,,,,,12,12,1,0,,,,,,,,,,,,,,,,,71,12,0,0,0,79,1,5,0,0,0,5
S.Tulloch,00-0024331,no,TEN,MLB,27,0,0,2,93,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Finnegan,00-0024429,no,TEN,DB,7,0,5,0,56,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,4,0,,,,,,,,,,,,
R.Bironas,00-0020962,no,TEN,,,,,,,,,,,,31,27,642,81,37,0,37,0,37,,,,,,,,,,,,40,0,40,1,40,,,,,,,,,,,,,,,,
C.Hentrich,00-0007308,no,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,3,116,9,422,,,,,,,,,,,,,,,,
J.Ringer,00-0027120,no,TEN,,,,,,,,,,,,,,,,,,,,,39,46,9,0,,,,,,,,,,,,,,,,,,,,,,,8,33,0,0,0,48
J.Haye,00-0023622,no,TEN,,12,0,0,0.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jones,00-0026194,no,TEN,DE,6,0,0,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Hayes,00-0026243,no,TEN,DE,20,2,0,4.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ford,00-0025591,no,TEN,,6,1,0,5.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kearse,00-0009056,no,TEN,,3,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Hope,00-0021219,no,TEN,,14,1,3,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Harper,00-0019733,no,TEN,,12,0,1,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thornton,00-0021230,no,TEN,,13,1,0,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Fuller,00-0023543,no,TEN,,7,0,3,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vanden Bosch,00-0020382,no,TEN,,12,2,0,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brown,00-0021490,no,TEN,,10,3,0,5,28,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Bulluck,00-0019648,no,TEN,,27,0,3,0,81,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Allred,00-0023812,no,TEN,,9,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vickerson,00-0023648,no,TEN,,8,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Griffin,00-0025406,no,TEN,FS,18,2,1,1,53,0,0,0,2,0,,,,,,,,,,69,76,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Ryan,00-0026143,no,ATL,QB,,,,,,2,2,5,2,0,,,,,,,,,,,,,,451,263,14,22,1,0,2916,,,,,,,,,,,,,,,,30,37,1,0,0,49
J.Norwood,00-0024294,no,ATL,,2,0,0,0,0,1,1,1,1,2,,,,,,,,,,39,39,1,0,,,,,,,,,,,,,,,,,104,19,1,0,0,186,76,102,0,0,0,252
M.Turner,00-0022821,no,ATL,,,,,,,2,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,0,0,0,35,178,254,10,0,0,871
J.Snelling,00-0025631,no,ATL,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,30,1,1,0,259,142,166,4,0,0,613
O.Mughelli,00-0022143,no,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,1,0,0,51,4,8,0,0,0,10
T.Gonzalez,00-0006101,no,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,83,6,0,0,867,,,,,,
R.White,00-0023462,no,ATL,WR,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,85,11,0,0,1153,1,2,0,0,0,2
M.Jenkins,00-0022781,no,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,50,1,0,0,635,,,,,,
B.Williams,00-0021229,no,ATL,,3,0,1,0,15,0,0,1,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Babineaux,00-0023494,no,ATL,NT,10,2,0,6.0,37,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Elam,00-0004811,no,ATL,,,,,,,,,,,,19,12,294,36,33,0,32,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Koenen,00-0023234,no,ATL,,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,585,18,834,61,2598,,,,,,,,,,,,,,,,
E.Weems,00-0024535,no,ATL,WR,,,,,,2,0,3,0,0,,,,,,,,,,399,502,48,0,,,,,,,,,,,,,129,176,27,0,42,6,2,0,0,50,8,66,0,0,0,53
B.Finneran,00-0005231,no,ATL,,,,,,,,,,,,,,,,,,,,,22,22,2,0,,,,,,,,,,,,,,,,,90,11,0,0,0,111,,,,,,
S.Nicholas,00-0025496,no,ATL,,12,1,0,3,55,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.DeCoud,00-0026238,no,ATL,,11,2,3,2,57,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Johnson,00-0023195,no,ATL,,4,1,0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Jerry,00-0027000,yes,ATL,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Abraham,00-0019546,no,ATL,,6,1,0,6.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Peterson,00-0012871,no,ATL,,26,2,1,1,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Biermann,00-0026294,no,ATL,OLB,8,1,0,5,29,0,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Lofton,00-0026177,no,ATL,MLB,27,2,0,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Houston,00-0025428,no,ATL,,8,0,1,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Grimes,00-0024183,no,ATL,CB,4,0,6,0,56,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Coleman,00-0022218,no,ATL,,34,2,0,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Davis,00-0023562,no,ATL,,6,1,0,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Pennington,00-0019559,no,MIA,,,,,,,2,0,3,0,0,,,,,,,,,,,,,,74,51,2,1,0,0,413,,,,,,,,,,,,,,,,3,7,0,0,0,7
P.White,00-0027020,no,MIA,,,,,,,0,0,1,0,-15,,,,,,,,,,,,,,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,21,51,0,0,0,81
L.Polite,00-0022405,no,MIA,,,,,,,0,0,1,0,0,,,,,,,,,,12,12,2,0,,,,,,,,,,,,,,,,,46,11,0,0,0,51,37,76,0,0,0,123
R.Brown,00-0023437,no,MIA,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,6,2,0,1,0,0,22,,,,,,,,,,68,14,0,0,0,98,147,178,8,0,0,648
T.Ginn,00-0025396,no,MIA,WR,,,,,,0,1,2,1,0,,,,,,,,,,326,474,52,2,,,,,,,,,,,,,28,28,5,0,231,38,1,0,0,454,7,47,0,0,0,48
R.Williams,00-0017915,no,MIA,,,,,,,2,2,5,2,1,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,,,,,186,35,2,0,0,264,241,332,11,1,1,1121
G.Camarillo,00-0023408,no,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,50,0,1,0,552,,,,,,
J.Haynos,00-0026026,no,MIA,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,19,2,0,0,162,,,,,,
D.Bess,00-0026000,no,MIA,,,,,,,3,2,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,101,129,28,0,276,76,2,0,0,758,2,11,0,0,0,11
A.Fasano,00-0024268,no,MIA,TE,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,31,2,1,0,339,,,,,,
B.Hartline,00-0027077,no,MIA,WR,,,,,,,,,,,,,,,,,,,,26,34,3,0,,,,,,,,,,,,,,,,,340,31,3,0,0,506,4,25,1,0,0,29
D.Carpenter,00-0026003,no,MIA,K,,,,,,,,,,,28,25,505,75,37,1,37,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Fields,00-0025612,no,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,25,882,75,3472,,,,,,,,,,,,,,,,
