year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2015,Da'Ron Brown,Da'Ron,Brown,WR,6,0.0000,72.0000,205,0.0000,0.0000,4.5400,0.0000,0.0000,4.1100,7.0400,37.0000,120,17,0,Northern Illinois,,0,0,0,4.9
2015,Dominique Brown,Dominique,Brown,RB,6,2.0000,74.0000,234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,17,0,Louisville,,0,0,0,5.0
2015,Jamon Brown,Jamon,Brown,OT,6,4.0000,76.0000,323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Louisville,,0,0,0,5.3
2015,Malcolm Brown,Malcolm,Brown,RB,5,11.0000,71.0000,224,0.0000,0.0000,4.6200,0.0000,0.0000,4.1500,6.8600,34.5000,117,19,0,Texas,,0,0,0,5.2
2015,Malcom Brown,Malcom,Brown,DT,6,2.0000,74.0000,319,0.0000,0.0000,5.0500,0.0000,0.0000,4.5900,7.8400,29.5000,98,26,0,Texas,,0,0,0,6.1
2015,Trenton Brown,Trenton,Brown,OG,6,8.0000,80.0000,355,0.0000,0.0000,5.2900,0.0000,0.0000,4.7800,8.2300,23.5000,97,20,0,Florida,,0,0,0,5.3
2015,Michael Burton,Michael,Burton,FB,5,11.0000,71.0000,242,0.0000,0.0000,4.7400,0.0000,0.0000,4.3400,7.2000,33.0000,115,25,0,Rutgers,,0,0,0,4.8
2015,Ibraheim Campbell,Ibraheim,Campbell,SS,5,11.0000,71.0000,208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,23,0,Northwestern,,0,0,0,5.2
2015,A.J. Cann,A.J.,Cann,OG,6,3.0000,75.0000,313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,26,0,South Carolina,,0,0,0,6.0
2015,Shane Carden,Shane,Carden,QB,6,2.0000,74.0000,218,0.0000,0.0000,4.9400,0.0000,0.0000,4.4500,7.1700,29.5000,104,0,0,East Carolina,,0,0,0,5.1
2015,Joe Cardona,Joe,Cardona,LS,6,2.0000,74.0000,242,0.0000,0.0000,4.9100,0.0000,0.0000,0.0000,0.0000,33.0000,0,30,0,Navy,,0,0,0,0.0
2015,Alex Carter,Alex,Carter,CB,6,0.0000,72.0000,196,0.0000,0.0000,4.5100,0.0000,0.0000,4.0700,7.0500,40.0000,121,17,0,Stanford,,0,0,0,5.5
2015,B.J. Catalon,B.J.,Catalon,RB,5,7.0000,67.0000,186,0.0000,0.0000,4.5700,0.0000,0.0000,4.1500,6.9000,36.0000,114,0,0,TCU,,0,0,0,5.1
2015,Donald Celiscar,Donald,Celiscar,CB,5,11.0000,71.0000,194,0.0000,0.0000,4.6200,0.0000,0.0000,0.0000,0.0000,0.0000,120,0,0,Western Michigan,,0,0,0,5.3
2015,Anthony Chickillo,Anthony,Chickillo,DE,6,3.0000,75.0000,267,0.0000,0.0000,4.7900,0.0000,0.0000,4.2500,7.1700,34.5000,114,27,0,Miami,,0,0,0,5.1
2015,Gerald Christian,Gerald,Christian,TE,6,3.0000,75.0000,244,0.0000,0.0000,4.8700,0.0000,0.0000,4.7000,0.0000,0.0000,0,28,0,Louisville,,0,0,0,5.3
2015,Kyle Christy,Kyle,Christy,P,6,2.0000,74.0000,202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Florida,,0,0,0,0.0
2015,Frank Clark,Frank,Clark,DE,6,3.0000,75.0000,271,0.0000,0.0000,4.7900,0.0000,0.0000,4.0500,7.0800,38.5000,118,19,0,Michigan,,0,0,0,4.8
2015,Kaelin Clay,Kaelin,Clay,WR,5,10.0000,70.0000,195,0.0000,0.0000,4.5100,0.0000,0.0000,4.2600,6.9700,33.0000,113,10,0,Utah,,0,0,0,5.1
2015,Cameron Clear,Cameron,Clear,TE,6,5.0000,77.0000,277,0.0000,0.0000,4.9800,0.0000,0.0000,4.4800,0.0000,32.0000,108,0,0,Texas A&M,,0,0,0,4.8
2015,T.J. Clemmings,T.J.,Clemmings,OT,6,5.0000,77.0000,309,0.0000,0.0000,5.1400,0.0000,0.0000,4.5400,7.6800,32.5000,111,22,0,Pittsburgh,,0,0,0,6.1
2015,Sammie Coates,Sammie,Coates,WR,6,1.0000,73.0000,212,0.0000,0.0000,4.4300,0.0000,0.0000,4.0600,6.9800,41.0000,131,23,0,Auburn,,0,0,0,5.6
2015,David Cobb,David,Cobb,RB,5,11.0000,71.0000,229,0.0000,0.0000,4.8100,0.0000,0.0000,0.0000,0.0000,38.5000,121,17,0,Minnesota,,0,0,0,5.5
2015,Takoby Cofield,Takoby,Cofield,OT,6,4.0000,76.0000,310,0.0000,0.0000,5.1900,0.0000,0.0000,4.7900,8.0900,30.0000,101,23,0,Duke,,0,0,0,4.9
2015,Justin Coleman,Justin,Coleman,CB,5,11.0000,71.0000,185,0.0000,0.0000,4.5300,0.0000,0.0000,3.9800,6.6100,37.5000,124,20,0,Tennessee,,0,0,0,5.2
2015,Tevin Coleman,Tevin,Coleman,RB,5,11.0000,71.0000,206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Indiana,,0,0,0,6.1
2015,Jalen Collins,Jalen,Collins,CB,6,1.0000,73.0000,203,0.0000,0.0000,4.4800,0.0000,0.0000,4.2700,6.7700,36.0000,124,0,0,LSU,,0,0,0,6.1
2015,La'el Collins,La'el,Collins,OT,6,4.0000,76.0000,305,0.0000,0.0000,5.1200,0.0000,0.0000,4.6300,7.7000,27.0000,108,21,0,LSU,,0,0,0,6.2
