name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Wilson,00-0029263,no,SEA,QB,,,,,,0,5,10,5,-4,,,,,,,,,,,,,,,452,285,7,20,1,0,3475,,,,,,,,,,,17,0,1,0,0,0,17,118,357,69,6,0,0,849
M.Lynch,00-0025399,no,SEA,RB,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,43,37,4,0,0,367,281,355,128,13,0,0,1310
R.Turbin,00-0029273,no,SEA,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,16,16,2,0,0,186,73,128,0,0,0,0,306
P.Harvin,00-0026998,no,SEA,WR,,,,,,1,1,3,1,0,,,,,,,,,,265,361,0,32,0,,,,,,,,,,,,,,,,,,206,35,51,1,0,0,483,33,127,51,1,0,0,202
Z.Miller,00-0025425,no,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,6,0,0,0,76,,,,,,,
D.Baldwin,00-0028434,no,SEA,WR,,,,,,,,,,,,,,,,,,,,44,50,0,5,0,,,,,,,,,,,,,13,43,0,6,0,376,39,66,3,0,0,825,1,8,0,0,0,0,8
D.Coleman,00-0029068,yes,SEA,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,15,2,1,0,0,29,,,,,,,
L.Willson,00-0030089,no,SEA,TE,,,,,,0,1,0,1,0,,,,,,,,,,28,33,0,3,0,,,,,,,,,,,,,,,,,,241,103,22,3,0,0,362,,,,,,,
J.Kearse,00-0029159,no,SEA,WR,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,0,0,0,0,17,,,,,,,,,,,358,15,38,1,1,0,537,2,11,0,0,0,0,15
R.Lockette,00-0028442,no,SEA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,72,11,2,0,0,195,1,2,0,0,0,0,2
E.Thomas,00-0027866,no,SEA,FS,26,3,1,0,69,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,2,0,,,,,,,,,,,,,,
S.Hauschka,00-0025944,no,SEA,K,,,,,,0,0,0,1,0,36,31,567,93,41,0,41,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ryan,00-0023742,no,SEA,P,,,,,,1,1,2,1,-15,,,,,,,,,,,,,,,,,,,,,,613,28,835,61,2688,,,,,,,,,,,,,2,5,0,0,0,0,5
T.McDaniel,00-0024102,no,SEA,DT,15,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Wright,00-0028037,no,SEA,OLB,33,2,0,2,74,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Maxwell,00-0028111,no,SEA,CB,4,0,2,0,35,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Irvin,00-0029193,no,SEA,OLB,12,1,2,6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Avril,00-0026232,no,SEA,DE,7,1,0,5.5,16,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Chancellor,00-0027733,no,SEA,SS,18,1,1,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Smith,00-0028180,no,SEA,OLB,9,2,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Burley,00-0029942,no,SEA,DB,10,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Schofield,00-0027730,no,SEA,OLB,4,0,0,4,13,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Williams,00-0022073,no,SEA,DT,12,0,0,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Wagner,00-0029255,no,SEA,MLB,37,0,0,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Bennett,00-0026618,no,SEA,DE,12,1,0,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Lane,00-0029295,no,SEA,CB,4,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Rodgers,00-0023459,no,GB,QB,,,,,,2,5,10,5,-16,,,,,,,,,,,,,,,520,341,5,38,2,1,4381,,,,,,,,,,,,,,,,,,43,153,15,2,0,0,269
D.Harris,00-0028409,no,GB,RB,,,,,,,,,,,,,,,,,,,,221,247,0,22,0,,,,,,,,,,,,,,,,,,11,0,1,0,0,0,11,16,27,0,0,0,0,64
E.Lacy,00-0030485,no,GB,RB,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,99,42,4,0,0,427,246,324,66,9,0,0,1139
J.Kuhn,00-0022999,no,GB,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,4,0,0,0,23,24,47,2,1,0,0,85
J.Starks,00-0027791,no,GB,RB,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0,18,0,0,0,140,85,162,16,2,0,0,333
A.Quarless,00-0027753,no,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,18,29,3,1,0,323,,,,,,,
R.Cobb,00-0028002,no,GB,WR,,,,,,2,1,3,1,0,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,60,93,0,14,0,481,148,91,12,1,1,1287,12,30,0,0,0,0,37
J.Nelson,00-0026176,no,GB,WR,,,,,,0,1,0,1,0,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,619,431,98,13,0,0,1519,,,,,,,
H.Clinton-Dix,00-0031333,no,GB,FS,28,0,1,1,63,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,
D.Sherrod,00-0027970,no,GB,,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Crosby,00-0025580,no,GB,K,,,,,,,,,,,30,27,565,81,53,2,53,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
