name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Brady,00-0019596,no,NE,QB,,,,,,2,2,6,2,0,,,,,,,,,,,,,,,624,402,7,36,0,0,4770,,,,,,,,,,,36,0,1,0,0,0,36,34,51,3,3,0,0,53
D.Lewis,00-0028087,no,NE,RB,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,26,36,2,0,0,388,49,77,14,2,0,0,234
J.Edelman,00-0027150,no,NE,WR,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37,50,0,10,0,228,117,61,7,0,0,692,3,23,0,0,0,0,23
B.Bolden,00-0029239,no,NE,RB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,81,19,2,0,0,180,63,88,0,0,0,0,207
R.Gronkowski,00-0027656,no,NE,TE,,,,,,0,1,0,1,0,,,,,,,,,,5,5,0,1,0,,,,,,,,,,,,,,,,,,505,210,72,11,0,0,1176,,,,,,,
D.Amendola,00-0026035,no,NE,WR,,,,,,1,0,1,0,0,,,,,,,,,,62,71,0,8,0,1,1,0,0,0,0,36,,,,,,110,200,0,23,0,232,20,65,3,0,0,648,2,11,0,0,0,0,11
S.Chandler,00-0025516,no,NE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,25,23,4,0,0,259,,,,,,,
A.Dobson,00-0030540,no,NE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,13,0,0,0,141,,,,,,,
S.Gostkowski,00-0024333,no,NE,K,,,,,,,,,,,36,33,618,99,52,0,52,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Allen,00-0029984,no,NE,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,31,815,73,3338,,,,,,,,,,,,,,,,,,,
M.Williams,00-0030110,no,NE,TE,,,,,,,,,,,,,,,,,,,,18,18,0,3,0,,,,,,,,,,,,,,,,,,26,0,3,0,0,0,26,,,,,,,
C.Jones,00-0029585,no,NE,DE,12,4,1,12.5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brown,00-0025534,no,NE,CB,4,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Mayo,00-0026150,no,NE,MLB,12,0,0,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Collins,00-0030421,no,NE,OLB,38,5,1,5.5,52,0,0,0,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Harmon,00-0030383,no,NE,CB,6,0,3,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Fletcher,00-0027041,no,NE,,2,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Branch,00-0025420,no,NE,DT,13,2,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Chung,00-0027010,no,NE,SS,33,1,0,0,49,,,,,,,,,,,,,,,17,17,0,1,0,,,,,,,,,,,,,4,4,0,1,0,,,,,,,,,,,,,,
R.Ninkovich,00-0024349,no,NE,DE,19,1,0,6.5,33,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.McCourty,00-0027647,no,NE,FS,13,0,1,1,50,,,,,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Butler,00-0031218,no,NE,CB,11,0,2,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Grissom,00-0031940,no,NE,OLB,2,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Siliga,00-0028256,no,NE,DT,17,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Brown,00-0032261,no,NE,DT,17,0,0,3,31,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Sheard,00-0027975,no,NE,DE,10,4,0,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Hightower,00-0029669,no,NE,OLB,10,0,0,3.5,51,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,0,1,2,1,0,,,,,,,,,,,,,,,469,319,16,21,10,8,3933,,,,,,,,,,,,,,,,,,15,23,0,0,0,0,29
W.Johnson,00-0028841,no,PIT,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,2,0,0,0,16,4,6,1,1,0,0,7
De.Williams,00-0024242,no,PIT,RB,,,,,,1,2,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0,40,0,1,1,367,200,270,16,11,0,0,907
T.Murphy,00-0031816,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1,0,0,0,16,,,,,,,
D.Heyward-Bey,00-0026983,no,PIT,WR,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,44,21,2,1,0,314,,,,,,,
M.Wheaton,00-0030460,no,PIT,WR,,,,,,,,,,,,,,,,,,,,60,66,0,5,0,,,,,,,,,,,,,,,,,,409,163,44,5,1,1,749,,,,,,,
H.Miller,00-0023465,no,PIT,TE,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,4,60,2,1,1,535,1,2,0,0,0,0,2
A.Brown,00-0027793,no,PIT,WR,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101,161,71,22,1,533,122,136,10,4,2,1834,3,22,0,0,0,0,28
J.Scobee,00-0022874,no,PIT,,,,,,,,,,,,10,6,130,18,7,0,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Berry,00-0031502,no,PIT,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,28,822,59,2511,,,,,,,,,,,,,,,,,,,
D.Archer,00-0031392,no,PIT,,,,,,,,,,,,,,,,,,,,,152,177,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.McCullers,00-0031193,no,PIT,NT,4,0,0,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Blake,00-0029050,no,PIT,CB,11,1,2,1,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.McLendon,00-0026564,no,PIT,NT,4,0,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Tuitt,00-0031412,no,PIT,DE,14,0,1,6.5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Shazier,00-0031365,no,PIT,ILB,33,2,1,3.5,54,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Harrison,00-0020712,no,PIT,OLB,14,2,1,5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Mitchell,00-0027023,no,PIT,FS,22,2,3,0,58,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
