name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Rodgers,00-0023459,no,GB,QB,,,,,,0,1,3,1,0,,,,,,,,,,,,,,,501,342,6,45,1,0,4637,,,,,,,,,,,,,,,,,,60,129,19,3,0,0,257
R.Grant,00-0022984,no,GB,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,80,19,1,0,0,268,134,182,47,2,0,0,559
J.Kuhn,00-0022999,no,GB,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,11,15,2,0,0,77,30,37,5,4,0,0,78
J.Starks,00-0027791,no,GB,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,29,0,0,0,216,133,211,17,1,0,0,578
J.Finley,00-0026231,no,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,35,55,8,1,0,767,,,,,,,
J.Nelson,00-0026176,no,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,453,68,15,0,0,1263,,,,,,,
T.Crabtree,00-0026878,no,GB,,,,,,,,,,,,,,,,,,,,,11,11,0,1,0,,,,,,,,,,,,,,,,,,38,5,6,1,0,0,38,,,,,,,
D.Driver,00-0004541,no,GB,,,,,,,,,,,,,,,,,,,,,5,5,0,2,0,,,,,,,,,,,,,,,,,,238,65,37,6,0,0,445,,,,,,,
G.Jennings,00-0024267,no,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,232,67,9,0,0,949,,,,,,,
J.Jones,00-0025465,no,GB,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,214,38,7,0,0,635,,,,,,,
R.Cobb,00-0028002,no,GB,WR,,,,,,3,0,3,0,0,,,,,,,,,,397,517,0,34,1,1,0,0,0,0,0,0,,,,,,125,247,80,26,1,245,32,24,1,0,0,369,3,11,0,0,0,0,11
T.Williams,00-0024061,no,GB,CB,12,0,4,0,53,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
