Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
58,Jon Kitna,CIN,33,,3,0,,17,29,58.6,99,0,0,2,6.9,16,3.4,0.3,5.8,33,36.4,2,10,2.87,-0.03,6.5,,
59,Matt Mauck,TEN,26,,2,1,0-1-0,15,27,55.6,136,0,0,1,3.7,17,5,3.4,9.1,68,53.9,1,8,4.57,2.96,3.6,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
60,Marques Tuiasosopo,OAK,26,,1,1,0-1-0,14,26,53.8,124,1,3.8,2,7.7,20,4.8,2.1,8.9,124,47.6,6,40,2.63,0.44,18.8,,
61,Tony Banks,HOU,32,,2,0,,14,25,56,173,1,4,2,8,31,6.9,4.1,12.4,86.5,57.6,0,0,6.92,4.12,0,,
62,Patrick Ramsey,WAS,26,,4,1,1-0-0,15,25,60,279,1,4,1,4,72,11.2,10.2,18.6,69.8,95.2,4,27,8.69,7.83,13.8,,
63,Seneca Wallace,SEA,25,,7,0,,13,25,52,173,1,4,1,4,42,6.9,5.9,13.3,24.7,70.9,3,20,5.46,4.57,10.7,,
64,Matt Cassel,NWE,23,,2,0,,13,24,54.2,183,2,8.3,1,4.2,36,7.6,7.4,14.1,91.5,89.4,1,1,7.28,7.08,4,,
65,John Navarre,ARI,25,,1,0,,14,24,58.3,174,1,4.2,1,4.2,43,7.3,6.2,12.4,174,77.4,4,27,5.25,4.36,14.3,,
66,Philip Rivers,SDG,24,,2,0,,12,22,54.5,115,0,0,1,4.5,22,5.2,3.2,9.6,57.5,50.4,3,16,3.96,2.16,12,,
67,Dan Orlovsky,DET,22,,2,0,,7,17,41.2,63,0,0,0,0,20,3.7,3.7,9,31.5,51.8,1,3,3.33,3.33,5.6,,
68,Aaron Rodgers,GNB,22,,3,0,,9,16,56.3,65,0,0,1,6.3,16,4.1,1.3,7.2,21.7,39.8,3,28,1.95,-0.42,15.8,,
69,Quinn Gray,JAX,26,,1,0,,8,14,57.1,100,2,14.3,0,0,26,7.1,10,12.5,100,119,1,7,6.2,8.87,6.7,,
70,Jay Fiedler,NYJ,34,,2,0,,8,13,61.5,107,1,7.7,0,0,23,8.2,9.8,13.4,53.5,113.3,0,0,8.23,9.77,0,,
71,Chris Weinke,CAR,33,,3,0,,7,13,53.8,64,1,7.7,0,0,18,4.9,6.5,9.1,21.3,93.1,0,0,4.92,6.46,0,1,1
72,Doug Flutie,NWE,43,,5,0,,5,10,50,29,0,0,0,0,13,2.9,2.9,5.8,5.8,56.2,1,13,1.45,1.45,9.1,,
73,Jeff Blake,CHI,35,,2,0,,8,9,88.9,55,1,11.1,0,0,17,6.1,8.3,6.9,27.5,129.2,0,0,6.11,8.33,0,,
74,Bradlee Van Pelt,DEN,25,,3,0,,2,8,25,7,0,0,0,0,5,0.9,0.9,3.5,2.3,39.6,0,0,0.88,0.88,0,,
75,LaDainian Tomlinson*,SDG,26,RB,16,16,,3,4,75,47,3,75,0,0,26,11.8,26.8,15.7,2.9,153.1,0,0,11.75,26.75,0,,
76,Matt Jones,JAX,22,,16,1,,2,3,66.7,12,0,0,0,0,6,4,4,6,0.8,74.3,0,0,4,4,0,,
77,Antwaan Randle El,PIT,26,WR,16,15,,3,3,100,67,1,33.3,0,0,51,22.3,29,22.3,4.2,158.3,0,0,22.33,29,0,,
78,Arnaz Battle,SFO,25,WR,10,8,,2,2,100,27,0,0,0,0,24,13.5,13.5,13.5,2.7,118.7,0,0,13.5,13.5,0,,
79,Craig Hentrich,TEN,34,,16,0,,1,2,50,26,0,0,0,0,26,13,13,26,1.6,95.8,0,0,13,13,0,,
80,Randy Hymes,BAL,26,,16,3,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
81,Kliff Kingsbury,NYJ,26,,1,0,,1,2,50,17,0,0,0,0,17,8.5,8.5,17,17,79.2,0,0,8.5,8.5,0,,
82,Brad Maynard,CHI,31,,16,0,,1,2,50,18,0,0,0,0,18,9,9,18,1.1,81.2,0,0,9,9,0,,
83,Clinton Portis,WAS,24,RB,16,16,,1,2,50,17,1,50,0,0,17,8.5,18.5,17,1.1,118.7,0,0,8.5,18.5,0,,
84,Tiki Barber*+,NYG,30,RB,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
85,Drew Bennett,TEN,27,WR,13,10,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
86,Anquan Boldin,ARI,25,WR,14,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
87,Marty Booker,MIA,29,WR,15,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
