
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
32,Patrick Ramsey,WAS,23,qb,9,5,2-3-0,117,227,51.5,1539,9,4.0,8,3.5,62,6.8,6.0,13.2,171.0,71.8,18,132,5.74,5.01,7.3,,
33,Quincy Carter,DAL,25,qb,7,7,3-4-0,125,221,56.6,1465,7,3.2,8,3.6,80,6.6,5.6,11.7,209.3,72.3,19,130,5.56,4.65,7.9,2,2
34,Kurt Warner,STL,31,qb,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5.0,43,6.5,4.5,9.9,204.4,67.4,21,130,5.40,3.59,8.7,,
35,Marc Bulger,STL,25,qb,7,7,6-1-0,138,214,64.5,1826,14,6.5,6,2.8,58,8.5,8.6,13.2,260.9,101.5,12,102,7.63,7.67,5.3,2,2
36,Jamie Martin,STL,32,qb,5,2,0-2-0,124,195,63.6,1216,7,3.6,10,5.1,33,6.2,4.6,9.8,243.2,71.7,10,77,5.56,4.04,4.9,0,0
37,Chris Redman,BAL,25,qb,6,6,3-3-0,97,182,53.3,1034,7,3.8,3,1.6,36,5.7,5.7,10.7,172.3,76.1,11,68,5.01,5.03,5.7,,
38,Trent Dilfer,SEA,30,qb,6,6,2-4-0,94,168,56.0,1182,4,2.4,6,3.6,83,7.0,5.9,12.6,197.0,71.1,7,36,6.55,5.46,4.0,,
39,Kordell Stewart,PIT,30,qb,7,5,3-2-0,109,166,65.7,1155,6,3.6,6,3.6,64,7.0,6.1,10.6,165.0,82.8,7,46,6.41,5.54,4.0,1,1
40,Chris Chandler,CHI,37,qb,9,7,2-5-0,103,161,64.0,1023,4,2.5,4,2.5,76,6.4,5.7,9.9,113.7,79.8,23,144,4.78,4.23,12.5,,
41,Ray Lucas,MIA,30,qb,7,6,2-4-0,92,160,57.5,1045,4,2.5,6,3.8,77,6.5,5.3,11.4,149.3,69.9,12,90,5.55,4.45,7.0,,
42,A.J. Feeley,PHI,25,qb,6,5,4-1-0,86,154,55.8,1011,6,3.9,5,3.2,53,6.6,5.9,11.8,168.5,75.4,7,48,5.98,5.33,4.3,,
43,Mike McMahon,DET,23,,8,4,0-4-0,62,147,42.2,874,7,4.8,9,6.1,49,5.9,4.1,14.1,109.3,52.4,12,99,4.87,3.21,7.5,,
44,Steve Beuerlein,DEN,37,,8,3,1-2-0,68,117,58.1,925,6,5.1,5,4.3,52,7.9,7.0,13.6,115.6,82.7,12,78,6.57,5.75,9.3,,
45,Kelly Holcomb,CLE,29,,4,2,1-1-0,64,106,60.4,790,8,7.5,4,3.8,44,7.5,7.3,12.3,197.5,92.9,5,40,6.76,6.58,4.5,1,1
46,Danny Wuerffel,WAS,28,,7,4,2-2-0,58,92,63.0,719,3,3.3,6,6.5,40,7.8,5.5,12.4,102.7,70.9,11,83,6.17,4.14,10.7,,
47,Rob Johnson,TAM,29,,6,2,2-0-0,57,88,64.8,536,1,1.1,2,2.3,23,6.1,5.3,9.4,89.3,75.8,19,94,4.13,3.48,17.8,1,1
48,Gus Frerotte,CIN,31,,4,3,0-3-0,44,85,51.8,437,1,1.2,5,5.9,51,5.1,2.7,9.9,109.3,46.1,10,74,3.82,1.66,10.5,,
49,Vinny Testaverde,NYJ,39,,5,4,1-3-0,54,83,65.1,499,3,3.6,3,3.6,35,6.0,5.1,9.2,99.8,78.3,9,62,4.75,3.93,9.8,1,0
50,Doug Johnson,ATL,25,,6,1,1-0-0,37,57,64.9,448,2,3.5,3,5.3,63,7.9,6.2,12.1,74.7,78.7,3,11,7.28,5.70,5.0,1,2
51,Henry Burris,CHI,27,,6,1,0-1-0,18,51,35.3,207,3,5.9,5,9.8,45,4.1,0.8,11.5,34.5,28.4,0,0,4.06,0.82,0.0,,
52,David Garrard,JAX,24,,4,1,0-1-0,23,46,50.0,231,1,2.2,2,4.3,22,5.0,3.5,10.0,57.8,53.8,7,40,3.60,2.28,13.2,,
53,Randy Fasani,CAR,24,,4,1,0-1-0,15,44,34.1,171,0,0.0,4,9.1,27,3.9,-0.2,11.4,42.8,8.8,7,60,2.18,-1.35,13.7,,
54,Tim Rattay,SFO,25,,4,0,,26,43,60.5,232,2,4.7,0,0.0,27,5.4,6.3,8.9,58.0,90.5,5,26,4.29,5.13,10.4,,
55,Chris Weinke,CAR,30,,6,1,0-1-0,17,38,44.7,180,0,0.0,3,7.9,24,4.7,1.2,10.6,30.0,26.2,6,35,3.30,0.23,13.6,,
56,Akili Smith,CIN,27,,1,1,0-1-0,12,33,36.4,117,0,0.0,1,3.0,24,3.5,2.2,9.8,117.0,34.5,3,23,2.61,1.36,8.3,,
