Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
1,Peyton Manning*,IND,34,QB,16,16,10/6/2000,450,679,66.3,4700,33,4.9,17,2.5,73,6.9,6.8,10.4,293.8,91.9,73.42,16,91,6.63,6.48,2.3,0,2,2010
2,Drew Brees*,NOR,31,QB,16,16,11/5/2000,448,658,68.1,4620,33,5,22,3.3,80,7,6.5,10.3,288.8,90.9,63.68,25,185,6.49,6.01,3.7,4,5,2010
3,Sam Bradford,STL,23,QB,16,16,7/9/2000,354,590,60,3512,18,3.1,15,2.5,49,6,5.4,9.9,219.5,76.5,37.37,34,244,5.24,4.73,5.4,,,2010
4,Carson Palmer,CIN,31,QB,16,16,4/12/2000,362,586,61.8,3970,26,4.4,20,3.4,78,6.8,6.1,11,248.1,82.4,40.65,26,201,6.16,5.54,4.2,1,1,2010
5,Matt Schaub,HOU,29,QB,16,16,6/10/2000,365,574,63.6,4370,24,4.2,12,2.1,60,7.6,7.5,12,273.1,92,55.39,32,226,6.84,6.74,5.3,2,2,2010
6,Matt Ryan*,ATL,25,QB,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,46,6.5,6.8,10.4,231.6,91,64.24,23,158,5.97,6.23,3.9,5,6,2010
7,Philip Rivers*,SDG,29,QB,16,16,9/7/2000,357,541,66,4710,30,5.5,13,2.4,59,8.7,8.7,13.2,294.4,101.8,62.47,38,227,7.74,7.77,6.6,1,1,2010
8,Eli Manning,NYG,29,QB,16,16,10/6/2000,339,539,62.9,4002,31,5.8,25,4.6,92,7.4,6.5,11.8,250.1,85.3,56.38,16,117,7,6.09,2.9,1,1,2010
9,Mark Sanchez,NYJ,24,QB,16,16,11/5/2000,278,507,54.8,3291,17,3.4,13,2.6,74,6.5,6,11.8,205.7,75.3,44.58,27,171,5.84,5.38,5.1,4,6,2010
10,Kyle Orton,DEN,28,QB,13,13,3/10/2000,293,498,58.8,3653,20,4,9,1.8,71,7.3,7.3,12.5,281,87.5,46.62,34,243,6.41,6.4,6.4,1,1,2010
11,Tom Brady*+,NWE,33,QB,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,79,7.9,9,12,243.8,111,71.97,25,175,7.21,8.25,4.8,2,3,2010
12,Chad Henne,MIA,25,QB,15,14,6/8/2000,301,490,61.4,3301,15,3.1,19,3.9,57,6.7,5.6,11,220.1,75.4,36.16,30,178,6.01,4.94,5.8,0,1,2010
