Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Brad Johnson,TAM,35,QB,16,16,7/9/2000,354,570,62.1,3811,26,4.6,21,3.7,76,6.7,5.9,10.8,238.2,81.5,20,111,6.27,5.55,3.4,,
2,Peyton Manning*+,IND,27,QB,16,16,12/4/2000,379,566,67,4267,29,5.1,10,1.8,79,7.5,7.8,11.3,266.7,99,18,107,7.12,7.35,3.1,3,4
3,Joey Harrington,DET,25,QB,16,16,5/11/2000,309,554,55.8,2880,17,3.1,22,4,72,5.2,4,9.3,180,63.9,9,55,5.02,3.86,1.6,2,2
4,Marc Bulger*,STL,26,QB,15,15,12/3/2000,336,532,63.2,3845,22,4.1,22,4.1,48,7.2,6.2,11.4,256.3,81.4,37,288,6.25,5.28,6.5,4,4
5,Tom Brady,NWE,26,QB,16,16,14-2-0,317,527,60.2,3620,23,4.4,12,2.3,82,6.9,6.7,11.4,226.3,85.9,32,219,6.08,5.94,5.7,4,7
6,Trent Green*,KAN,33,QB,16,16,13-3-0,330,523,63.1,4039,24,4.6,12,2.3,67,7.7,7.6,12.2,252.4,92.6,20,130,7.2,7.09,3.7,1,2
7,Jon Kitna,CIN,31,QB,16,16,8/8/2000,324,520,62.3,3591,26,5,15,2.9,82,6.9,6.6,11.1,224.4,87.4,37,249,6,5.72,6.6,3,3
8,Tommy Maddox,PIT,32,QB,16,16,6/10/2000,298,519,57.4,3414,18,3.5,17,3.3,53,6.6,5.8,11.5,213.4,75.3,41,242,5.66,4.94,7.3,,
9,Aaron Brooks,NOR,27,QB,16,16,8/8/2000,306,518,59.1,3546,24,4.6,8,1.5,76,6.8,7.1,11.6,221.6,88.8,34,195,6.07,6.29,6.2,2,3
10,Matt Hasselbeck*,SEA,28,QB,16,16,10/6/2000,313,513,61,3841,26,5.1,15,2.9,80,7.5,7.2,12.3,240.1,88.8,42,246,6.48,6.2,7.6,2,3
11,Quincy Carter,DAL,26,QB,16,16,10/6/2000,292,505,57.8,3302,17,3.4,21,4.2,64,6.5,5.3,11.3,206.4,71.4,37,185,5.75,4.63,6.8,2,2
12,Kerry Collins,NYG,31,QB,13,13,4/9/2000,284,500,56.8,3110,13,2.6,16,3.2,77,6.2,5.3,11,239.2,70.7,28,164,5.58,4.71,5.3,1,3
13,Donovan McNabb*,PHI,27,QB,16,16,12/4/2000,275,478,57.5,3216,16,3.3,11,2.3,59,6.7,6.4,11.7,201,79.6,43,253,5.69,5.35,8.3,3,5
14,Drew Bledsoe,BUF,31,QB,16,16,6/10/2000,274,471,58.2,2860,11,2.3,12,2.5,54,6.1,5.4,10.4,178.8,73,49,371,4.79,4.17,9.4,1,1
15,Brett Favre*,GNB,34,QB,16,16,10/6/2000,308,471,65.4,3361,32,6.8,21,4.5,66,7.1,6.5,10.9,210.1,90.4,19,137,6.58,5.96,3.9,2,3
16,Daunte Culpepper*,MIN,26,QB,14,14,7/7/2000,295,454,65,3479,25,5.5,11,2.4,59,7.7,7.7,11.8,248.5,96.4,37,196,6.69,6.7,7.5,0,1
17,Jake Delhomme,CAR,28,QB,16,15,10/5/2000,266,449,59.2,3219,19,4.2,16,3.6,67,7.2,6.4,12.1,201.2,80.6,23,168,6.46,5.74,4.9,5,8
18,Byron Leftwich,JAX,23,QB,15,13,5/8/2000,239,418,57.2,2819,14,3.3,16,3.8,84,6.7,5.7,11.8,187.9,73,19,90,6.24,5.24,4.3,1,2
19,Steve McNair*,TEN,30,QB,14,14,10/4/2000,250,400,62.5,3215,24,6,7,1.8,73,8,8.5,12.9,229.6,100.4,19,108,7.42,7.81,4.5,1,2
20,Jeff Garcia,SFO,33,QB,13,13,5/8/2000,225,392,57.4,2704,18,4.6,13,3.3,75,6.9,6.3,12,208,80.1,21,104,6.3,5.75,5.1,1,1
21,Jeff Blake,ARI,33,QB,13,13,3/10/2000,208,367,56.7,2247,13,3.5,15,4.1,71,6.1,5,10.8,172.8,69.6,19,132,5.48,4.4,4.9,0,2
22,Drew Brees,SDG,24,QB,11,11,2/9/2000,205,356,57.6,2108,11,3.1,15,4.2,68,5.9,4.6,10.3,191.6,67.5,21,178,5.12,3.91,5.6,0,1
23,Patrick Ramsey,WAS,24,QB,11,11,4/7/2000,179,337,53.1,2166,14,4.2,9,2.7,64,6.4,6.1,12.1,196.9,75.8,30,206,5.34,5,8.2,0,2
24,Jay Fiedler,MIA,32,QB,12,11,7/4/2000,179,314,57,2138,11,3.5,13,4.1,59,6.8,5.6,11.9,178.2,72.4,19,126,6.04,4.95,5.7,2,3
25,Kelly Holcomb,CLE,30,QB,10,8,2/6/2000,193,302,63.9,1797,10,3.3,12,4,68,6,4.8,9.3,179.7,74.6,21,166,5.05,4,6.5,1,1
26,Jake Plummer,DEN,29,QB,11,11,9/2/2000,189,302,62.6,2182,15,5,7,2.3,60,7.2,7.2,11.5,198.4,91.2,14,73,6.67,6.63,4.4,1,1
27,Chad Pennington,NYJ,27,QB,10,9,4/5/2000,189,297,63.6,2139,13,4.4,12,4,65,7.2,6.3,11.3,213.9,82.9,25,160,6.15,5.28,7.8,2,2
28,David Carr,HOU,24,QB,12,11,3/8/2000,167,295,56.6,2013,9,3.1,13,4.4,78,6.8,5.5,12.1,167.8,69.5,15,90,6.2,4.9,4.8,2,2
29,Kordell Stewart,CHI,31,qb,9,7,2/5/2000,126,251,50.2,1418,7,2.8,12,4.8,61,5.6,4.1,11.3,157.6,56.8,25,146,4.61,3.16,9.1,2,2
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
30,Doug Johnson,ATL,26,QB,10,8,1/7/2000,136,243,56,1655,8,3.3,12,4.9,86,6.8,5.2,12.2,165.5,67.5,19,121,5.85,4.4,7.3,,
31,Rich Gannon,OAK,38,qb,7,7,2/5/2000,125,225,55.6,1274,6,2.7,4,1.8,46,5.7,5.4,10.2,182,73.5,17,90,4.89,4.64,7,1,2
32,Kyle Boller,BAL,22,QB,11,9,5/4/2000,116,224,51.8,1260,7,3.1,9,4,73,5.6,4.4,10.9,114.5,62.4,17,92,4.85,3.75,7.1,,
