
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Vinny Testaverde,NYJ,37,QB,16,16,9-7-0,328,590,55.6,3732,21,3.6,25,4.2,63,6.3,5.1,11.4,233.3,69.0,13,71,6.07,4.90,2.2,4,4
2,Brett Favre,GNB,31,QB,16,16,9-7-0,338,580,58.3,3812,20,3.4,16,2.8,67,6.6,6.0,11.3,238.3,78.0,33,236,5.83,5.31,5.4,0,4
3,Peyton Manning*,IND,24,QB,16,16,10-6-0,357,571,62.5,4413,33,5.8,15,2.6,78,7.7,7.7,12.4,275.8,94.7,20,131,7.25,7.22,3.4,2,3
4,Donovan McNabb*,PHI,24,QB,16,16,11-5-0,330,569,58.0,3365,21,3.7,13,2.3,70,5.9,5.6,10.2,210.3,77.8,45,262,5.05,4.79,7.3,2,3
5,Jeff Garcia*,SFO,30,QB,16,16,6-10-0,355,561,63.3,4278,31,5.5,10,1.8,69,7.6,7.9,12.1,267.4,97.6,24,155,7.05,7.34,4.1,,
6,Elvis Grbac*,KAN,30,QB,15,15,7-8-0,326,547,59.6,4169,28,5.1,14,2.6,81,7.6,7.5,12.8,277.9,89.9,29,213,6.87,6.75,5.0,3,3
7,Steve Beuerlein,CAR,35,QB,16,16,7-9-0,324,533,60.8,3730,19,3.6,18,3.4,54,7.0,6.2,11.5,233.1,79.7,62,331,5.71,4.99,10.4,2,2
8,Drew Bledsoe,NWE,28,QB,16,16,5-11-0,312,531,58.8,3291,17,3.2,13,2.4,59,6.2,5.7,10.5,205.7,77.3,45,264,5.26,4.83,7.8,2,3
9,Kerry Collins,NYG,28,QB,16,16,12-4-0,311,529,58.8,3610,22,4.2,13,2.5,59,6.8,6.6,11.6,225.6,83.1,28,243,6.04,5.78,5.0,3,3
10,Mark Brunell,JAX,30,QB,16,16,7-9-0,311,512,60.7,3640,20,3.9,14,2.7,67,7.1,6.7,11.7,227.5,84.0,54,289,5.92,5.51,9.5,0,2
11,Jake Plummer,ARI,26,QB,14,14,3-11-0,270,475,56.8,2946,13,2.7,21,4.4,70,6.2,4.8,10.9,210.4,66.0,22,151,5.62,4.25,4.4,1,1
12,Daunte Culpepper*,MIN,23,QB,16,16,11-5-0,297,474,62.7,3937,33,7.0,16,3.4,78,8.3,8.2,13.3,246.1,98.0,34,181,7.39,7.28,6.7,3,4
13,Rich Gannon*+,OAK,35,QB,16,16,12-4-0,284,473,60.0,3430,28,5.9,11,2.3,84,7.3,7.4,12.1,214.4,92.4,28,124,6.60,6.73,5.6,3,4
14,Shaun King,TAM,23,QB,16,16,10-6-0,233,428,54.4,2769,18,4.2,13,3.0,75,6.5,5.9,11.9,173.1,75.8,37,240,5.44,4.95,8.0,3,3
15,Jon Kitna,SEA,28,QB,15,12,6-6-0,259,418,62.0,2658,18,4.3,19,4.5,71,6.4,5.2,10.3,177.2,75.6,33,166,5.53,4.43,7.3,2,4
16,Charlie Batch,DET,26,QB,15,15,8-7-0,221,412,53.6,2489,13,3.2,15,3.6,59,6.0,5.0,11.3,165.9,67.3,41,242,4.96,4.04,9.1,3,5
