Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
28,Brian Griese,CHI,32,qb,7,6,3/3/2000,161,262,61.5,1803,10,3.8,12,4.6,81,6.9,5.6,11.2,257.6,75.6,32.3,15,114,6.1,4.87,5.4,2,2,2007
29,Chad Pennington,NYJ,31,QB,9,8,1/7/2000,179,260,68.8,1765,10,3.8,9,3.5,57,6.8,6,9.9,196.1,86.1,43.25,26,178,5.55,4.83,9.1,,,2007
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2007
30,Kellen Clemens,NYJ,24,QB,10,8,3/5/2000,130,250,52,1529,5,2,10,4,56,6.1,4.7,11.8,152.9,60.9,22.34,27,138,5.02,3.76,9.7,1,2,2007
31,Sage Rosenfels,HOU,29,qb,9,5,4/1/2000,154,240,64.2,1684,15,6.3,12,5,53,7,6,10.9,187.1,84.8,62.93,6,48,6.65,5.67,2.4,,,2007
32,Rex Grossman,CHI,27,qb,8,7,2/5/2000,122,225,54.2,1411,4,1.8,7,3.1,59,6.3,5.2,11.6,176.4,66.4,16.64,25,198,4.85,3.91,10,2,2,2007
33,Brodie Croyle,KAN,24,qb,9,6,0-6-0,127,224,56.7,1227,6,2.7,6,2.7,35,5.5,4.8,9.7,136.3,69.9,28.52,17,101,4.67,4.05,7.1,,,2007
34,Trent Dilfer,SFO,35,qb,7,6,1/5/2000,113,219,51.6,1166,7,3.2,12,5.5,57,5.3,3.5,10.3,166.6,55.1,11.79,27,182,4,2.37,11,1,0,2007
35,Steve McNair,BAL,34,qb,6,6,2/4/2000,133,205,64.9,1113,2,1,4,2,30,5.4,4.7,8.4,185.5,73.9,25.95,11,85,4.76,4.11,5.1,,,2007
36,Alex Smith,SFO,23,qb,7,7,2/5/2000,94,193,48.7,914,2,1,4,2.1,45,4.7,4,9.7,130.6,57.2,14.83,17,121,3.78,3.11,8.1,2,2,2007
37,Josh McCown,OAK,28,QB,9,9,2/7/2000,111,190,58.4,1151,10,5.3,11,5.8,46,6.1,4.5,10.4,127.9,69.4,20.25,14,92,5.19,3.75,6.9,,,2007
38,Daunte Culpepper,OAK,30,qb,7,6,2/4/2000,108,186,58.1,1331,5,2.7,5,2.7,59,7.2,6.5,12.3,190.1,78,32.95,21,130,5.8,5.2,10.1,1,1,2007
39,J.P. Losman,BUF,26,qb,8,7,2/5/2000,111,175,63.4,1204,4,2.3,6,3.4,85,6.9,5.8,10.8,150.5,76.9,30.66,14,103,5.83,4.82,7.4,2,3,2007
40,Vinny Testaverde,CAR,44,qb,7,6,2/4/2000,94,172,54.7,952,5,2.9,6,3.5,65,5.5,4.5,10.1,136,65.8,31.21,9,46,5.01,4.07,5,1,1,2007
41,Gus Frerotte,STL,36,qb,8,3,1/2/2000,94,167,56.3,1014,7,4.2,12,7.2,38,6.1,3.7,10.8,126.8,58.3,25.86,11,59,5.37,3.12,6.2,,,2007
42,Chris Redman,ATL,30,,7,4,1/3/2000,89,149,59.7,1079,10,6.7,5,3.4,74,7.2,7.1,12.1,154.1,90.4,35.85,9,51,6.51,6.35,5.7,1,1,2007
43,Quinn Gray,JAX,28,,8,4,2/2/2000,80,144,55.6,986,10,6.9,5,3.5,80,6.8,6.7,12.3,123.3,85.6,64.36,10,68,5.96,5.8,6.5,1,1,2007
44,Trent Green,MIA,37,qb,5,5,0-5-0,85,141,60.3,987,5,3.5,7,5,43,7,5.5,11.6,197.4,72.6,42.5,7,53,6.31,4.86,4.7,,,2007
45,Luke McCown,TAM,26,,5,3,1/2/2000,94,139,67.6,1009,5,3.6,3,2.2,60,7.3,7,10.7,201.8,91.7,49.86,15,104,5.88,5.65,9.7,1,1,2007
46,David Carr,CAR,28,,6,4,1/3/2000,73,136,53.7,635,3,2.2,5,3.7,38,4.7,3.5,8.7,105.8,58.3,20.03,13,74,3.77,2.66,8.7,1,1,2007
47,Matt Leinart,ARI,24,qb,5,5,3/2/2000,60,112,53.6,647,2,1.8,4,3.6,40,5.8,4.5,10.8,129.4,61.9,36.09,4,23,5.38,4.17,3.4,1,1,2007
48,Matt Moore,CAR,23,,9,3,2/1/2000,63,111,56.8,730,3,2.7,5,4.5,57,6.6,5.1,11.6,81.1,67,47.57,6,40,5.9,4.49,5.1,0,1,2007
49,John Beck,MIA,26,,5,4,0-4-0,60,107,56.1,559,1,0.9,3,2.8,22,5.2,4.1,9.3,111.8,62,8.92,10,69,4.19,3.21,8.5,,,2007
50,Todd Collins,WAS,36,,4,3,3-0-0,67,105,63.8,888,5,4.8,0,0,54,8.5,9.4,13.3,222,106.4,61.36,7,47,7.51,8.4,6.3,,,2007
51,A.J. Feeley,PHI,30,,3,2,0-2-0,59,103,57.3,681,5,4.9,8,7.8,47,6.6,4.1,11.5,227,61.2,41.31,3,10,6.33,3.88,2.8,,,2007
52,Jake Delhomme,CAR,32,,3,3,2/1/2000,55,86,64,624,8,9.3,1,1.2,74,7.3,8.6,11.3,208,111.8,59.55,5,46,6.35,7.62,5.5,,,2007
53,Kelly Holcomb,MIN,34,,3,3,0-3-0,42,83,50.6,515,2,2.4,1,1.2,40,6.2,6.1,12.3,171.7,73.1,20.26,12,87,4.51,4.45,12.6,,,2007
54,Kerry Collins,TEN,35,,6,1,1-0-0,50,82,61,531,0,0,0,0,46,6.5,6.5,10.6,88.5,79.9,61.53,5,42,5.62,5.62,5.7,1,2,2007
55,Kyle Orton,CHI,25,,3,3,2/1/2000,43,80,53.8,478,3,3.8,2,2.5,55,6,5.6,11.1,159.3,73.9,23.4,2,12,5.68,5.32,2.4,,,2007
56,Shaun Hill,SFO,27,,3,2,2-0-0,54,79,68.4,501,5,6.3,1,1.3,26,6.3,7,9.3,167,101.3,52.04,6,31,5.53,6.18,7.1,,,2007
