
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
71,David Akers,PHI,32,,16,0,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.0,11.0,0.7,112.5,,0,0,11.00,11.00,0.0,,
72,Hank Baskett,PHI,24,wr,16,5,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,0.0,,
73,Arnaz Battle,SFO,26,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.43,0,0,0.00,0.00,0.0,,
74,Ronnie Brown,MIA,25,RB,13,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.3,0,0,0.00,0.00,0.0,,
75,Isaac Bruce,STL,34,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.43,0,0,0.00,0.00,0.0,,
76,Reggie Bush,NOR,21,RB,16,8,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,0.0,,
77,Mark Clayton,BAL,24,WR,16,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.49,0,0,0.00,0.00,0.0,,
78,Kellen Clemens,NYJ,23,,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.08,4,27,-5.40,-5.40,80.0,,
79,Josh Cribbs,CLE,23,,16,1,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
80,Ken Dorsey,CLE,25,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,1,7,-3.50,-3.50,50.0,,
81,Lee Evans,BUF,25,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.45,0,0,0.00,0.00,0.0,,
82,Jeff Feagles,NYG,40,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
83,Ben Graham,NYJ,33,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
84,Carlyle Holiday,2TM,25,,8,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
85,Joe Horn,NOR,34,WR,10,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.02,0,0,0.00,0.00,0.0,,
86,Keyshawn Johnson,CAR,34,WR,16,16,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,0.0,,
87,Larry Johnson*+,KAN,27,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.64,0,0,0.00,0.00,0.0,,
88,Thomas Jones,CHI,28,RB,16,16,,1,1,100.0,-4,0,0.0,0,0.0,-4,-4.0,-4.0,-4.0,-0.3,79.2,1.53,1,1,-2.50,-2.50,50.0,,
89,Ryan Longwell,MIN,32,,16,0,,1,1,100.0,16,1,100.0,0,0.0,16,16.0,36.0,16.0,1.0,158.3,,0,0,16.00,36.00,0.0,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
90,Brad Maynard,CHI,32,,16,0,,1,1,100.0,37,0,0.0,0,0.0,37,37.0,37.0,37.0,2.3,118.7,,0,0,37.00,37.00,0.0,,
91,Mewelde Moore,MIN,24,,16,0,,1,1,100.0,15,1,100.0,0,0.0,15,15.0,35.0,15.0,0.9,158.3,100,0,0,15.00,35.00,0.0,,
92,Brian Moorman*+,BUF,30,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
93,Jerious Norwood,ATL,23,,14,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.85,0,0,0.00,0.00,0.0,,
94,Patrick Ramsey,NYJ,27,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.43,0,0,0.00,0.00,0.0,,
95,Michael Robinson,SFO,23,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
96,Jon Ryan,GNB,25,,16,0,,1,1,100.0,16,0,0.0,0,0.0,16,16.0,16.0,16.0,1.0,118.7,,0,0,16.00,16.00,0.0,,
97,Mike Scifres,SDG,26,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
98,Cedrick Wilson,PIT,28,WR,15,12,,1,1,100.0,21,0,0.0,0,0.0,21,21.0,21.0,21.0,1.4,118.7,99.98,0,0,21.00,21.00,0.0,,
