Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Trent Green,KAN,34,QB,16,16,7/9/2000,369,556,66.4,4591,27,4.9,17,3.1,70,8.3,7.9,12.4,286.9,95.2,32,227,7.42,7.04,5.4,3,3
2,Daunte Culpepper*,MIN,27,QB,16,16,8/8/2000,379,548,69.2,4717,39,7.1,11,2,82,8.6,9.1,12.4,294.8,110.9,46,238,7.54,8.02,7.7,1,3
3,Aaron Brooks,NOR,28,QB,16,16,8/8/2000,309,542,57,3810,21,3.9,16,3,57,7,6.5,12.3,238.1,79.5,41,223,6.15,5.64,7,3,5
4,Brett Favre,GNB,35,QB,16,16,10/6/2000,346,540,64.1,4088,30,5.6,17,3.1,79,7.6,7.3,11.8,255.5,92.4,12,93,7.24,6.94,2.2,3,4
5,Jake Delhomme,CAR,29,QB,16,16,7/9/2000,310,533,58.2,3886,29,5.4,15,2.8,63,7.3,7.1,12.5,242.9,87.3,33,246,6.43,6.26,5.8,2,3
6,Jake Plummer,DEN,30,QB,16,16,10/6/2000,303,521,58.2,4089,27,5.2,20,3.8,85,7.8,7.2,13.5,255.6,84.5,15,90,7.46,6.79,2.8,1,4
7,Kerry Collins,OAK,32,QB,14,13,3/10/2000,289,513,56.3,3495,21,4.1,20,3.9,63,6.8,5.9,12.1,249.6,74.8,25,144,6.23,5.34,4.6,1,2
8,Peyton Manning*+,IND,28,QB,16,16,12/4/2000,336,497,67.6,4557,49,9.9,10,2,80,9.2,10.2,13.6,284.8,121.1,13,101,8.74,9.78,2.5,2,4
9,Vinny Testaverde,DAL,41,QB,16,15,5/10/2000,297,495,60,3532,17,3.4,20,4,53,7.1,6,11.9,220.8,76.4,34,182,6.33,5.27,6.4,2,3
10,Joey Harrington,DET,26,QB,16,16,6/10/2000,274,489,56,3047,19,3.9,12,2.5,62,6.2,5.9,11.1,190.4,77.5,36,196,5.43,5.13,6.9,1,1
11,Marc Bulger,STL,27,QB,14,14,8/6/2000,321,485,66.2,3964,21,4.3,14,2.9,56,8.2,7.7,12.3,283.1,93.7,41,302,6.96,6.56,7.8,4,5
12,Tom Brady*,NWE,27,QB,16,16,14-2-0,288,474,60.8,3692,28,5.9,14,3,50,7.8,7.6,12.8,230.8,92.6,26,162,7.06,6.92,5.2,0,2
13,Matt Hasselbeck,SEA,29,QB,14,14,7/7/2000,279,474,58.9,3382,22,4.6,15,3.2,60,7.1,6.6,12.1,241.6,83.1,30,155,6.4,5.94,6,,
14,Donovan McNabb*,PHI,28,QB,15,15,13-2-0,300,469,64,3875,31,6.6,8,1.7,80,8.3,8.8,12.9,258.3,104.7,32,192,7.35,7.87,6.4,2,2
15,David Carr,HOU,25,QB,16,16,7/9/2000,285,466,61.2,3531,16,3.4,14,3,69,7.6,6.9,12.4,220.7,83.5,49,301,6.27,5.67,9.5,1,1
16,Kyle Boller,BAL,23,QB,16,16,9/7/2000,258,464,55.6,2559,13,2.8,11,2.4,57,5.5,5,9.9,159.9,70.9,35,247,4.63,4.16,7,2,2
17,Drew Bledsoe,BUF,32,QB,16,16,9/7/2000,256,450,56.9,2932,20,4.4,16,3.6,69,6.5,5.8,11.5,183.3,76.6,37,215,5.58,4.92,7.6,,
18,Byron Leftwich,JAX,24,QB,14,14,8/6/2000,267,441,60.5,2941,15,3.4,10,2.3,65,6.7,6.3,11,210.1,82.2,25,114,6.07,5.74,5.4,4,4
19,Carson Palmer,CIN,25,QB,13,13,6/7/2000,263,432,60.9,2897,18,4.2,18,4.2,76,6.7,5.7,11,222.8,77.3,25,178,5.95,4.96,5.5,2,3
20,Josh McCown,ARI,25,QB,14,13,6/7/2000,233,408,57.1,2511,11,2.7,10,2.5,48,6.2,5.6,10.8,179.4,74.1,31,263,5.12,4.6,7.1,2,2
21,Drew Brees*,SDG,25,QB,15,15,11/4/2000,262,400,65.5,3159,27,6.8,7,1.8,79,7.9,8.5,12.1,210.6,104.8,18,131,7.24,7.78,4.3,1,2
22,Chad Pennington,NYJ,28,QB,13,13,8/5/2000,242,370,65.4,2673,16,4.3,9,2.4,48,7.2,7,11,205.6,91,18,103,6.62,6.4,4.6,2,3
23,Billy Volek,TEN,28,QB,10,8,2/6/2000,218,357,61.1,2486,18,5,10,2.8,48,7,6.7,11.4,248.6,87.1,30,216,5.87,5.63,7.8,,
24,A.J. Feeley,MIA,27,QB,11,8,3/5/2000,191,356,53.7,1893,11,3.1,15,4.2,38,5.3,4,9.9,172.1,61.7,23,136,4.64,3.44,6.1,2,3
25,Brian Griese,TAM,29,QB,11,10,4/6/2000,233,336,69.3,2632,20,6,12,3.6,68,7.8,7.4,11.3,239.3,97.5,26,169,6.8,6.42,7.2,1,1
26,Tim Rattay,SFO,27,QB,9,9,1/8/2000,198,325,60.9,2169,10,3.1,10,3.1,65,6.7,5.9,11,241,78.1,37,211,5.41,4.72,10.2,1,1
27,Michael Vick*,ATL,24,QB,15,15,11/4/2000,181,321,56.4,2313,14,4.4,12,3.7,62,7.2,6.4,12.8,154.2,78.1,46,266,5.58,4.87,12.5,3,4
28,Ben Roethlisberger,PIT,22,QB,14,13,13-0-0,196,295,66.4,2621,17,5.8,11,3.7,58,8.9,8.4,13.4,187.2,98.1,30,213,7.41,6.93,9.2,5,6
29,Kurt Warner,NYG,33,QB,10,9,5/4/2000,174,277,62.8,2054,6,2.2,4,1.4,62,7.4,7.2,11.8,205.4,86.5,39,196,5.88,5.69,12.3,0,1
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
30,Patrick Ramsey,WAS,25,qb,9,7,3/4/2000,169,272,62.1,1665,10,3.7,11,4,51,6.1,5,9.9,185,74.8,23,137,5.18,4.18,7.8,,
31,Jeff Garcia,CLE,34,QB,11,10,3/7/2000,144,252,57.1,1731,10,4,9,3.6,99,6.9,6.1,12,157.4,76.7,24,99,5.91,5.17,8.7,1,1
32,Mark Brunell,WAS,34,QB,9,9,3/6/2000,118,237,49.8,1194,7,3,6,2.5,49,5,4.5,10.1,132.7,63.9,15,105,4.32,3.81,6,0,1
33,Ken Dorsey,SFO,23,qb,8,7,1/6/2000,123,226,54.4,1231,6,2.7,9,4,59,5.4,4.2,10,153.9,62.4,13,94,4.76,3.56,5.4,0,1
34,Steve McNair,TEN,31,QB,8,8,3/5/2000,129,215,60,1343,8,3.7,9,4.2,37,6.2,5.1,10.4,167.9,73.1,13,95,5.47,4.4,5.7,1,1
35,Eli Manning,NYG,23,qb,9,7,1/6/2000,95,197,48.2,1043,6,3,9,4.6,52,5.3,3.8,11,115.9,55.4,13,83,4.57,3.21,6.2,1,1
36,Jay Fiedler,MIA,33,qb,8,7,1/6/2000,101,190,53.2,1186,7,3.7,8,4.2,71,6.2,5.1,11.7,148.3,67.1,25,165,4.75,3.73,11.6,,
37,Chad Hutchinson,CHI,27,qb,5,5,1/4/2000,92,161,57.1,903,4,2.5,3,1.9,63,5.6,5.3,9.8,180.6,73.6,23,160,4.04,3.74,12.5,,
38,Craig Krenzel,CHI,23,qb,6,5,3/2/2000,59,127,46.5,718,3,2.4,6,4.7,49,5.7,4,12.2,119.7,52.5,23,158,3.73,2.33,15.3,1,1
39,Jon Kitna,CIN,32,,4,3,2/1/2000,61,104,58.7,623,5,4.8,4,3.8,30,6,5.2,10.2,155.8,75.9,6,41,5.29,4.56,5.5,1,1
40,Brad Johnson,TAM,36,,4,4,0-4-0,65,103,63.1,674,3,2.9,3,2.9,54,6.5,5.8,10.4,168.5,79.5,8,55,5.58,4.9,7.2,,
41,Luke McCown,CLE,23,,5,4,0-4-0,48,98,49,608,4,4.1,7,7.1,58,6.2,3.8,12.7,121.6,52.6,12,122,4.42,2.28,10.9,,
42,Jonathan Quinn,CHI,29,,5,3,0-3-0,51,98,52,413,1,1,3,3.1,32,4.2,3,8.1,82.6,53.7,15,109,2.69,1.67,13.3,,
43,Kelly Holcomb,CLE,31,,4,2,1/1/2000,59,87,67.8,737,7,8,5,5.7,55,8.5,7.5,12.5,184.3,96.8,5,31,7.67,6.75,5.4,,
44,Rex Grossman,CHI,24,,3,3,1/2/2000,47,84,56,607,1,1.2,3,3.6,40,7.2,5.9,12.9,202.3,67.9,5,22,6.57,5.28,5.6,,
45,Shaun King,ARI,27,,3,2,0-2-0,47,84,56,502,1,1.2,4,4.8,40,6,4.1,10.7,167.3,57.7,6,42,5.11,3.33,6.7,,
46,Chris Simms,TAM,24,,5,2,1/1/2000,42,73,57.5,467,1,1.4,3,4.1,75,6.4,4.8,11.1,93.4,64.1,10,75,4.72,3.34,12,,
47,David Garrard,JAX,26,,4,2,1/1/2000,38,72,52.8,374,2,2.8,1,1.4,36,5.2,5.1,9.8,93.5,71.2,6,35,4.35,4.28,7.7,0,1
48,Matt Schaub,ATL,23,,6,1,0-1-0,33,70,47.1,330,1,1.4,4,5.7,59,4.7,2.4,10,55,42,4,14,4.27,2.11,5.4,,
49,Rich Gannon,OAK,39,,3,3,2/1/2000,41,68,60.3,524,3,4.4,2,2.9,58,7.7,7.3,12.8,174.7,86.9,5,17,6.95,6.53,6.8,,
50,Chris Chandler,STL,39,,5,2,0-2-0,35,62,56.5,463,2,3.2,8,12.9,75,7.5,2.3,13.2,92.6,51.4,7,54,5.93,1.29,10.1,,
51,Tommy Maddox,PIT,33,,4,3,2/1/2000,30,60,50,329,1,1.7,2,3.3,39,5.5,4.3,11,82.3,58.3,6,37,4.42,3.36,9.1,0,1
52,Quincy Carter,NYJ,27,,7,3,2/1/2000,35,58,60.3,498,3,5.2,1,1.7,69,8.6,8.8,14.2,71.1,98.2,12,70,6.11,6.33,17.1,1,1
53,Trent Dilfer,SEA,32,,5,2,2-0-0,25,58,43.1,333,1,1.7,3,5.2,56,5.7,3.8,13.3,66.6,46.1,4,21,5.03,3.18,6.5,0,0
54,Koy Detmer,PHI,31,,16,1,0-1-0,18,40,45,207,0,0,2,5,31,5.2,2.9,11.5,12.9,40.3,2,16,4.55,2.4,4.8,,
55,John Navarre,ARI,24,,1,1,0-1-0,18,40,45,168,1,2.5,4,10,33,4.2,0.2,9.3,168,25.8,1,8,3.9,0,2.4,,
56,Sage Rosenfels,MIA,26,,3,1,0-1-0,16,39,41,264,1,2.6,3,7.7,76,6.8,3.8,16.5,88,41,3,16,5.9,3.17,7.1,,
57,Doug Flutie,SDG,42,,2,1,1-0-0,20,38,52.6,276,1,2.6,0,0,29,7.3,7.8,13.8,138,85,1,7,6.9,7.41,2.6,,
58,Jeff Blake,PHI,34,,3,0,,18,37,48.6,126,1,2.7,1,2.7,21,3.4,2.7,7,42,54.6,2,17,2.79,2.15,5.1,,
59,Craig Nall,GNB,25,,5,0,,23,33,69.7,314,4,12.1,0,0,43,9.5,11.9,13.7,62.8,139.4,2,8,8.74,11.03,5.7,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
60,Jamie Martin,STL,34,,1,0,,16,30,53.3,188,0,0,0,0,26,6.3,6.3,11.8,188,72.6,2,6,5.69,5.69,6.3,,
61,Jim Sorgi,IND,24,,4,0,,17,29,58.6,175,2,6.9,0,0,71,6,7.4,10.3,43.8,99.1,1,8,5.57,6.9,3.3,,
62,Doug Pederson,GNB,36,,4,0,,11,23,47.8,120,0,0,2,8.7,24,5.2,1.3,10.9,30,27.4,0,0,5.22,1.3,0,,
63,Drew Henson,DAL,24,,7,1,1-0-0,10,18,55.6,78,1,5.6,1,5.6,16,4.3,2.9,7.8,11.1,61.8,2,26,2.6,1.35,10,,
64,Mike McMahon,DET,25,,1,0,,11,15,73.3,77,0,0,1,6.7,19,5.1,2.1,7,77,56.8,1,12,4.06,1.25,6.3,,
65,Doug Johnson,TEN,27,,2,0,,6,12,50,68,0,0,0,0,33,5.7,5.7,11.3,34,67.4,1,6,4.77,4.77,7.7,,
66,Rohan Davey,NWE,26,,4,0,,4,10,40,54,0,0,0,0,20,5.4,5.4,13.5,13.5,57.9,0,0,5.4,5.4,0,,
67,Cody Pickett,SFO,24,,1,0,,4,10,40,55,0,0,2,20,18,5.5,-3.5,13.8,55,18.7,2,14,3.42,-4.08,16.7,,
68,Brooks Bollinger,NYJ,25,,1,0,,5,9,55.6,60,0,0,0,0,26,6.7,6.7,12,60,76.2,1,8,5.2,5.2,10,,
69,Philip Rivers,SDG,23,,2,0,,5,8,62.5,33,1,12.5,0,0,13,4.1,6.6,6.6,16.5,110.9,0,0,4.13,6.63,0,,
70,Todd Collins,KAN,33,,2,0,,1,5,20,42,0,0,0,0,42,8.4,8.4,42,21,62.1,0,0,8.4,8.4,0,,
71,J.P. Losman,BUF,23,,4,0,,3,5,60,32,0,0,1,20,17,6.4,-2.6,10.7,8,39.2,1,0,5.33,-2.17,16.7,,
72,Craig Hentrich,TEN,33,,16,0,,2,4,50,10,0,0,0,0,6,2.5,2.5,5,0.6,56.2,0,0,2.5,2.5,0,,
73,Jabar Gaffney,HOU,24,WR,16,12,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
74,Rod Gardner,WAS,27,WR,16,14,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
75,Shane Matthews,BUF,34,,3,0,,2,3,66.7,44,1,33.3,0,0,33,14.7,21.3,22,14.7,149.3,0,0,14.67,21.33,0,,
76,Chris Mohr,ATL,38,,16,0,,2,3,66.7,24,0,0,0,0,26,8,8,12,1.5,91,0,0,8,8,0,,
77,Brian Moorman,BUF,28,,16,0,,1,3,33.3,24,0,0,0,0,24,8,8,24,1.5,63.2,0,0,8,8,0,,
78,Tony Banks,HOU,31,,5,0,,1,2,50,16,0,0,0,0,16,8,8,16,3.2,77.1,0,0,8,8,0,,
79,Isaac Bruce,STL,32,WR,16,16,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
80,Keyshawn Johnson,DAL,32,WR,16,16,,0,2,0,0,0,0,1,50,0,0,-22.5,,0,0,0,0,0,-22.5,0,,
81,Randy Moss,MIN,27,WR,13,13,,1,2,50,37,0,0,1,50,37,18.5,-4,37,2.8,56.2,0,0,18.5,-4,0,,
82,Clinton Portis,WAS,23,RB,15,15,,1,2,50,15,1,50,0,0,15,7.5,17.5,15,1,114.6,0,0,7.5,17.5,0,,
83,LaDainian Tomlinson*+,SDG,25,RB,15,15,,1,2,50,38,0,0,0,0,38,19,19,38,2.5,95.8,1,1,12.33,12.33,33.3,,
84,Richie Anderson,DAL,33,,12,4,,1,1,100,26,1,100,0,0,26,26,46,26,2.2,158.3,0,0,26,46,0,,
85,Mike Bartrum,PHI,34,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
86,Drew Bennett,TEN,26,WR,16,16,,1,1,100,26,1,100,0,0,26,26,46,26,1.6,158.3,0,0,26,46,0,,
87,Jerome Bettis*,PIT,32,rb,15,6,,1,1,100,10,1,100,0,0,10,10,30,10,0.7,147.9,0,0,10,30,0,,
88,Marty Booker,MIA,28,WR,15,15,,1,1,100,48,0,0,0,0,48,48,48,48,3.2,118.7,0,0,48,48,0,,
89,Patrick Crayton,DAL,25,,8,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
90,Ronald Curry,OAK,25,,12,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
91,Adimchinobe Echemandu,CLE,24,,4,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Paul Edinger,CHI,26,,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,
