Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
93,Jeff Feagles,NYG,38,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
94,Tony Fisher,GNB,25,,16,0,,1,1,100,8,1,100,0,0,8,8,28,8,0.5,139.6,0,0,8,28,0,,
95,Gus Frerotte,MIN,33,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
96,Terry Glenn,DAL,30,wr,6,6,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
97,Ahman Green*,GNB,27,RB,15,15,,1,1,100,20,1,100,0,0,20,20,40,20,1.3,158.3,0,0,20,40,0,,
98,Randy Hymes,BAL,25,wr,14,7,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
99,Frisman Jackson,CLE,25,,10,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
100,LaMont Jordan,NYJ,26,,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,
101,Mat McBriar,DAL,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
102,Keenan McCardell,SDG,34,wr,7,6,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
103,Mewelde Moore,MIN,22,,10,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
104,Rodney Peete,CAR,38,,1,0,,1,1,100,3,0,0,0,0,3,3,3,3,3,79.2,0,0,3,3,0,,
105,Peerless Price,ATL,28,WR,16,15,,1,1,100,25,0,0,0,0,25,25,25,25,1.6,118.7,0,0,25,25,0,,
106,Ricky Proehl,CAR,36,,16,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
107,Antwaan Randle El,PIT,25,wr,16,7,,1,1,100,10,1,100,0,0,10,10,30,10,0.6,147.9,0,0,10,30,0,,
108,Jeff Saturday,IND,29,C,14,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
109,Mike Scifres,SDG,24,,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,
110,Emmitt Smith,ARI,35,RB,15,15,,1,1,100,21,1,100,0,0,21,21,41,21,1.4,158.3,0,0,21,41,0,,
111,Steve Smith,CAR,25,,1,1,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
112,Brian St. Pierre,PIT,25,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,1,1
113,Adam Vinatieri*+,NWE,32,,16,0,,1,1,100,4,1,100,0,0,4,4,24,4,0.3,122.9,0,0,4,24,0,,
114,Jeff Wilkins,STL,32,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
115,Roy Williams,DET,23,WR,14,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
