Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
23,Tom Brady*,NWE,24,QB,15,14,11/3/2000,264,413,63.9,2843,18,4.4,12,2.9,91,6.9,6.4,10.8,189.5,86.5,41,216,5.79,5.39,9,4,5,2001
24,Jim Miller,CHI,30,QB,14,13,11/2/2000,228,395,57.7,2299,13,3.3,10,2.5,66,5.8,5.3,10.1,164.2,74.9,11,72,5.49,5.02,2.7,3,3,2001
25,Tony Banks,WAS,28,QB,15,14,8/6/2000,198,370,53.5,2386,10,2.7,10,2.7,85,6.4,5.8,12.1,159.1,71.3,29,173,5.55,4.92,7.3,1,1,2001
26,Daunte Culpepper,MIN,24,QB,11,11,4/7/2000,235,366,64.2,2612,14,3.8,13,3.6,57,7.1,6.3,11.1,237.5,83.3,33,186,6.08,5.32,8.3,2,2,2001
27,Chris Chandler,ATL,36,QB,14,14,6/8/2000,223,365,61.1,2847,16,4.4,14,3.8,94,7.8,7,12.8,203.4,84.1,41,261,6.37,5.61,10.1,0,2,2001
28,Charlie Batch,DET,27,QB,10,9,0-9-0,198,341,58.1,2392,12,3.5,12,3.5,76,7,6.1,12.1,239.2,76.8,33,176,5.93,5.12,8.8,,,2001
29,Matt Hasselbeck,SEA,26,QB,13,12,5/7/2000,176,321,54.8,2023,7,2.2,8,2.5,64,6.3,5.6,11.5,155.6,70.9,38,251,4.94,4.32,10.6,0,2,2001
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2001
30,Alex Van Pelt,BUF,31,QB,12,8,2/6/2000,178,307,58,2056,12,3.9,11,3.6,80,6.7,5.9,11.6,171.3,76.4,14,73,6.18,5.38,4.4,1,1,2001
31,Rob Johnson,BUF,28,QB,8,8,1/7/2000,134,216,62,1465,5,2.3,7,3.2,61,6.8,5.8,10.9,183.1,76.3,31,196,5.14,4.27,12.6,0,1,2001
32,Quincy Carter,DAL,24,QB,8,8,3/5/2000,90,176,51.1,1072,5,2.8,7,4,64,6.1,4.9,11.9,134,63,12,56,5.4,4.26,6.4,0,2,2001
33,Ty Detmer,DET,34,qb,4,4,1/3/2000,92,151,60.9,906,3,2,10,6.6,27,6,3.4,9.8,226.5,56.9,12,75,5.1,2.71,7.4,1,1,2001
34,Shane Matthews,CHI,31,,4,3,2/1/2000,84,129,65.1,694,5,3.9,6,4.7,34,5.4,4.1,8.3,173.5,72.3,6,48,4.79,3.53,4.4,2,0,2001
35,Trent Dilfer,SEA,29,,6,4,4-0-0,73,122,59.8,1014,7,5.7,4,3.3,54,8.3,8,13.9,169,92,10,72,7.14,6.83,7.6,0,0,2001
36,Mike McMahon,DET,22,,8,3,1/2/2000,53,115,46.1,671,3,2.6,1,0.9,69,5.8,6,12.7,83.9,69.9,21,122,4.04,4.15,15.4,1,1,2001
37,Michael Vick,ATL,21,,8,2,1/1/2000,50,113,44.2,785,2,1.8,3,2.7,52,6.9,6.1,15.7,98.1,62.7,21,113,5.01,4.31,15.7,,,2001
