
22,Damien Anderson,ARI,26,,5,0,,,,,,,,,,,,1,0,
23,Dwight Anderson,STL,24,,3,0,,,,,,1,0,0,0,0,,5,0,
24,Jason Anderson,HOU,25,,1,0,,,,,,,,,,,,1,0,
25,Marques Anderson,2TM,26,,10,0,,,,,,,,,,,,3,2,
26,Tim Anderson,BUF,25,RDT,16,12,0,0,0,0,4,,,,,,1.0,26,16,
27,Adam Archuleta,STL,28,SS,14,14,1,85,1,85,4,0,0,1,0,0,3.5,53,17,
28,J.J. Arrington,ARI,22,rb,15,5,,,,,,0,1,1,0,0,,1,0,
29,LaVar Arrington,WAS,27,RLB,13,8,0,0,0,0,1,,,,,,,39,8,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
30,Tom Ashworth,NWE,28,RT,14,11,,,,,,0,0,1,0,0,,,,
31,B.J. Askew,NYJ,25,,10,1,,,,,,,,,,,,6,3,
32,Matthias Askew,CIN,23,,1,0,,,,,,1,0,0,0,0,,1,2,
33,Nnamdi Asomugha,OAK,24,LCB,16,16,0,0,0,0,14,,,,,,,55,5,
34,O.J. Atogwe,STL,24,,12,0,1,42,0,42,1,0,0,1,0,0,1.0,10,2,
35,Adrian Awasom,NYG,22,,5,0,,,,,,,,,,,,2,0,
36,Brendon Ayanbadejo,CHI,29,,16,0,,,,,,1,0,1,0,0,,21,5,
37,Obafemi Ayanbadejo,ARI,30,,16,2,,,,,,0,1,0,0,0,,12,2,
38,Akin Ayodele,JAX,26,LLB,16,11,0,0,0,0,1,4,0,1,0,0,2.5,54,16,
39,Jerry Azumah,CHI,28,,15,1,0,0,0,0,4,,,,,,1.0,33,4,
40,Jason Babin,HOU,25,,12,3,0,0,0,0,2,2,0,0,0,0,4.0,24,11,
41,Jonathan Babineaux,ATL,24,rde,16,6,0,0,0,0,1,0,0,1,0,0,0.5,24,7,
42,Jordan Babineaux,SEA,23,,16,4,3,56,0,25,8,1,0,1,0,0,,61,13,
43,Brad Badger,OAK,30,LG,16,8,,,,,,0,0,2,0,0,,,,
44,Boss Bailey,DET,26,LLB,11,11,1,34,1,34,3,,,,,,1.0,39,20,
45,Champ Bailey*+,DEN,27,LCB,14,14,8,139,2,65,23,1,0,0,0,0,,59,5,
46,Rodney Bailey,SEA,26,,8,0,,,,,,1,0,1,0,0,,7,5,
47,Billy Bajema,SFO,23,te,15,7,,,,,,0,0,1,0,0,,3,1,
48,Chris Baker,NYJ,26,TE,8,8,,,,,,0,1,0,0,0,,1,0,
49,Jason Baker,CAR,27,,16,0,,,,,,,,,,,,2,0,
50,Rashad Baker,BUF,23,,14,0,1,18,0,18,2,,,,,,1.0,13,5,
51,Dave Ball,2TM,24,,5,0,,,,,,,,,,,,4,2,
52,Justin Bannan,BUF,26,ldt,16,7,,,,,,,,,,,1.5,23,17,
53,Tully Banta-Cain,NWE,25,,13,0,,,,,,,,,,,0.5,6,3,
54,Marion Barber,DAL,22,,13,2,,,,,,0,3,3,-5,0,,5,1,
55,Ronde Barber*+,TAM,30,RCB,16,16,5,105,0,42,20,0,0,1,4,0,2.0,83,16,
56,Tiki Barber*+,NYG,30,RB,16,16,,,,,,0,1,1,0,0,,5,0,
57,Kevan Barlow,SFO,26,RB,12,12,,,,,,0,2,0,0,0,,1,0,
58,Darian Barnes,MIA,25,fb,9,6,,,,,,,,,,,,2,0,
59,Nick Barnett,GNB,24,MLB,16,16,1,95,1,95,2,1,0,3,17,0,1.0,91,47,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,David Barrett,NYJ,28,RCB,13,8,5,28,0,13,12,2,1,1,30,0,,39,8,
61,Alex Barron,STL,23,RT,12,11,,,,,,0,0,1,0,0,,,,
62,William Bartee,KAN,28,,16,0,,,,,,,,,,,,4,1,
63,Ronald Bartell,STL,23,rcb,10,7,0,0,0,0,4,1,0,0,0,0,,31,3,
64,Eric Barton,NYJ,28,,4,3,0,0,0,0,1,,,,,,,13,8,
65,Mike Bartrum*,PHI,35,,16,0,,,,,,,,,,,,3,0,
66,Idrees Bashir,CAR,27,,11,0,,,,,,,,,,,,1,1,
67,Charlie Batch,PIT,31,,4,2,,,,,,0,1,2,0,0,,,,
68,Arnaz Battle,SFO,25,WR,10,8,,,,,,0,1,0,0,0,,1,0,
69,Rashad Bauman,CIN,26,,11,1,0,0,0,0,1,,,,,,,11,1,
70,Gary Baxter,CLE,27,rcb,5,5,2,10,0,10,2,1,0,0,0,0,,18,4,
71,Jarrod Baxter,ARI,26,,8,2,,,,,,,,,,,,2,0,
72,Tony Beckham,TEN,27,,15,2,0,0,0,0,3,,,,,,,15,1,
73,Monty Beisel,NWE,27,lilb,15,6,0,0,0,0,1,1,0,0,0,0,1.0,30,17,
74,Jason Bell,HOU,27,,16,0,0,0,0,0,4,1,0,0,0,0,,10,1,
75,Kendrell Bell,KAN,27,RLB,16,14,,,,,,,,,,,1.5,32,9,
76,Marcus Bell,DET,26,,15,0,,,,,,1,0,0,0,0,,14,6,
77,Tatum Bell,DEN,24,rb,15,1,,,,,,0,3,1,0,0,,,,
78,Yeremiah Bell,MIA,27,,16,0,1,0,0,0,3,1,0,2,12,0,3.0,21,14,
79,Jay Bellamy,NOR,33,,3,3,,,,,,,,,,,,8,2,
80,Drew Bennett,TEN,27,WR,13,10,,,,,,,,,,,,4,0,
81,Michael Bennett,MIN,27,rb,16,6,,,,,,0,5,2,0,0,,,,
82,Cedric Benson,CHI,23,,9,1,,,,,,0,1,1,0,0,,,,
83,Kevin Bentley,SEA,26,,15,3,0,0,0,0,1,,,,,,,26,5,
84,Adam Bergen,ARI,22,TE,16,9,,,,,,0,0,1,0,0,,,,
85,Mitch Berger,NOR,33,,16,0,,,,,,,,,,,,1,0,
86,Eddie Berlin,CHI,27,,5,0,,,,,,,,,,,,2,0,
87,Rocky Bernard,SEA,26,rdt,16,7,0,0,0,0,3,0,0,2,5,0,8.5,42,10,
88,Bertrand Berry,ARI,30,RDE,8,8,0,0,0,0,1,2,0,1,0,0,6.0,25,8,
89,Ladell Betts,WAS,26,,12,0,,,,,,0,3,0,0,0,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Eric Beverly,ATL,31,,16,2,,,,,,,,,,,,1,0,
91,Ryon Bingham,SDG,24,,1,0,,,,,,,,,,,,1,0,
92,Rob Bironas,TEN,27,,16,0,,,,,,0,0,1,0,0,,,,
93,Chase Blackburn,NYG,22,,15,2,1,31,1,31,1,0,0,1,0,0,,21,10,
94,Darryl Blackstock,ARI,22,,14,1,,,,,,1,0,0,0,0,1.0,9,3,
95,Derrick Blaylock,NYJ,26,,7,1,,,,,,,,,,,,1,0,
96,Drew Bledsoe,DAL,33,QB,16,16,,,,,,0,17,3,-12,0,,,,
97,Dre' Bly,DET,28,RCB,12,11,6,54,0,28,13,3,1,1,0,0,,38,4,
98,Chris Bober,KAN,29,,16,2,,,,,,0,0,1,0,0,,,,
99,Colby Bockwoldt,NOR,24,RLB,16,16,0,0,0,0,3,0,0,1,0,0,,60,29,
100,Leigh Bodden,CLE,24,RCB,13,11,3,6,0,6,17,2,0,0,0,0,,45,11,
101,Patrick Body,CIN,23,,6,0,,,,,,,,,,,,4,0,
102,Marc Boerigter,KAN,27,,10,0,,,,,,,,,,,,2,0,
103,Rocky Boiman,TEN,25,,15,2,,,,,,,,,,,,17,11,
104,Juran Bolden,TAM,31,,16,2,2,46,0,28,7,,,,,,,35,7,
105,Anquan Boldin,ARI,25,WR,14,14,,,,,,0,2,0,0,0,,4,0,
106,Michael Boley,ATL,23,LLB,16,11,0,0,0,0,5,1,0,0,0,0,,42,21,
107,Kyle Boller,BAL,24,QB,9,9,,,,,,0,8,4,0,0,,2,0,
108,Brooks Bollinger,NYJ,26,QB,11,9,,,,,,0,3,2,-3,0,,1,0,
109,Fred Booker,NOR,27,,12,0,,,,,,,,,,,,7,2,
110,Marty Booker,MIA,29,WR,15,12,,,,,,,,,,,,2,0,
111,Alfonso Boone,CHI,29,,16,1,0,0,0,0,2,,,,,,1.5,9,5,
112,Ryan Boschetti,WAS,24,,13,1,,,,,,,,,,,,5,2,
113,Michael Boulware,SEA,24,SS,16,16,4,107,0,40,9,1,0,0,0,0,2.0,58,15,
114,Peter Boulware,BAL,31,,15,0,0,0,0,0,1,,,,,,2.5,5,4,
115,Matt Bowen,WAS,29,,13,1,0,0,0,0,3,,,,,,,13,1,
116,David Bowens,MIA,28,,16,0,0,0,0,0,4,1,0,0,0,0,6.0,21,3,
117,Gary Brackett,IND,25,MLB,16,16,3,50,0,31,6,,,,,,1.0,92,35,
118,Corey Bradford,HOU,30,wr,16,6,,,,,,,,,,,,2,0,
119,Jon Bradley,TAM,24,,13,0,,,,,,,,,,,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,Mark Bradley,CHI,23,,7,4,,,,,,0,1,0,0,0,,1,0,
121,Kyle Brady,JAX,33,TE,16,14,,,,,,0,3,1,0,0,,1,0,
122,Calvin Branch,OAK,31,,6,0,,,,,,,,,,,,3,0,
123,Deion Branch,NWE,26,WR,16,15,,,,,,,,,,,,5,1,
124,Sam Brandon,DEN,26,,14,0,0,0,0,0,3,1,0,1,0,0,,16,8,
125,Tyler Brayton,OAK,26,,16,3,,,,,,1,0,0,0,0,1.0,14,2,
126,Drew Brees,SDG,26,QB,16,16,,,,,,0,8,0,0,0,,2,0,
127,Jack Brewer,PHI,26,,6,0,,,,,,,,,,,,2,1,
128,Lance Briggs*+,CHI,25,RLB,16,16,2,30,1,20,11,1,0,2,0,0,2.0,83,24,
129,Raheem Brock,IND,27,LDE,16,16,0,0,0,0,2,4,0,1,15,0,6.5,35,9,
130,John Bronson,ARI,23,,1,0,,,,,,,,,,,,1,1,
131,Keith Brooking*,ATL,30,MLB,16,16,4,50,0,22,10,0,0,1,0,0,3.5,88,27,
132,Aaron Brooks,NOR,29,QB,13,13,,,,,,0,4,2,-12,0,,2,0,
133,Derrick Brooks*+,TAM,32,RLB,16,16,1,0,0,0,11,1,0,0,0,0,3.0,93,32,
134,Greg Brooks,CIN,25,,11,0,,,,,,,,,,,,7,1,
135,Alex Brown,CHI,26,RDE,16,16,0,0,0,0,6,3,0,0,0,0,6.0,38,7,
136,Antonio Brown,WAS,27,,7,0,,,,,,0,2,1,0,0,,,,
137,C.C. Brown,HOU,22,SS/FS,16,13,1,5,0,5,2,1,0,0,0,0,,53,26,
138,Chad Brown,NWE,35,rilb,15,5,,,,,,,,,,,,31,8,
139,Chris Brown,TEN,24,RB,15,14,,,,,,0,4,0,0,0,,1,0,
140,Courtney Brown,DEN,27,LDE,14,13,0,0,0,0,1,0,0,2,0,0,2.0,20,4,
141,Dee Brown,KAN,27,,8,0,,,,,,,,,,,,2,0,
142,Fakhir Brown,NOR,28,,12,4,0,0,0,0,6,,,,,,,33,1,
143,Josh Brown,SEA,26,,16,0,,,,,,,,,,,,2,1,
144,Kris Brown,HOU,29,,16,0,,,,,,,,,,,,1,0,
145,Mark Brown,NYJ,25,RLB,15,11,2,51,1,33,2,0,0,1,0,0,1.5,38,39,
146,Mike Brown*,CHI,27,SS,12,12,3,116,1,72,6,1,0,0,0,0,1.0,63,9,
147,Ralph Brown,MIN,27,,16,0,0,0,0,0,5,,,,,,,34,3,
148,Reggie Brown,PHI,24,WR,16,11,,,,,,0,1,0,0,0,,2,0,
149,Ronnie Brown,MIA,24,RB,15,14,,,,,,0,4,2,0,0,,3,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Sheldon Brown,PHI,26,RCB,16,16,4,67,1,40,27,1,0,1,80,1,1.0,47,9,
151,Troy Brown,NWE,34,,13,3,,,,,,,,,,,,1,0,
152,John Browning,KAN,32,LDT,16,12,0,0,0,0,4,1,0,0,0,0,2.0,30,4,
153,Isaac Bruce,STL,33,WR,11,10,,,,,,,,,,,,1,0,
154,Mark Bruener,HOU,33,TE,16,15,,,,,,0,0,2,0,0,,1,0,
155,Mark Brunell,WAS,35,QB,16,15,,,,,,0,11,1,-17,0,,1,0,
156,Tedy Bruschi,NWE,32,LILB,9,9,0,0,0,0,4,1,0,0,0,0,2.0,37,25,
157,Anthony Bryant,TAM,24,,4,0,,,,,,,,,,,,1,2,
158,Antonio Bryant,CLE,24,WR,16,15,,,,,,0,1,1,0,0,,2,0,
159,Fernando Bryant,DET,28,,2,2,0,0,0,0,1,1,0,0,0,0,,7,1,
160,Matt Bryant,TAM,30,,15,0,,,,,,,,,,,,1,0,
161,Tony Bryant,NOR,29,,16,1,0,0,0,0,4,0,0,1,5,0,4.0,18,8,
162,Shawn Bryson,DET,29,,16,2,,,,,,0,1,1,0,0,,6,1,
163,Phillip Buchanon,HOU,25,lcb,10,6,0,0,0,0,4,0,2,2,0,0,,29,6,
164,Brentson Buckner,CAR,34,LDT,16,16,0,0,0,0,5,0,0,1,0,0,1.0,28,8,
165,Marc Bulger,STL,28,QB,8,8,,,,,,0,4,1,-8,0,,,,
166,Josh Bullocks,NOR,22,FS,16,13,1,51,0,51,6,,,,,,,53,14,
167,Keith Bulluck,TEN,28,RLB,16,16,2,16,0,16,10,1,0,1,0,0,5.0,102,36,
168,Tim Bulman,ARI,23,,8,1,0,0,0,0,1,,,,,,,7,0,
169,Derrick Burgess*,OAK,27,RDE,16,12,,,,,,3,0,2,0,0,16.0,51,6,
170,Nate Burleson,MIN,24,WR,12,9,,,,,,0,0,2,0,0,,3,0,
171,Kevin Burnett,DAL,23,,13,0,,,,,,,,,,,1.0,13,4,
172,Joe Burns,BUF,26,,16,0,,,,,,,,,,,,6,2,
173,Keith Burns,DEN,33,,15,1,,,,,,0,0,1,0,0,,16,3,
174,Plaxico Burress,NYG,28,WR,16,15,,,,,,0,1,0,0,0,,3,0,
175,Steve Bush,SFO,31,,15,2,,,,,,,,,,,,3,1,
176,James Butler,NYG,23,,16,1,2,16,0,16,5,0,1,1,5,0,,30,5,
177,Kelly Butler,DET,23,RT,16,16,,,,,,0,0,2,0,0,,,,
178,Terry Butler,NYJ,23,,1,0,,,,,,,,,,,,1,0,
179,Jeremy Cain,CHI,25,,3,0,,,,,,,,,,,,4,2,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Jeremy Calahan,STL,22,,1,0,,,,,,,,,,,,1,0,
181,Reche Caldwell,SDG,26,,16,2,,,,,,0,2,0,0,0,,5,0,
182,Tyrone Calico,TEN,25,wr,12,6,,,,,,0,1,0,0,0,,1,0,
183,Khary Campbell,WAS,26,,15,0,,,,,,,,,,,,11,2,
184,Mark Campbell,BUF,30,TE,14,10,,,,,,,,,,,,1,0,
185,Chris Canty,DAL,23,,16,2,,,,,,1,0,0,0,0,2.5,23,12,
186,Vernon Carey,MIA,24,RT,16,14,,,,,,0,0,1,0,0,,,,
187,Cooper Carlisle,DEN,28,RG,16,16,,,,,,0,0,2,0,0,,,,
188,Dwaine Carpenter,2TM,29,,3,0,,,,,,,,,,,,2,0,
189,Keion Carpenter,ATL,28,SS,15,15,2,1,0,1,8,0,1,0,0,0,,43,12,
190,Chris Carr,OAK,22,,16,0,0,0,0,0,2,0,5,3,-1,0,,7,2,
191,David Carr,HOU,26,QB,16,16,,,,,,0,17,6,-7,0,,2,0,
192,Ahmad Carroll,GNB,22,LCB,16,16,2,38,0,38,10,0,1,0,0,0,,41,3,
193,Jordan Carstens,CAR,24,RDT,16,15,0,0,0,0,1,1,0,0,0,0,4.0,23,12,
194,Andre Carter,SFO,26,ROLB,16,14,0,0,0,0,2,,,,,,4.5,35,9,
195,Dale Carter,BAL,36,,15,2,0,0,0,0,1,1,0,0,0,0,,22,3,
196,Dyshod Carter,ARI,27,,3,0,,,,,,,,,,,,3,1,
197,Jerome Carter,STL,23,,14,2,,,,,,1,0,0,0,0,,31,7,
198,Kevin Carter,MIA,32,LDE,16,16,0,0,0,0,3,1,0,1,0,0,6.0,34,18,1
199,Tyrone Carter,PIT,29,,16,0,1,3,0,3,3,2,0,2,0,0,1.0,18,6,
200,Rock Cartwright,WAS,26,,16,0,,,,,,0,1,0,0,0,,10,1,
201,Antoine Cash,ATL,23,,3,0,,,,,,,,,,,,2,0,
202,Chris Cash,ATL,25,,3,0,0,0,0,0,1,,,,,,,11,1,
203,Matt Cassel,NWE,23,,2,0,,,,,,0,2,1,-1,0,,,,
204,Luis Castillo,SDG,22,LDE,16,15,0,0,0,0,3,1,0,0,0,0,3.5,37,12,
205,Quinton Caver,DAL,27,,8,0,,,,,,,,,,,,2,1,
206,Oliver Celestin,NYJ,24,,12,0,0,0,0,0,1,,,,,,,21,5,
207,Jacques Cesaire,SDG,25,rde,16,5,,,,,,,,,,,1.0,17,8,
208,Frank Chamberlin,HOU,27,,9,0,,,,,,,,,,,,1,2,
209,Chris Chambers*,MIA,27,WR,16,16,,,,,,0,5,2,-2,0,,3,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Martin Chase,JAX,31,,1,0,,,,,,,,,,,,1,0,
211,Matt Chatham,NWE,28,,15,0,0,0,0,0,1,,,,,,1.0,16,7,
212,Antonio Chatman,GNB,26,,16,3,,,,,,,,,,,,1,0,
213,Corey Chavous,MIN,29,SS,16,16,2,0,0,0,5,,,,,,,54,17,
214,Brandon Chillar,STL,23,rlb,16,7,0,0,0,0,1,1,0,1,8,0,,43,9,
215,Patrick Chukwurah,DEN,26,,14,0,0,0,0,0,1,,,,,,,6,2,
216,Vinny Ciurciu,CAR,25,,15,1,0,0,0,0,1,,,,,,,13,3,
217,Chris Claiborne,STL,27,mlb,14,7,,,,,,1,0,0,0,0,0.5,33,5,
218,Kendrick Clancy,NYG,27,LDT,16,15,,,,,,2,0,1,0,0,2.0,30,7,
219,Dallas Clark,IND,26,TE,15,14,,,,,,,,,,,,3,0,
220,Danny Clark,OAK,28,MLB,16,15,0,0,0,0,7,,,,,,1.0,82,31,
221,Desmond Clark,CHI,28,TE,16,16,,,,,,,,,,,,2,0,
222,Ryan Clark,WAS,26,SS,13,13,3,10,0,6,5,1,0,0,0,0,0.5,42,15,
223,Adrien Clarke,PHI,24,,14,4,,,,,,0,0,1,0,0,,,,
224,Jared Clauss,TEN,24,,15,1,,,,,,,,,,,0.5,13,5,
225,Mark Clayton,BAL,23,WR,14,10,,,,,,,,,,,,5,0,
226,Michael Clayton,TAM,23,WR,14,10,,,,,,0,1,0,0,0,,2,0,
227,Anthony Clement,SFO,29,lt,14,6,,,,,,0,0,1,0,0,,,,
228,Nate Clements,BUF,26,RCB,16,16,2,0,0,0,13,3,0,1,0,0,,78,21,
229,Chris Clemons,WAS,24,,14,1,0,0,0,0,1,1,0,0,0,0,2.0,8,1,
230,Duane Clemons,CIN,31,,10,0,0,0,0,0,1,0,0,1,0,0,2.0,10,2,
231,Nic Clemons,WAS,25,,8,0,0,0,0,0,1,,,,,,,2,0,
232,Mike Cloud,2TM,30,,7,0,,,,,,,,,,,,1,0,
233,Dexter Coakley,STL,33,RLB,12,9,1,16,0,16,2,1,0,0,0,0,2.0,28,10,
234,Shaun Cody,DET,22,,16,2,,,,,,1,0,1,0,0,1.5,16,11,
235,Keary Colbert,CAR,23,WR,16,16,,,,,,0,1,0,0,0,,2,0,
236,Ricardo Colclough,PIT,23,,14,0,1,14,0,14,2,0,1,0,0,0,1.0,24,6,
237,Colin Cole,GNB,25,,16,4,0,0,0,0,1,,,,,,2.0,24,16,
238,Trent Cole,PHI,23,rde,15,7,0,0,0,0,2,1,0,0,0,0,5.0,38,8,
239,Erik Coleman,NYJ,23,SS,16,16,2,4,0,4,7,,,,,,,84,37,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Kenyon Coleman,DAL,26,lde,12,5,,,,,,,,,,,0.5,8,6,
241,Marco Coleman,DEN,36,,7,0,0,0,0,0,1,,,,,,1.0,7,2,
242,Marcus Coleman,HOU,31,FS,15,11,1,6,0,6,3,1,1,0,0,0,,47,6,
243,Roderick Coleman*,ATL,29,LDT,16,16,0,0,0,0,6,4,0,0,0,0,10.5,35,5,
244,Laveranues Coles,NYJ,28,WR,16,16,,,,,,0,1,0,0,0,,4,0,
245,Kerry Collins,OAK,33,QB,15,15,,,,,,0,13,1,-16,0,,,,
246,Nick Collins,GNB,22,FS,16,16,1,0,0,0,8,2,0,0,0,0,,63,21,
247,Dustin Colquitt,KAN,23,,16,0,,,,,,,,,,,,2,0,
248,Rosevelt Colvin,NWE,28,ROLB,16,11,0,0,0,0,2,2,0,1,0,0,7.0,40,20,
249,Sean Considine,PHI,24,,6,0,,,,,,,,,,,,2,2,
250,Ernie Conwell,NOR,33,TE,8,8,,,,,,0,1,0,0,0,,2,0,
251,Jameel Cook,TAM,26,,16,0,,,,,,,,,,,,9,4,
252,Chris Cooley,WAS,23,TE,16,16,,,,,,0,3,0,0,0,,2,0,
253,Deke Cooper,JAX,28,SS,16,12,1,0,0,0,5,0,0,1,0,0,,48,10,
254,Jarrod Cooper,OAK,27,SS,16,10,0,0,0,0,2,2,0,2,0,0,0.5,40,14,
255,Marquis Cooper,TAM,23,,12,0,,,,,,,,,,,,15,3,
256,Stephen Cooper,SDG,26,,16,2,,,,,,,,,,,1.5,29,10,
257,Terrance Copper,DAL,23,,16,0,,,,,,,,,,,,9,2,
258,Jose Cortez,4TM,30,,14,0,,,,,,,,,,,,1,0,
259,Jerricho Cotchery,NYJ,23,,16,1,,,,,,0,2,1,0,0,,9,0,
260,Terry Cousin,JAX,30,cb,16,5,4,18,0,14,8,0,0,1,0,0,0.5,40,6,
261,Sam Cowart,MIN,30,MLB,15,14,0,0,0,0,2,,,,,,2.0,72,13,
262,Curome Cox,DEN,24,,13,1,1,48,0,48,5,,,,,,,17,2,
263,Torrie Cox,TAM,25,,15,0,0,0,0,0,1,1,0,0,0,0,,9,1,
264,Jason Craft,NOR,29,,16,4,3,63,0,39,5,2,0,0,0,0,1.0,33,4,
265,Patrick Crayton,DAL,26,,11,0,,,,,,0,3,2,0,0,,,,
266,Josh Cribbs,CLE,22,,14,0,,,,,,0,4,0,0,0,,13,2,
267,Chris Crocker,CLE,25,SS,16,16,2,35,0,24,4,2,0,1,0,0,2.0,50,31,
268,Zack Crockett,OAK,33,FB,16,10,,,,,,0,1,1,0,0,,2,0,
269,Channing Crowder,MIA,22,RLB,16,13,0,0,0,0,4,1,0,2,0,0,,53,31,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Angelo Crowell,BUF,24,RLB,15,13,2,3,0,2,5,2,0,0,0,0,3.0,79,40,
271,Alge Crumpler*,ATL,28,TE,16,16,,,,,,0,1,0,0,0,,8,0,
272,Ronnie Cruz,KAN,24,,14,0,,,,,,,,,,,,5,1,
