
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Hamza Abdullah,DEN,22,,1,0,,,,,,,,,,,,1,0,
2,John Abraham,NYJ,27,RDE,16,15,0,0,0,0,2,6,0,1,0,0,10.5,44,14,
3,Anthony Adams,SFO,25,NT,16,16,0,0,0,0,1,,,,,,2.5,25,15,
4,Blue Adams,TAM,26,,13,0,,,,,,,,,,,,11,3,
5,Charlie Adams,DEN,26,,16,2,,,,,,0,4,0,0,0,,1,0,
6,Keith Adams,PHI,26,RLB,16,16,0,0,0,0,1,,,,,,,59,10,
7,Mike Adams,SFO,24,FS,14,10,4,36,1,40,10,1,0,1,0,0,1.0,57,17,
8,Sam Adams,BUF,32,LDT,14,9,,,,,,,,,,,3.0,15,4,
9,Sam Aiken,BUF,25,,16,2,,,,,,0,0,1,0,0,,11,5,
10,Brent Alexander,NYG,34,FS,16,16,4,45,0,24,12,0,0,1,9,0,,46,15,
11,Roc Alexander,DEN,24,,10,0,,,,,,0,0,1,0,0,,4,2,
12,Stephen Alexander,DEN,30,TE,16,15,,,,,,,,,,,,1,0,
13,James Allen,NOR,26,,3,0,,,,,,,,,,,,4,1,
14,Jared Allen,KAN,23,RDE,16,15,0,0,0,0,5,6,0,2,0,0,11.0,48,7,
15,Kenderick Allen,NYG,27,,14,0,,,,,,0,0,2,2,0,2.0,14,6,
16,Larry Allen*,DAL,34,LG,16,16,,,,,,0,0,1,0,0,,,,
17,Will Allen,NYG,27,LCB,16,16,0,17,0,17,11,1,0,1,0,0,,64,8,
18,Will Allen,TAM,23,FS,13,8,3,26,0,26,4,0,0,1,33,1,,34,14,
19,Ken Amato,TEN,28,,7,0,,,,,,,,,,,,0,2,
20,Bennie Anderson,BUF,28,LG,16,14,,,,,,0,0,1,0,0,,,,
21,Charlie Anderson,HOU,24,,16,0,0,0,0,0,2,0,0,1,0,0,1.0,14,4,
