
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Isaako Aaitui,MIA,26,,4,0,,,,,,,,,,,,1,2,
2,Isa Abdul-Quddus,NOR,24,,11,0,0,0,0,0,1,,,,,,,12,1,
3,Husain Abdullah,KAN,28,db/ss,16,2,1,44,1,44,6,0,0,1,0,0,0.5,28,5,
4,John Abraham*,ARI,35,LB,16,13,0,0,0,0,3,4,0,0,0,0,11.5,31,6,1
5,Emmanuel Acho,2TM,23,,6,0,,,,,,,,,,,,1,1,
6,Sam Acho,ARI,25,lb,3,2,,,,,,1,0,1,0,0,1.0,4,1,
7,Kyle Adams,2TM,25,,6,1,,,,,,,,,,,,1,0,
8,Michael Adams,TAM,28,,6,0,0,0,0,0,1,,,,,,1.0,11,1,
9,Mike Adams,PIT,23,lt/te,15,10,,,,,,,,,,,,1,0,
10,Mike Adams,DEN,32,fs/ss,16,7,1,3,0,3,8,0,0,1,0,0,,48,16,
11,Phillip Adams,OAK,25,cb/lcb,16,2,0,0,0,0,1,0,0,1,26,0,,26,4,
12,Jahleel Addae,SDG,23,s/ss,16,2,0,0,0,0,3,1,0,1,0,0,1.0,43,8,
13,Mario Addison,CAR,26,de,16,2,,,,,,1,0,1,0,0,2.5,13,9,
14,Danny Aiken,NWE,25,,16,0,,,,,,0,1,0,-41,0,,4,0,
15,Victor Aiyewa,GNB,26,,5,0,,,,,,,,,,,,5,0,
16,Seyi Ajirotutu,SDG,26,,14,0,,,,,,1,0,0,0,0,,16,0,
17,Frank Alexander,CAR,24,de,12,3,0,0,0,0,2,0,0,1,-3,0,1.0,9,6,
18,Lorenzo Alexander,ARI,30,lb,3,3,0,0,0,0,1,,,,,,,4,0,
19,Robert Alford,ATL,25,cb,16,4,2,0,0,0,7,1,1,1,-5,0,,28,12,
20,Antonio Allen,NYJ,25,S,16,9,1,23,1,23,7,,,,,,1.0,39,21,
