
21,Cortez Allen,PIT,25,cb/lcb,14,8,2,43,1,40,13,,,,,,,44,7,
22,Jared Allen,MIN,31,DE,16,16,0,0,0,0,6,2,0,0,0,0,11.5,33,19,
23,Jeff Allen,KAN,23,LG,15,14,,,,,,,,,,,,1,0,
24,Keenan Allen,SDG,21,WR,15,14,,,,,,0,2,0,0,0,,3,0,
25,Nate Allen,PHI,26,SS,16,16,1,43,0,43,7,1,0,0,0,0,1.0,59,23,
26,Russell Allen,JAX,27,LB/mlb,14,13,,,,,,0,0,2,0,0,1.0,46,18,
27,Ryan Allen,NWE,23,p,16,0,,,,,,0,1,1,-2,0,,1,0,
28,Will Allen,2TM,31,,17,2,2,40,0,27,4,1,0,1,49,0,,30,13,
29,Kiko Alonso,BUF,23,MLB,16,16,4,38,0,32,5,1,0,2,13,0,2.0,87,72,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
30,Tyson Alualu,JAX,26,DE,16,16,0,0,0,0,1,,,,,,1.5,34,10,
31,David Amerson,WAS,22,CB,16,8,2,45,1,45,10,1,0,0,0,0,,40,8,
32,Prince Amukamara,NYG,24,RCB,16,16,1,-4,0,-4,14,2,0,0,0,0,,76,9,
33,C.J. Anderson,DEN,22,,5,0,,,,,,0,0,1,0,0,,,,
34,Colt Anderson,PHI,28,,14,0,0,0,0,0,1,1,0,0,0,0,,9,2,
35,James Anderson,CHI,30,LB,16,16,0,0,0,0,4,0,0,1,0,0,4.0,85,17,
36,Joe Anderson,CHI,25,,6,0,,,,,,,,,,,,1,0,
37,Bryan Anger,JAX,25,p,16,0,,,,,,0,1,2,0,0,,1,0,
38,Pat Angerer,IND,26,MLB,11,9,1,4,0,4,2,,,,,,0.5,37,26,
39,Ezekiel Ansah,DET,24,DE,14,12,0,0,0,0,1,2,0,0,0,0,8.0,17,13,
40,Javier Arenas,ARI,26,,16,0,,,,,,0,2,0,0,0,1.0,11,1,
41,Terron Armstead,NOR,22,lt,6,2,,,,,,,,,,,,1,0,
42,Ray-Ray Armstrong,STL,22,,16,0,,,,,,0,0,1,0,0,,13,1,
43,Kyle Arrington,NWE,27,cb/db/lb/lcb/rcb/s,16,12,1,5,0,5,12,2,0,0,0,0,2.0,48,14,
44,Jon Asamoah,KAN,25,RG,14,9,,,,,,,,,,,,1,0,
45,Matt Asiata,MIN,26,rb,11,1,,,,,,0,1,0,0,0,,4,1,
46,Nnamdi Asomugha,SFO,32,,3,1,0,0,0,0,2,,,,,,,2,0,
47,Geno Atkins,CIN,25,DT,9,9,,,,,,,,,,,6.0,9,11,
48,Josh Aubrey,CLE,22,,6,0,,,,,,,,,,,,1,0,
49,Marvin Austin,2TM,24,,3,0,,,,,,,,,,,,2,0,
50,Miles Austin,DAL,29,WR,11,8,,,,,,,,,,,,1,0,
51,Tavon Austin,STL,22,rb/wr,13,3,,,,,,0,4,2,0,0,,1,0,
52,Jason Avant,PHI,30,WR,16,13,,,,,,0,1,0,0,0,,2,0,
53,Cliff Avril,SEA,27,de/lb,15,2,0,0,0,0,7,6,0,1,0,0,8.0,18,7,
54,Akeem Ayers,TEN,24,LB,16,14,1,5,0,5,5,1,0,0,0,0,1.0,37,12,
55,Robert Ayers,DEN,28,de,15,3,,,,,,1,0,0,0,0,5.5,26,7,
56,Jason Babin,JAX,33,DE,16,16,0,0,0,0,2,3,0,0,0,0,7.5,31,9,
57,Jonathan Babineaux,ATL,32,de/DT,16,16,,,,,,1,0,2,8,0,1.0,28,14,
58,Johnson Bademosi,CLE,23,,16,0,,,,,,,,,,,,11,3,
59,Allen Bailey,KAN,24,de,15,3,0,0,0,0,3,,,,,,1.0,25,5,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Champ Bailey,DEN,35,lcb,5,3,0,0,0,0,3,,,,,,,12,2,
61,Dan Bailey,DAL,25,k,16,0,,,,,,,,,,,,2,0,
62,Patrick Bailey,TEN,28,,13,0,,,,,,0,1,0,0,0,,8,1,
63,Stedman Bailey,STL,23,wr,16,2,,,,,,1,0,0,0,0,,5,2,
64,Billy Bajema,BAL,31,te,6,1,,,,,,,,,,,,2,0,
65,Chase Baker,MIN,25,,5,0,,,,,,,,,,,,2,2,
66,Chris Baker,WAS,26,de,15,3,0,0,0,0,1,,,,,,1.0,16,11,
67,Doug Baldwin,SEA,25,WR,16,9,,,,,,,,,,,,1,1,
68,Alan Ball,JAX,28,RCB,15,15,2,8,0,8,14,,,,,,,41,6,
69,Montee Ball,DEN,23,,16,0,,,,,,0,3,0,0,0,,6,0,
70,Chris Banjo,GNB,23,ss,16,1,0,0,0,0,2,,,,,,,17,2,
71,Johnthan Banks,TAM,24,cb/db/RCB,16,16,3,33,0,18,6,,,,,,,49,6,
72,Justin Bannan,DET,34,,3,0,,,,,,,,,,,,0,1,
73,Joe Banyard,MIN,25,,3,0,,,,,,,,,,,,1,0,
74,Don Barclay,GNB,24,RT,14,14,,,,,,0,0,1,0,0,,,,
75,Matt Barkley,PHI,23,,3,0,,,,,,0,3,2,0,0,,,,
76,Joe Barksdale,STL,24,rg/RT,16,13,,,,,,,,,,,,2,0,
77,Antwan Barnes,NYJ,29,,5,0,,,,,,,,,,,2.0,2,1,
78,Khalif Barnes,OAK,31,lg/LT,16,16,,,,,,,,,,,,2,1,
79,Nick Barnett,WAS,32,,14,0,,,,,,,,,,,,7,5,
80,Gary Barnidge,CLE,28,TE,16,12,,,,,,,,,,,,4,0,
81,Sam Barrington,GNB,23,,7,0,,,,,,,,,,,,2,0,
82,Mark Barron,TAM,24,SS,14,14,2,3,0,3,6,0,0,1,0,0,2.0,70,18,
83,Joplo Bartu,ATL,23,LB,16,13,0,0,0,0,1,,,,,,3.5,47,37,
84,Connor Barwin,PHI,27,LOLB,16,16,1,-2,0,-2,12,2,0,1,0,0,5.0,48,14,
85,David Bass,CHI,23,de,12,1,1,24,1,24,1,,,,,,1.0,15,8,
86,Daren Bates,STL,23,,15,0,,,,,,0,0,1,11,1,,5,0,
87,Jackie Battle,TEN,30,,16,0,,,,,,,,,,,,5,2,
88,Kelvin Beachum,PIT,24,LT/te,15,12,,,,,,,,,,,,1,0,
89,Zane Beadles,DEN,27,LG,16,16,,,,,,0,0,1,0,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Cole Beasley,DAL,24,wr,14,3,,,,,,0,1,0,0,0,,1,0,
91,Jon Beason,2TM,28,,15,13,1,9,0,9,1,,,,,,,72,32,
92,Will Beatty,NYG,28,LT,16,16,,,,,,,,,,,,5,0,
93,Steve Beauharnais,NWE,23,,2,0,,,,,,,,,,,,0,1,
94,Joique Bell,DET,27,fb/rb,16,4,,,,,,0,4,2,0,0,,6,0,
95,Yeremiah Bell,ARI,35,SS,16,16,2,6,0,6,10,,,,,,1.0,61,16,
96,Josh Bellamy,2TM,24,,5,0,,,,,,,,,,,,1,1,
97,Nick Bellore,NYJ,24,,16,0,,,,,,,,,,,,8,9,
98,Marcus Benard,ARI,28,lb,12,1,0,0,0,0,1,1,0,0,0,0,2.5,15,2,
99,Travis Benjamin,CLE,24,wr,8,3,,,,,,0,2,1,0,0,,2,0,
100,Martellus Bennett,CHI,26,TE,16,15,,,,,,0,1,0,0,0,,1,0,
101,Michael Bennett,SEA,28,de,16,3,,,,,,4,0,3,39,1,8.5,18,13,
102,Bill Bentley,DET,24,cb/fs/lcb,13,5,0,0,0,0,5,,,,,,,20,9,
103,Joe Berger,MIN,31,lg/rg,16,2,,,,,,,,,,,,3,0,
104,Giovani Bernard,CIN,22,,16,0,,,,,,0,2,1,0,0,,2,0,
105,Eric Berry*+,KAN,25,SS,15,15,3,134,2,49,10,2,0,2,24,0,3.5,73,9,
106,Davone Bess,CLE,28,wr,14,3,,,,,,0,1,0,0,0,,1,0,
107,Antoine Bethea,IND,29,SS,16,16,2,48,0,46,8,0,0,1,0,0,1.0,80,30,
108,Justin Bethel*,ARI,23,,16,0,,,,,,0,0,1,-3,0,,18,4,
109,Kroy Biermann,ATL,28,de/lb,2,2,,,,,,,,,,,,5,2,
110,E.J. Biggers,WAS,26,cb/fs,16,5,1,15,0,15,2,,,,,,,23,12,
111,Christo Bilukidi,2TM,24,,7,0,,,,,,,,,,,1.0,5,0,
112,Bront Bird,SDG,24,lb,16,2,0,0,0,0,1,,,,,,,21,13,
113,Rob Bironas,TEN,35,k,16,0,,,,,,,,,,,,3,0,
114,Desmond Bishop,MIN,29,lb,4,1,,,,,,,,,,,,4,1,
115,Ahmad Black,TAM,24,db,4,2,,,,,,,,,,,,8,4,
116,Chase Blackburn,CAR,30,lb,13,7,0,0,0,0,1,,,,,,,18,9,
117,Justin Blackmon,JAX,23,wr,4,4,,,,,,,,,,,,1,0,
118,Will Blackmon,JAX,29,LCB,15,8,1,1,0,1,10,2,0,1,21,1,1.0,30,10,
119,Antwon Blake,PIT,23,,14,0,,,,,,,,,,,,8,3,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,Robert Blanton,MIN,24,db,16,3,,,,,,,,,,,,38,24,
121,LeGarrette Blount,NWE,27,rb,16,7,,,,,,0,3,0,0,0,,1,0,
122,Brandon Bolden,NWE,23,rb,12,2,,,,,,,,,,,,0,1,
123,Omar Bolden,DEN,25,ss,16,1,,,,,,,,,,,,11,3,
124,Anquan Boldin,SFO,33,WR,16,16,,,,,,,,,,,,2,0,
125,Michael Boley,CIN,31,lb,10,1,,,,,,,,,,,,7,3,
126,Clint Boling,CIN,24,LG,12,12,,,,,,,,,,,,1,1,
127,Alex Boone,SFO,26,RG,16,16,,,,,,,,,,,,4,0,
128,Kevin Boothe,NYG,30,c/LG,16,16,,,,,,,,,,,,1,0,
129,Matthew Bosher,ATL,26,p,16,0,,,,,,,,,,,,4,0,
130,Jonathan Bostic,CHI,22,MLB,16,9,1,0,0,0,1,0,0,1,0,0,2.0,45,12,
131,Brandon Bostick,GNB,24,,11,0,,,,,,,,,,,,4,2,
132,Kyle Bosworth,DAL,27,,14,0,,,,,,,,,,,,3,3,
133,A.J. Bouye,HOU,22,,6,0,,,,,,,,,,,,2,0,
134,Dwayne Bowe,KAN,29,WR,15,15,,,,,,,,,,,,1,0,
135,Stephen Bowen,WAS,29,DE,10,10,0,0,0,0,1,,,,,,,11,8,
136,Da'Quan Bowers,TAM,23,de/dt,13,2,,,,,,,,,,,1.0,2,5,
137,Michael Bowie,SEA,22,rg/rt,9,8,,,,,,0,0,1,0,0,,,,
138,NaVorro Bowman*+,SFO,25,LB,16,16,2,93,1,89,9,6,0,2,0,0,5.0,120,25,
139,Zackary Bowman,CHI,29,rcb,16,7,3,67,1,43,7,,,,,,,45,3,
140,Josh Boyce,NWE,22,wr,9,3,,,,,,,,,,,,1,0,
141,Josh Boyd,GNB,24,,9,0,,,,,,,,,,,,5,1,
142,Brandon Boykin,PHI,23,cb/lcb,16,2,6,136,1,76,17,2,0,0,0,0,,42,5,
143,Jarrett Boykin,GNB,24,WR,16,8,,,,,,0,0,2,15,1,,3,1,
144,Allen Bradford,2TM,25,,10,0,,,,,,,,,,,,3,1,
145,Sam Bradford,STL,26,qb,7,7,,,,,,0,3,1,0,0,,,,
146,Nigel Bradham,BUF,24,lb,16,2,0,0,0,0,1,,,,,,,29,22,
147,Tom Brady*,NWE,36,QB,16,16,,,,,,0,10,5,-10,0,,,,
148,Bryan Braman,HOU,26,,16,0,,,,,,,,,,,,9,0,
149,Alan Branch,BUF,29,DE,16,13,,,,,,,,,,,,21,18,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Andre Branch,JAX,24,,16,0,0,0,0,0,3,,,,,,6.0,30,7,
151,Tyvon Branch,OAK,27,ss,2,2,,,,,,,,,,,1.0,4,1,
152,LaVon Brazill,IND,24,,10,0,,,,,,1,1,0,0,0,,5,0,
153,Aaron Brewer,DEN,23,,16,0,,,,,,,,,,,,2,0,
154,Lance Briggs,CHI,33,LB,9,9,0,0,0,0,8,2,0,0,0,0,3.0,51,20,
155,Beau Brinkley,TEN,23,,16,0,,,,,,,,,,,,2,2,
156,Jasper Brinkley,ARI,28,lb,15,3,0,0,0,0,1,,,,,,,23,4,
157,Mike Brisiel,OAK,30,RG,15,15,,,,,,0,0,1,0,0,,,,
158,Kenny Britt,TEN,25,wr,12,3,,,,,,,,,,,,1,0,
159,Tramaine Brock,SFO,25,rcb,16,7,5,82,1,41,15,,,,,,,35,2,
160,Richie Brockel,CAR,27,,16,0,,,,,,0,1,0,0,0,,4,1,
161,Michael Brockers,STL,23,RDT,16,16,,,,,,1,0,0,0,0,5.5,38,8,
162,Ahmad Brooks*,SFO,29,LB,16,16,1,22,0,22,7,2,1,1,0,0,8.5,52,8,
163,Brandon Brooks,HOU,24,RG,15,15,,,,,,0,0,2,0,0,,1,0,
164,Michael Brooks,SEA,22,,1,0,,,,,,,,,,,,1,0,
165,Ron Brooks,BUF,25,,11,0,,,,,,,,,,,,7,2,
166,Andre Brown,NYG,27,RB,8,8,,,,,,0,3,1,0,0,,1,0,
167,Antonio Brown*,PIT,25,WR,16,14,,,,,,0,1,1,0,0,,2,0,
168,Arthur Brown,BAL,23,,14,0,,,,,,1,0,0,0,0,0.5,11,4,
169,Chykie Brown,BAL,27,,16,0,0,0,0,0,1,,,,,,,8,2,
170,Curtis Brown,PIT,25,,7,0,,,,,,,,,,,,6,1,
171,Donald Brown,IND,26,rb,16,5,,,,,,0,1,2,0,0,,3,0,
172,Duane Brown*,HOU,28,LT,14,14,,,,,,0,0,1,0,0,,2,0,
173,Everette Brown,DAL,26,,7,0,,,,,,1,0,0,0,0,1.0,5,5,
174,Jalil Brown,2TM,26,,7,0,,,,,,,,,,,,3,1,
175,Jaron Brown,ARI,23,,16,0,,,,,,,,,,,,4,1,
176,Levi Brown,2TM,29,,5,4,,,,,,0,0,1,0,0,,,,
177,Marlon Brown,BAL,22,WR,14,12,,,,,,,,,,,,4,0,
178,Mike Brown,JAX,24,wr,11,6,,,,,,0,2,1,0,0,,1,0,
179,Sergio Brown,IND,25,,14,0,,,,,,0,0,2,6,0,,7,2,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Tarell Brown,SFO,28,RCB,13,10,0,0,0,0,12,0,0,2,16,0,,29,3,
181,Vincent Brown,SDG,24,WR,16,12,,,,,,,,,,,,1,0,
182,Zach Brown,TEN,24,LB,16,13,1,3,0,3,5,1,0,1,0,0,4.0,72,19,
183,Brandon Browner,SEA,29,RCB,8,8,1,49,0,49,10,,,,,,,18,1,
184,David Bruton,DEN,26,,16,0,,,,,,,,,,,,19,5,
185,Armonty Bryant,CLE,23,,12,0,,,,,,,,,,,2.0,8,3,
186,Corbin Bryant,BUF,25,dt,15,2,,,,,,,,,,,1.0,7,7,
187,Desmond Bryant,CLE,28,DE,12,12,0,0,0,0,1,,,,,,3.5,11,20,
188,Dez Bryant*,DAL,25,WR,16,16,0,0,0,0,1,0,3,0,0,0,,1,1,
189,Red Bryant,SEA,29,DE,15,15,0,0,0,0,1,,,,,,1.5,17,17,
190,Michael Buchanan,NWE,22,,15,0,,,,,,0,0,1,0,0,2.0,7,3,
191,Randy Bullock,HOU,24,k,16,0,,,,,,,,,,,,1,0,
192,Brodrick Bunkley,NOR,30,NT,12,10,,,,,,,,,,,,8,5,
193,Vontaze Burfict*,CIN,23,LB,16,16,1,12,0,12,8,1,0,2,13,1,3.0,115,62,
194,Nate Burleson,DET,32,WR,9,8,,,,,,0,1,0,0,0,,2,0,
195,Kaelin Burnett,OAK,24,,16,0,,,,,,1,0,0,0,0,,6,4,
196,Kevin Burnett,OAK,31,LB,16,16,1,0,0,0,4,3,0,1,3,0,2.5,83,22,
197,Morgan Burnett,GNB,24,SS,13,13,0,0,0,0,5,0,0,3,12,1,,66,36,
198,Miles Burris,OAK,25,,6,0,,,,,,0,0,1,0,0,,3,1,
199,Brandon Burton,2TM,24,,9,0,0,0,0,0,1,,,,,,,4,2,
200,Stephen Burton,JAX,24,wr,4,2,,,,,,,,,,,,1,0,
201,Jarrett Bush,GNB,29,,12,0,1,0,0,0,5,0,0,1,0,0,,10,3,
202,Josh Bush,NYJ,24,,16,0,,,,,,1,0,0,0,0,,13,4,
203,Rafael Bush,NOR,26,db/s,13,6,0,0,0,0,5,0,0,1,0,0,,30,12,
204,Reggie Bush,DET,28,RB,14,14,,,,,,0,5,1,0,0,,1,0,
205,Jermon Bushrod,CHI,29,LT,16,16,,,,,,0,0,1,0,0,,2,0,
206,Brice Butler,OAK,23,wr,10,2,,,,,,0,0,1,0,0,,,,
207,Crezdon Butler,SDG,26,,12,0,,,,,,1,0,0,0,0,,3,1,
208,Darius Butler,IND,27,cb/lcb,16,7,4,79,1,41,17,0,0,1,0,0,,49,14,
209,Donald Butler,SDG,25,LB,13,12,1,30,0,30,6,1,0,1,0,0,0.5,85,16,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Nate Byham,TAM,25,fb/te,4,3,,,,,,,,,,,,1,0,
211,Josh Bynes,BAL,24,lb,15,6,0,0,0,0,3,,,,,,,22,23,
212,Jairus Byrd*,BUF,27,FS,11,9,4,85,0,57,6,1,0,0,0,0,1.0,37,11,
213,Travaris Cadet,NOR,24,,13,0,,,,,,,,,,,,2,3,
214,Andre Caldwell,DEN,28,wr,16,2,,,,,,,,,,,,2,2,
215,Jordan Cameron*,CLE,25,TE,15,14,,,,,,0,1,0,0,0,,1,0,
216,Calais Campbell,ARI,27,DE,16,16,0,0,0,0,6,1,0,2,2,0,9.0,45,13,1
217,D.J. Campbell,2TM,24,,4,0,,,,,,,,,,,,3,0,
218,Tommie Campbell,TEN,26,,8,0,,,,,,,,,,,,8,3,
219,Marcus Cannon,NWE,25,rt,14,6,,,,,,,,,,,,1,0,
220,Chris Canty,BAL,31,DE,15,13,0,0,0,0,4,2,0,0,0,0,2.0,20,10,
221,Tank Carder,CLE,24,lb,15,1,,,,,,,,,,,,9,6,
222,Don Carey,DET,26,db/lb/s,14,3,0,0,0,0,2,1,0,0,0,0,,24,6,
223,John Carlson,MIN,29,TE,13,8,,,,,,0,1,1,0,0,,3,0,
224,Roc Carmichael,2TM,25,,13,2,0,0,0,0,3,,,,,,,14,2,
225,Dan Carpenter,BUF,28,k,16,0,,,,,,,,,,,,1,0,
226,Brandon Carr,DAL,27,LCB,16,16,3,49,1,49,13,0,0,1,21,0,,60,11,
227,Chris Carr,NOR,30,,11,0,1,0,0,0,4,,,,,,,11,5,
228,Alex Carrington,BUF,26,de,3,3,,,,,,,,,,,,4,6,
229,Nolan Carroll,MIA,26,CB/rcb,16,12,3,24,0,24,12,,,,,,2.0,43,4,
230,Andre Carter,NWE,34,,9,0,0,0,0,0,2,,,,,,2.0,3,1,
231,Bruce Carter,DAL,25,LB,15,13,0,0,0,0,3,,,,,,2.0,73,23,
232,Chris Carter,PIT,24,rolb,13,1,,,,,,0,0,1,0,0,,4,1,
233,David Carter,DAL,26,,3,0,,,,,,,,,,,,0,1,
234,Tony Carter,DEN,27,lcb,12,2,1,0,0,0,10,0,1,0,0,0,,12,1,
235,James Casey,PHI,29,te,15,1,,,,,,,,,,,,10,1,
236,Jurrell Casey,TEN,24,de/DT,15,14,0,0,0,0,2,1,0,1,0,0,10.5,38,17,
237,Jonathan Casillas,TAM,26,lb,12,4,0,0,0,0,2,1,0,0,0,0,,22,11,
238,Antoine Cason,ARI,27,,16,0,2,36,1,20,3,0,0,3,59,0,,12,2,
239,Matt Cassel,MIN,31,qb,9,6,,,,,,0,3,1,-3,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Mike Catapano,KAN,23,,15,0,,,,,,,,,,,1.0,2,1,
241,Brent Celek,PHI,28,TE,16,15,,,,,,0,1,0,0,0,,1,0,
242,Kam Chancellor*,SEA,25,SS,16,16,3,78,0,32,12,1,0,0,0,0,,80,54,
243,Scott Chandler,BUF,28,te,16,7,,,,,,0,1,0,0,0,,2,0,
244,Josh Chapman,IND,24,,13,0,0,0,0,0,1,,,,,,,11,9,
245,Jamaal Charles*+,KAN,27,RB,15,15,,,,,,0,4,1,0,0,,4,0,
246,Orson Charles,CIN,22,,13,0,,,,,,,,,,,,4,2,
247,Stefan Charles,2TM,25,,8,0,,,,,,1,0,0,0,0,1.0,8,4,
248,Chimdi Chekwa,OAK,25,lcb,15,1,,,,,,0,0,1,0,0,,19,4,
249,Gosder Cherilus,IND,29,RT,16,16,,,,,,,,,,,,0,1,
250,Chris Chester,WAS,30,RG,16,16,,,,,,0,0,1,0,0,,2,0,
251,Tashard Choice,2TM,29,,15,0,,,,,,0,0,1,0,0,,4,4,
252,Patrick Chung,PHI,26,FS,12,10,0,0,0,0,3,0,0,1,0,0,,43,20,
253,Barry Church,DAL,25,FS,16,16,1,0,0,0,6,3,0,1,27,1,,107,28,
254,Tyson Clabo,MIA,32,RT,15,15,,,,,,,,,,,,1,0,
255,Morris Claiborne,DAL,23,cb/rcb,10,7,1,0,0,0,6,0,0,1,0,0,,24,2,
256,Chris Clark,DEN,28,LT,16,14,,,,,,,,,,,,2,0,
257,Dallas Clark,BAL,34,,12,0,,,,,,,,,,,,2,0,
258,Ryan Clark,PIT,34,FS,16,16,2,50,0,37,4,0,0,1,0,0,,61,43,
259,Jeromey Clary,SDG,30,RG/rt,15,15,,,,,,,,,,,,2,0,
260,Charles Clay,MIA,24,TE,16,15,,,,,,,,,,,,1,1,
261,Adrian Clayborn,TAM,25,DE,16,16,0,0,0,0,1,2,0,0,0,0,5.5,43,21,
262,Kellen Clemens,STL,30,QB,10,9,,,,,,0,7,1,-3,0,,,,
263,Chris Clemons,SEA,32,DE,14,11,0,0,0,0,3,3,0,0,0,0,4.5,12,12,
264,Chris Clemons,MIA,28,S/ss,16,16,1,0,0,0,8,,,,,,,63,30,
265,Tyler Clutts,2TM,29,,8,0,,,,,,0,1,1,0,0,,1,1,
266,Randall Cobb,GNB,23,wr,6,4,,,,,,1,0,0,0,0,,2,0,
267,Terrence Cody,BAL,25,nt,12,1,,,,,,,,,,,,7,8,
268,Barry Cofield,WAS,29,NT,16,16,0,0,0,0,1,0,0,1,0,0,2.5,17,15,
269,Landon Cohen,2TM,27,,15,3,,,,,,,,,,,,9,6,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Audie Cole,MIN,24,mlb,13,5,0,0,0,0,1,,,,,,1.0,27,18,
271,Colin Cole,CAR,33,dt/LDT,15,13,,,,,,,,,,,1.0,9,6,
272,Marquice Cole,NWE,30,,13,0,1,0,0,0,2,0,0,1,0,0,,10,5,
273,Trent Cole,PHI,31,ROLB,16,16,0,0,0,0,6,3,0,0,0,0,8.0,44,12,1
