
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Hamza Abdullah,DEN,23,,11,0,,,,,,1,0,0,0,0,,8,3,
2,John Abraham,ATL,28,rde,8,7,0,0,0,0,1,4,0,0,0,0,4.0,15,3,
3,Anthony Adams,SFO,26,ldt,14,5,0,0,0,0,1,,,,,,2.0,12,9,
4,Blue Adams,TAM,27,,16,0,,,,,,1,0,0,0,0,,17,1,
5,Keith Adams,MIA,27,,15,0,,,,,,1,0,0,0,0,,3,2,
6,Mike Adams,SFO,25,FS,16,8,0,0,0,0,3,,,,,,,54,10,
7,Sam Adams,CIN,33,LDT,16,16,,,,,,,,,,,2.0,10,4,
8,Joseph Addai,IND,23,,16,0,,,,,,0,2,0,-2,0,,1,0,
9,Victor Adeyanju,STL,23,RDE,12,9,0,0,0,0,1,0,0,2,89,1,1.0,30,4,
10,Sam Aiken,BUF,26,,15,0,,,,,,0,0,1,0,0,,5,1,
11,David Akers,PHI,32,,16,0,,,,,,,,,,,,2,0,
12,Zac Alcorn,GNB,26,,6,0,,,,,,,,,,,,1,2,
13,Eric Alexander,NWE,24,,14,0,,,,,,,,,,,,12,2,
14,Roc Alexander,HOU,25,,1,0,,,,,,,,,,,,1,0,
15,Shaun Alexander,SEA,29,RB,10,10,,,,,,0,6,2,0,0,,,,
16,Stephen Alexander,DEN,31,TE,16,14,,,,,,0,0,1,0,0,,1,0,
17,Rich Alexis,JAX,25,,1,0,,,,,,,,,,,,1,0,
18,Jared Allen,KAN,24,RDE,16,16,1,3,0,3,10,5,1,6,24,0,7.5,65,12,
19,Jason Allen,MIA,23,,16,0,1,7,0,7,2,,,,,,,15,5,
20,Kenderick Allen,GNB,28,,2,0,,,,,,,,,,,,2,0,
21,Will Allen,MIA,28,LCB,15,15,1,11,0,11,11,1,0,3,1,0,1.0,42,14,
