
21,Lorenzo Alexander,WAS,26,,16,0,0,0,0,0,1,1,0,1,0,0,2.0,18,5,
22,Asher Allen,MIN,21,,10,1,1,0,0,0,1,1,0,0,0,0,1.0,21,4,
23,Jared Allen*+,MIN,27,RDE,16,16,1,-4,0,-4,4,5,0,3,54,1,14.5,43,8,1
24,Jason Allen,MIA,26,,16,1,0,0,0,0,2,,,,,,,20,2,
25,Russell Allen,JAX,23,rlb,16,5,,,,,,,,,,,,37,9,
26,Will Allen,MIA,31,lcb,6,6,2,27,0,21,6,,,,,,,19,2,
27,Will Allen,TAM,27,,8,2,0,0,0,0,1,,,,,,,16,4,
28,Colin Allred,TEN,26,,12,2,,,,,,,,,,,,8,11,
29,Jon Alston,OAK,26,,9,4,,,,,,,,,,,,15,8,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
30,Ken Amato,TEN,32,,16,0,,,,,,0,0,1,0,0,,,,
31,Danny Amendola,STL,24,,14,2,,,,,,0,4,1,0,0,,3,0,
32,Charlie Anderson,MIA,28,,16,1,,,,,,2,0,0,0,0,2.0,15,2,
33,David Anderson,HOU,26,TE,16,8,,,,,,,,,,,,3,0,
34,Deon Anderson,DAL,26,FB,16,9,,,,,,,,,,,,4,5,
35,Derek Anderson,CLE,26,qb,8,7,,,,,,0,5,2,-4,0,,,,
36,Jamaal Anderson,ATL,23,RDE,13,13,0,0,0,0,2,,,,,,0.5,17,10,
37,James Anderson,CAR,26,rlb,16,7,0,0,0,0,1,1,0,1,3,0,1.0,46,19,
38,Mark Anderson,CHI,26,,16,2,,,,,,,,,,,3.5,22,6,
39,Devin Aromashodu,CHI,25,,10,2,,,,,,0,0,1,0,0,,1,0,
40,Kyle Arrington,2TM,23,,9,0,,,,,,,,,,,,14,8,
41,K.C. Asiodu,STL,23,,10,0,,,,,,,,,,,,6,2,
42,B.J. Askew,TAM,29,,5,2,,,,,,0,0,1,0,0,,,,
43,Nnamdi Asomugha*,OAK,28,RCB,16,16,1,0,0,0,4,,,,,,,30,4,
44,O.J. Atogwe,STL,28,FS,12,12,2,21,0,12,5,3,0,2,0,0,1.0,58,15,
45,Miles Austin*,DAL,25,WR,16,9,,,,,,0,1,0,0,0,,3,0,
46,Jason Avant,PHI,26,WR,16,9,,,,,,1,1,0,0,0,,3,0,
47,Cliff Avril,DET,23,RDE,13,11,0,0,0,0,3,3,0,0,0,0,5.5,26,14,
48,Brendon Ayanbadejo,BAL,33,,4,1,1,0,0,0,1,,,,,,1.0,19,3,
49,Robert Ayers,DEN,24,,15,1,0,0,0,0,2,0,0,2,54,1,,14,4,
50,Akin Ayodele,MIA,30,RILB,16,15,,,,,,1,1,2,2,0,,61,10,
51,Remi Ayodele,NOR,26,LDT,15,13,,,,,,0,0,1,0,0,1.5,18,12,
52,Jason Babin,PHI,29,,12,0,,,,,,0,1,0,0,0,2.5,11,5,
53,Jonathan Babineaux,ATL,28,LDT,16,16,0,0,0,0,2,2,0,2,0,0,6.0,37,10,
54,Jordan Babineaux,SEA,27,FS,16,16,2,18,0,18,6,1,0,0,0,0,1.5,75,29,
55,Jeff Backus,DET,32,LT,16,16,,,,,,,,,,,,3,1,
56,Champ Bailey*,DEN,31,LCB,16,16,3,18,0,11,15,1,0,0,0,0,,63,11,
57,Patrick Bailey,PIT,24,,16,0,,,,,,,,,,,,13,0,
58,Billy Bajema,STL,27,te,16,5,,,,,,,,,,,,2,0,
59,Jason Baker,CAR,31,,16,0,,,,,,,,,,,,2,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Ryan Baker,MIA,25,,5,0,,,,,,,,,,,0.5,1,1,
61,Sam Baker,ATL,24,LT,14,14,,,,,,0,0,1,0,0,,,,
62,Ervin Baldwin,IND,23,,3,0,,,,,,,,,,,,7,6,
63,Alan Ball,DAL,24,,16,3,0,0,0,0,3,,,,,,,26,5,
64,Dave Ball,TEN,28,,11,1,0,0,0,0,1,,,,,,,9,10,
65,Kentwan Balmer,SFO,23,,11,0,,,,,,,,,,,,5,7,
66,Jason Banks,ARI,24,,1,0,,,,,,,,,,,1.0,1,1,
67,Justin Bannan,BAL,30,,16,2,,,,,,,,,,,,29,6,
68,Tully Banta-Cain,NWE,29,LOLB,16,10,0,0,0,0,2,2,0,0,0,0,10.0,35,20,
69,Dominique Barber,HOU,23,fs,13,6,1,3,0,3,4,0,0,2,48,1,,21,5,
70,Ronde Barber,TAM,34,RCB,16,16,0,0,0,0,6,2,0,1,0,0,2.0,69,8,
71,Allen Barbre,GNB,25,rt,10,7,,,,,,0,0,1,0,0,,,,
72,Antwan Barnes,BAL,25,,11,0,1,4,0,4,2,1,0,0,0,0,3.0,13,0,
73,Kevin Barnes,WAS,23,,4,0,,,,,,0,1,0,0,0,,2,0,
74,Khalif Barnes,OAK,27,,6,2,,,,,,,,,,,,1,0,
75,Nick Barnett,GNB,28,RILB,16,16,0,0,0,0,7,,,,,,4.0,82,23,
76,Gary Barnidge,CAR,24,,16,3,,,,,,0,1,0,0,0,,1,3,
77,Josh Barrett,DEN,25,,14,0,,,,,,,,,,,,2,1,
78,Alex Barron,STL,27,LT,16,16,,,,,,,,,,,,3,0,
79,Ronald Bartell,STL,27,LCB,15,15,0,0,0,0,9,3,0,1,0,0,,61,5,
80,Connor Barth,TAM,23,,9,0,,,,,,,,,,,,1,0,
81,Eric Barton,CLE,32,RILB,8,8,0,0,0,0,2,0,0,1,0,0,,36,22,
82,Connor Barwin,HOU,23,,16,0,0,0,0,0,4,0,0,1,0,0,4.5,11,5,
83,Hank Baskett,2TM,27,,12,0,,,,,,,,,,,,0,2,
84,Arnaz Battle,SFO,29,,15,0,,,,,,1,6,2,0,0,,9,0,
85,Jackie Battle,KAN,26,,5,0,,,,,,,,,,,,3,0,
86,Jon Beason*,CAR,24,MLB,16,16,3,46,0,18,7,1,0,2,0,0,3.0,111,30,
87,Will Beatty,NYG,24,,16,4,,,,,,,,,,,,0,1,
88,Anthony Becht,ARI,32,TE,16,10,,,,,,0,1,1,0,0,,3,0,
89,Travis Beckum,NYG,22,,15,2,,,,,,,,,,,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Josh Beekman,CHI,26,,11,4,,,,,,,,,,,,1,0,
91,Monty Beisel,2TM,31,,9,0,,,,,,,,,,,,8,0,
92,Jovan Belcher,KAN,22,,16,3,0,0,0,0,1,,,,,,,46,2,
93,Demetress Bell,BUF,25,LT,8,8,,,,,,,,,,,,2,0,
94,Josh Bell,GNB,24,,4,0,,,,,,,,,,,,5,0,
95,Kahlil Bell,CHI,23,,7,0,,,,,,,,,,,,0,2,
96,Mike Bell,NOR,26,,13,3,,,,,,0,2,0,0,0,,2,0,
97,Yeremiah Bell*,MIA,31,FS,16,15,3,48,0,29,9,,,,,,1.5,92,22,
98,Marcus Benard,CLE,24,,6,0,,,,,,,,,,,3.5,9,5,
99,Earl Bennett,CHI,22,WR,16,15,,,,,,0,2,1,0,0,,2,0,
100,Fred Bennett,HOU,26,,10,3,0,0,0,0,1,0,0,1,0,0,,15,3,
101,Michael Bennett,SDG,31,,6,0,,,,,,,,,,,,2,0,
102,Michael Bennett,TAM,24,,7,0,,,,,,,,,,,1.0,2,1,
103,Cedric Benson,CIN,27,RB,13,13,,,,,,0,1,1,0,0,,1,0,
104,Kevin Bentley,HOU,30,,16,0,,,,,,,,,,,,10,11,
105,Joe Berger,MIA,27,c,16,6,,,,,,,,,,,,1,0,
106,Rocky Bernard,NYG,30,,15,0,,,,,,,,,,,1.0,16,6,
107,Bertrand Berry,ARI,34,,15,5,,,,,,0,0,2,7,0,6.0,9,1,
108,Davone Bess,MIA,24,,16,2,,,,,,0,6,2,0,0,,,,
109,Antoine Bethea*,IND,25,FS,16,16,4,19,0,19,5,2,0,1,0,0,,70,25,
110,Ladell Betts,WAS,30,,10,2,,,,,,0,0,1,0,0,,1,0,
111,Kroy Biermann,ATL,24,,16,2,,,,,,1,0,2,4,1,5.0,29,11,
112,Atari Bigby,GNB,28,SS,13,11,4,14,0,14,8,,,,,,,37,12,
113,Darnell Bing,DET,25,,4,0,,,,,,0,0,1,0,0,,4,0,
114,David Binn,SDG,37,,16,0,,,,,,,,,,,,0,1,
115,Matt Birk,BAL,33,C,16,16,,,,,,,,,,,,2,0,
116,Rob Bironas,TEN,31,,16,0,,,,,,,,,,,,1,0,
117,Desmond Bishop,GNB,25,,16,0,,,,,,0,0,1,2,0,,18,11,
118,Quincy Black,TAM,25,LLB,16,13,1,3,0,3,4,,,,,,1.5,69,15,
119,Chase Blackburn,NYG,26,rlb,16,7,1,24,0,24,1,,,,,,0.5,36,24,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,Will Blackmon,GNB,25,,3,0,,,,,,,,,,,,1,0,
121,H.B. Blades,WAS,25,,16,1,,,,,,,,,,,,31,9,
122,Justin Blalock,ATL,26,LG,16,16,,,,,,,,,,,,2,0,
123,Dre' Bly,SFO,32,lcb,16,6,3,66,0,31,13,2,1,3,3,0,1.0,26,3,
124,Leigh Bodden,NWE,28,RCB,15,14,5,60,1,53,17,0,0,2,0,0,,47,8,
125,Rocky Boiman,PIT,29,,6,0,,,,,,,,,,,,0,3,
126,Anquan Boldin,ARI,29,WR,15,15,,,,,,0,3,1,0,0,,3,0,
127,Brock Bolen,JAX,24,,3,0,,,,,,,,,,,,0,1,
128,Michael Boley,NYG,27,RLB,11,11,0,0,0,0,8,,,,,,1.0,65,19,
129,Kyle Boller,STL,28,,7,4,,,,,,0,2,0,-9,0,,1,0,
130,Alfonso Boone,SDG,33,,13,4,0,0,0,0,2,1,0,0,0,0,3.0,7,8,
131,Kevin Boss,NYG,25,TE,15,15,,,,,,1,0,1,0,0,,3,0,
132,Stephen Bowen,DAL,25,i,16,2,0,0,0,0,2,1,0,0,0,0,3.0,12,6,
133,David Bowens,CLE,32,LILB/,16,15,1,15,0,15,5,1,0,1,0,0,5.5,47,24,
134,John Bowie,OAK,25,,3,0,,,,,,,,,,,,1,0,
135,Zackary Bowman,CHI,25,RCB,16,12,6,67,0,39,10,1,1,0,0,0,,59,7,
136,Jerome Boyd,OAK,23,,1,0,,,,,,,,,,,,2,0,
137,Ron Brace,NWE,23,,9,2,,,,,,,,,,,,6,2,
138,Tyron Brackenridge,JAX,25,rcb,16,5,0,0,0,0,4,2,0,1,12,0,,30,3,
139,Gary Brackett,IND,29,MLB,14,14,1,8,0,8,5,0,0,1,0,0,1.0,80,19,
140,Ahmad Bradshaw,NYG,23,rb,15,1,,,,,,0,3,1,-1,0,,3,0,
141,Alan Branch,ARI,25,,16,0,0,0,0,0,2,,,,,,2.0,14,4,
142,Deion Branch,SEA,30,wr,14,5,,,,,,0,0,1,0,0,,3,0,
143,Tyvon Branch,OAK,23,SS,16,16,0,0,0,0,8,2,0,0,0,0,1.0,93,26,
144,Tyler Brayton,CAR,30,LDE,15,15,0,0,0,0,1,2,0,1,0,0,5.0,36,9,
145,Steve Breaston,ARI,26,wr,15,6,,,,,,0,2,1,0,0,,1,0,
146,Drew Brees*,NOR,30,QB,15,15,,,,,,0,10,2,0,0,,,,
147,Jeremy Bridges,ARI,29,,16,4,,,,,,0,0,2,0,0,,,,
148,Diyral Briggs,SFO,24,,4,0,,,,,,,,,,,,0,2,
149,Lance Briggs*,CHI,29,LLB,15,15,1,0,0,0,5,,,,,,2.5,93,25,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Jasper Brinkley,MIN,24,,16,4,,,,,,1,0,0,0,0,,22,1,
151,Eben Britton,JAX,22,RT,15,15,,,,,,0,0,1,0,0,,2,0,
152,Eric Brock,ATL,24,,2,0,,,,,,,,,,,,1,0,
153,Raheem Brock,IND,31,LDE,16,8,0,0,0,0,1,0,0,2,9,0,3.5,25,7,
154,Keith Brooking,DAL,34,RILB,16,14,0,0,0,0,7,,,,,,3.0,75,31,
155,Ahmad Brooks,SFO,25,,14,0,0,0,0,0,2,4,0,0,0,0,6.0,20,1,
156,Aaron Brown,DET,24,,15,2,,,,,,,,,,,,0,1,
157,Alex Brown,CHI,30,RDE,16,16,0,0,0,0,1,1,0,1,0,0,6.0,36,12,
158,C.C. Brown,NYG,26,fs,16,7,0,0,0,0,3,3,0,0,0,0,,59,10,
159,Donald Brown,IND,22,,11,1,,,,,,0,1,1,0,0,,1,0,
160,Duane Brown,HOU,24,LT,16,16,,,,,,0,0,1,0,0,,2,0,
161,Everette Brown,CAR,22,,15,1,0,0,0,0,2,2,0,0,0,0,2.5,15,7,
162,Josh Brown,STL,30,,16,0,,,,,,,,,,,,0,1,
163,Kris Brown,HOU,33,,16,0,,,,,,,,,,,,1,0,
164,Mike Brown,KAN,31,SS,16,16,3,13,0,10,3,0,0,1,0,0,2.0,79,24,
165,Ralph Brown,ARI,31,,16,1,1,85,0,80,3,,,,,,,16,1,
166,Reggie Brown,PHI,28,,14,2,,,,,,,,,,,,1,0,
167,Ricky Brown,OAK,26,llb,5,5,0,0,0,0,2,1,0,0,0,0,,24,7,
168,Sheldon Brown,PHI,30,RCB,16,16,5,152,1,83,17,1,0,1,60,1,,43,8,
169,Tarell Brown,SFO,24,,16,4,2,52,0,51,8,,,,,,,34,6,
170,Tony Brown,TEN,29,RDT,15,15,0,0,0,0,1,3,0,1,0,0,5.0,28,10,
171,Isaac Bruce,SFO,37,wr,10,7,,,,,,,,,,,,1,0,
172,David Bruton,DEN,22,,14,1,0,0,0,0,1,1,0,0,0,0,,4,2,
173,Copeland Bryan,DET,26,,5,1,,,,,,,,,,,1.0,4,1,
174,Antonio Bryant,TAM,28,WR,13,11,,,,,,,,,,,,1,0,
175,Desmond Bryant,OAK,24,,16,0,,,,,,1,0,1,0,0,,24,8,
176,Red Bryant,SEA,25,,6,1,,,,,,,,,,,,6,2,
177,Phillip Buchanon,DET,29,RCB,13,11,0,0,0,0,4,2,1,1,0,0,1.0,38,5,
178,Correll Buckhalter,DEN,31,rb,14,7,,,,,,0,3,0,0,0,,1,0,
179,Eldra Buckley,PHI,24,,16,0,,,,,,1,0,0,0,0,,12,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Marcus Buggs,BUF,24,,5,2,,,,,,,,,,,,14,7,
181,Marc Bulger,STL,32,QB,9,8,,,,,,0,6,2,0,0,,,,
182,Melvin Bullitt,IND,25,SS,14,12,0,0,0,0,1,1,0,0,0,0,,63,14,
183,Josh Bullocks,CHI,26,,12,4,,,,,,,,,,,,19,4,
184,Keith Bulluck,TEN,32,RLB,14,14,3,45,0,23,7,0,0,1,0,0,,81,27,
185,Tim Bulman,HOU,27,,15,1,0,0,0,0,1,,,,,,,12,6,
186,Brodrick Bunkley,PHI,26,RDT,16,16,0,0,0,0,4,0,0,1,0,0,1.0,30,7,
187,Derrick Burgess,NWE,31,rdt,16,6,,,,,,1,0,1,0,0,5.0,28,7,
188,Prescott Burgess,BAL,25,,13,0,,,,,,,,,,,,15,2,
189,Nate Burleson,SEA,28,WR,13,12,,,,,,0,3,1,0,0,,2,0,
190,Joe Burnett,PIT,23,,15,0,,,,,,,,,,,,3,5,
191,Kevin Burnett,SDG,27,rilb,11,7,0,0,0,0,1,,,,,,2.5,49,17,
192,Antwon Burton,CAR,26,,2,0,,,,,,,,,,,,0,1,
193,Keenan Burton,STL,25,wr,9,6,,,,,,,,,,,,3,0,
194,Jarrett Bush,GNB,25,,16,3,1,3,0,3,7,,,,,,,25,3,
195,Reggie Bush,NOR,24,RB,14,8,,,,,,0,4,2,0,0,,1,0,
196,John Busing,HOU,26,,16,4,1,14,0,14,3,0,1,0,0,0,,26,6,
197,Darius Butler,NWE,23,lcb,14,5,3,91,1,91,8,,,,,,,32,3,
198,James Butler,STL,27,SS,13,13,3,17,0,17,6,0,0,1,10,0,,58,11,
199,Quincy Butler,STL,28,rcb,14,7,0,0,0,0,5,0,1,0,0,0,,25,3,
200,Victor Butler,DAL,22,,16,1,,,,,,1,0,1,0,0,3.0,7,4,
201,Jairus Byrd*,BUF,23,FS,14,11,9,118,0,37,11,,,,,,,30,12,
202,Andre Caldwell,CIN,24,,16,3,,,,,,0,4,0,0,0,,3,0,
203,Greg Camarillo,MIA,27,WR,16,16,,,,,,1,0,0,0,0,,3,0,
204,Calais Campbell,ARI,23,LDE,16,15,0,0,0,0,5,1,0,0,0,0,7.0,35,11,
205,Jason Campbell,WAS,28,QB,16,16,,,,,,0,13,5,-25,0,,,,
206,Khary Campbell,HOU,30,,1,0,,,,,,,,,,,,0,1,
207,Chris Canty,NYG,27,,8,4,,,,,,,,,,,0.5,8,5,
208,Vernon Carey,MIA,28,RT,16,16,,,,,,0,0,2,-9,0,,,,
209,Cooper Carlisle,OAK,32,RG,16,16,,,,,,0,0,2,0,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,John Carlson,SEA,25,TE,16,16,,,,,,,,,,,,3,0,
211,Bobby Carpenter,DAL,26,,16,2,0,0,0,0,1,,,,,,2.0,37,9,
212,Dan Carpenter*,MIA,24,,16,0,,,,,,,,,,,,1,1,
213,Brandon Carr,KAN,23,RCB,16,16,1,31,0,31,19,1,0,2,1,0,,56,6,
214,Chris Carr,BAL,26,,16,4,2,24,0,13,4,2,2,0,0,0,1.5,38,6,
215,Ahmad Carroll,NYJ,26,,6,0,,,,,,,,,,,,3,0,
216,Andre Carter,WAS,30,RDE,16,16,0,0,0,0,4,3,0,0,0,0,11.0,48,14,
217,Tony Carter,DEN,23,,2,1,0,0,0,0,1,0,0,1,0,0,,3,0,
218,Tyrone Carter,PIT,33,SS,16,12,2,53,1,48,4,1,0,1,6,0,1.0,49,12,
219,Rock Cartwright,WAS,30,,16,2,,,,,,,,,,,,4,5,
220,James Casey,HOU,25,,15,0,,,,,,,,,,,,1,1,
221,Jonathan Casillas,NOR,22,,11,2,,,,,,,,,,,,8,9,
222,Antoine Cason,SDG,23,,16,1,2,22,0,22,3,,,,,,,30,4,
223,Matt Cassel,KAN,27,QB,15,15,,,,,,0,14,4,-29,0,,4,0,
224,Tim Castille,KAN,25,,7,0,,,,,,0,1,0,0,0,,5,0,
225,Luis Castillo,SDG,26,RDE,14,14,,,,,,,,,,,2.0,17,8,
226,Brent Celek,PHI,24,TE,16,15,,,,,,,,,,,,1,0,
227,Jacques Cesaire,SDG,29,LDE,13,13,,,,,,1,0,1,0,0,1.0,15,11,
228,Chris Chamberlain,STL,24,,16,0,,,,,,,,,,,,3,3,
229,Chris Chambers,2TM,31,,16,14,,,,,,,,,,,,4,0,
230,Kirk Chambers,BUF,30,RT,14,9,,,,,,,,,,,,2,0,
231,Jamaal Charles,KAN,23,RB,15,10,,,,,,0,4,3,0,0,,2,0,
232,Jeff Charleston,NOR,26,,16,0,,,,,,,,,,,,8,2,
233,Gosder Cherilus,DET,25,RT,15,15,,,,,,,,,,,,1,0,
234,Chris Chester,BAL,26,RG,16,13,,,,,,,,,,,,2,0,
235,Brandon Chillar,GNB,27,,12,4,0,0,0,0,1,0,0,1,0,0,2.0,32,10,
236,Tashard Choice,DAL,25,,16,0,,,,,,,,,,,,1,0,
237,Patrick Chung,NWE,22,,16,1,1,2,0,2,1,1,0,0,0,0,2.0,17,12,
238,Vinny Ciurciu,DET,29,,9,0,,,,,,,,,,,,4,1,
239,Kendrick Clancy,NOR,31,,2,0,,,,,,,,,,,,1,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Brian Clark,TAM,26,,14,0,,,,,,,,,,,,5,1,
241,Dallas Clark*+,IND,30,TE,16,16,,,,,,0,1,0,0,0,,4,0,
242,Danny Clark,NYG,32,LLB,16,11,0,0,0,0,2,,,,,,2.0,34,19,
243,Desmond Clark,CHI,32,te,11,7,,,,,,0,0,1,0,0,,,,
244,Ryan Clark,PIT,30,FS,15,15,3,0,0,0,8,,,,,,,68,21,
245,Jeromey Clary,SDG,26,RT,10,10,,,,,,0,0,1,0,0,,2,0,
246,Mark Clayton,BAL,27,WR,14,12,,,,,,0,1,0,0,0,,4,0,
247,Michael Clayton,TAM,27,WR,13,11,,,,,,1,0,0,0,0,,2,0,
248,Kellen Clemens,NYJ,26,,10,1,,,,,,0,2,1,-12,0,,,,
249,Nate Clements,SFO,30,lcb,7,6,1,8,0,8,7,0,1,0,0,0,,30,5,
250,Chris Clemons,PHI,28,,16,0,0,0,0,0,1,,,,,,3.0,8,3,
251,Chris Clemons,MIA,24,,11,2,,,,,,,,,,,,10,3,
252,David Clowney,NYJ,24,,13,3,,,,,,0,1,0,0,0,,1,0,
253,Patrick Cobbs,MIA,26,,5,0,,,,,,,,,,,,1,0,
254,Shaun Cody,HOU,26,LDT,14,13,0,0,0,0,1,,,,,,0.5,12,9,
255,Michael Coe,JAX,26,,5,0,,,,,,,,,,,,1,0,
256,Glen Coffee,SFO,22,,14,2,,,,,,,,,,,,1,3,
257,Barry Cofield,NYG,25,LDT,16,16,0,0,0,0,3,,,,,,1.0,23,12,
258,Joe Cohen,DET,25,,7,0,,,,,,,,,,,1.0,6,3,
259,Landon Cohen,DET,23,,14,4,,,,,,1,0,0,0,0,,16,7,
260,Ricardo Colclough,KAN,27,,1,0,,,,,,,,,,,,4,0,
261,Colin Cole,SEA,29,RDT,16,15,0,0,0,0,2,0,0,1,2,0,,29,19,
262,Marquice Cole,NYJ,26,,11,0,,,,,,,,,,,,5,2,
263,Trent Cole*,PHI,27,RDE,16,16,0,0,0,0,2,2,0,0,0,0,12.5,48,9,
264,Drew Coleman,NYJ,26,,15,1,0,0,0,0,4,,,,,,,15,7,
265,Erik Coleman,ATL,27,SS,16,16,0,0,0,0,5,2,0,0,0,0,,82,34,
266,Kenyon Coleman,CLE,30,LDE,13,13,0,0,0,0,2,,,,,,1.5,28,10,
267,Laveranues Coles,CIN,32,WR,16,13,,,,,,0,0,1,0,0,,4,0,
268,Austin Collie,IND,24,wr,16,5,,,,,,0,0,1,0,0,,2,0,
269,Anthony Collins,CIN,24,rt,14,7,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Kerry Collins,TEN,37,qb,7,6,,,,,,0,3,1,-4,0,,1,0,
271,Nick Collins*,GNB,26,FS,16,16,6,110,0,31,13,0,0,2,4,0,1.0,44,9,
272,Dustin Colquitt,KAN,27,,16,0,,,,,,,,,,,,1,0,
273,Marques Colston,NOR,26,WR,16,14,,,,,,0,2,0,0,0,,1,0,
274,Jon Condo*,OAK,28,,16,0,,,,,,,,,,,,0,3,
275,Dan Connor,CAR,24,,16,0,,,,,,0,0,1,0,0,,9,7,
276,Sean Considine,JAX,28,ss,11,6,1,25,0,25,4,0,0,1,0,0,,28,7,
