
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Hamza Abdullah,ARI,26,,1,0,,,,,,,,,,,,8,1,
2,Husain Abdullah,MIN,24,,14,0,0,0,0,0,1,,,,,,1.0,2,3,
3,Victor Abiamiri,PHI,23,lde,13,5,0,0,0,0,1,1,0,2,2,1,2.0,13,3,
4,John Abraham,ATL,31,LDE,16,15,0,0,0,0,1,1,0,0,0,0,5.5,30,5,
5,Anthony Adams,CHI,29,RDT,16,8,0,0,0,0,1,0,0,2,3,0,2.0,36,8,
6,Gaines Adams,2TM,26,,15,5,0,0,0,0,6,2,0,1,0,0,1.0,12,5,
7,Jamar Adams,SEA,24,,6,0,,,,,,,,,,,,0,1,
8,Michael Adams,ARI,24,,16,1,1,17,0,17,4,,,,,,,37,3,
9,Mike Adams,CLE,28,RCB/S,16,9,0,0,0,0,8,0,0,1,1,0,1.0,58,11,
10,Titus Adams,NWE,26,,2,0,,,,,,,,,,,,1,1,
11,Joseph Addai,IND,26,RB,15,15,,,,,,0,1,0,0,0,,1,0,
12,Victor Adeyanju,STL,26,,10,1,,,,,,0,0,1,0,0,,6,1,
13,Xavier Adibi,HOU,25,,16,0,,,,,,1,0,0,0,0,,2,2,
14,Al Afalava,CHI,22,SS,13,13,0,0,0,0,7,1,0,1,43,0,2.0,43,10,
15,C.J. Ah You,STL,27,,8,1,0,0,0,0,1,,,,,,1.0,16,1,
16,Sam Aiken,NWE,29,wr,14,7,,,,,,1,0,0,0,0,,6,3,
17,David Akers*,PHI,35,,16,0,,,,,,,,,,,,2,0,
18,Branden Albert,KAN,25,LT,14,14,,,,,,0,0,1,0,0,,1,0,
19,Eric Alexander,NWE,27,,14,0,,,,,,1,0,0,0,0,,8,4,
20,Gerald Alexander,JAX,25,SS,15,10,2,23,0,22,5,3,0,1,0,0,,45,10,
