
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Rabih Abdullah,TAM,26,,16,0,,,,,,0,0,1,0,0,,17,1,
2,Donnie Abraham,TAM,28,lcb,15,5,6,98,0,46,16,0,0,1,0,0,,29,10,
3,John Abraham*+,NYJ,23,RDE,16,15,,,,,,6,0,3,7,1,13.0,53,10,
4,Flozell Adams,DAL,26,LT,16,16,,,,,,0,0,1,0,0,,,,
5,Keith Adams,DAL,22,,4,0,,,,,,,,,,,,1,0,
6,Sam Adams*,BAL,28,LDT,14,14,0,0,0,0,1,1,0,0,0,0,2.0,19,4,
7,Chidi Ahanotu,STL,31,LDE,16,16,0,0,0,0,1,0,0,1,0,0,2.0,21,8,
8,Hakim Akbar,NWE,21,,6,0,,,,,,,,,,,,2,3,
9,David Akers*+,PHI,27,,16,0,,,,,,,,,,,,5,0,
10,Chris Akins,2TM,25,,15,0,0,0,0,0,1,1,1,0,0,0,,20,5,
11,Allen Aldridge,DET,29,LLB,16,16,,,,,,,,,,,1.0,32,15,
12,Brent Alexander,PIT,30,FS,16,16,4,39,0,22,10,1,0,0,0,0,2.0,53,19,
13,Dan Alexander,TEN,23,,7,0,,,,,,,,,,,,2,0,
14,Derrick Alexander,KAN,30,WR,13,11,,,,,,,,,,,,1,0,
15,Elijah Alexander,OAK,31,RLB,14,13,0,0,0,0,1,2,0,0,0,0,1.0,40,11,
16,Shaun Alexander,SEA,24,RB,16,12,,,,,,0,4,3,8,0,,1,0,
17,Brian Allen,STL,23,,3,0,,,,,,,,,,,,1,0,
18,Eric Allen,OAK,36,RCB,16,15,1,19,0,19,9,2,0,1,26,1,,47,6,
19,Taje Allen,KAN,28,,16,0,,,,,,,,,,,,13,0,
20,Terry Allen,BAL,33,RB,11,8,,,,,,0,1,0,0,0,,1,0,
21,Will Allen,NYG,23,LCB,13,12,4,27,0,17,14,0,0,1,0,0,,41,4,
