
23,Marques Anderson,GNB,23,SS,14,11,4,114,2,78,7,0,0,2,0,0,,42,20,
24,Mike Anderson,DEN,29,FB,15,12,,,,,,0,2,1,0,0,,1,0,
25,Scotty Anderson,DET,23,,16,4,,,,,,0,1,0,0,0,,2,0,
26,Cornelius Anthony,SFO,24,,10,0,,,,,,,,,,,,5,1,
27,Adam Archuleta,STL,25,SS,16,16,1,2,0,2,5,0,0,1,0,0,2.5,102,14,
28,JoJuan Armour,CIN,26,SS,16,8,,,,,,,,,,,,36,22,
29,Jessie Armstead,WAS,32,RLB,16,16,,,,,,0,0,3,1,0,3.0,79,20,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
30,Trace Armstrong,OAK,37,RDE,15,8,1,0,0,0,0,0,0,1,1,0,4.0,15,4,
31,LaVar Arrington*,WAS,24,LLB,16,16,,,,,,0,0,3,1,1,11.0,67,25,
32,Larry Atkins,KAN,27,,10,0,,,,,,,,,,,,11,0,
33,Reggie Austin,CHI,25,,9,4,2,0,0,0,0,,,,,,,15,5,
34,Kole Ayi,STL,24,,6,0,,,,,,,,,,,,4,1,
35,Akin Ayodele,JAX,23,,16,3,1,22,0,22,3,2,0,0,0,0,3.0,57,9,
36,Jerry Azumah,CHI,25,RCB,16,16,,,,,,,,,,,1.0,67,13,
37,Champ Bailey*,WAS,24,LCB,16,16,3,2,0,2,24,0,4,1,0,0,,62,6,
38,Karsten Bailey,GNB,25,,7,0,,,,,,,,,,,,2,1,
39,Rodney Bailey,PIT,23,,16,0,0,0,0,0,2,0,0,1,0,0,5.5,18,7,
40,Robert Baker,MIA,26,,10,0,,,,,,,,,,,,2,1,
41,Jason Ball,SDG,23,C,16,13,,,,,,0,0,1,0,0,,,,
42,Mike Banks,ARI,23,,12,0,,,,,,,,,,,,6,1,
43,Justin Bannan,BUF,23,,15,0,,,,,,1,0,1,0,0,1.0,15,6,
44,Alex Bannister,SEA,23,,16,1,,,,,,0,0,1,0,0,,10,2,
45,Bradford Banta,DET,32,,16,0,,,,,,,,,,,,3,1,
46,Ronde Barber,TAM,27,RCB,16,16,2,9,0,9,20,,,,,,3.0,67,12,
47,Shawn Barber,PHI,27,LLB,16,16,2,81,1,80,10,2,0,3,6,0,1.0,70,22,
48,Tiki Barber,NYG,27,RB,16,15,,,,,,0,9,1,0,0,,3,0,
49,Bryan Barker,WAS,38,,12,0,,,,,,,,,,,,2,1,
50,Kevan Barlow,SFO,23,,14,0,,,,,,0,2,1,0,0,,,,
51,Darian Barnes,TAM,22,,6,0,,,,,,,,,,,,2,0,
52,David Barrett,ARI,25,RCB,14,14,3,40,0,22,11,1,0,1,21,0,,57,16,
53,Micheal Barrow,NYG,32,MLB,15,14,0,0,0,0,3,2,0,0,0,0,2.5,72,37,
54,William Bartee,KAN,25,RCB,14,13,0,0,0,0,7,1,0,0,0,0,,77,6,
55,Eric Barton,OAK,25,RLB,16,16,2,5,0,3,4,3,0,0,0,0,6.0,95,30,
56,Mike Bartrum,PHI,32,,16,0,,,,,,,,,,,,4,0,
57,Idrees Bashir,IND,24,FS,14,14,2,4,0,4,5,1,0,1,0,0,,35,14,
58,Ainsley Battles,JAX,24,,16,4,1,6,0,6,0,0,0,1,0,0,,18,3,
59,Rashad Bauman,WAS,23,,16,1,0,0,0,0,2,,,,,,,16,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Gary Baxter,BAL,24,RCB,16,14,1,0,0,0,17,,,,,,,69,9,
61,Jarrod Baxter,HOU,23,FB,16,10,,,,,,,,,,,,1,0,
62,Robert Bean,JAX,24,,5,0,,,,,,,,,,,,2,0,
63,Aaron Beasley,NYJ,29,RCB,15,15,2,29,0,24,0,,,,,,,60,7,
64,Fred Beasley,SFO,28,FB,16,14,,,,,,,,,,,,1,0,
65,Anthony Becht,NYJ,25,TE,16,15,,,,,,,,,,,,4,1,
66,Rogers Beckett,SDG,25,FS,16,10,,,,,,,,,,,,36,2,
67,Tony Beckham,TEN,24,,14,0,,,,,,,,,,,,7,2,
68,Monty Beisel,KAN,24,,16,0,,,,,,,,,,,,10,2,
69,Jason Bell,HOU,24,,13,0,0,0,0,0,2,0,0,1,0,0,,16,1,
70,Kendrell Bell,PIT,24,LILB,12,12,0,0,0,0,2,0,0,1,0,0,4.0,37,13,
71,Marcus Bell,ARI,23,,16,4,0,0,0,0,2,,,,,,2.0,25,9,
72,Marcus Bell,SEA,25,LLB,16,9,,,,,,0,0,2,0,0,1.0,64,12,
73,Jay Bellamy,NOR,30,SS,16,16,3,39,0,16,0,0,0,2,0,0,1.5,68,20,
74,Jason Belser,KAN,32,FS,16,8,1,45,0,45,0,0,0,2,10,0,,47,14,
75,Brandon Bennett,CIN,29,,12,0,,,,,,0,2,0,0,0,,10,0,
76,Darren Bennett,SDG,37,,16,0,,,,,,,,,,,,2,0,
77,Drew Bennett,TEN,24,wr,16,7,,,,,,,,,,,,3,0,
78,Michael Bennett*,MIN,24,RB,16,16,,,,,,0,4,4,0,0,,2,0,
79,Sean Bennett,NYG,27,,7,0,,,,,,,,,,,,1,1,
80,Kevin Bentley,CLE,23,,12,0,0,0,0,0,1,0,0,2,0,0,,24,15,
81,Mitch Berger,STL,30,,16,0,,,,,,,,,,,,1,0,
82,Eddie Berlin,TEN,24,,16,0,,,,,,,,,,,,7,2,
83,Rocky Bernard,SEA,23,,16,2,0,0,0,0,1,1,0,0,0,0,4.0,33,15,
84,Bertrand Berry,DEN,27,,16,1,0,0,0,0,1,0,0,3,8,0,6.5,14,4,
85,Jerome Bettis,PIT,30,RB,13,11,,,,,,0,1,0,0,0,,1,0,
86,Steve Beuerlein,DEN,37,,8,3,,,,,,0,4,4,-2,0,,,,
87,Eric Beverly,DET,28,,15,3,,,,,,,,,,,,1,0,
88,Greg Biekert,MIN,33,MLB,16,16,4,26,0,20,0,0,0,1,0,0,,70,31,
89,Terreal Bierria,SEA,22,,14,0,,,,,,,,,,,,11,4,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Cory Bird,IND,24,,6,4,,,,,,,,,,,,11,6,
91,Matt Birk,MIN,26,C,16,16,,,,,,0,0,1,0,0,,,,
92,Blaine Bishop,PHI,32,SS,12,12,,,,,,,,,,,2.0,28,12,
93,Avion Black,HOU,25,,11,0,,,,,,0,2,1,0,0,,2,0,
94,Harold Blackmon,SEA,24,,7,0,,,,,,0,0,1,0,0,,1,2,
95,Jeff Blake,BAL,32,QB,11,10,,,,,,0,8,2,-9,0,,2,0,
96,Derrick Blaylock,KAN,23,,12,0,,,,,,,,,,,,4,0,
97,Drew Bledsoe*,BUF,30,QB,16,16,,,,,,0,11,2,-8,0,,,,
98,Dre' Bly,STL,25,RCB,16,16,2,0,0,0,21,4,0,2,33,1,1.0,54,5,
99,Chris Bober,NYG,26,C,15,15,,,,,,0,0,1,0,0,,,,
100,Marc Boerigter,KAN,24,,16,2,,,,,,,,,,,,12,1,
101,Rocky Boiman,TEN,22,,16,0,,,,,,1,0,0,0,0,,11,2,
102,Juran Bolden,ATL,28,lcb,14,6,4,25,0,22,0,,,,,,,27,6,
103,Marty Booker*,CHI,26,WR,16,16,,,,,,,,,,,,3,1,
104,Vaughn Booker,CIN,34,lde,6,5,,,,,,,,,,,,5,2,
105,Alfonso Boone,CHI,26,ldt,16,5,0,0,0,0,1,1,0,1,0,0,1.5,18,2,
106,Jason Bostic,BUF,26,,14,0,,,,,,,,,,,,18,2,
107,David Boston,ARI,24,WR,8,8,,,,,,,,,,,,1,0,
108,Peter Boulware*,BAL,28,ROLB,16,16,1,6,0,6,0,0,0,2,4,0,7.0,57,16,
109,Matt Bowen,GNB,26,ss,16,6,1,0,0,0,0,,,,,,,40,18,
110,David Bowens,MIA,25,,14,0,0,0,0,0,2,,,,,,1.5,18,7,
111,Tim Bowens*,MIA,29,LDT,16,16,,,,,,,,,,,,24,12,
112,R.J. Bowers,CLE,28,,4,0,,,,,,,,,,,,2,1,
113,Danny Boyd,JAX,24,,4,0,,,,,,,,,,,,0,1,
114,James Boyd,JAX,25,,10,0,,,,,,,,,,,,5,0,
115,Brant Boyer,CLE,31,,16,1,1,1,0,1,0,,,,,,3.0,50,11,
116,Tony Brackens,JAX,28,rde,5,5,,,,,,0,0,1,0,0,1.0,9,2,
117,Corey Bradford,HOU,27,WR,16,16,,,,,,,,,,,,3,0,
118,Ronnie Bradford,MIN,32,FS,16,15,1,20,0,20,0,,,,,,,51,15,
119,Kyle Brady,JAX,30,TE,16,16,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,Tom Brady,NWE,25,QB,16,16,,,,,,0,11,5,-32,0,,1,0,
121,Deion Branch,NWE,23,wr,13,7,,,,,,0,1,1,0,0,,1,0,
122,Sam Brandon,DEN,23,,16,2,,,,,,0,0,1,0,0,,22,5,
123,Chad Bratzke,IND,31,LDE,16,16,,,,,,0,0,1,0,0,6.0,34,10,
124,Drew Brees,SDG,23,QB,16,16,,,,,,0,2,2,0,0,,1,0,
125,Jack Brewer,MIN,23,,15,1,2,24,0,23,2,,,,,,,26,7,
126,Sean Brewer,CIN,25,,3,2,,,,,,,,,,,,1,0,
127,Doug Brien,MIN,32,,6,0,,,,,,,,,,,,1,0,
128,O.J. Brigance,2TM,33,,14,0,,,,,,,,,,,,8,2,
129,Lamont Brightful,BAL,23,,12,0,,,,,,0,3,1,0,0,,,,
130,Raheem Brock,IND,24,lde,13,6,0,0,0,0,1,1,0,1,0,0,1.0,12,7,
131,Lorenzo Bromell,MIN,27,,16,1,,,,,,,,,,,4.0,22,7,
132,Zack Bronson,SFO,28,fs,5,5,3,28,0,20,0,,,,,,,16,5,
133,Keith Brooking*,ATL,27,LILB,16,16,2,24,0,22,2,1,0,2,0,0,,110,29,
134,Aaron Brooks,NOR,26,QB,16,16,,,,,,0,11,2,-9,0,,2,0,
135,Ahmad Brooks,BUF,22,,6,2,1,13,0,13,0,,,,,,,9,2,
136,Bobby Brooks,JAX,26,,3,0,,,,,,,,,,,,1,0,
137,Derrick Brooks*+,TAM,29,RLB,16,16,5,218,3,97,11,1,0,1,11,1,1.0,87,30,
138,Alex Brown,CHI,23,RDE,15,9,0,0,0,0,3,1,0,3,0,0,2.5,31,9,
139,Chad Brown,SEA,32,RLB,8,8,,,,,,,,,,,6.0,42,8,
140,Cornell Brown,BAL,27,LOLB,16,14,,,,,,,,,,,1.5,39,23,
141,Courtney Brown,CLE,24,RDE,11,11,,,,,,0,0,2,1,0,2.0,30,11,
142,Dee Brown,CAR,24,,14,3,,,,,,0,4,2,0,0,,1,1,
143,Eric Brown,HOU,27,SS,15,15,2,7,0,7,0,,,,,,0.5,60,9,
144,Fakhir Brown,NOR,25,,12,0,0,0,0,0,5,1,0,1,0,0,,20,0,
145,Gilbert Brown,GNB,31,LDT,12,11,,,,,,,,,,,,18,10,
146,Mike Brown,CHI,24,FS,16,15,3,16,0,16,8,3,0,2,106,1,,75,15,
147,Ralph Brown,NYG,24,,16,2,1,19,0,19,3,0,0,1,31,0,,24,6,
148,Ruben Brown*,BUF,30,LG,16,16,,,,,,0,0,1,0,0,,,,
149,Sheldon Brown,PHI,23,,16,0,2,41,0,29,4,1,0,0,0,0,1.0,12,4,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Troy Brown,NWE,31,WR,14,13,,,,,,0,4,2,0,0,,2,0,
151,Wilbert Brown,WAS,25,RG,14,9,,,,,,0,0,1,0,0,,,,
152,John Browning,KAN,29,LDT,16,16,,,,,,0,0,1,0,0,7.0,33,6,
153,Isaac Bruce,STL,30,WR,16,16,,,,,,0,2,0,0,0,,5,0,
154,Mark Bruener,PIT,30,TE,12,12,,,,,,,,,,,,2,0,
155,Mark Brunell,JAX,32,QB,15,15,,,,,,0,5,2,0,0,,,,
156,Tedy Bruschi,NWE,29,MLB,11,9,2,75,2,48,7,1,0,0,0,0,4.5,46,20,
157,Antonio Bryant,DAL,21,WR,16,15,,,,,,0,3,0,0,0,,2,0,
158,Fernando Bryant,JAX,25,LCB,16,16,1,26,0,26,12,0,0,2,34,0,,57,2,
159,Matt Bryant,NYG,27,,16,0,,,,,,,,,,,,1,0,
160,Tony Bryant,OAK,26,RDE,8,8,,,,,,0,0,1,0,0,2.5,24,8,
161,Wendell Bryant,ARI,22,,14,4,,,,,,,,,,,1.5,11,8,
162,Shawn Bryson,BUF,26,,6,0,,,,,,0,1,0,0,0,,1,1,
163,Ray Buchanan,ATL,31,LCB,12,11,2,9,0,9,0,,,,,,,41,5,
164,Phillip Buchanon,OAK,22,,6,2,2,81,1,81,5,0,2,2,0,0,,21,0,
165,Terrell Buckley,NWE,31,,16,2,4,50,0,39,0,0,1,0,0,0,,22,0,
166,Brentson Buckner,CAR,31,LDT,12,12,,,,,,0,0,1,10,0,5.0,24,8,
167,Courtland Bullard,STL,24,,11,1,,,,,,,,,,,,7,0,
168,Keith Bulluck,TEN,25,RLB,16,16,1,5,0,5,7,3,0,2,61,1,1.0,99,26,
169,Derrick Burgess,PHI,24,,1,0,,,,,,,,,,,,1,0,
170,Tom Burke,ARI,26,,6,0,,,,,,,,,,,,7,2,
171,Rob Burnett,MIA,35,,15,0,,,,,,,,,,,4.0,10,5,
172,Joe Burns,BUF,23,,10,0,,,,,,,,,,,,1,2,
173,Keith Burns,DEN,30,,16,1,,,,,,1,0,0,0,0,,8,3,
174,Plaxico Burress,PIT,25,WR,16,15,,,,,,0,2,1,0,0,,1,0,
175,Henry Burris,CHI,27,,6,1,,,,,,0,4,2,0,0,,,,
176,Jeff Burris,CIN,30,LCB,16,13,1,5,0,5,0,0,0,1,32,0,,50,12,
177,Shane Burton,CAR,28,,16,4,,,,,,,,,,,1.0,16,6,
178,Devin Bush,CLE,29,FS,15,9,,,,,,0,0,1,0,0,,35,6,
179,Lewis Bush,KAN,33,lolb,9,5,,,,,,,,,,,,22,3,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Steve Bush,ARI,28,TE,16,12,,,,,,0,0,1,0,0,,3,0,
181,Jerametrius Butler,STL,24,,9,0,,,,,,,,,,,,3,1,
182,Isaac Byrd,CAR,28,,13,3,,,,,,0,1,0,0,0,,3,0,
183,Glenn Cadrez,KAN,32,,12,1,,,,,,,,,,,,11,1,
184,Mike Caldwell,CHI,31,,16,3,,,,,,0,0,1,0,0,3.0,46,15,
185,Reche Caldwell,SDG,23,,16,2,,,,,,0,3,0,0,0,,2,0,
186,Rocky Calmus,TEN,23,,13,1,,,,,,,,,,,,11,7,
187,Dan Campbell,NYG,26,TE,16,16,,,,,,0,0,1,0,0,,,,
188,Kelly Campbell,MIN,22,,6,2,,,,,,0,1,0,0,0,,2,0,
189,Khary Campbell,NYJ,23,,9,0,,,,,,,,,,,,6,1,
190,Lamar Campbell,DET,26,,9,2,,,,,,,,,,,,9,3,
191,Mark Campbell,CLE,27,TE,16,16,,,,,,,,,,,,1,0,
192,Trung Canidate,STL,25,,16,1,,,,,,0,1,0,0,0,,7,0,
193,James Cannida,IND,27,rdt,10,7,,,,,,0,0,1,7,0,1.0,18,6,
194,John Carney,NOR,38,,16,0,,,,,,,,,,,,1,0,
195,Keion Carpenter,ATL,25,FS,16,16,4,82,1,41,0,0,0,1,0,0,,42,5,
196,David Carr,HOU,23,QB,16,16,,,,,,0,21,12,-28,0,,2,0,
197,Travis Carroll,NOR,24,,6,0,,,,,,,,,,,,7,3,
198,Leonardo Carson,SDG,25,ldt,16,7,,,,,,0,0,1,0,0,3.5,22,9,
199,Andre Carter,SFO,23,LDE,16,16,0,0,0,0,4,3,0,1,3,0,12.5,45,9,
200,Chris Carter,HOU,28,,13,0,,,,,,,,,,,1.0,9,0,
201,Dale Carter,NOR,33,lcb,7,7,1,25,0,25,0,,,,,,,26,4,
202,Kevin Carter*,TEN,29,LDE,16,16,0,0,0,0,3,0,0,1,0,0,10.0,27,15,
203,Tim Carter,NYG,23,,5,0,,,,,,0,1,1,0,0,,1,1,
204,Tony Carter,GNB,30,,12,0,,,,,,,,,,,,7,4,
205,Tyrone Carter,MIN,26,rcb,16,7,1,13,0,13,6,,,,,,,48,9,
206,Rock Cartwright,WAS,23,,16,0,,,,,,0,1,1,0,0,,3,1,
207,Johndale Carty,ATL,25,,16,1,1,37,0,37,0,,,,,,1.0,16,2,
208,Chris Cash,DET,22,RCB,16,12,1,11,0,11,11,1,1,2,0,0,,87,13,
209,Aveion Cason,DET,23,,10,3,,,,,,,,,,,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Quinton Caver,2TM,24,,6,0,,,,,,,,,,,,2,0,
211,Larry Centers,BUF,34,fb,16,7,,,,,,,,,,,,5,0,
212,Byron Chamberlain,MIN,31,TE,13,9,,,,,,,,,,,,2,0,
213,Frank Chamberlin,TEN,24,,15,3,,,,,,0,0,1,8,0,,16,6,
214,Chris Chambers,MIA,24,WR,15,15,,,,,,0,1,1,0,0,,2,0,
215,Jeff Chandler,SFO,23,,6,0,,,,,,,,,,,,1,0,
216,Doug Chapman,MIN,25,,6,0,,,,,,0,1,1,0,0,,,,
217,Ike Charlton,JAX,25,,15,0,,,,,,0,1,0,0,0,1.0,23,1,
218,Martin Chase,NOR,28,,13,1,,,,,,,,,,,,15,4,
219,Matt Chatham,NWE,25,,13,0,,,,,,,,,,,,14,3,
220,Jesse Chatman,SDG,23,,10,0,,,,,,,,,,,,4,0,
221,Corey Chavous,MIN,26,SS/LC,16,16,3,76,1,43,5,,,,,,1.0,66,17,
222,Je'Rod Cherry,NWE,29,,16,0,,,,,,,,,,,,9,4,
223,Larry Chester,MIA,27,RDT,16,16,,,,,,0,0,1,0,0,1.5,26,11,
224,Darrin Chiaverini,ATL,25,,7,0,,,,,,,,,,,,1,1,
225,Wayne Chrebet,NYJ,29,WR,15,15,,,,,,0,2,0,0,0,,1,0,
226,Bob Christian,ATL,34,FB,15,10,,,,,,0,1,0,0,0,,4,2,
227,Steve Christie,SDG,35,,16,0,,,,,,,,,,,,2,0,
228,Jeff Christy,TAM,33,C,16,16,,,,,,0,0,1,0,0,,,,
229,Patrick Chukwurah,MIN,23,,11,2,,,,,,,,,,,,11,3,
230,Chris Claiborne,DET,24,MLB,16,15,3,63,1,43,0,0,0,1,0,0,4.5,72,28,
231,Kendrick Clancy,PIT,24,,7,0,,,,,,,,,,,,1,0,
232,Travis Claridge,ATL,24,LG,16,16,,,,,,0,0,1,0,0,,,,
233,Danny Clark,JAX,25,LLB,16,16,1,7,0,7,2,,,,,,2.0,69,22,
234,Desmond Clark,MIA,25,,11,0,,,,,,,,,,,,4,0,
235,Ryan Clark,NYG,23,,6,0,,,,,,,,,,,,1,1,
236,DeVone Claybrooks,TAM,25,,2,0,,,,,,,,,,,,2,3,
237,Nate Clements,BUF,23,RCB,16,16,6,82,1,42,19,0,1,0,0,0,,52,13,
238,Charlie Clemons,NOR,30,MLB,16,15,,,,,,0,0,3,0,0,0.5,58,24,
239,Duane Clemons,KAN,28,RDE,16,16,,,,,,0,0,1,42,1,2.0,27,8,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Mike Cloud,KAN,27,,14,2,,,,,,,,,,,,1,0,
241,Rich Coady,TEN,26,,14,2,1,24,1,24,0,,,,,,,13,6,
242,Dexter Coakley,DAL,30,RLB,16,16,1,52,1,52,8,0,0,1,1,0,1.0,84,24,
243,Antonio Cochran,SEA,26,RDE,16,16,1,9,0,9,0,,,,,,3.0,36,15,
244,Tay Cody,SDG,25,,4,0,,,,,,0,0,1,0,0,,6,1,
245,KaRon Coleman,DEN,24,,2,0,,,,,,0,0,1,2,0,,,,
246,Kenyon Coleman,OAK,23,,1,0,,,,,,,,,,,,1,0,
247,Marco Coleman,JAX,33,LDE,16,16,,,,,,,,,,,5.0,29,7,
248,Marcus Coleman,HOU,28,RCB,16,16,1,0,0,0,0,0,0,2,8,0,,60,12,
249,Roderick Coleman,OAK,26,,14,2,0,0,0,0,3,,,,,,11.0,32,6,
250,Travis Coleman,CHI,22,,7,0,,,,,,,,,,,,2,0,
251,Laveranues Coles,NYJ,25,WR,16,16,,,,,,0,1,1,0,0,,1,0,
252,Javier Collins,DAL,24,,9,4,,,,,,0,0,1,0,0,,,,
253,Kerry Collins,NYG,30,QB,16,16,,,,,,0,8,4,-15,0,,1,0,
254,Rosevelt Colvin,CHI,25,LLB,16,15,0,0,0,0,9,3,0,1,8,0,10.5,55,9,
255,Derek Combs,OAK,23,,4,0,,,,,,,,,,,,3,0,
256,Greg Comella,TEN,27,fb,12,7,,,,,,0,1,0,0,0,,1,0,
257,Curtis Conway,SDG,31,WR,13,13,,,,,,0,2,0,0,0,,2,0,
258,Ernie Conwell,STL,30,TE,16,11,,,,,,,,,,,,4,0,
259,Jameel Cook,TAM,23,,14,1,,,,,,,,,,,,1,0,
260,Rashard Cook,PHI,25,,4,0,,,,,,,,,,,1.0,5,0,
261,Chris Cooper,OAK,25,,16,1,0,0,0,0,1,1,0,0,0,0,1.0,14,5,
262,Deke Cooper,CAR,25,,10,0,,,,,,,,,,,,2,0,
263,Jarrod Cooper,CAR,24,,6,0,,,,,,,,,,,,7,1,
264,Rafael Cooper,DET,27,,5,0,,,,,,,,,,,,2,0,
265,Jose Cortez,2TM,27,,14,0,,,,,,,,,,,,2,0,
266,Chad Cota,STL,31,,14,1,,,,,,,,,,,,10,1,
267,Tim Couch,CLE,25,QB,14,14,,,,,,0,6,1,-5,0,,0,1,
268,Terry Cousin,CAR,27,LCB,16,16,2,4,0,4,18,0,0,1,19,0,1.0,46,16,
269,Sam Cowart,NYJ,27,RLB,16,16,,,,,,,,,,,2.0,91,36,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Delbert Cowsette,WAS,25,,16,0,,,,,,,,,,,2.0,11,4,
271,Bryan Cox,NOR,34,,9,1,,,,,,,,,,,,3,1,
272,Jason Craft,JAX,26,RCB,16,16,3,0,0,0,11,2,0,1,0,0,,48,9,
273,Keyuo Craver,NOR,22,,10,1,,,,,,0,1,1,38,1,,15,3,
274,Casey Crawford,TAM,25,,4,0,,,,,,,,,,,,2,0,
275,Henri Crockett,MIN,28,RLB,14,11,,,,,,0,0,1,0,0,1.0,47,14,
276,Ray Crockett,KAN,35,rcb,15,5,2,0,0,0,0,,,,,,1.0,39,6,
277,Zack Crockett,OAK,30,,16,0,,,,,,,,,,,,7,1,
278,Clifton Crosby,IND,28,,16,0,,,,,,0,0,4,6,0,,25,7,
279,Phillip Crosby,BUF,26,,16,4,,,,,,,,,,,,7,0,
