
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Rabih Abdullah,CHI,27,,16,0,,,,,,0,1,1,0,0,,17,2,
2,Donnie Abraham,NYJ,29,LCB,16,16,4,49,0,23,0,,,,,,,46,6,
3,John Abraham*,NYJ,24,RDE,16,16,0,0,0,0,2,1,0,0,0,0,10.0,48,14,
4,Keith Adams,2TM,23,,16,5,,,,,,,,,,,,22,5,
5,Sam Adams,OAK,29,LDT,15,14,,,,,,,,,,,2.0,17,4,
6,Chidi Ahanotu,BUF,32,LDE,16,14,,,,,,0,0,1,17,0,5.0,30,14,
7,David Akers*,PHI,28,,16,0,,,,,,,,,,,,2,1,
8,Chris Akins,CLE,26,,15,0,,,,,,,,,,,,14,1,
9,Kevin Aldridge,TEN,22,,6,0,,,,,,,,,,,,5,3,
10,Brent Alexander,PIT,31,FS,16,16,4,37,0,25,0,,,,,,1.0,52,25,
11,Derrick Alexander,MIN,31,wr,8,5,,,,,,,,,,,,1,0,
12,Shaun Alexander,SEA,25,RB,16,16,,,,,,0,3,3,0,0,,1,0,
13,Stephen Alexander,SDG,27,TE,14,14,,,,,,0,1,0,0,0,,1,0,
14,Brian Allen,CAR,24,rlb,16,5,,,,,,,,,,,,31,6,
15,James Allen,HOU,27,rb,16,5,,,,,,0,1,0,0,0,,2,0,
16,James Allen,NOR,23,,14,1,1,0,1,0,1,1,0,1,0,0,,16,2,
17,Matt Allen,NYG,25,,14,0,,,,,,0,1,1,0,0,,,,
18,Will Allen,NYG,24,LCB,15,15,1,0,0,0,11,,,,,,,51,5,
19,John Allred,PIT,28,,13,0,,,,,,,,,,,,2,2,
20,Mike Alstott*,TAM,29,FB,16,9,,,,,,0,4,0,0,0,,2,0,
21,Ashley Ambrose,ATL,32,RCB,16,16,3,25,0,24,0,,,,,,,41,2,
22,Damien Anderson,ARI,23,,10,1,,,,,,,,,,,,1,0,
