
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Rabih Abdullah,NWE,29,,9,0,,,,,,,,,,,,6,1,
2,Donnie Abraham,NYJ,31,LCB,16,16,2,66,1,66,13,0,0,2,39,1,,38,15,
3,John Abraham*,NYJ,26,RDE,12,12,0,0,0,0,2,3,0,1,0,0,9.5,33,15,
4,Anthony Adams,SFO,24,LDT,14,12,0,0,0,0,2,1,0,0,0,0,,40,7,
5,Charlie Adams,DEN,25,,4,0,,,,,,,,,,,,3,0,
6,Flozell Adams*,DAL,29,LT,16,16,,,,,,0,0,1,0,0,,,,
7,Keith Adams,PHI,25,,16,2,0,0,0,0,1,2,0,0,0,0,,40,6,
8,Mike Adams,SFO,23,,8,0,1,0,0,0,1,0,0,1,0,0,,5,4,
9,Sam Adams*,BUF,31,LDT,16,16,1,0,0,0,3,,,,,,5.0,26,15,
10,Chidi Ahanotu,2TM,34,,13,5,,,,,,,,,,,4.5,13,6,
11,Sam Aiken,BUF,24,,16,0,,,,,,,,,,,,4,1,
12,David Akers*,PHI,30,,16,0,,,,,,,,,,,,1,0,
13,Brent Alexander,NYG,33,FS/SS,16,16,3,3,0,2,7,1,0,2,29,0,2.0,56,24,
14,Eric Alexander,NWE,22,,3,0,,,,,,,,,,,,3,0,
15,Roc Alexander,DEN,23,,16,1,,,,,,0,0,1,0,0,,12,6,
16,Shaun Alexander*,SEA,27,RB,16,16,,,,,,0,5,2,0,0,,1,0,
17,Stephen Alexander,DET,29,TE,16,15,,,,,,,,,,,,1,0,
18,Brian Allen,CAR,26,,14,0,1,21,0,21,1,,,,,,,16,5,
19,James Allen,NOR,25,LLB,16,10,0,0,0,0,1,2,0,2,1,0,,33,16,
20,Jared Allen,KAN,22,RDE,15,10,,,,,,,,,,,9.0,29,2,
21,Kenderick Allen,NYG,26,,5,2,,,,,,,,,,,1.0,17,3,
