
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Isa Abdul-Quddus,NOR,23,fs,15,3,2,12,0,12,7,0,0,1,0,0,,28,10,
2,John Abraham,ATL,34,DE,16,15,0,0,0,0,7,6,0,0,0,0,10.0,32,3,
3,Sam Acho,ARI,24,ROLB,16,16,2,2,0,2,3,2,0,0,0,0,4.0,35,13,
4,Joe Adams,CAR,23,,9,0,,,,,,0,4,1,0,0,,,,
5,Michael Adams,ARI,27,,15,0,0,0,0,0,5,0,0,2,0,0,,11,3,
6,Mike Adams,DEN,31,SS,16,16,0,0,0,0,12,2,0,2,0,0,1.0,60,20,1
7,Phillip Adams,OAK,24,rcb,15,2,2,0,0,0,5,0,2,0,0,0,,10,2,
8,Mario Addison,3TM,25,,12,1,,,,,,1,0,0,0,0,1.0,4,0,
9,Al Afalava,TEN,25,ss,12,2,1,0,0,0,1,,,,,,,8,7,
10,Danny Aiken,NWE,24,,16,0,,,,,,,,,,,,1,0,
11,David Akers,SFO,38,k,16,0,,,,,,,,,,,,2,0,
12,Alex Albright,DAL,24,lb,14,2,,,,,,,,,,,,15,3,
13,Frank Alexander,CAR,23,de,16,3,0,0,0,0,3,0,0,2,0,0,2.5,10,8,
14,Lorenzo Alexander*,WAS,29,,16,0,,,,,,0,0,1,7,0,2.5,34,12,
15,Anthony Allen,BAL,24,,16,0,,,,,,,,,,,,9,1,
16,Antonio Allen,NYJ,24,lb,7,1,,,,,,0,0,1,0,0,1.0,2,2,
17,Armando Allen,CHI,23,,15,0,,,,,,,,,,,,3,2,
18,Cortez Allen,PIT,24,rcb,15,3,2,6,0,6,10,3,0,1,21,0,,43,12,
19,Dwayne Allen,IND,22,fb/te,16,16,,,,,,0,1,2,0,0,,,,
20,Jared Allen*,MIN,30,DE,16,16,0,0,0,0,3,1,0,1,0,0,12.0,35,10,
