
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Hamza Abdullah,DEN,24,SS,11,8,0,0,0,0,5,2,0,1,0,0,,39,9,
2,Victor Abiamiri,PHI,21,,6,1,,,,,,,,,,,,2,1,
3,John Abraham,ATL,29,RDE,16,16,0,0,0,0,4,4,0,0,0,0,10.0,31,1,
4,Anthony Adams,CHI,27,LDT,11,8,,,,,,0,0,1,0,0,0.5,21,5,
5,Blue Adams,CIN,28,,13,0,,,,,,,,,,,1.0,13,2,
6,Flozell Adams*,DAL,32,LT,16,16,,,,,,0,0,2,0,0,,,,
7,Gaines Adams,TAM,24,RDE,16,8,0,0,0,0,2,1,0,0,0,0,6.0,28,10,
8,Keith Adams,CLE,28,,3,0,,,,,,,,,,,,1,0,
9,Michael Adams,ARI,22,,7,0,0,0,0,0,1,,,,,,,10,0,
10,Mike Adams,CLE,26,,15,0,0,0,0,0,1,0,0,1,0,0,1.0,27,2,
11,Sam Adams,DEN,34,LDT,11,11,0,0,0,0,1,,,,,,,5,4,
12,Joseph Addai*,IND,24,RB,15,15,,,,,,,,,,,,1,0,
13,Victor Adeyanju,STL,24,lde,15,7,0,0,0,0,1,0,0,1,24,0,,21,8,
14,Sam Aiken,BUF,27,,12,0,,,,,,,,,,,,3,1,
15,David Akers,PHI,33,,16,0,,,,,,,,,,,,1,0,
16,Ikaika Alama-Francis,DET,23,,6,0,,,,,,,,,,,,7,5,
17,Eric Alexander,NWE,25,,12,0,,,,,,,,,,,,15,3,
18,Gerald Alexander,DET,23,FS,16,16,2,70,0,36,6,0,0,2,0,0,2.0,59,22,
19,Lorenzo Alexander,WAS,24,,13,1,,,,,,,,,,,,2,2,
20,Shaun Alexander,SEA,30,RB,13,10,,,,,,0,2,1,0,0,,,,
21,Jay Alford,NYG,24,,16,0,,,,,,,,,,,1.0,1,0,
