
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
56,Ronde Barber,TAM,28,LCB/R,16,16,2,53,1,29,6,3,0,1,0,0,1.5,79,18,
57,Shawn Barber,KAN,28,RLB,16,16,1,28,0,28,6,1,0,0,0,0,5.0,92,20,
58,Tiki Barber,NYG,28,RB,16,16,,,,,,0,9,4,0,0,,4,0,
59,Bryan Barker,WAS,39,,16,0,,,,,,,,,,,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Kevan Barlow,SFO,24,rb,16,4,,,,,,0,5,1,0,0,,1,0,
61,Reggie Barlow,TAM,30,,11,0,,,,,,0,1,0,0,0,,1,0,
62,Darian Barnes,TAM,23,,14,0,,,,,,,,,,,,5,1,
63,Lionel Barnes,JAX,27,,13,0,0,0,0,0,2,0,0,1,0,0,1.0,11,2,
64,Nick Barnett,GNB,22,MLB,15,15,3,21,0,14,6,0,0,1,0,0,2.0,86,26,
65,David Barrett,ARI,26,RCB,16,16,1,25,0,25,9,1,0,0,0,0,,68,11,
66,Micheal Barrow,NYG,33,MLB,16,16,0,0,0,0,4,3,0,0,0,0,2.0,109,39,
67,William Bartee,KAN,26,,11,1,0,0,0,0,1,0,1,1,0,0,,26,4,
68,Eric Barton,OAK,26,RLB,16,16,0,0,0,0,6,1,0,0,0,0,0.5,98,34,
69,Mike Bartrum,PHI,33,,16,0,,,,,,,,,,,,3,0,
70,Idrees Bashir,IND,25,FS,9,9,2,9,0,9,4,1,0,1,0,0,,28,14,
71,Michael Bates,2TM,34,,9,0,,,,,,,,,,,,2,0,
72,Solomon Bates,SEA,21,,7,0,,,,,,,,,,,,3,0,
73,Arnaz Battle,SFO,23,,8,0,,,,,,0,0,2,0,0,,5,0,
74,Julian Battle,KAN,22,,14,0,0,0,0,0,1,,,,,,,8,0,
75,Rashad Bauman,WAS,24,,12,2,2,1,0,1,5,,,,,,,19,5,
76,Fred Baxter,NWE,32,,12,0,,,,,,,,,,,,4,0,
77,Gary Baxter,BAL,25,FS/RC,16,16,3,41,0,34,12,,,,,,1.0,71,12,
78,Aaron Beasley,NYJ,30,RCB,16,16,3,64,0,39,12,1,0,1,0,0,,45,15,
79,Rogers Beckett,CIN,26,SS,16,9,2,11,0,11,5,2,0,0,0,0,3.0,61,20,
80,Tony Beckham,TEN,25,,16,3,1,0,0,0,4,0,0,1,-2,0,,20,3,
