
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Hamza Abdullah,2TM,25,,2,0,,,,,,,,,,,,1,0,
2,Husain Abdullah,MIN,23,,16,0,,,,,,,,,,,,0,6,
3,Victor Abiamiri,PHI,22,,10,0,0,0,0,0,3,1,0,0,0,0,2.0,5,6,
4,John Abraham,ATL,30,RDE,16,16,0,0,0,0,1,4,0,0,0,0,16.5,36,2,
5,Anthony Adams,CHI,28,,9,4,,,,,,,,,,,,14,7,
6,Flozell Adams*,DAL,33,LT,16,16,,,,,,0,0,2,0,0,,3,0,
7,Gaines Adams,TAM,25,RDE,16,16,2,50,1,45,6,,,,,,6.5,27,11,
8,Michael Adams,ARI,23,,5,1,,,,,,0,0,1,0,0,,7,1,
9,Mike Adams,CLE,27,ss,14,5,2,18,0,18,2,0,0,1,0,0,,36,8,
10,Victor Adeyanju,STL,25,LDE,16,9,,,,,,,,,,,2.0,40,7,
11,Xavier Adibi,HOU,24,rlb,7,5,,,,,,0,0,1,0,0,,26,8,
12,Sam Aiken,NWE,28,,14,2,,,,,,,,,,,,5,2,
13,David Akers,PHI,34,,16,0,,,,,,,,,,,,1,0,
14,Ikaika Alama-Francis,DET,24,,13,2,0,0,0,0,1,0,0,1,0,0,1.0,13,10,
15,Branden Albert,KAN,24,LT,15,15,,,,,,,,,,,,1,0,
16,Eric Alexander,NWE,26,,1,0,,,,,,,,,,,,0,1,
17,Gerald Alexander,DET,24,,5,1,,,,,,,,,,,,7,0,
18,Lorenzo Alexander,WAS,25,,15,0,0,0,0,0,2,,,,,,2.0,11,6,
19,Jay Alford,NYG,25,,16,3,0,0,0,0,1,,,,,,2.5,10,5,
20,Charles Ali,CLE,24,,15,4,,,,,,,,,,,,2,0,
21,Jared Allen*+,MIN,26,RDE,16,16,0,0,0,0,3,3,0,0,0,0,14.5,41,13,2
