
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
256,Jim Flanigan,CHI,29,LDT,16,14,,,,,,0,0,1,0,0,4.0,33,13,
257,London Fletcher,STL,25,MLB,16,15,4,33,0,12,0,1,0,0,0,0,5.5,106,27,
258,Erik Flowers,BUF,22,,16,0,1,0,0,0,0,1,0,0,0,0,2.0,11,9,
259,Lee Flowers,PIT,27,SS,14,14,1,0,0,0,0,4,0,3,0,0,1.0,61,24,
260,Doug Flutie,BUF,38,qb,11,5,,,,,,0,5,2,-9,0,,,,
261,Mike Flynn,BAL,26,RG,16,16,,,,,,0,1,2,-18,0,,,,
262,Steve Foley,CIN,25,LLB,16,16,1,1,0,1,0,2,0,1,0,0,4.0,34,9,
263,James Folston,ARI,29,,13,3,,,,,,,,,,,2.0,12,0,
264,Albert Fontenot,SDG,30,LDE,15,15,,,,,,,,,,,4.0,21,4,1
265,Jerry Fontenot,NOR,34,C,16,16,,,,,,0,0,1,0,0,,,,
266,Henry Ford,TEN,29,,14,3,,,,,,0,0,1,30,1,2.0,20,12,
267,Jay Foreman,BUF,24,,15,3,,,,,,1,0,0,0,0,,36,19,
268,Larry Foster,DET,24,,10,0,,,,,,0,2,1,0,0,,,,
269,Todd Franz,2TM,24,,7,0,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Rob Fredrickson,ARI,29,RLB,13,12,1,8,0,8,0,,,,,,1.0,61,38,
271,Lennie Friedman,DEN,24,LG,16,8,,,,,,0,0,2,0,0,,,,
272,Scott Frost,NYJ,25,,16,1,1,1,0,1,0,,,,,,1.0,19,10,
273,Corey Fuller,CLE,29,LCB,15,15,3,0,0,0,0,1,0,1,0,0,,37,5,
274,Oronde Gadsden,MIA,29,WR,16,16,,,,,,0,0,2,0,0,,,,
275,Scott Galyon,MIA,26,,6,1,,,,,,,,,,,,8,1,
276,Trent Gamble,MIA,23,,16,0,,,,,,0,0,1,0,0,,2,1,
277,Wayne Gandy,PIT,29,LT,16,16,,,,,,0,0,1,0,0,,,,
278,Rich Gannon*+,OAK,35,QB,16,16,,,,,,0,9,2,-1,0,,,,
279,Frank Garcia,CAR,28,C,16,16,,,,,,0,0,1,0,0,,,,
280,Jeff Garcia*,SFO,30,QB,16,16,,,,,,0,7,4,-6,0,,,,
281,Daryl Gardener,MIA,27,RDT,10,10,,,,,,,,,,,2.5,35,14,
282,Barry Gardner,PHI,24,LLB,16,13,,,,,,,,,,,1.0,42,15,
283,Sam Garnes,NYG,26,SS,15,15,1,4,0,4,0,1,0,0,0,0,1.0,51,12,
284,Trevor Gaylor,SDG,23,,14,2,,,,,,0,0,1,13,0,,,,
285,Kabeer Gbaja-Biamila,GNB,23,,7,0,,,,,,,,,,,1.5,3,1,
286,Eddie George*+,TEN,27,RB,16,16,,,,,,0,5,2,0,0,,,,
287,Jeff George,WAS,33,qb,6,5,,,,,,0,3,1,-3,0,,,,
288,Ron George,KAN,30,,16,0,,,,,,,,,,,,0,2,
289,Tony George,NWE,25,,15,0,,,,,,0,0,2,24,0,,3,5,
290,David Gibson,TAM,23,,9,0,,,,,,,,,,,,2,0,
291,Oliver Gibson,CIN,28,LDT,16,16,,,,,,,,,,,4.0,43,9,
292,Sean Gilbert,CAR,30,RDT,15,15,1,0,0,0,0,1,0,1,0,0,4.0,38,15,
293,Jason Gildon*,PIT,28,LOLB,16,16,,,,,,4,0,4,22,1,13.5,58,19,
294,Aaron Glenn,NYJ,28,LCB,16,16,4,34,0,34,0,,,,,,,28,9,
295,La'Roi Glover*+,NOR,26,RDT,16,16,,,,,,3,0,1,0,0,17.0,54,13,
296,Randall Godfrey,TEN,27,MLB,16,16,2,25,1,24,0,5,0,1,0,0,3.0,99,22,
297,Mike Goff,CIN,24,RG,16,16,,,,,,0,0,2,0,0,,,,
298,Ian Gold,DEN,22,,16,0,,,,,,1,0,2,0,0,2.0,17,3,
299,Jack Golden,NYG,23,,16,0,,,,,,0,0,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
300,Tony Gonzalez*+,KAN,24,TE,16,16,,,,,,0,0,1,0,0,,,,
301,Jeff Gooch,TAM,26,,16,0,,,,,,,,,,,,6,1,
302,Darrien Gordon,OAK,30,,13,0,,,,,,0,2,1,74,1,,12,1,
303,Dwayne Gordon,NYJ,31,,15,1,,,,,,,,,,,,16,6,
304,Scott Gragg,SFO,28,RT,16,16,,,,,,0,0,1,0,0,,,,
305,Ernest Grant,MIA,24,,2,0,,,,,,,,,,,,1,0,
306,Orantes Grant,DAL,22,,13,0,,,,,,0,0,2,0,0,,3,0,
307,Billy Granville,CIN,26,,14,0,,,,,,0,0,1,0,0,,2,0,
308,Paul Grasmanis,PHI,26,,16,0,,,,,,,,,,,3.5,30,5,
309,Chris Gray,SEA,30,C,16,16,,,,,,0,0,1,0,0,,,,
310,Elvis Grbac*,KAN,30,QB,15,15,,,,,,0,7,2,-6,0,,,,
311,Ahman Green,GNB,23,RB,16,11,,,,,,0,6,1,0,0,,,,
312,Barrett Green,DET,23,,9,0,,,,,,0,0,1,0,0,,,,
313,Darrell Green,WAS,40,,13,2,3,35,0,33,0,2,0,0,0,0,,22,1,
314,Victor Green,NYJ,31,SS,16,16,6,144,1,43,0,0,0,4,0,0,,64,41,
315,Donovan Greer,BUF,26,,13,0,,,,,,0,0,1,0,0,,11,6,
316,Brian Griese*,DEN,25,QB,10,10,,,,,,0,5,2,-8,0,,,,
317,Cornelius Griffin,NYG,24,,15,0,,,,,,,,,,,5.0,21,4,
318,Howard Griffith,DEN,33,FB,14,14,,,,,,0,0,1,0,0,,,,
319,Robert Griffith*,MIN,30,SS,16,16,1,25,0,25,0,1,0,2,0,0,1.0,75,29,
320,Tim Grunhard,KAN,32,C,15,15,,,,,,0,0,1,0,0,,,,
321,Az-Zahir Hakim,STL,23,,16,4,,,,,,0,7,1,0,0,,,,
322,Ryan Hale,NYG,25,,16,0,,,,,,,,,,,,3,1,
323,Jermaine Haley,MIA,27,,15,4,,,,,,,,,,,1.5,15,7,1
324,Cory Hall,CIN,24,ss,16,6,1,12,0,12,0,,,,,,4.0,36,5,
325,James Hall,DET,23,,5,0,,,,,,1,0,0,0,0,1.0,1,0,
326,Lemanski Hall,MIN,30,,15,1,,,,,,1,0,1,1,0,,8,1,
327,Travis Hall,ATL,28,LDT,16,16,,,,,,0,0,1,0,0,4.5,45,18,
328,Darren Hambrick,DAL,25,LLB,16,16,,,,,,,,,,,1.0,61,16,
329,Bobby Hamilton,NWE,29,RDE,16,16,,,,,,0,0,1,0,0,1.5,42,37,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
330,Keith Hamilton,NYG,29,RDT,16,16,,,,,,,,,,,10.0,43,14,
331,Uhuru Hamiter,PHI,27,,7,0,,,,,,,,,,,,5,2,
332,Norman Hand,NOR,28,LDT,15,15,,,,,,1,0,0,0,0,3.0,44,10,
333,Karl Hankton,CAR,30,,16,0,,,,,,0,0,1,0,0,,,,
334,Phil Hansen,BUF,32,LDE,10,8,,,,,,0,0,1,29,0,2.0,16,11,
335,Jim Harbaugh,SDG,37,qb,7,5,,,,,,0,5,1,-5,0,,,,
336,Kevin Hardy,JAX,27,LLB/R,16,16,1,0,0,0,0,2,0,2,2,0,3.0,72,14,
337,Al Harris,PHI,26,,16,4,,,,,,,,,,,,26,1,
338,Antwan Harris,NWE,23,,14,0,1,11,0,11,0,0,0,1,0,0,1.0,6,1,
339,Bernardo Harris,GNB,29,MLB,16,16,,,,,,1,0,0,0,0,2.0,76,21,
340,Corey Harris,BAL,31,,16,0,2,44,0,42,0,1,1,0,0,0,,31,3,
341,Johnnie Harris,OAK,28,,15,2,,,,,,1,0,0,0,0,,27,6,
342,Sean Harris,CHI,28,LLB/R,15,13,,,,,,1,0,0,0,0,1.0,65,12,
343,Walt Harris,CHI,26,LCB,12,12,2,35,1,35,0,1,0,0,0,0,,33,9,
344,Nolan Harrison,WAS,31,,16,2,,,,,,,,,,,1.0,4,1,
345,Rodney Harrison,SDG,28,SS,16,16,6,97,1,63,0,1,0,0,0,0,6.0,101,26,
346,Jeff Hartings,DET,28,RG,16,16,,,,,,0,0,1,0,1,,,,
347,Richard Harvey,SDG,34,,8,0,,,,,,,,,,,,1,0,
348,Harald Hasselbach,DEN,33,,16,1,,,,,,1,0,0,0,0,2.5,7,2,
349,James Hasty,KAN,35,RCB,16,16,4,53,0,38,0,1,0,2,0,0,1.0,57,9,
350,Armon Hatcher,SDG,24,,4,0,,,,,,,,,,,,3,0,
351,Tim Hauck,PHI,34,,16,3,,,,,,0,0,1,0,0,,15,10,
352,Artrell Hawkins,CIN,24,rcb,16,6,,,,,,1,0,1,12,0,,43,4,
353,Duane Hawthorne,DAL,24,,14,0,,,,,,,,,,,,1,0,
354,Michael Hawthorne,NOR,23,,11,1,,,,,,0,0,1,0,0,,6,1,
355,Chris Hayes,NYJ,28,FS,16,8,1,0,0,0,0,0,0,1,0,0,,23,6,
356,Ronnie Heard,SFO,24,,13,3,,,,,,,,,,,2.0,13,3,
357,Rodney Heath,CIN,26,RCB,13,9,,,,,,0,0,1,0,0,,40,4,
358,Andy Heck,WAS,33,,16,2,,,,,,0,0,1,0,0,,,,
359,Steve Heiden,SDG,24,,15,3,,,,,,0,0,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
360,William Henderson,GNB,29,fb,16,6,,,,,,0,1,1,0,0,,,,
361,Tommy Hendricks,MIA,22,,8,0,,,,,,,,,,,,0,1,
362,Chad Hennings,DAL,35,LDT,8,8,,,,,,1,0,1,0,0,,18,7,
363,Kevin Henry,PIT,32,RDE,15,15,,,,,,0,0,1,0,0,,26,18,
364,Kim Herring,BAL,25,SS,16,16,3,74,0,30,0,2,0,0,0,0,1.0,47,7,
365,Chris Hetherington,CAR,28,fb,16,5,,,,,,0,0,1,0,0,,,,
366,Eric Hicks,KAN,24,LDE,13,11,,,,,,0,0,1,0,0,14.0,37,9,
367,Raion Hill,BUF,24,,16,0,,,,,,,,,,,,2,0,
368,John Hilliard,SEA,24,,5,0,,,,,,,,,,,,3,0,
369,Jimmy Hitchcock,CAR,30,,16,2,3,116,1,88,0,1,1,0,0,0,,29,1,
370,Nate Hobgood-Chittick,2TM,26,,10,0,,,,,,0,0,1,0,0,1.0,5,6,
371,James Hodgins,STL,23,,15,2,,,,,,0,0,1,0,0,,,,
372,Warrick Holdman,CHI,25,RLB,10,10,,,,,,,,,,,,60,15,
373,John Holecek,BUF,28,LILB,16,16,1,0,0,0,0,,,,,,,69,41,
374,Darius Holland,CLE,27,,16,1,1,0,0,0,0,2,0,0,0,0,1.0,28,4,
375,Vonnie Holliday,GNB,25,LDE,12,9,1,3,0,3,0,,,,,,5.0,22,13,
376,Dwight Hollier,IND,31,MLB,16,15,,,,,,,,,,,1.0,61,18,
377,Rob Holmberg,NWE,29,rilb,16,5,,,,,,,,,,,,16,4,
378,Earl Holmes,PIT,27,RILB,16,16,,,,,,1,0,1,4,0,1.0,87,41,
379,Kenny Holmes,TEN,27,RDE,14,13,,,,,,5,0,0,0,0,8.0,32,5,
380,Priest Holmes,BAL,27,,16,2,,,,,,0,2,1,0,0,,,,
381,Bernard Holsey,IND,27,LDE,16,13,,,,,,0,0,1,48,1,2.0,28,14,
382,Torry Holt*,STL,24,WR,16,15,,,,,,0,2,1,0,0,,,,
383,Brad Hoover,CAR,24,,16,4,,,,,,0,1,1,0,0,,,,
384,Joe Horn*,NOR,28,WR,16,16,,,,,,0,1,1,0,0,,,,
385,Tony Horne,STL,24,,11,0,,,,,,0,3,1,0,0,,,,
386,Chris Hovan,MIN,22,LDT,16,13,,,,,,,,,,,2.0,43,5,
387,Darren Howard,NOR,24,LDE,16,16,1,46,0,46,0,0,1,2,0,0,11.0,37,16,
388,Desmond Howard*,DET,30,,15,0,,,,,,0,2,1,0,0,,,,
389,Brock Huard,SEA,24,,5,4,,,,,,0,2,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
390,Deon Humphrey,2TM,24,,10,0,,,,,,0,0,1,0,0,,,,
391,Cletidus Hunt,GNB,24,LDE/R,16,11,,,,,,,,,,,5.0,18,10,
392,Gaylon Hyder,STL,26,,5,1,,,,,,,,,,,,2,0,
393,Ken Irvin,BUF,28,RCB,16,16,2,1,0,1,0,,,,,,,29,2,
394,Sale Isaia,NWE,28,RG,16,14,,,,,,0,0,1,0,0,,,,
395,Jabari Issa,ARI,22,,10,0,,,,,,,,,,,1.0,11,4,
396,Larry Izzo*,MIA,26,,16,0,,,,,,0,1,0,0,0,,5,1,
397,Brad Jackson,BAL,25,,10,0,,,,,,0,0,2,0,0,,,,
398,Darrell Jackson,SEA,22,WR,16,9,,,,,,0,2,1,18,0,,,,
399,Dexter Jackson,TAM,23,,13,0,,,,,,0,0,1,0,0,,18,2,
400,Grady Jackson,OAK,27,LDT,16,15,,,,,,2,0,1,0,0,8.0,51,17,
401,Greg Jackson,SDG,34,,2,1,,,,,,,,,,,,9,0,
402,Raymond Jackson,CLE,27,,9,1,,,,,,,,,,,,6,1,
403,Sheldon Jackson,BUF,24,TE,16,8,,,,,,0,0,1,0,0,,,,
404,Terry Jackson,SFO,24,,15,1,,,,,,0,0,1,0,0,,,,
405,Tyoka Jackson,TAM,29,,16,1,,,,,,,,,,,2.0,4,3,
406,Nate Jacquet,2TM,25,,12,0,,,,,,0,3,2,0,0,,,,
407,Tory James,OAK,27,,16,1,2,25,0,25,0,,,,,,,26,3,
408,Ed Jasper,ATL,27,RDT,15,15,,,,,,2,0,0,0,0,3.5,30,12,
409,Greg Jeffries,MIA,29,,11,0,1,3,0,3,0,,,,,,,7,0,
410,Billy Jenkins,DEN,26,SS,16,16,4,61,1,36,0,1,1,1,0,0,,77,16,
411,DeRon Jenkins,SDG,27,RCB,15,14,1,16,0,16,0,0,1,0,0,0,,50,5,
412,Ronney Jenkins,SDG,23,,16,0,,,,,,0,3,2,0,0,,,,
413,Brandon Jennings,OAK,22,,2,0,,,,,,,,,,,,1,0,
414,John Jett,DET,32,,16,0,,,,,,0,1,1,-10,0,,,,
415,Brad Johnson,WAS,32,QB,12,11,,,,,,0,5,2,-14,0,,,,
416,Ellis Johnson,IND,27,RDT,13,13,1,-1,0,-1,0,1,0,0,0,0,5.0,29,11,
417,Eric Johnson,OAK,24,,16,0,,,,,,,,,,,,3,0,
418,Garrett Johnson,NWE,25,,8,2,,,,,,0,0,1,0,0,,5,6,
419,Joe Johnson*,NOR,28,RDE,16,15,,,,,,3,0,2,0,0,12.0,38,10,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
420,Lee Johnson,NWE,39,,16,0,,,,,,0,2,1,-12,0,,,,
421,Olrick Johnson,NWE,23,,12,0,,,,,,,,,,,,4,0,
422,Rob Johnson,BUF,27,QB,12,11,,,,,,0,4,2,0,0,,,,
423,Ted Johnson,NWE,28,RILB,13,11,,,,,,0,0,3,0,0,0.5,51,22,
424,Lance Johnstone,OAK,27,RDE,14,9,,,,,,2,0,0,0,0,3.5,22,10,
425,Cedric Jones,NYG,26,RDE,16,16,,,,,,,,,,,3.5,36,11,
426,Fred Jones,BUF,23,,15,0,,,,,,,,,,,1.0,5,2,
427,Freddie Jones,SDG,26,TE,16,16,,,,,,0,3,1,0,0,,,,
428,Greg Jones,WAS,26,,16,4,,,,,,0,0,1,0,0,1.0,12,1,
429,Henry Jones,BUF,33,SS,16,16,2,45,1,45,0,0,0,1,14,0,,45,25,
430,James Jones,DET,31,LDT,16,16,,,,,,2,0,1,0,0,3.0,34,11,
431,Lenoy Jones,CLE,26,,8,1,,,,,,0,0,1,0,0,2.5,5,4,
432,Marcus Jones,TAM,27,RDE,16,16,,,,,,0,0,1,0,0,13.0,29,7,
433,Marvin Jones,NYJ,28,RILB,16,16,,,,,,2,0,1,0,0,1.0,102,33,
434,Mike Jones,STL,31,LLB,16,16,,,,,,1,0,0,0,0,2.0,62,11,
435,Reggie Jones,SDG,29,,11,2,,,,,,0,1,1,0,0,,,,
436,Robert Jones,MIA,31,RLB,16,16,,,,,,0,0,1,0,0,,33,18,
437,Tebucky Jones,NWE,26,FS,15,9,2,20,0,20,0,,,,,,,42,13,
438,Thomas Jones,ARI,22,,14,4,,,,,,0,4,1,0,0,,,,
439,Kerry Joseph,SEA,27,SS,16,10,,,,,,,,,,,,45,13,
440,Isaiah Kacyvenski,SEA,23,,16,0,1,0,0,0,0,0,0,1,0,0,,10,3,
441,N.D. Kalu,WAS,25,,15,0,,,,,,0,0,1,4,0,1.0,4,3,
442,Danny Kanell,ATL,27,,5,1,,,,,,0,2,2,-2,0,,,,
443,Andy Katzenmoyer,NWE,23,,8,3,,,,,,,,,,,,14,8,
444,Jevon Kearse*,TEN,24,LDE,16,16,,,,,,4,0,0,0,0,11.5,37,14,
445,John Keith,SFO,23,,6,3,1,0,0,0,0,4,0,0,0,0,1.0,37,16,
446,Brian Kelly,TAM,24,,16,3,1,9,1,9,0,0,0,2,0,0,,44,4,
447,Jeff Kelly,ATL,25,mlb,12,6,,,,,,,,,,,,18,7,
448,Maurice Kelly,SEA,28,,16,0,,,,,,,,,,,,0,1,
449,Rob Kelly,NOR,26,,12,0,,,,,,,,,,,,3,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
450,Pete Kendall,SEA,27,LG,16,16,,,,,,0,0,1,0,0,,,,
451,Cortez Kennedy,SEA,32,RDT,16,16,1,14,0,14,0,,,,,,1.0,32,18,
452,Kenoy Kennedy,DEN,23,,13,0,1,0,0,0,0,,,,,,,5,2,
453,Lincoln Kennedy*,OAK,29,RT,16,16,,,,,,0,0,2,0,0,,,,
454,Eddie Kennison,CHI,27,WR,16,10,,,,,,0,1,1,0,0,,,,
455,Patrick Kerney,ATL,24,LDE,16,16,1,8,0,8,0,,,,,,2.5,30,12,
456,Terry Killens,TEN,26,,16,0,,,,,,,,,,,1.0,2,0,
457,Cedric Killings,SFO,23,,14,1,,,,,,,,,,,3.0,10,5,
458,Lamar King,SEA,25,RDE,14,14,,,,,,,,,,,6.0,42,6,
459,Shaun King,TAM,23,QB,16,16,,,,,,0,4,3,0,0,,,,
460,Erron Kinney,TEN,23,TE,16,9,,,,,,0,1,1,0,0,,,,
461,Levon Kirkland,PIT,31,LILB,16,16,1,1,0,1,0,0,0,1,0,0,,65,21,
462,Travis Kirschke,DET,26,,13,0,,,,,,0,0,1,0,0,0.5,4,8,
463,Jon Kitna,SEA,28,QB,15,12,,,,,,0,17,9,-19,0,,,,
464,Sammy Knight,NOR,25,SS,16,16,5,68,2,37,0,1,0,0,0,0,2.0,74,26,
465,Tom Knight,ARI,26,RCB,16,15,,,,,,,,,,,1.0,48,8,
466,George Koonce,SEA,32,MLB,16,16,1,27,1,27,0,0,0,1,0,0,1.5,74,23,
467,Scott Kowalkowski,DET,32,,16,2,,,,,,2,0,1,2,0,,20,8,
468,Brian Kozlowski,ATL,30,,16,3,,,,,,0,0,2,0,0,,,,
469,Clint Kriewaldt,DET,24,,13,1,,,,,,0,0,1,0,0,,7,1,
470,Jason Kyle,SFO,28,,2,0,,,,,,,,,,,,2,0,
471,Matt LaBounty,SEA,31,,12,2,,,,,,,,,,,0.5,10,4,
472,Kenard Lang,WAS,25,,16,0,,,,,,1,0,1,0,0,3.0,16,0,
473,Jevon Langford,CIN,26,,11,3,,,,,,,,,,,,19,3,
474,Antonio Langham,NWE,28,rcb,15,7,1,24,0,24,0,,,,,,,35,5,
475,Kareem Larrimore,DAL,24,,15,4,,,,,,2,0,0,0,0,,10,3,
476,Leif Larsen,BUF,25,,7,0,,,,,,1,0,0,0,0,1.0,5,1,
477,Kwamie Lassiter,ARI,31,FS,16,16,1,11,0,11,0,1,0,1,0,0,,63,31,
478,Ty Law,NWE,26,LCB,15,15,2,32,0,32,0,,,,,,,63,11,
479,Ryan Leaf,SDG,24,QB,11,9,,,,,,0,12,4,-18,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
480,Matt Lepsis,DEN,26,RT,16,16,,,,,,0,0,1,0,0,,,,
481,Emarlos Leroy,JAX,25,,9,1,,,,,,,,,,,,5,0,
482,Leon Lett,DAL,32,rdt,9,7,,,,,,1,0,0,0,0,2.5,13,3,
483,Darryll Lewis,SDG,32,lcb,15,7,1,6,0,3,0,1,0,1,29,0,1.0,28,2,
484,Jamal Lewis,BAL,21,RB,16,13,,,,,,0,6,3,0,0,,,,
485,Jonas Lewis,SFO,24,,10,0,,,,,,0,0,1,0,0,,,,
486,Kevin Lewis,NYG,22,,7,0,,,,,,,,,,,,1,0,
487,Mo Lewis*,NYJ,31,LOLB,16,16,1,23,0,23,0,2,0,2,0,0,10.0,65,23,
488,Ray Lewis*+,BAL,25,MLB,16,16,2,1,0,1,0,0,0,3,0,0,3.0,107,30,
489,Jeremy Lincoln,DET,31,,3,0,,,,,,0,0,1,0,0,,,,
490,Everett Lindsay,CLE,30,RG,16,16,,,,,,0,0,1,0,0,,,,
491,Jonathan Linton,BUF,26,,14,2,,,,,,0,3,1,0,0,,,,
492,Earl Little,CLE,27,,16,0,1,7,0,7,0,0,1,1,0,0,,24,2,
493,Leonard Little,STL,26,,14,0,,,,,,1,0,0,0,0,5.0,14,3,
494,Kevin Lockett,KAN,26,,16,2,,,,,,0,3,1,0,0,,,,
495,Mike Lodish,DEN,33,,16,0,,,,,,,,,,,,9,1,
496,Ernie Logan,NYJ,32,,16,4,,,,,,2,0,0,0,0,,27,8,
497,James Logan,SEA,28,,16,0,,,,,,,,,,,,5,1,
498,Mike Logan,JAX,26,FS,15,11,2,14,0,14,0,1,0,1,3,0,1.0,48,6,
499,Kevin Long,TEN,25,C,16,16,,,,,,0,0,1,0,0,,,,
500,David Loverne,NYJ,24,,16,0,,,,,,0,0,1,0,0,,,,
501,Al Lucas,CAR,22,,13,0,,,,,,2,0,1,0,0,,20,4,
502,Justin Lucas,ARI,24,,16,0,,,,,,,,,,,,12,8,
503,Ray Lucas,NYJ,28,,7,0,,,,,,0,2,1,0,0,,,,
504,Nick Luchey,CIN,23,,14,4,,,,,,0,2,1,0,0,,,,
505,Todd Lyght,STL,31,LCB,14,12,2,21,0,21,0,1,0,0,0,0,1.0,47,5,
506,Keith Lyle,STL,28,FS,16,16,1,9,0,9,0,1,0,1,94,1,,66,15,
507,Rick Lyle,NYJ,29,LDE,14,14,,,,,,1,0,0,0,0,1.0,40,8,
508,John Lynch*+,TAM,29,SS,16,16,3,43,0,36,0,0,0,2,8,0,1.0,57,28,
509,Billy Lyon,GNB,27,,11,1,,,,,,,,,,,1.0,7,4,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
510,Stacey Mack,JAX,25,,6,2,,,,,,0,3,1,0,0,,,,
511,Tremain Mack,CIN,26,,16,0,,,,,,0,3,1,0,0,,12,6,
512,David Macklin,IND,22,,16,2,2,35,0,35,0,,,,,,,23,4,
513,Mark Maddox,ARI,32,,14,0,,,,,,1,0,1,-2,0,1.5,8,2,
514,Sam Madison*+,MIA,26,RCB,16,16,5,80,0,34,0,2,1,2,20,1,,29,10,
515,Anthony Malbrough,CLE,24,,9,1,,,,,,,,,,,,15,0,
516,Mike Mamula,PHI,27,lde,15,6,,,,,,,,,,,5.5,18,5,
517,Peyton Manning*,IND,24,QB,16,16,,,,,,0,5,1,-3,0,,,,
518,Brock Marion*,MIA,30,FS,16,16,5,72,0,24,0,0,0,1,0,0,,72,24,
519,Steve Martin,KAN,26,,16,0,,,,,,,,,,,,8,5,
520,Lonnie Marts,JAX,32,,7,3,,,,,,0,0,1,3,0,,5,1,
521,Russell Maryland,GNB,31,LDT,16,16,,,,,,,,,,,,18,18,1
522,Mike Maslowski,KAN,26,llb,16,5,,,,,,1,0,1,0,0,2.0,29,12,
523,Derrick Mason*+,TEN,26,WR,16,10,,,,,,0,1,1,0,0,,,,
524,Eddie Mason,WAS,28,,16,2,,,,,,,,,,,2.0,14,0,
525,Kevin Mathis,NOR,26,LCB,16,16,1,0,0,0,0,2,1,0,0,0,,58,15,
526,Shane Matthews,CHI,30,qb,6,5,,,,,,0,2,1,0,0,,,,
527,Fred McAfee,NOR,32,,12,0,,,,,,0,0,1,0,0,,,,
528,Chris McAlister,BAL,23,RCB,16,16,4,165,1,98,0,0,0,1,0,0,,35,6,
529,Tod McBride,GNB,24,lcb,15,6,2,43,0,43,0,,,,,,,43,11,
530,Gerald McBurrows,ATL,27,,16,4,,,,,,0,0,2,0,0,2.0,29,7,
