
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Hamza Abdullah,ARI,27,,6,0,,,,,,,,,,,,1,3,
2,Husain Abdullah,MIN,25,SS,15,15,3,5,0,5,7,,,,,,,50,21,
3,John Abraham*+,ATL,32,LDE,15,13,1,6,0,6,4,1,0,0,0,0,13.0,35,5,
4,Anthony Adams,CHI,30,RDT,16,16,0,0,0,0,1,2,0,0,0,0,2.0,33,4,
5,Flozell Adams,PIT,35,RT,16,16,,,,,,0,0,1,0,0,,1,0,
6,Jamar Adams,PHI,25,,1,1,0,0,0,0,1,,,,,,,2,1,
7,Michael Adams,ARI,25,,16,4,2,36,0,36,7,0,0,1,30,1,,42,10,
8,Mike Adams,CLE,29,,15,2,2,51,0,26,6,,,,,,1.0,39,6,
9,Phillip Adams,SFO,22,,15,0,0,0,0,0,1,0,1,0,0,0,,4,4,
10,Joseph Addai,IND,27,rb,8,7,,,,,,0,2,1,0,0,,,,
11,Xavier Adibi,HOU,26,,11,3,,,,,,1,0,0,0,0,,14,6,
12,Spencer Adkins,ATL,23,,9,0,,,,,,,,,,,,0,1,
13,Al Afalava,IND,23,,4,0,,,,,,,,,,,,0,1,
14,C.J. Ah You,STL,28,,16,0,0,0,0,0,2,1,0,0,0,0,4.0,12,6,
15,Sam Aiken,CLE,30,,3,0,,,,,,,,,,,,1,0,
16,Seyi Ajirotutu,SDG,23,,10,0,,,,,,,,,,,,1,1,
17,David Akers*,PHI,36,,16,0,,,,,,,,,,,,1,1,
18,Ikaika Alama-Francis,MIA,26,,11,0,,,,,,,,,,,,9,2,
19,Branden Albert,KAN,26,LT,15,15,,,,,,0,0,1,0,0,,,,
20,Eric Alexander,2TM,28,,9,0,,,,,,1,0,0,0,0,,6,3,
21,Gerald Alexander,2TM,26,,5,3,0,0,0,0,3,0,0,1,43,0,,10,6,
