
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
17,Steven Jackson,STL,22,RB,15,15,254,1046,8,51,4.1,69.7,16.9,55,43,320,7.4,2,27,2.9,21.3,1366,10,3
18,Mike Anderson,DEN,32,RB,15,15,239,1014,12,44,4.2,67.6,15.9,21,18,212,11.8,1,66,1.2,14.1,1226,13,2
19,Domanick Williams,HOU,25,RB,11,11,230,976,2,44,4.2,88.7,20.9,48,39,337,8.6,4,33,3.5,30.6,1313,6,2
20,Chris Brown,TEN,24,RB,15,14,224,851,5,38,3.8,56.7,14.9,37,25,327,13.1,2,57,1.7,21.8,1178,7,4
21,Curtis Martin,NYJ,32,RB,12,12,220,735,5,49,3.3,61.3,18.3,30,24,118,4.9,0,14,2.0,9.8,853,5,2
22,Corey Dillon,NWE,31,RB,12,10,209,733,12,29,3.5,61.1,17.4,26,22,181,8.2,1,25,1.8,15.1,914,13,1
23,Ronnie Brown,MIA,24,RB,15,14,207,907,4,65,4.4,60.5,13.8,47,32,232,7.3,1,38,2.1,15.5,1139,5,4
24,DeShaun Foster,CAR,25,rb,15,5,205,879,2,70,4.3,58.6,13.7,48,34,372,10.9,1,47,2.3,24.8,1251,3,2
25,Fred Taylor,JAX,29,RB,11,11,194,787,3,71,4.1,71.5,17.6,18,13,83,6.4,0,13,1.2,7.5,870,3,0
26,Kevin Jones,DET,23,RB,13,13,186,664,5,40,3.6,51.1,14.3,28,20,109,5.5,0,28,1.5,8.4,773,5,2
27,Stephen Davis,CAR,31,RB,13,11,180,549,12,39,3.1,42.2,13.8,12,5,45,9.0,0,21,0.4,3.5,594,12,2
28,Kevan Barlow,SFO,26,RB,12,12,176,581,3,29,3.3,48.4,14.7,42,31,241,7.8,0,24,2.6,20.1,822,3,2
29,Tatum Bell,DEN,24,rb,15,1,173,921,8,68,5.3,61.4,11.5,28,18,104,5.8,0,14,1.2,6.9,1025,8,3
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
30,Ricky Williams,MIA,28,rb,12,3,168,743,6,35,4.4,61.9,14.0,20,17,93,5.5,0,19,1.4,7.8,836,6,1
31,Antowain Smith,NOR,33,rb,16,7,166,659,3,42,4.0,41.2,10.4,15,12,46,3.8,0,8,0.8,2.9,705,3,2
32,Marcel Shipp,ARI,27,RB,15,11,157,451,0,19,2.9,30.1,10.5,44,35,255,7.3,0,28,2.3,17.0,706,0,4
33,Brian Westbrook,PHI,26,RB,12,12,156,617,3,31,4.0,51.4,13.0,96,61,616,10.1,4,62,5.1,51.3,1233,7,0
34,Mewelde Moore,MIN,23,RB,16,8,155,662,1,33,4.3,41.4,9.7,49,37,339,9.2,2,29,2.3,21.2,1001,3,2
35,Greg Jones,JAX,24,FB,14,13,151,575,4,27,3.8,41.1,10.8,15,10,65,6.5,0,10,0.7,4.6,640,4,0
36,Samkon Gado,GNB,23,rb,8,5,143,582,6,64,4.1,72.8,17.9,12,10,77,7.7,1,30,1.3,9.6,659,7,4
37,Marion Barber,DAL,22,,13,2,138,538,5,28,3.9,41.4,10.6,25,18,115,6.4,0,21,1.4,8.8,653,5,3
38,Frank Gore,SFO,22,,14,1,127,608,3,72,4.8,43.4,9.1,22,15,131,8.7,0,47,1.1,9.4,739,3,2
39,Michael Bennett,MIN,27,rb,16,6,126,473,3,61,3.8,29.6,7.9,31,27,124,4.6,2,20,1.7,7.8,597,5,5
40,T.J. Duckett,ATL,24,,14,0,121,380,8,25,3.1,27.1,8.6,7,6,63,10.5,0,19,0.4,4.5,443,8,2
41,Priest Holmes,KAN,32,rb,7,7,119,451,6,35,3.8,64.4,17.0,32,21,197,9.4,1,60,3.0,28.1,648,7,1
42,Chester Taylor,BAL,26,,15,1,117,487,0,52,4.2,32.5,7.8,53,41,292,7.1,1,20,2.7,19.5,779,1,3
43,J.J. Arrington,ARI,22,rb,15,5,112,370,2,32,3.3,24.7,7.5,34,25,139,5.6,0,15,1.7,9.3,509,2,1
44,Jerome Bettis,PIT,33,,12,0,110,368,9,39,3.3,30.7,9.2,4,4,40,10.0,0,16,0.3,3.3,408,9,0
45,Artose Pinner,DET,27,,16,2,106,349,3,19,3.3,21.8,6.6,25,21,181,8.6,0,24,1.3,11.3,530,3,0
46,Michael Vick*,ATL,25,QB,15,15,102,597,6,32,5.9,39.8,6.8,1,1,-14,-14.0,0,-14,0.1,-0.9,583,6,11
47,Aaron Stecker,NOR,30,,15,4,95,363,0,32,3.8,24.2,6.3,48,35,281,8.0,0,41,2.3,18.7,644,0,3
48,Deuce McAllister,NOR,27,rb,5,5,93,335,3,26,3.6,67.0,18.6,18,17,117,6.9,0,22,3.4,23.4,452,3,0
49,Jonathan Wells,HOU,26,rb,15,6,90,325,4,14,3.6,21.7,6.0,27,22,179,8.1,0,20,1.5,11.9,504,4,1
50,Ladell Betts,WAS,26,,12,0,89,338,1,22,3.8,28.2,7.4,17,10,78,7.8,1,26,0.8,6.5,416,2,3
51,Travis Henry,TEN,27,,10,1,88,335,0,29,3.8,33.5,8.8,20,13,117,9.0,0,42,1.3,11.7,452,0,2
52,Cedric Houston,NYJ,23,,12,4,81,302,2,17,3.7,25.2,6.8,10,8,66,8.3,0,16,0.7,5.5,368,2,1
53,Ahman Green,GNB,28,rb,5,5,77,255,0,13,3.3,51.0,15.4,27,19,147,7.7,0,20,3.8,29.4,402,0,1
54,Adrian Peterson,CHI,26,,16,0,76,391,2,36,5.1,24.4,4.8,12,7,48,6.9,0,18,0.4,3.0,439,2,1
55,Verron Haynes,PIT,26,,14,0,74,274,3,20,3.7,19.6,5.3,17,11,113,10.3,0,18,0.8,8.1,387,3,2
56,Maurice Morris,SEA,26,,16,2,71,288,1,49,4.1,18.0,4.4,6,5,48,9.6,0,20,0.3,3.0,336,1,0
57,Michael Pittman,TAM,30,,16,4,70,436,1,64,6.2,27.3,4.4,46,36,300,8.3,1,41,2.3,18.8,736,2,1
58,Cedric Benson,CHI,23,,9,1,67,272,0,36,4.1,30.2,7.4,1,1,3,3.0,0,3,0.1,0.3,275,0,1
59,Marshall Faulk,STL,32,,16,1,65,292,0,20,4.5,18.3,4.1,58,44,291,6.6,1,18,2.8,18.2,583,1,2
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
60,Shawn Bryson,DET,29,,16,2,64,306,1,77,4.8,19.1,4.0,47,37,284,7.7,0,63,2.3,17.8,590,1,1
61,Chris Perry,CIN,24,,14,2,61,279,0,30,4.6,19.9,4.4,62,51,328,6.4,2,28,3.6,23.4,607,2,2
62,Zack Crockett,OAK,33,FB,16,10,60,208,1,24,3.5,13.0,3.8,18,13,111,8.5,0,23,0.8,6.9,319,1,1
63,Tony Fisher,GNB,26,,14,4,60,173,1,17,2.9,12.4,4.3,65,48,347,7.2,1,15,3.4,24.8,520,2,2
64,Maurice Hicks,SFO,27,,14,3,59,308,3,73,5.2,22.0,4.2,16,12,47,3.9,0,11,0.9,3.4,355,3,0
65,Michael Turner,SDG,23,,16,0,57,335,3,83,5.9,20.9,3.6,,,,,,,,,335,3,0
66,David Carr,HOU,26,QB,16,16,56,308,1,20,5.5,19.3,3.5,,,,,,,,,308,1,17
67,Ryan Moats,PHI,23,,7,1,55,278,3,59,5.1,39.7,7.9,6,4,7,1.8,0,9,0.6,1.0,285,3,3
68,Lamar Gordon,PHI,25,,14,4,54,182,1,11,3.4,13.0,3.9,17,11,79,7.2,0,18,0.8,5.6,261,1,3
69,Patrick Pass,NWE,28,,12,4,54,245,3,31,4.5,20.4,4.5,30,22,227,10.3,0,39,1.8,18.9,472,3,2
70,Ron Dayne,DEN,27,,10,0,53,270,1,55,5.1,27.0,5.3,3,3,17,5.7,0,7,0.3,1.7,287,1,1
71,Heath Evans,2TM,27,,12,3,52,192,0,21,3.7,16.0,4.3,17,14,105,7.5,0,19,1.2,8.8,297,0,0
72,Kevin Faulk,NWE,29,,8,2,51,145,0,13,2.8,18.1,6.4,37,29,260,9.0,0,23,3.6,32.5,405,0,3
73,Noah Herron,2TM,23,,7,0,48,123,2,17,2.6,17.6,6.9,,,,,,,,,123,2,0
74,Vernand Morency,HOU,25,,12,1,46,184,2,25,4.0,15.3,3.8,15,10,87,8.7,0,16,0.8,7.3,271,2,1
75,Jake Plummer*,DEN,31,QB,16,16,46,151,2,22,3.3,9.4,2.9,,,,,,,,,151,2,4
76,Tyson Thompson,DAL,24,,15,0,46,182,0,16,4.0,12.1,3.1,4,3,16,5.3,0,8,0.2,1.1,198,0,2
77,Aaron Brooks,NOR,29,QB,13,13,45,281,2,22,6.2,21.6,3.5,,,,,,,,,281,2,4
78,Shaud Williams,BUF,25,,16,0,45,161,0,28,3.6,10.1,2.8,23,17,118,6.9,0,23,1.1,7.4,279,0,0
79,Anthony Thomas,2TM,28,,10,2,43,92,0,12,2.1,9.2,4.3,8,4,13,3.3,0,6,0.4,1.3,105,0,0
80,Mark Brunell,WAS,35,QB,16,15,42,111,0,25,2.6,6.9,2.6,,,,,,,,,111,0,11
81,Dominic Rhodes,IND,26,,13,1,40,118,4,24,3.0,9.1,3.1,16,12,88,7.3,0,15,0.9,6.8,206,4,2
82,Alvin Pearman,JAX,23,,16,0,39,149,1,45,3.8,9.3,2.4,36,32,240,7.5,0,19,2.0,15.0,389,1,4
83,Brandon Jacobs,NYG,23,,16,0,38,99,7,21,2.6,6.2,2.4,,,,,,,,,99,7,1
84,Duce Staley,PIT,30,,5,1,38,148,1,17,3.9,29.6,7.6,7,6,34,5.7,0,9,1.2,6.8,182,1,1
85,Nick Goings,CAR,27,,16,1,37,133,0,17,3.6,8.3,2.3,20,14,151,10.8,0,30,0.9,9.4,284,0,1
86,Matt Hasselbeck*,SEA,30,QB,16,16,36,124,1,23,3.4,7.8,2.3,,,,,,,,,124,1,4
87,LaBrandon Toefield,JAX,25,,9,2,36,142,4,32,3.9,15.8,4.0,7,3,17,5.7,0,11,0.3,1.9,159,4,0
88,Brooks Bollinger,NYJ,26,QB,11,9,35,135,0,15,3.9,12.3,3.2,,,,,,,,,135,0,3
89,Trent Green*,KAN,35,QB,16,16,35,82,0,13,2.3,5.1,2.2,,,,,,,,,82,0,8
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
90,Derrick Ward,NYG,25,,14,0,35,123,0,12,3.5,8.8,2.5,5,2,13,6.5,0,8,0.1,0.9,136,0,0
91,Mike Alstott,TAM,32,fb,16,7,34,80,6,9,2.4,5.0,2.1,38,25,222,8.9,1,24,1.6,13.9,302,7,0
92,Drew Bledsoe,DAL,33,QB,16,16,34,50,2,9,1.5,3.1,2.1,,,,,,,,,50,2,17
93,Mike McMahon,PHI,26,qb,9,7,34,118,3,19,3.5,13.1,3.8,,,,,,,,,118,3,8
94,Carson Palmer*,CIN,26,QB,16,16,34,41,1,14,1.2,2.6,2.1,,,,,,,,,41,1,5
95,Peyton Manning*+,IND,29,QB,16,16,33,45,0,12,1.4,2.8,2.1,,,,,,,,,45,0,5
96,Jarrett Payton,TEN,25,,13,0,33,105,2,15,3.2,8.1,2.5,10,6,30,5.0,0,9,0.5,2.3,135,2,0
97,Ciatrick Fason,MIN,23,,13,0,32,62,4,15,1.9,4.8,2.5,,,,,,,,,62,4,1
98,Steve McNair*,TEN,32,QB,14,14,32,139,1,19,4.3,9.9,2.3,,,,,,,,,139,1,7
99,David Garrard,JAX,27,qb,7,5,31,172,3,28,5.5,24.6,4.4,,,,,,,,,172,3,4
100,Byron Leftwich,JAX,25,QB,11,11,31,67,2,9,2.2,6.1,2.8,,,,,,,,,67,2,8
101,J.P. Losman,BUF,24,QB,9,8,31,154,0,30,5.0,17.1,3.4,,,,,,,,,154,0,7
102,Ben Roethlisberger,PIT,23,QB,12,12,31,69,3,13,2.2,5.8,2.6,,,,,,,,,69,3,2
103,Najeh Davenport,GNB,26,,5,1,30,105,2,24,3.5,21.0,6.0,2,2,3,1.5,0,2,0.4,0.6,108,2,1
104,Alex Smith,SFO,21,qb,9,7,30,103,0,19,3.4,11.4,3.3,,,,,,,,,103,0,11
105,Eli Manning,NYG,24,QB,16,16,29,80,1,14,2.8,5.0,1.8,,,,,,,,,80,1,9
106,Josh McCown,ARI,26,qb,9,6,29,139,0,12,4.8,15.4,3.2,,,,,,,,,139,0,5
107,Lorenzo Neal*,SDG,35,FB,16,15,29,98,0,9,3.4,6.1,1.8,29,24,145,6.0,1,21,1.5,9.1,243,1,0
108,Earnest Graham,TAM,25,,16,0,28,83,0,16,3.0,5.2,1.8,,,,,,,,,83,0,1
109,Tom Brady*,NWE,28,QB,16,16,27,89,1,15,3.3,5.6,1.7,,,,,,,,,89,1,4
110,Rock Cartwright,WAS,26,,16,0,27,199,2,52,7.4,12.4,1.7,4,2,23,11.5,0,17,0.1,1.4,222,2,1
111,Gus Frerotte,MIA,34,QB,16,15,27,61,0,14,2.3,3.8,1.7,,,,,,,,,61,0,13
112,Donovan McNabb,PHI,29,QB,9,9,25,55,1,11,2.2,6.1,2.8,,,,,,,,,55,1,8
113,Mike Cloud,2TM,30,,7,0,24,59,0,15,2.5,8.4,3.4,,,,,,,,,59,0,0
114,Daunte Culpepper,MIN,28,qb,7,7,24,147,1,18,6.1,21.0,3.4,,,,,,,,,147,1,5
115,Jake Delhomme*,CAR,30,QB,16,16,24,31,1,12,1.3,1.9,1.5,,,,,,,,,31,1,12
116,Joey Harrington,DET,27,QB,12,11,24,80,0,15,3.3,6.7,2.0,1,1,-4,-4.0,0,-4,0.1,-0.3,76,0,7
117,Kyle Orton,CHI,23,QB,15,15,24,44,0,15,1.8,2.9,1.6,,,,,,,,,44,0,12
118,Kyle Boller,BAL,24,QB,9,9,23,66,1,9,2.9,7.3,2.6,,,,,,,,,66,1,8
119,Obafemi Ayanbadejo,ARI,30,,16,2,22,46,0,11,2.1,2.9,1.4,45,34,231,6.8,0,18,2.1,14.4,277,0,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
120,Drew Brees,SDG,26,QB,16,16,21,49,1,9,2.3,3.1,1.3,,,,,,,,,49,1,8
121,Trent Dilfer,CLE,33,QB,11,11,20,46,0,12,2.3,4.2,1.8,,,,,,,,,46,0,9
122,William Green,CLE,26,,8,0,20,78,0,17,3.9,9.8,2.5,8,5,30,6.0,0,14,0.6,3.8,108,0,0
123,Reno Mahe,PHI,25,,15,0,20,87,0,13,4.4,5.8,1.3,20,12,68,5.7,0,12,0.8,4.5,155,0,2
124,Chris Simms,TAM,25,QB,11,10,19,31,0,10,1.6,2.8,1.7,1,1,-3,-3.0,0,-3,0.1,-0.3,28,0,6
125,Brett Favre,GNB,36,QB,16,16,18,62,0,20,3.4,3.9,1.1,,,,,,,,,62,0,10
126,Charlie Frye,CLE,24,qb,7,5,18,60,1,16,3.3,8.6,2.6,,,,,,,,,60,1,7
127,Kelly Holcomb,BUF,32,QB,10,8,18,11,1,8,0.6,1.1,1.8,,,,,,,,,11,1,13
128,Brad Johnson,MIN,37,QB,15,9,18,53,0,16,2.9,3.5,1.2,,,,,,,,,53,0,5
129,Anthony Wright,BAL,29,qb,9,7,18,68,0,22,3.8,7.6,2.0,,,,,,,,,68,0,5
130,Derrick Blaylock,NYJ,26,,7,1,17,53,0,11,3.1,7.6,2.4,4,3,17,5.7,0,10,0.4,2.4,70,0,0
131,Kerry Collins,OAK,33,QB,15,15,17,39,1,18,2.3,2.6,1.1,,,,,,,,,39,1,13
132,Jeff Garcia,DET,35,qb,6,5,17,51,1,14,3.0,8.5,2.8,,,,,,,,,51,1,1
133,Mack Strong*+,SEA,34,fb,16,6,17,78,0,16,4.6,4.9,1.1,27,22,166,7.5,0,27,1.4,10.4,244,0,0
134,Leonard Weaver,SEA,23,,16,0,17,80,0,24,4.7,5.0,1.1,3,1,12,12.0,0,12,0.1,0.8,92,0,0
135,Sammy Morris,MIA,28,,16,2,16,58,1,9,3.6,3.6,1.0,12,8,54,6.8,0,18,0.5,3.4,112,1,0
136,Bruce Perry,PHI,24,,2,1,16,74,0,11,4.6,37.0,8.0,,,,,,,,,74,0,0
137,Justin Griffith,ATL,25,FB,16,15,15,65,0,19,4.3,4.1,0.9,34,21,111,5.3,3,17,1.3,6.9,176,3,1
138,Ryan Fitzpatrick,STL,23,,4,3,14,64,2,14,4.6,16.0,3.5,,,,,,,,,64,2,3
139,Jamal Robertson,CAR,28,,7,0,14,41,1,11,2.9,5.9,2.0,,,,,,,,,41,1,1
140,B.J. Askew,NYJ,25,,10,1,13,59,0,14,4.5,5.9,1.3,1,1,11,11.0,0,11,0.1,1.1,70,0,0
141,Ran Carthon,IND,24,,6,0,13,18,1,7,1.4,3.0,2.2,1,1,10,10.0,0,10,0.2,1.7,28,1,1
142,Brian Griese,TAM,30,qb,6,6,13,12,0,7,0.9,2.0,2.2,,,,,,,,,12,0,2
143,Arlen Harris,STL,25,,16,0,13,21,1,10,1.6,1.3,0.8,5,4,34,8.5,0,17,0.3,2.1,55,1,0
144,Cody Pickett,SFO,25,,5,2,13,42,0,12,3.2,8.4,2.6,,,,,,,,,42,0,3
145,Kurt Warner,ARI,34,QB,10,10,13,28,0,13,2.2,2.8,1.3,1,1,0,0.0,0,0,0.1,0.0,28,0,9
146,Moe Williams,MIN,31,,6,1,13,20,0,9,1.5,3.3,2.2,14,8,52,6.5,0,25,1.3,8.7,72,0,1
147,Anquan Boldin,ARI,25,WR,14,14,12,45,0,11,3.8,3.2,0.9,171,102,1402,13.7,7,54,7.3,100.1,1447,7,2
148,Chris Chambers*,MIA,27,WR,16,16,12,92,0,61,7.7,5.8,0.8,166,82,1118,13.6,11,77,5.1,69.9,1210,11,5
149,Matt Jones,JAX,22,,16,1,12,51,0,25,4.3,3.2,0.8,69,36,432,12.0,5,42,2.3,27.0,483,5,2
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
150,Antwaan Randle El,PIT,26,WR,16,15,12,73,0,43,6.1,4.6,0.8,69,35,558,15.9,1,63,2.2,34.9,631,1,4
151,Jim Sorgi,IND,25,,5,0,12,1,0,6,0.1,0.2,2.4,,,,,,,,,1,0,1
152,Charlie Batch,PIT,31,,4,2,11,30,1,15,2.7,7.5,2.8,,,,,,,,,30,1,1
153,ReShard Lee,GNB,25,,7,1,11,16,0,4,1.5,2.3,1.6,1,1,5,5.0,0,5,0.1,0.7,21,0,2
154,Bradlee Van Pelt,DEN,25,,3,0,11,48,1,11,4.4,16.0,3.7,,,,,,,,,48,1,0
155,Jason Wright,CLE,23,,3,0,11,27,1,6,2.5,9.0,3.7,3,3,15,5.0,0,15,1.0,5.0,42,1,0
156,Aveion Cason,STL,26,,2,0,10,65,1,14,6.5,32.5,5.0,1,1,11,11.0,0,11,0.5,5.5,76,1,0
157,Brad Hoover,CAR,29,FB,15,15,10,22,0,4,2.2,1.5,0.7,21,14,87,6.2,0,12,0.9,5.8,109,0,0
158,Marc Bulger,STL,28,QB,8,8,9,29,0,9,3.2,3.6,1.1,1,1,1,1.0,0,1,0.1,0.1,30,0,4
159,Jamie Martin,STL,35,qb,8,5,9,6,0,9,0.7,0.8,1.1,,,,,,,,,6,0,2
160,Matt Schaub,ATL,24,,16,1,9,76,0,23,8.4,4.8,0.6,,,,,,,,,76,0,1
161,Arnaz Battle,SFO,25,WR,10,8,8,11,0,9,1.4,1.1,0.8,54,32,363,11.3,3,39,3.2,36.3,374,3,1
162,Todd Bouman,NOR,33,,16,3,8,15,0,6,1.9,0.9,0.5,,,,,,,,,15,0,4
163,Antonio Chatman,GNB,26,,16,3,8,34,0,11,4.3,2.1,0.5,86,49,549,11.2,4,25,3.1,34.3,583,4,0
164,Mark Clayton,BAL,23,WR,14,10,8,33,1,11,4.1,2.4,0.6,87,44,471,10.7,2,47,3.1,33.6,504,3,0
165,Larry Fitzgerald*,ARI,22,WR,16,16,8,41,0,15,5.1,2.6,0.5,165,103,1409,13.7,10,47,6.4,88.1,1450,10,0
166,T.J. Houshmandzadeh,CIN,28,WR,14,12,8,62,1,17,7.8,4.4,0.6,115,78,956,12.3,7,43,5.6,68.3,1018,8,1
167,Jeremi Johnson,CIN,25,FB,16,11,8,14,0,5,1.8,0.9,0.5,19,12,65,5.4,3,27,0.8,4.1,79,3,2
168,Tommy Maddox,PIT,34,,4,2,8,26,0,16,3.3,6.5,2.0,,,,,,,,,26,0,2
169,Darren Sproles,SDG,22,,15,0,8,50,0,21,6.3,3.3,0.5,4,3,10,3.3,0,6,0.2,0.7,60,0,3
170,Lee Suggs,CLE,25,,8,0,8,15,0,7,1.9,1.9,1.0,8,6,26,4.3,0,8,0.8,3.3,41,0,0
171,Chris Weinke,CAR,33,,3,0,8,-5,0,1,-0.6,-1.7,2.7,,,,,,,,,-5,0,0
172,Dee Brown,KAN,27,,8,0,7,21,0,7,3.0,2.6,0.9,3,3,23,7.7,1,9,0.4,2.9,44,1,0
173,Dante Hall,KAN,27,,16,2,7,11,0,7,1.6,0.7,0.4,51,34,436,12.8,3,52,2.1,27.3,447,3,5
174,Eddie Kennison,KAN,32,WR,16,16,7,43,0,23,6.1,2.7,0.4,108,68,1102,16.2,5,55,4.3,68.9,1145,5,1
175,Matt Mauck,TEN,26,,2,1,7,39,0,12,5.6,19.5,3.5,,,,,,,,,39,0,1
176,James Mungro,IND,27,,12,0,7,15,0,7,2.1,1.3,0.6,3,3,28,9.3,0,17,0.3,2.3,43,0,0
177,Patrick Ramsey,WAS,26,,4,1,7,3,0,5,0.4,0.8,1.8,,,,,,,,,3,0,2
178,Tim Rattay,SFO,28,,4,4,7,18,0,13,2.6,4.5,1.8,,,,,,,,,18,0,3
179,Vinny Testaverde,NYJ,42,,6,4,7,4,2,2,0.6,0.7,1.2,,,,,,,,,4,2,7
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
180,Amos Zereoue,NWE,29,,3,0,7,14,0,12,2.0,4.7,2.3,1,1,5,5.0,0,5,0.3,1.7,19,0,0
181,Tim Carter,NYG,26,,15,1,6,46,0,22,7.7,3.1,0.4,25,10,186,18.6,0,44,0.7,12.4,232,0,0
182,Matt Cassel,NWE,23,,2,0,6,12,0,9,2.0,6.0,3.0,,,,,,,,,12,0,2
183,Andre Johnson,HOU,24,WR,13,13,6,10,0,5,1.7,0.8,0.5,114,63,688,10.9,2,53,4.8,52.9,698,2,1
184,Mike Karney,NOR,24,FB,16,14,6,12,0,3,2.0,0.8,0.4,13,10,61,6.1,0,10,0.6,3.8,73,0,0
185,Damien Nash,TEN,23,,3,0,6,32,0,8,5.3,10.7,2.0,3,3,14,4.7,0,7,1.0,4.7,46,0,0
186,Chad Pennington,NYJ,29,,3,3,6,27,0,14,4.5,9.0,2.0,,,,,,,,,27,0,8
187,Tony Richardson,KAN,34,FB,16,16,6,20,0,8,3.3,1.3,0.4,16,9,68,7.6,1,22,0.6,4.3,88,1,0
188,Sage Rosenfels,MIA,27,,4,1,6,15,0,12,2.5,3.8,1.5,,,,,,,,,15,0,1
189,Terrelle Smith,CLE,27,FB,16,15,6,9,0,4,1.5,0.6,0.4,16,12,58,4.8,1,9,0.8,3.6,67,1,0
190,Seneca Wallace,SEA,25,,7,0,6,-5,0,0,-0.8,-0.7,0.9,,,,,,,,,-5,0,2
