
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Shaun Alexander*+,SEA,28,RB,16,16,370,1880,27,88,5.1,117.5,23.1,29,15,78,5.2,1,9,0.9,4.9,1958,28,5
2,Edgerrin James*,IND,27,RB,15,15,360,1506,13,33,4.2,100.4,24.0,50,44,337,7.7,1,20,2.9,22.5,1843,14,2
3,Tiki Barber*+,NYG,30,RB,16,16,357,1860,9,95,5.2,116.3,22.3,70,54,530,9.8,2,48,3.4,33.1,2390,11,1
4,Clinton Portis,WAS,24,RB,16,16,352,1516,11,47,4.3,94.8,22.0,41,30,216,7.2,0,23,1.9,13.5,1732,11,3
5,LaDainian Tomlinson*,SDG,26,RB,16,16,339,1462,18,62,4.3,91.4,21.2,77,51,370,7.3,2,41,3.2,23.1,1832,20,3
6,Rudi Johnson,CIN,26,RB,16,14,337,1458,12,33,4.3,91.1,21.1,30,23,90,3.9,0,15,1.4,5.6,1548,12,1
7,Larry Johnson*,KAN,26,RB,16,9,336,1750,20,49,5.2,109.4,21.0,49,33,343,10.4,1,36,2.1,21.4,2093,21,5
8,Willis McGahee,BUF,24,RB,16,15,325,1247,5,27,3.8,77.9,20.3,37,28,178,6.4,0,19,1.8,11.1,1425,5,1
9,Thomas Jones,CHI,27,RB,15,15,314,1335,9,42,4.3,89.0,20.9,39,26,143,5.5,0,41,1.7,9.5,1478,9,2
10,Reuben Droughns,CLE,27,RB,16,16,309,1232,2,75,4.0,77.0,19.3,56,39,369,9.5,0,51,2.4,23.1,1601,2,6
11,Cadillac Williams,TAM,23,RB,14,14,290,1178,6,71,4.1,84.1,20.7,25,20,81,4.1,0,15,1.4,5.8,1259,6,3
12,Warrick Dunn*,ATL,30,RB,16,16,280,1416,3,65,5.1,88.5,17.5,37,29,220,7.6,1,24,1.8,13.8,1636,4,3
13,LaMont Jordan,OAK,27,RB,14,14,272,1025,9,26,3.8,73.2,19.4,103,70,563,8.0,2,28,5.0,40.2,1588,11,2
14,Jamal Lewis,BAL,26,RB,15,15,269,906,3,25,3.4,60.4,17.9,44,32,191,6.0,1,15,2.1,12.7,1097,4,5
15,Julius Jones,DAL,24,RB,13,12,257,993,5,51,3.9,76.4,19.8,45,35,218,6.2,0,26,2.7,16.8,1211,5,4
16,Willie Parker,PIT,25,RB,15,15,255,1202,4,80,4.7,80.1,17.0,24,18,218,12.1,1,48,1.2,14.5,1420,5,4
