
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
28,Garrison Hearst,SFO,32,RB,12,12,178,768,3,36,4.3,64.0,14.8,38,25,211,8.4,1,26,2.1,17.6,979,4,2
29,Moe Williams,MIN,29,rb,16,7,174,745,5,61,4.3,46.6,10.9,87,65,644,9.9,3,42,4.1,40.3,1389,8,2
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
30,Tyrone Wheatley,OAK,31,rb,15,5,159,678,4,41,4.3,45.2,10.6,18,12,120,10.0,0,25,0.8,8.0,798,4,2
31,Shawn Bryson,DET,27,RB,16,13,158,606,3,39,3.8,37.9,9.9,72,54,340,6.3,0,26,3.4,21.3,946,3,2
32,Trung Canidate,WAS,26,RB,11,10,142,600,1,38,4.2,54.5,12.9,15,10,71,7.1,1,25,0.9,6.5,671,2,1
33,William Green,CLE,24,rb,7,7,142,559,1,26,3.9,79.9,20.3,14,10,50,5.0,0,12,1.4,7.1,609,1,5
34,Corey Dillon,CIN,29,RB,13,11,138,541,2,39,3.9,41.6,10.6,18,11,71,6.5,0,14,0.8,5.5,612,2,0
35,Thomas Jones,TAM,25,,16,3,137,627,3,61,4.6,39.2,8.6,31,24,180,7.5,0,29,1.5,11.3,807,3,4
36,Amos Zereoue,PIT,27,rb,16,6,132,433,2,22,3.3,27.1,8.3,52,40,310,7.8,0,29,2.5,19.4,743,2,0
37,Correll Buckhalter,PHI,25,rb,15,5,126,542,8,64,4.3,36.1,8.4,14,10,133,13.3,1,27,0.7,8.9,675,9,3
38,Warrick Dunn,ATL,28,rb,11,6,125,672,3,69,5.4,61.1,11.4,52,37,336,9.1,2,86,3.4,30.5,1008,5,2
39,Charlie Garner,OAK,31,RB,14,9,120,553,3,33,4.6,39.5,8.6,70,48,386,8.0,1,46,3.4,27.6,939,4,1
40,Brian Westbrook,PHI,24,RB,15,8,117,613,7,62,5.2,40.9,7.8,48,37,332,9.0,4,38,2.5,22.1,945,11,3
41,DeShaun Foster,CAR,23,,14,2,113,429,0,21,3.8,30.6,8.1,35,26,207,8.0,2,47,1.9,14.8,636,2,3
42,Olandis Gary,DET,28,,13,1,113,384,2,27,3.4,29.5,8.7,22,13,69,5.3,0,13,1.0,5.3,453,2,1
43,Rock Cartwright,WAS,24,,15,3,107,411,4,22,3.8,27.4,7.1,28,18,176,9.8,0,40,1.2,11.7,587,4,2
44,Onterrio Smith,MIN,23,,15,3,107,579,5,47,5.4,38.6,7.1,20,15,129,8.6,0,20,1.0,8.6,708,5,1
45,James Jackson,CLE,27,rb,12,6,102,382,3,18,3.7,31.8,8.5,18,14,114,8.1,0,18,1.2,9.5,496,3,3
46,Duce Staley,PHI,28,,16,4,96,463,5,22,4.8,28.9,6.0,47,36,382,10.6,2,52,2.3,23.9,845,7,2
47,Quentin Griffin,DEN,22,,10,1,94,345,0,23,3.7,34.5,9.4,11,8,61,7.6,0,24,0.8,6.1,406,0,3
48,Stacey Mack,HOU,28,rb,8,5,93,253,4,13,2.7,31.6,11.6,12,9,55,6.1,0,10,1.1,6.9,308,4,2
49,Michael Bennett,MIN,25,rb,8,7,90,447,1,28,5.0,55.9,11.3,14,12,132,11.0,0,40,1.5,16.5,579,1,2
50,Emmitt Smith,ARI,34,rb,10,5,90,256,2,22,2.8,25.6,9.0,19,14,107,7.6,0,36,1.4,10.7,363,2,2
51,Arlen Harris,STL,23,,16,2,85,255,4,18,3.0,15.9,5.3,19,15,102,6.8,0,26,0.9,6.4,357,4,3
52,Ladell Betts,WAS,24,,9,1,77,255,2,13,3.3,28.3,8.6,23,15,167,11.1,0,34,1.7,18.6,422,2,0
53,Najeh Davenport,GNB,24,,15,0,77,420,2,76,5.5,28.0,5.1,10,6,38,6.3,0,12,0.4,2.5,458,2,4
54,Daunte Culpepper*,MIN,26,QB,14,14,73,422,4,42,5.8,30.1,5.2,,,,,,,,,422,4,16
55,Lamar Gordon,STL,23,,10,4,71,298,1,20,4.2,29.8,7.1,13,8,59,7.4,0,21,0.8,5.9,357,1,1
56,Donovan McNabb*,PHI,27,QB,16,16,71,355,3,34,5.0,22.2,4.4,1,1,-7,-7.0,0,-7,0.1,-0.4,348,3,9
57,Mike Anderson,DEN,30,fb,12,5,70,257,3,44,3.7,21.4,5.8,15,12,53,4.4,2,18,1.0,4.4,310,5,2
58,Richie Anderson,DAL,32,FB,15,8,70,306,1,19,4.4,20.4,4.7,87,69,493,7.1,4,37,4.6,32.9,799,5,1
59,Jamel White,CLE,26,,16,3,70,266,1,23,3.8,16.6,4.4,69,46,303,6.6,1,22,2.9,18.9,569,2,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
60,Quincy Carter,DAL,26,QB,16,16,68,257,2,19,3.8,16.1,4.3,,,,,,,,,257,2,10
61,Dorsey Levens,NYG,33,,11,0,68,197,3,17,2.9,17.9,6.2,7,5,39,7.8,0,11,0.5,3.5,236,3,0
62,Robert Holcombe,TEN,28,,15,0,63,201,1,21,3.2,13.4,4.2,25,19,121,6.4,1,11,1.3,8.1,322,2,2
63,Chester Taylor,BAL,24,,16,1,63,276,2,32,4.4,17.3,3.9,27,20,132,6.6,0,23,1.3,8.3,408,2,3
64,Kordell Stewart,CHI,31,qb,9,7,59,290,3,25,4.9,32.2,6.6,,,,,,,,,290,3,7
65,Brandon Bennett,CIN,30,,16,0,56,173,0,19,3.1,10.8,3.5,32,25,176,7.0,1,16,1.6,11.0,349,1,2
66,Chris Brown,TEN,22,,11,0,56,221,0,28,3.9,20.1,5.1,9,8,61,7.6,0,11,0.7,5.5,282,0,1
67,Jeff Garcia,SFO,33,QB,13,13,56,319,7,21,5.7,24.5,4.3,1,1,6,6.0,0,6,0.1,0.5,325,7,9
68,Lee Suggs,CLE,23,,7,0,56,289,2,78,5.2,41.3,8.0,4,2,0,0.0,0,1,0.3,0.0,289,2,2
69,Aaron Brooks,NOR,27,QB,16,16,54,175,2,15,3.2,10.9,3.4,,,,,,,,,175,2,14
70,LaBrandon Toefield,JAX,23,,16,0,53,212,2,30,4.0,13.3,3.3,16,14,105,7.5,1,16,0.9,6.6,317,3,0
71,Brock Forsey,CHI,23,,9,2,50,191,2,17,3.8,21.2,5.6,5,3,37,12.3,0,22,0.3,4.1,228,2,0
72,Zack Crockett,OAK,31,fb,16,7,48,145,7,44,3.0,9.1,3.0,12,7,53,7.6,0,16,0.4,3.3,198,7,1
73,Chad Morton,WAS,26,,15,2,48,216,0,27,4.5,14.4,3.2,26,15,187,12.5,1,36,1.0,12.5,403,1,1
74,Ricky Williams,IND,25,,13,4,48,155,2,19,3.2,11.9,3.7,29,22,157,7.1,1,17,1.7,12.1,312,3,2
75,LaMont Jordan,NYJ,25,,16,0,46,190,4,39,4.1,11.9,2.9,13,11,101,9.2,0,25,0.7,6.3,291,4,0
76,Tom Brady,NWE,26,QB,16,16,42,63,1,11,1.5,3.9,2.6,,,,,,,,,63,1,13
77,Jake Delhomme,CAR,28,QB,16,15,42,39,1,9,0.9,2.4,2.6,,,,,,,,,39,1,15
78,Travis Minor,MIA,24,,16,0,41,193,1,26,4.7,12.1,2.6,5,4,13,3.3,0,12,0.3,0.8,206,1,0
79,Aveion Cason,DAL,24,,10,0,40,220,2,63,5.5,22.0,4.0,20,17,142,8.4,0,28,1.7,14.2,362,2,2
80,Justin Fargas,OAK,23,,10,1,40,203,0,53,5.1,20.3,4.0,3,2,2,1.0,0,6,0.2,0.2,205,0,1
81,Tony Fisher,GNB,24,,15,0,40,200,1,19,5.0,13.3,2.7,25,21,206,9.8,2,32,1.4,13.7,406,3,0
82,Michael Vick,ATL,23,,5,4,40,255,1,43,6.4,51.0,8.0,,,,,,,,,255,1,4
83,Joe Burns,BUF,24,,16,1,39,113,0,12,2.9,7.1,2.4,9,7,62,8.9,0,14,0.4,3.9,175,0,1
84,Artose Pinner,DET,25,,3,2,39,99,0,12,2.5,33.0,13.0,7,5,40,8.0,0,21,1.7,13.3,139,0,0
85,Justin Griffith,ATL,23,FB,16,11,38,168,0,15,4.4,10.5,2.4,34,21,122,5.8,2,24,1.3,7.6,290,2,0
86,Tony Hollings,HOU,22,,14,1,38,102,0,17,2.7,7.3,2.7,6,2,25,12.5,0,19,0.1,1.8,127,0,2
87,Jon Kitna,CIN,31,QB,16,16,38,113,0,15,3.0,7.1,2.4,,,,,,,,,113,0,9
88,Steve McNair*,TEN,30,QB,14,14,38,138,4,23,3.6,9.9,2.7,1,1,4,4.0,0,4,0.1,0.3,142,4,12
89,Maurice Morris,SEA,24,,16,1,38,239,0,43,6.3,14.9,2.4,6,4,32,8.0,1,13,0.3,2.0,271,1,2
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
90,Jake Plummer,DEN,29,QB,11,11,37,205,3,40,5.5,18.6,3.4,,,,,,,,,205,3,4
91,Dominic Rhodes,IND,24,,11,0,37,157,0,25,4.2,14.3,3.4,7,6,62,10.3,1,27,0.5,5.6,219,1,0
92,Aaron Stecker,TAM,28,,16,1,37,125,0,15,3.4,7.8,2.3,12,9,48,5.3,1,14,0.6,3.0,173,1,1
93,Mack Strong,SEA,32,FB,16,9,37,174,1,21,4.7,10.9,2.3,33,29,216,7.4,0,32,1.8,13.5,390,1,1
94,Matt Hasselbeck*,SEA,28,QB,16,16,36,125,2,18,3.5,7.8,2.3,,,,,,,,,125,2,4
95,Chris Fuamatu-Ma'afala,JAX,26,,13,0,35,144,1,18,4.1,11.1,2.7,2,1,2,2.0,0,2,0.1,0.2,146,1,0
96,Jay Fiedler,MIA,32,QB,12,11,34,88,3,14,2.6,7.3,2.8,,,,,,,,,88,3,7
97,Doug Flutie,SDG,41,qb,7,5,33,168,2,17,5.1,24.0,4.7,,,,,,,,,168,2,7
98,Jamal Robertson,SFO,26,,9,0,32,136,0,23,4.3,15.1,3.6,,,,,,,,,136,0,0
99,Jeff Blake,ARI,33,QB,13,13,30,177,2,19,5.9,13.6,2.3,,,,,,,,,177,2,8
100,Kyle Boller,BAL,22,QB,11,9,30,62,0,15,2.1,5.6,2.7,,,,,,,,,62,0,9
101,Joey Harrington,DET,25,QB,16,16,30,86,0,26,2.9,5.4,1.9,1,1,8,8.0,0,8,0.1,0.5,94,0,6
102,Marc Bulger*,STL,26,QB,15,15,29,75,4,28,2.6,5.0,1.9,,,,,,,,,75,4,8
103,Peyton Manning*+,IND,27,QB,16,16,28,26,0,10,0.9,1.6,1.8,1,1,-2,-2.0,0,-2,0.1,-0.1,24,0,6
104,Josh McCown,ARI,24,qb,8,3,28,158,1,16,5.6,19.8,3.5,,,,,,,,,158,1,10
105,Adrian Murrell,DAL,33,,3,0,28,107,0,17,3.8,35.7,9.3,4,4,32,8.0,0,14,1.3,10.7,139,0,0
106,Anthony Wright,BAL,27,qb,7,7,28,73,0,17,2.6,10.4,4.0,,,,,,,,,73,0,9
107,Mike Alstott,TAM,30,,4,3,27,77,2,29,2.9,19.3,6.8,12,10,83,8.3,0,17,2.5,20.8,160,2,0
108,David Carr,HOU,24,QB,12,11,27,151,2,36,5.6,12.6,2.3,,,,,,,,,151,2,4
109,Mike Cloud,NWE,28,,5,1,27,118,5,42,4.4,23.6,5.4,2,1,8,8.0,0,8,0.2,1.6,126,5,0
110,Trent Green*,KAN,33,QB,16,16,26,83,2,14,3.2,5.2,1.6,,,,,,,,,83,2,5
111,Brad Johnson,TAM,35,QB,16,16,25,33,0,13,1.3,2.1,1.6,1,0,-2,,0,-2,0.0,-0.1,31,0,6
112,Byron Leftwich,JAX,23,QB,15,13,25,108,2,18,4.3,7.2,1.7,,,,,,,,,108,2,11
113,Drew Bledsoe,BUF,31,QB,16,16,24,29,2,11,1.2,1.8,1.5,,,,,,,,,29,2,15
114,James Mungro,IND,25,,7,0,24,60,2,9,2.5,8.6,3.4,5,1,-4,-4.0,0,-4,0.1,-0.6,56,2,0
115,Tony Richardson*,KAN,32,FB,16,10,24,60,0,8,2.5,3.8,1.5,16,12,76,6.3,0,14,0.8,4.8,136,0,0
116,Derrick Blaylock,KAN,24,,16,0,22,112,2,25,5.1,7.0,1.4,22,15,181,12.1,1,63,0.9,11.3,293,3,1
117,Adrian Peterson,CHI,24,,6,1,22,70,0,10,3.2,11.7,3.7,1,1,5,5.0,0,5,0.2,0.8,75,0,0
118,Drew Brees,SDG,24,QB,11,11,21,84,0,18,4.0,7.6,1.9,1,1,21,21.0,1,21,0.1,1.9,105,1,5
119,Larry Centers,NWE,35,,9,3,21,82,0,13,3.9,9.1,2.3,34,19,106,5.6,1,14,2.1,11.8,188,1,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
120,Chad Pennington,NYJ,27,QB,10,9,21,42,2,10,2.0,4.2,2.1,,,,,,,,,42,2,8
121,Stanley Pritchett,CHI,30,FB,16,11,21,93,2,18,4.4,5.8,1.3,27,18,83,4.6,0,20,1.1,5.2,176,2,0
122,Verron Haynes,PIT,24,,12,0,20,63,0,15,3.2,5.3,1.7,10,7,57,8.1,0,13,0.6,4.8,120,0,2
123,Larry Johnson,KAN,24,,6,0,20,85,1,15,4.3,14.2,3.3,3,1,2,2.0,0,2,0.2,0.3,87,1,0
124,Rick Mirer,OAK,33,QB,9,8,20,83,1,20,4.2,9.2,2.2,,,,,,,,,83,1,4
125,Rod Smart,CAR,26,,16,0,20,49,0,6,2.5,3.1,1.3,3,3,11,3.7,0,5,0.2,0.7,60,0,2
126,Erik Bickerstaff,DAL,23,,4,0,19,56,1,9,2.9,14.0,4.8,,,,,,,,,56,1,0
127,Ki-Jana Carter,NOR,30,,8,0,19,72,1,31,3.8,9.0,2.4,3,1,11,11.0,0,11,0.1,1.4,83,1,0
128,Sammy Morris,BUF,26,,9,0,19,70,1,12,3.7,7.8,2.1,17,14,100,7.1,0,24,1.6,11.1,170,1,0
129,Alan Ricard,BAL,26,FB,16,13,19,79,0,30,4.2,4.9,1.2,15,9,62,6.9,0,15,0.6,3.9,141,0,0
130,Rabih Abdullah,CHI,28,,15,0,18,37,0,10,2.1,2.5,1.2,9,8,55,6.9,0,17,0.5,3.7,92,0,0
131,Damien Anderson,ARI,24,,16,0,18,68,0,17,3.8,4.3,1.1,12,6,36,6.0,0,11,0.4,2.3,104,0,0
132,Brett Favre*,GNB,34,QB,16,16,18,15,0,7,0.8,0.9,1.1,,,,,,,,,15,0,5
133,Lorenzo Neal,SDG,33,FB,16,15,18,40,1,7,2.2,2.5,1.1,25,16,62,3.9,0,11,1.0,3.9,102,1,0
134,Peter Warrick,CIN,26,WR,15,14,18,157,0,50,8.7,10.5,1.2,122,79,819,10.4,7,77,5.3,54.6,976,7,2
135,Fred Beasley*,SFO,29,FB,16,11,17,24,0,5,1.4,1.5,1.1,28,19,184,9.7,1,32,1.2,11.5,208,1,0
136,Kerry Collins,NYG,31,QB,13,13,17,49,0,22,2.9,3.8,1.3,,,,,,,,,49,0,12
137,Dante Hall*+,KAN,25,,16,2,16,73,0,16,4.6,4.6,1.0,60,40,423,10.6,1,67,2.5,26.4,496,1,3
138,Doug Chapman,MIN,26,,4,0,15,33,0,6,2.2,8.3,3.8,1,1,8,8.0,0,8,0.3,2.0,41,0,0
139,Tim Hasselbeck,WAS,25,qb,7,5,15,41,0,11,2.7,5.9,2.1,,,,,,,,,41,0,3
140,Jeremi Johnson,CIN,23,FB,16,13,15,41,1,12,2.7,2.6,0.9,20,15,82,5.5,1,16,0.9,5.1,123,2,0
141,Patrick Ramsey,WAS,24,QB,11,11,15,62,1,24,4.1,5.6,1.4,,,,,,,,,62,1,8
142,Antwaan Randle El,PIT,24,,16,1,15,75,0,32,5.0,4.7,0.9,56,37,364,9.8,1,32,2.3,22.8,439,1,5
143,Chris Chandler,CHI,38,qb,8,6,14,35,0,11,2.5,4.4,1.8,,,,,,,,,35,0,4
144,Doug Johnson,ATL,26,QB,10,8,14,21,1,13,1.5,2.1,1.4,,,,,,,,,21,1,3
145,Tommy Maddox,PIT,32,QB,16,16,13,12,0,6,0.9,0.8,0.8,,,,,,,,,12,0,5
146,Gus Frerotte,MIN,32,,16,2,12,-2,0,4,-0.2,-0.1,0.8,,,,,,,,,-2,0,2
147,Dennis Northcutt,CLE,26,wr,15,6,12,83,0,23,6.9,5.5,0.8,93,62,729,11.8,2,44,4.1,48.6,812,2,2
148,Cecil Sapp,DEN,25,,1,0,12,31,0,5,2.6,31.0,12.0,,,,,,,,,31,0,0
149,Tim Couch,CLE,26,QB,10,8,11,39,1,17,3.5,3.9,1.1,1,1,-3,-3.0,0,-3,0.1,-0.3,36,1,6
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
150,Delvin Joyce,NYG,25,,16,0,11,39,0,8,3.5,2.4,0.7,5,3,7,2.3,0,5,0.2,0.4,46,0,1
151,Lamar Smith,NOR,33,,4,0,11,61,0,17,5.5,15.3,2.8,1,1,2,2.0,0,2,0.3,0.5,63,0,0
152,Steve Smith,CAR,24,WR,16,11,11,42,0,14,3.8,2.6,0.7,142,88,1110,12.6,7,67,5.5,69.4,1152,7,5
153,Travis Taylor,BAL,24,WR,16,16,11,62,0,16,5.6,3.9,0.7,90,39,632,16.2,3,73,2.4,39.5,694,3,0
154,Billy Volek,TEN,27,,7,1,11,4,1,5,0.4,0.6,1.6,,,,,,,,,4,1,1
155,Hines Ward*,PIT,27,WR,16,16,11,61,0,25,5.5,3.8,0.7,156,95,1163,12.2,10,50,5.9,72.7,1224,10,0
156,Kelly Campbell,MIN,23,wr,15,6,10,71,0,19,7.1,4.7,0.7,46,25,522,20.9,4,72,1.7,34.8,593,4,2
157,Avon Cobourne,DET,24,,7,0,10,27,0,19,2.7,3.9,1.4,9,4,30,7.5,0,13,0.6,4.3,57,0,0
158,Laveranues Coles*,WAS,26,WR,16,16,10,39,0,23,3.9,2.4,0.6,159,82,1204,14.7,6,64,5.1,75.3,1243,6,0
159,Nick Goings,CAR,25,,15,0,10,69,0,17,6.9,4.6,0.7,14,12,97,8.1,1,14,0.8,6.5,166,1,0
160,Santana Moss,NYJ,24,WR,16,12,10,67,0,25,6.7,4.2,0.6,117,74,1105,14.9,10,65,4.6,69.1,1172,10,4
161,Rod Smith,DEN,33,WR,15,15,10,98,0,26,9.8,6.5,0.7,114,74,845,11.4,3,38,4.9,56.3,943,3,0
162,Tim Dwight,SDG,28,,9,3,9,88,0,20,9.8,9.8,1.0,31,14,193,13.8,0,32,1.6,21.4,281,0,1
163,J.R. Redmond,OAK,26,,1,0,9,30,0,9,3.3,30.0,9.0,2,1,6,6.0,0,6,1.0,6.0,36,0,0
164,Cory Schlesinger,DET,31,FB,16,10,9,16,0,4,1.8,1.0,0.6,49,34,247,7.3,2,33,2.1,15.4,263,2,0
165,Musa Smith,BAL,21,,11,0,9,31,2,11,3.4,2.8,0.8,,,,,,,,,31,2,1
166,Mark Brunell,JAX,33,,3,3,8,19,1,12,2.4,6.3,2.7,,,,,,,,,19,1,1
167,Jesse Chatman,SDG,24,,16,0,8,17,0,6,2.1,1.1,0.5,5,5,54,10.8,0,23,0.3,3.4,71,0,0
168,Todd Collins,KAN,32,,5,0,8,-7,0,0,-0.9,-1.4,1.6,,,,,,,,,-7,0,0
169,Woodrow Dantzler,ATL,24,,9,0,8,21,1,12,2.6,2.3,0.9,,,,,,,,,21,1,0
170,Kelly Holcomb,CLE,30,QB,10,8,8,7,0,6,0.9,0.7,0.8,,,,,,,,,7,0,5
171,Kurt Kittner,ATL,23,,7,4,8,13,0,7,1.6,1.9,1.1,,,,,,,,,13,0,0
172,Ashley Lelie,DEN,23,WR,16,10,8,43,0,13,5.4,2.7,0.5,81,37,628,17.0,2,60,2.3,39.3,671,2,0
173,Johnnie Morton,KAN,32,WR,16,16,8,94,0,39,11.8,5.9,0.5,92,50,740,14.8,4,50,3.1,46.3,834,4,0
174,Tim Rattay,SFO,26,,11,3,8,0,0,6,0.0,0.0,0.7,,,,,,,,,0,0,0
175,Marc Edwards,JAX,29,FB,16,16,7,13,1,3,1.9,0.8,0.4,43,31,226,7.3,0,32,1.9,14.1,239,1,0
176,Heath Evans,SEA,25,,14,0,7,24,0,8,3.4,1.7,0.5,2,2,34,17.0,0,20,0.1,2.4,58,0,0
177,Dan Kreider,PIT,26,FB,16,12,7,29,1,9,4.1,1.8,0.4,24,9,107,11.9,0,26,0.6,6.7,136,1,0
178,Tony Banks,HOU,30,,7,3,6,27,0,13,4.5,3.9,0.9,,,,,,,,,27,0,1
179,Troy Brown,NWE,32,WR,12,10,6,27,0,11,4.5,2.3,0.5,60,40,472,11.8,4,82,3.3,39.3,499,4,2
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
180,Reuben Droughns,DEN,25,,15,4,6,14,0,12,2.3,0.9,0.4,12,9,87,9.7,2,15,0.6,5.8,101,2,0
181,Rich Gannon,OAK,38,qb,7,7,6,18,0,6,3.0,2.6,0.9,,,,,,,,,18,0,2
182,Brad Hoover,CAR,27,FB,16,9,6,21,0,5,3.5,1.3,0.4,20,12,72,6.0,1,17,0.8,4.5,93,1,1
183,Danny Kanell,DEN,30,,5,2,6,5,0,9,0.8,1.0,1.2,,,,,,,,,5,0,3
184,Randy Moss*+,MIN,26,WR,16,16,6,18,0,11,3.0,1.1,0.4,172,111,1632,14.7,17,72,6.9,102.0,1650,17,1
185,Patrick Pass,NWE,26,,13,1,6,27,0,11,4.5,2.1,0.5,8,4,21,5.3,0,11,0.3,1.6,48,0,0
186,Doug Pederson,GNB,35,,16,0,6,-5,0,0,-0.8,-0.3,0.4,,,,,,,,,-5,0,0
