
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Ricky Williams,MIA,26,RB,16,16,392,1372,9,45,3.5,85.8,24.5,62,50,351,7.0,1,59,3.1,21.9,1723,10,7
2,Jamal Lewis*+,BAL,24,RB,16,16,387,2066,14,82,5.3,129.1,24.2,38,26,205,7.9,0,26,1.6,12.8,2271,14,8
3,Ahman Green*,GNB,26,RB,16,16,355,1883,15,98,5.3,117.7,22.2,60,50,367,7.3,5,27,3.1,22.9,2250,20,7
4,Deuce McAllister*,NOR,25,RB,16,16,351,1641,8,76,4.7,102.6,21.9,87,69,516,7.5,0,39,4.3,32.3,2157,8,6
5,Fred Taylor,JAX,27,RB,16,16,345,1572,6,62,4.6,98.3,21.6,74,48,370,7.7,1,60,3.0,23.1,1942,7,6
6,Travis Henry,BUF,25,RB,15,15,331,1356,10,64,4.1,90.4,22.1,40,28,158,5.6,1,18,1.9,10.5,1514,11,7
7,Shaun Alexander*,SEA,26,RB,16,15,326,1435,14,55,4.4,89.7,20.4,59,42,295,7.0,2,22,2.6,18.4,1730,16,4
8,Curtis Martin,NYJ,30,RB,16,16,323,1308,2,56,4.0,81.8,20.2,53,42,262,6.2,0,29,2.6,16.4,1570,2,2
9,Priest Holmes*+,KAN,30,RB,16,16,320,1420,27,31,4.4,88.8,20.0,90,74,690,9.3,0,36,4.6,43.1,2110,27,1
10,Stephen Davis*,CAR,29,RB,14,14,318,1444,8,40,4.5,103.1,22.7,17,14,159,11.4,0,25,1.0,11.4,1603,8,3
11,LaDainian Tomlinson,SDG,24,RB,16,16,313,1645,13,73,5.3,102.8,19.6,137,100,725,7.3,4,73,6.3,45.3,2370,17,2
12,Eddie George,TEN,30,RB,16,16,312,1031,5,27,3.3,64.4,19.5,31,22,163,7.4,0,22,1.4,10.2,1194,5,1
13,Edgerrin James,IND,25,RB,13,13,310,1259,11,43,4.1,96.8,23.8,71,51,292,5.7,0,17,3.9,22.5,1551,11,5
14,Clinton Portis*,DEN,22,RB,13,13,290,1591,14,65,5.5,122.4,22.3,51,38,314,8.3,0,72,2.9,24.2,1905,14,3
15,Tiki Barber,NYG,28,RB,16,16,278,1216,2,27,4.4,76.0,17.4,98,69,461,6.7,1,36,4.3,28.8,1677,3,9
16,Troy Hambrick,DAL,27,RB,16,16,275,972,5,42,3.5,60.8,17.2,24,17,99,5.8,0,13,1.1,6.2,1071,5,4
17,Jerome Bettis,PIT,31,RB,16,10,246,811,7,21,3.3,50.7,15.4,22,13,86,6.6,0,16,0.8,5.4,897,7,5
18,Anthony Thomas,CHI,26,RB,13,13,244,1024,6,67,4.2,78.8,18.8,14,9,36,4.0,0,9,0.7,2.8,1060,6,1
19,Domanick Williams,HOU,23,RB,14,10,238,1031,8,51,4.3,73.6,17.0,68,47,351,7.5,0,17,3.4,25.1,1382,8,4
20,Marcel Shipp,ARI,25,RB,16,11,228,830,0,36,3.6,51.9,14.3,37,30,184,6.1,0,34,1.9,11.5,1014,0,3
21,Rudi Johnson,CIN,24,rb,13,5,215,957,9,54,4.5,73.6,16.5,23,21,146,7.0,0,17,1.6,11.2,1103,9,0
22,Marshall Faulk,STL,30,RB,11,11,209,818,10,52,3.9,74.4,19.0,61,45,290,6.4,1,30,4.1,26.4,1108,11,0
23,Kevan Barlow,SFO,24,rb,16,4,201,1024,6,78,5.1,64.0,12.6,44,35,307,8.8,1,48,2.2,19.2,1331,7,5
24,T.J. Duckett,ATL,22,RB,16,10,197,779,11,55,4.0,48.7,12.3,13,11,94,8.5,0,21,0.7,5.9,873,11,3
25,Michael Pittman,TAM,28,RB,16,13,187,751,0,17,4.0,46.9,11.7,121,75,597,8.0,2,68,4.7,37.3,1348,2,4
26,Antowain Smith,NWE,31,rb,13,6,182,642,3,30,3.5,49.4,14.0,16,14,92,6.6,0,16,1.1,7.1,734,3,1
27,Kevin Faulk,NWE,27,RB,15,8,178,638,0,23,3.6,42.5,11.9,67,48,440,9.2,0,27,3.2,29.3,1078,0,4
