
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Stephen Davis,WAS,27,RB,16,16,356,1432,5,32,4.0,89.5,22.3,37,28,205,7.3,0,29,1.8,12.8,1637,5,6
2,Corey Dillon*,CIN,27,RB,16,16,340,1315,10,96,3.9,82.2,21.3,61,34,228,6.7,3,17,2.1,14.3,1543,13,5
3,LaDainian Tomlinson,SDG,22,RB,16,16,339,1236,10,54,3.6,77.3,21.2,74,59,367,6.2,0,27,3.7,22.9,1603,10,8
4,Curtis Martin*,NYJ,28,RB,16,16,333,1513,10,47,4.5,94.6,20.8,63,53,320,6.0,0,27,3.3,20.0,1833,10,2
5,Priest Holmes*+,KAN,28,RB,16,16,327,1555,8,41,4.8,97.2,20.4,75,62,614,9.9,2,67,3.9,38.4,2169,10,4
6,Eddie George,TEN,28,RB,16,16,315,939,5,27,3.0,58.7,19.7,51,37,279,7.5,0,25,2.3,17.4,1218,5,8
7,Lamar Smith,MIA,31,RB,16,16,313,968,6,25,3.1,60.5,19.6,35,30,234,7.8,2,65,1.9,14.6,1202,8,6
8,Ricky Williams,NOR,24,RB,16,16,313,1245,6,46,4.0,77.8,19.6,88,60,511,8.5,1,42,3.8,31.9,1756,7,8
9,Shaun Alexander,SEA,24,RB,16,12,309,1318,14,88,4.3,82.4,19.3,59,44,343,7.8,2,28,2.8,21.4,1661,16,4
10,Ahman Green*,GNB,24,RB,16,16,304,1387,9,83,4.6,86.7,19.0,82,62,594,9.6,2,42,3.9,37.1,1981,11,5
11,Antowain Smith,NWE,29,RB,16,15,287,1157,12,44,4.0,72.3,17.9,28,19,192,10.1,1,41,1.2,12.0,1349,13,4
12,Anthony Thomas,CHI,24,RB,14,10,278,1183,7,46,4.3,84.5,19.9,30,22,178,8.1,0,23,1.6,12.7,1361,7,0
13,Emmitt Smith,DAL,32,RB,14,14,261,1021,3,44,3.9,72.9,18.6,21,17,116,6.8,0,22,1.2,8.3,1137,3,1
14,Marshall Faulk*+,STL,28,RB,14,14,260,1382,12,71,5.3,98.7,18.6,104,83,765,9.2,9,65,5.9,54.6,2147,21,3
15,Garrison Hearst*,SFO,30,RB,16,16,252,1206,4,43,4.8,75.4,15.8,55,41,347,8.5,1,60,2.6,21.7,1553,5,1
16,Michael Pittman,ARI,26,RB,15,14,241,846,5,42,3.5,56.4,16.1,66,42,264,6.3,0,27,2.8,17.6,1110,5,5
17,Maurice Smith,ATL,25,RB,16,12,237,760,5,58,3.2,47.5,14.8,27,19,230,12.1,1,79,1.2,14.4,990,6,1
18,Dominic Rhodes,IND,22,RB,15,10,233,1104,9,77,4.7,73.6,15.5,55,34,224,6.6,0,19,2.3,14.9,1328,9,6
19,Jerome Bettis*,PIT,29,RB,11,11,225,1072,4,48,4.8,97.5,20.5,10,8,48,6.0,0,16,0.7,4.4,1120,4,3
20,Travis Henry,BUF,23,RB,13,12,213,729,4,25,3.4,56.1,16.4,27,22,179,8.1,0,40,1.7,13.8,908,4,5
21,Stacey Mack,JAX,26,RB,16,11,213,877,9,54,4.1,54.8,13.3,34,23,165,7.2,1,25,1.4,10.3,1042,10,3
22,Charlie Garner,OAK,29,RB,16,16,211,839,1,38,4.0,52.4,13.2,91,72,578,8.0,2,27,4.5,36.1,1417,3,2
