
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
23,James Jackson,CLE,25,RB,11,10,195,554,2,22,2.8,50.4,17.7,10,7,56,8.0,0,16,0.6,5.1,610,2,1
24,Ron Dayne,NYG,23,rb,16,7,180,690,7,61,3.8,43.1,11.3,11,8,67,8.4,0,21,0.5,4.2,757,7,2
25,Mike Anderson,DEN,28,rb,16,7,175,678,4,62,3.9,42.4,10.9,12,8,46,5.8,0,16,0.5,2.9,724,4,1
26,Michael Bennett,MIN,23,RB,13,13,172,682,2,31,4.0,52.5,13.2,38,29,226,7.8,1,80,2.2,17.4,908,3,0
27,Terry Allen,BAL,33,RB,11,8,168,658,3,26,3.9,59.8,15.3,20,17,68,4.0,0,11,1.5,6.2,726,3,1
28,Terrell Davis,DEN,29,RB,8,8,167,701,0,57,4.2,87.6,20.9,21,12,69,5.8,0,16,1.5,8.6,770,0,2
29,Tiki Barber,NYG,26,RB,14,9,166,865,4,36,5.2,61.8,11.9,98,72,577,8.0,0,44,5.1,41.2,1442,4,8
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
30,Duce Staley,PHI,26,RB,13,10,166,604,2,44,3.6,46.5,12.8,91,63,626,9.9,2,46,4.8,48.2,1230,4,3
31,Mike Alstott*,TAM,28,FB,16,16,165,680,10,39,4.1,42.5,10.3,50,35,231,6.6,1,19,2.2,14.4,911,11,2
32,Richard Huntley,CAR,29,RB,14,9,165,665,2,25,4.0,47.5,11.8,32,21,101,4.8,1,23,1.5,7.2,766,3,3
33,Warrick Dunn,TAM,26,RB,13,12,158,447,3,21,2.8,34.4,12.2,97,68,557,8.2,3,31,5.2,42.8,1004,6,2
34,Jason Brookins,BAL,25,rb,12,3,151,551,5,25,3.6,45.9,12.6,9,6,45,7.5,0,15,0.5,3.8,596,5,3
35,Edgerrin James,IND,23,rb,6,6,151,662,3,29,4.4,110.3,25.2,29,24,193,8.0,0,27,4.0,32.2,855,3,3
36,James Stewart,DET,30,RB,11,10,143,685,1,56,4.8,62.3,13.0,26,23,242,10.5,1,56,2.1,22.0,927,2,0
37,James Allen,CHI,26,rb,16,7,135,469,1,19,3.5,29.3,8.4,43,30,203,6.8,1,34,1.9,12.7,672,2,1
38,Correll Buckhalter,PHI,23,rb,15,6,129,586,2,48,4.5,39.1,8.6,21,13,130,10.0,0,26,0.9,8.7,716,2,2
39,Jamel White,CLE,24,rb,16,7,126,443,5,51,3.5,27.7,7.9,60,44,418,9.5,1,45,2.8,26.1,861,6,1
40,Kevan Barlow,SFO,22,,15,0,125,512,4,25,4.1,34.1,8.3,28,22,247,11.2,1,61,1.5,16.5,759,5,1
41,Chris Fuamatu-Ma'afala,PIT,24,rb,16,5,120,453,3,46,3.8,28.3,7.5,20,16,127,7.9,1,54,1.0,7.9,580,4,0
42,Troy Hambrick,DAL,25,FB,16,11,113,579,2,80,5.1,36.2,7.1,12,4,62,15.5,0,27,0.3,3.9,641,2,1
43,Thomas Jones,ARI,23,,16,2,112,380,5,21,3.4,23.8,7.0,24,21,151,7.2,0,18,1.3,9.4,531,5,2
44,Kordell Stewart*,PIT,29,QB,16,16,96,537,5,48,5.6,33.6,6.0,,,,,,,,,537,5,11
45,Tyrone Wheatley,OAK,29,,11,2,88,276,5,22,3.1,25.1,8.0,16,12,61,5.1,1,11,1.1,5.5,337,6,3
46,Amos Zereoue,PIT,25,,14,0,85,441,1,32,5.2,31.5,6.1,14,13,154,11.8,1,62,0.9,11.0,595,2,3
47,Donovan McNabb*,PHI,25,QB,16,16,82,482,2,33,5.9,30.1,5.1,,,,,,,,,482,2,8
48,Aaron Brooks,NOR,25,QB,16,16,80,358,1,26,4.5,22.4,5.0,,,,,,,,,358,1,13
49,Shawn Bryson,BUF,25,,15,3,80,341,2,68,4.3,22.7,5.3,11,9,59,6.6,0,23,0.6,3.9,400,2,0
50,Trung Canidate,STL,24,,16,2,78,441,6,45,5.7,27.6,4.9,23,17,154,9.1,0,29,1.1,9.6,595,6,3
51,Steve McNair,TEN,28,QB,15,15,75,414,5,24,5.5,27.6,5.0,,,,,,,,,414,5,5
52,Jay Fiedler,MIA,30,QB,16,16,73,321,4,26,4.4,20.1,4.6,,,,,,,,,321,4,6
53,Jeff Garcia*,SFO,31,QB,16,16,72,254,5,25,3.5,15.9,4.5,,,,,,,,,254,5,9
54,Ricky Watters,SEA,32,,5,4,72,318,1,40,4.4,63.6,14.4,22,11,107,9.7,0,34,2.2,21.4,425,1,1
55,Daunte Culpepper,MIN,24,QB,11,11,71,416,5,34,5.9,37.8,6.5,1,1,0,0.0,0,0,0.1,0.0,416,5,16
56,Elvis Joseph,JAX,23,,14,3,68,294,0,27,4.3,21.0,4.9,24,18,183,10.2,2,29,1.3,13.1,477,2,2
57,Nick Goings,CAR,23,,13,2,66,197,0,16,3.0,15.2,5.1,9,8,39,4.9,0,11,0.6,3.0,236,0,1
58,Tony Richardson,KAN,30,FB,14,8,66,191,7,19,2.9,13.6,4.7,40,30,265,8.8,0,47,2.1,18.9,456,7,0
59,Moe Williams,BAL,27,,15,2,65,291,0,55,4.5,19.4,4.3,35,23,210,9.1,0,46,1.5,14.0,501,0,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
60,Ki-Jana Carter,WAS,28,,14,0,63,308,3,30,4.9,22.0,4.5,21,13,83,6.4,0,15,0.9,5.9,391,3,1
61,Doug Chapman,MIN,24,,16,3,63,195,0,19,3.1,12.2,3.9,19,16,135,8.4,1,38,1.0,8.4,330,1,1
62,Rich Gannon*,OAK,36,QB,16,16,63,231,2,17,3.7,14.4,3.9,,,,,,,,,231,2,13
63,Lamont Warren,DET,28,,16,3,61,191,3,8,3.1,11.9,3.8,60,40,336,8.4,1,36,2.5,21.0,527,4,1
64,Travis Minor,MIA,22,,16,0,59,281,2,56,4.8,17.6,3.7,37,29,263,9.1,1,29,1.8,16.4,544,3,0
65,Zack Crockett,OAK,29,,16,0,57,145,6,10,2.5,9.1,3.6,3,2,10,5.0,0,8,0.1,0.6,155,6,1
66,Olandis Gary,DEN,26,,9,1,57,228,1,29,4.0,25.3,6.3,5,4,29,7.3,0,11,0.4,3.2,257,1,0
67,Skip Hicks,TEN,27,,9,0,56,341,1,51,6.1,37.9,6.2,6,5,22,4.4,0,9,0.6,2.4,363,1,0
68,Jamal Anderson,ATL,29,,3,3,55,190,1,14,3.5,63.3,18.3,4,3,111,37.0,1,94,1.0,37.0,301,2,1
69,Tim Biakabutuka,CAR,27,,5,4,53,230,1,58,4.3,46.0,10.6,17,12,121,10.1,0,47,2.4,24.2,351,1,3
70,Doug Flutie,SDG,39,QB,16,16,53,192,1,16,3.6,12.0,3.3,,,,,,,,,192,1,7
71,Marc Edwards,NWE,27,FB,16,13,51,141,1,14,2.8,8.8,3.2,39,25,166,6.6,2,17,1.6,10.4,307,3,3
72,Ben Gay,CLE,21,,16,0,51,172,1,40,3.4,10.8,3.2,7,4,11,2.8,0,7,0.3,0.7,183,1,4
73,Brandon Bennett,CIN,28,,16,1,50,232,0,36,4.6,14.5,3.1,26,20,150,7.5,0,15,1.3,9.4,382,0,1
74,Brian Griese,DEN,26,QB,15,15,50,173,1,24,3.5,11.5,3.3,1,1,-6,-6.0,0,-6,0.1,-0.4,167,1,7
75,Tony Banks,WAS,28,QB,15,14,47,152,2,17,3.2,10.1,3.1,,,,,,,,,152,2,10
76,Cory Schlesinger,DET,29,FB,16,13,47,154,3,26,3.3,9.6,2.9,85,60,466,7.8,0,38,3.8,29.1,620,3,1
77,Obafemi Ayanbadejo,BAL,26,fb,16,5,46,173,1,17,3.8,10.8,2.9,33,24,121,5.0,1,18,1.5,7.6,294,2,1
78,Quincy Carter,DAL,24,QB,8,8,45,150,1,17,3.3,18.8,5.6,,,,,,,,,150,1,5
79,Bob Christian,ATL,33,FB,16,8,44,284,2,53,6.5,17.8,2.8,60,45,392,8.7,2,42,2.8,24.5,676,4,0
80,Dorsey Levens,GNB,31,,15,1,44,165,0,40,3.8,11.0,2.9,35,24,159,6.6,1,19,1.6,10.6,324,1,0
81,Kevin Faulk,NWE,25,,15,1,41,169,1,24,4.1,11.3,2.7,36,30,189,6.3,2,28,2.0,12.6,358,3,2
82,Matt Hasselbeck,SEA,26,QB,13,12,40,141,0,17,3.5,10.8,3.1,,,,,,,,,141,0,6
83,Mark Brunell,JAX,31,QB,15,15,39,224,1,38,5.7,14.9,2.6,,,,,,,,,224,1,8
84,Kerry Collins,NYG,29,QB,16,16,39,73,0,11,1.9,4.6,2.4,1,1,-2,-2.0,0,-2,0.1,-0.1,71,0,23
85,Brad Johnson,TAM,33,QB,16,16,39,120,3,21,3.1,7.5,2.4,,,,,,,,,120,3,4
86,LaMont Jordan,NYJ,23,,16,0,39,292,1,46,7.5,18.3,2.4,10,7,44,6.3,1,25,0.4,2.8,336,2,0
87,Tim Couch,CLE,24,QB,16,16,38,128,0,15,3.4,8.0,2.4,1,1,-10,-10.0,0,-10,0.1,-0.6,118,0,9
88,Brett Favre*,GNB,32,QB,16,16,38,56,1,14,1.5,3.5,2.4,,,,,,,,,56,1,16
89,Rodney Thomas,ATL,28,,12,0,37,126,0,21,3.4,10.5,3.1,3,2,26,13.0,0,15,0.2,2.2,152,0,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
90,Chris Weinke,CAR,29,QB,15,15,37,128,6,23,3.5,8.5,2.5,,,,,,,,,128,6,11
91,Tom Brady*,NWE,24,QB,15,14,36,43,0,12,1.2,2.9,2.4,1,1,23,23.0,0,23,0.1,1.5,66,0,12
92,Rob Johnson,BUF,28,QB,8,8,36,241,1,23,6.7,30.1,4.5,,,,,,,,,241,1,6
93,Trent Green,KAN,31,QB,16,16,35,158,0,16,4.5,9.9,2.2,1,1,1,1.0,0,1,0.1,0.1,159,0,11
94,Peyton Manning,IND,25,QB,16,16,35,157,4,33,4.5,9.8,2.2,,,,,,,,,157,4,7
95,Jake Plummer,ARI,27,QB,16,16,35,163,0,21,4.7,10.2,2.2,,,,,,,,,163,0,8
96,J.R. Redmond,NWE,24,,12,0,35,119,0,16,3.4,9.9,2.9,21,13,132,10.2,0,17,1.1,11.0,251,0,0
97,Larry Centers*,BUF,33,FB,16,13,34,160,2,50,4.7,10.0,2.1,105,80,620,7.8,2,26,5.0,38.8,780,4,2
98,Michael Wiley,DAL,23,,16,0,34,247,0,58,7.3,15.4,2.1,27,16,99,6.2,1,17,1.0,6.2,346,1,1
99,Vinny Testaverde,NYJ,38,QB,16,16,31,25,0,12,0.8,1.6,1.9,,,,,,,,,25,0,12
100,Michael Vick,ATL,21,,8,2,31,289,1,35,9.3,36.1,3.9,,,,,,,,,289,1,6
101,Reuben Droughns,DET,23,,9,3,30,72,0,15,2.4,8.0,3.3,5,4,21,5.3,1,8,0.4,2.3,93,1,0
102,Fred Taylor,JAX,25,,2,2,30,116,0,24,3.9,58.0,15.0,3,2,13,6.5,0,11,1.0,6.5,129,0,1
103,Terrell Fletcher,SDG,28,,13,0,29,107,0,16,3.7,8.2,2.2,29,23,184,8.0,0,27,1.8,14.2,291,0,1
104,Jim Miller,CHI,30,QB,14,13,29,-19,0,3,-0.7,-1.4,2.1,,,,,,,,,-19,0,7
105,Kurt Warner*+,STL,30,QB,16,16,28,60,0,23,2.1,3.8,1.8,,,,,,,,,60,0,10
106,Damon Washington,NYG,24,,10,0,28,89,0,22,3.2,8.9,2.8,6,4,25,6.3,0,16,0.4,2.5,114,0,2
107,Jon Kitna,CIN,29,QB,16,15,27,73,1,20,2.7,4.6,1.7,,,,,,,,,73,1,13
108,Mike McMahon,DET,22,,8,3,27,145,1,22,5.4,18.1,3.4,,,,,,,,,145,1,5
109,Richie Anderson,NYJ,30,FB,16,15,26,102,0,12,3.9,6.4,1.6,57,40,252,6.3,2,22,2.5,15.8,354,2,1
110,Chris Chandler,ATL,36,QB,14,14,25,84,0,22,3.4,6.0,1.8,,,,,,,,,84,0,8
111,Aaron Stecker,TAM,26,,13,0,24,72,1,17,3.0,5.5,1.8,13,10,101,10.1,1,35,0.8,7.8,173,2,0
112,Fred Beasley,SFO,27,FB,15,12,23,73,1,16,3.2,4.9,1.5,28,16,99,6.2,0,15,1.1,6.6,172,1,1
113,Jim Kleinsasser,MIN,24,FB,11,11,23,72,1,11,3.1,6.5,2.1,28,24,184,7.7,0,18,2.2,16.7,256,1,2
114,Terry Jackson,SFO,25,,16,1,22,138,1,15,6.3,8.6,1.4,14,12,91,7.6,2,14,0.8,5.7,229,3,1
115,Elvis Grbac,BAL,31,QB,14,14,21,18,1,6,0.9,1.3,1.5,,,,,,,,,18,1,9
116,Leon Johnson,CHI,27,,12,0,20,99,4,34,5.0,8.3,1.7,2,1,0,0.0,0,0,0.1,0.0,99,4,2
117,Sammy Morris,BUF,24,,16,1,20,72,0,10,3.6,4.5,1.3,9,7,36,5.1,0,11,0.4,2.3,108,0,1
118,R.J. Bowers,PIT,27,,3,0,18,84,1,21,4.7,28.0,6.0,1,1,0,0.0,0,0,0.3,0.0,84,1,0
119,Brad Hoover,CAR,25,fb,16,7,17,71,0,10,4.2,4.4,1.1,47,26,185,7.1,0,19,1.6,11.6,256,0,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
120,Kevin McDougal,IND,24,,9,0,17,48,0,12,2.8,5.3,1.9,2,1,10,10.0,0,10,0.1,1.1,58,0,0
121,Mack Strong,SEA,30,FB,16,13,17,55,0,12,3.2,3.4,1.1,29,17,141,8.3,0,35,1.1,8.8,196,0,0
122,Anthony Wright,DAL,25,,4,3,17,57,0,12,3.4,14.3,4.3,,,,,,,,,57,0,4
123,Deuce McAllister,NOR,23,,16,4,16,91,1,54,5.7,5.7,1.0,20,15,166,11.1,1,22,0.9,10.4,257,2,1
124,Mike Green,TEN,25,,16,1,15,71,1,21,4.7,4.4,0.9,13,12,64,5.3,1,10,0.8,4.0,135,2,1
125,Randall Cunningham,BAL,38,,6,2,14,40,1,15,2.9,6.7,2.3,,,,,,,,,40,1,4
126,Travis Prentice,MIN,25,,14,0,14,13,2,6,0.9,0.9,1.0,1,1,10,10.0,0,10,0.1,0.7,23,2,1
127,Robert Holcombe,STL,26,,16,0,13,42,1,11,3.2,2.6,0.8,1,1,14,14.0,0,14,0.1,0.9,56,1,1
128,Randy Jordan,OAK,31,,16,0,13,59,0,37,4.5,3.7,0.8,15,9,63,7.0,0,19,0.6,3.9,122,0,0
129,Charlie Batch,DET,27,QB,10,9,12,45,0,12,3.8,4.5,1.2,,,,,,,,,45,0,6
130,Jay Graham,SEA,26,,11,0,12,43,0,19,3.6,3.9,1.1,1,1,6,6.0,0,6,0.1,0.5,49,0,0
131,Harold Morrow,MIN,28,,16,2,12,67,0,15,5.6,4.2,0.8,18,13,142,10.9,0,28,0.8,8.9,209,0,1
132,Alex Van Pelt,BUF,31,QB,12,8,12,33,0,15,2.8,2.8,1.0,,,,,,,,,33,0,5
133,Rabih Abdullah,TAM,26,,16,0,11,40,0,12,3.6,2.5,0.7,2,2,26,13.0,0,14,0.1,1.6,66,0,0
134,Troy Brown*,NWE,30,WR,16,13,11,91,0,31,8.3,5.7,0.7,142,101,1199,11.9,5,60,6.3,74.9,1290,5,2
135,Aveion Cason,2TM,22,,6,0,11,31,0,19,2.8,5.2,1.8,4,4,32,8.0,0,9,0.7,5.3,63,0,2
136,Trent Dilfer,SEA,29,,6,4,11,17,0,11,1.5,2.8,1.8,1,1,-5,-5.0,0,-5,0.2,-0.8,12,0,3
137,Az-Zahir Hakim,STL,24,,16,1,11,50,0,12,4.5,3.1,0.7,53,39,374,9.6,3,33,2.4,23.4,424,3,8
138,Rondell Mealey,GNB,24,,11,0,11,37,0,9,3.4,3.4,1.0,2,2,31,15.5,0,19,0.2,2.8,68,0,0
139,Donnell Bennett,WAS,29,FB,16,14,10,39,0,8,3.9,2.4,0.6,25,15,112,7.5,0,30,0.9,7.0,151,0,1
140,Laveranues Coles,NYJ,24,WR,16,16,10,108,0,20,10.8,6.8,0.6,102,59,868,14.7,7,40,3.7,54.3,976,7,1
141,Gus Frerotte,DEN,30,,4,1,10,9,1,4,0.9,2.3,2.5,,,,,,,,,9,1,2
142,Terry Kirby,OAK,31,,11,0,10,49,0,20,4.9,4.5,0.9,9,9,62,6.9,0,9,0.8,5.6,111,0,1
143,Hines Ward*,PIT,25,WR,16,16,10,83,0,36,8.3,5.2,0.6,145,94,1003,10.7,4,34,5.9,62.7,1086,4,1
144,Todd Bouman,MIN,29,,5,3,9,61,0,21,6.8,12.2,1.8,,,,,,,,,61,0,1
145,Ty Detmer,DET,34,qb,4,4,9,26,0,9,2.9,6.5,2.3,,,,,,,,,26,0,3
146,Jermaine Lewis*,BAL,27,,15,2,9,33,0,14,3.7,2.2,0.6,5,4,32,8.0,0,12,0.3,2.1,65,0,2
147,Cecil Martin,PHI,26,FB,16,15,9,27,0,8,3.0,1.7,0.6,34,24,124,5.2,2,17,1.5,7.8,151,2,0
148,Clint Stoerner,DAL,24,,4,2,9,27,1,13,3.0,6.8,2.3,,,,,,,,,27,1,1
149,Koy Detmer,PHI,28,,16,0,8,6,0,14,0.8,0.4,0.5,,,,,,,,,6,0,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
150,Rocket Ismail,DAL,32,WR,14,13,8,31,0,11,3.9,2.2,0.6,93,53,834,15.7,2,80,3.8,59.6,865,2,0
151,Ray Lucas,MIA,29,,10,0,8,6,1,3,0.8,0.6,0.8,,,,,,,,,6,1,0
152,Jamie Martin,STL,31,,5,0,8,-9,0,-1,-1.1,-1.8,1.6,,,,,,,,,-9,0,0
153,Frank Moreau,JAX,25,,3,1,8,27,1,14,3.4,9.0,2.7,,,,,,,,,27,1,1
154,Jonathan Quinn,JAX,26,,6,1,8,42,0,27,5.3,7.0,1.3,,,,,,,,,42,0,4
155,Peter Warrick,CIN,24,WR,16,14,8,14,0,13,1.8,0.9,0.5,137,70,667,9.5,1,33,4.4,41.7,681,1,3
156,Spergon Wynn,MIN,23,,3,2,8,61,0,14,7.6,20.3,2.7,,,,,,,,,61,0,3
157,Mike Cloud,KAN,26,,15,0,7,54,1,16,7.7,3.6,0.5,,,,,,,,,54,1,0
158,Curtis Conway,SDG,30,WR,16,16,7,116,1,67,16.6,7.3,0.4,126,71,1125,15.8,6,72,4.4,70.3,1241,7,1
159,Ernie Conwell,STL,29,TE,16,14,7,28,1,13,4.0,1.8,0.4,52,38,431,11.3,4,47,2.4,26.9,459,5,2
160,Kent Graham,WAS,33,,3,0,7,-7,0,0,-1.0,-2.3,2.3,,,,,,,,,-7,0,2
161,Dan Kreider,PIT,24,,13,1,7,29,1,12,4.1,2.2,0.5,4,2,5,2.5,0,5,0.2,0.4,34,1,0
162,Brian Mitchell,PHI,33,,16,0,7,9,0,11,1.3,0.6,0.4,8,6,122,20.3,0,56,0.4,7.6,131,0,3
163,William Henderson,GNB,30,FB,16,8,6,11,0,4,1.8,0.7,0.4,28,21,193,9.2,0,26,1.3,12.1,204,0,0
164,Tommy Maddox,PIT,30,,3,0,6,9,1,8,1.5,3.0,2.0,,,,,,,,,9,1,1
165,James McKnight,MIA,29,WR,16,15,6,39,0,18,6.5,2.4,0.4,90,55,684,12.4,3,40,3.4,42.8,723,3,3
166,Neil O'Donnell,TEN,35,,5,1,6,28,0,15,4.7,5.6,1.2,,,,,,,,,28,0,1
167,Peerless Price,BUF,25,WR,16,16,6,97,0,31,16.2,6.1,0.4,111,55,895,16.3,7,70,3.4,55.9,992,7,2
168,Akili Smith,CIN,26,,2,1,6,20,0,6,3.3,10.0,3.0,,,,,,,,,20,0,0
169,Robert Thomas,DAL,27,fb,5,5,6,40,0,24,6.7,8.0,1.2,10,5,19,3.8,1,6,1.0,3.8,59,1,0
170,James Thrash,PHI,26,WR,15,15,6,57,0,24,9.5,3.8,0.4,108,63,833,13.2,8,64,4.2,55.5,890,8,1
171,Drew Bledsoe,NWE,29,,2,2,5,18,0,8,3.6,9.0,2.5,,,,,,,,,18,0,1
172,David Boston*+,ARI,23,WR,16,15,5,35,0,17,7.0,2.2,0.3,175,98,1598,16.3,8,61,6.1,99.9,1633,8,1
173,Troy Edwards,PIT,24,,16,0,5,28,1,12,5.6,1.8,0.3,35,19,283,14.9,0,57,1.2,17.7,311,1,1
174,Chris Hetherington,CAR,29,,16,1,5,12,0,8,2.4,0.8,0.3,35,23,124,5.4,0,15,1.4,7.8,136,0,0
175,Desmond Howard,DET,31,,14,1,5,25,0,7,5.0,1.8,0.4,14,10,133,13.3,1,36,0.7,9.5,158,1,1
176,Jarious Jackson,DEN,24,,1,0,5,7,0,4,1.4,7.0,5.0,,,,,,,,,7,0,2
177,Doug Johnson,ATL,24,,3,0,5,12,0,8,2.4,4.0,1.7,,,,,,,,,12,0,2
178,J.J. Johnson,MIA,27,,10,0,5,22,0,9,4.4,2.2,0.5,6,4,21,5.3,0,7,0.4,2.1,43,0,0
179,Curtis Keaton,CIN,25,,13,0,5,48,0,21,9.6,3.7,0.4,1,1,9,9.0,0,9,0.1,0.7,57,0,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
180,Eddie Kennison,2TM,28,,13,7,5,22,0,14,4.4,1.7,0.4,50,31,491,15.8,1,65,2.4,37.8,513,1,1
181,Shaun King,TAM,24,,3,0,5,-12,0,0,-2.4,-4.0,1.7,,,,,,,,,-12,0,0
182,Rob Konrad,MIA,25,FB,12,9,5,22,1,18,4.4,1.8,0.4,13,5,52,10.4,1,17,0.4,4.3,74,2,0
183,Lorenzo Neal,CIN,31,FB,16,10,5,10,0,4,2.0,0.6,0.3,27,19,101,5.3,1,12,1.2,6.3,111,1,0
184,David Patten,NWE,27,WR,16,14,5,67,1,29,13.4,4.2,0.3,94,51,749,14.7,4,91,3.2,46.8,816,5,1
185,Tim Rattay,SFO,24,,3,0,5,-3,0,1,-0.6,-1.0,1.7,,,,,,,,,-3,0,1
186,Terrelle Smith,NOR,23,FB,14,9,5,8,0,6,1.6,0.6,0.4,8,4,30,7.5,2,12,0.3,2.1,38,2,1
187,Travis Taylor,BAL,22,WR,16,13,5,46,0,16,9.2,2.9,0.3,90,42,560,13.3,3,63,2.6,35.0,606,3,0
