
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Larry Johnson*+,KAN,27,RB,16,16,416,1789,17,47,4.3,111.8,26.0,66,41,410,10.0,2,78,2.6,25.6,2199,19,2
2,LaDainian Tomlinson*+,SDG,27,RB,16,16,348,1815,28,85,5.2,113.4,21.8,80,56,508,9.1,3,51,3.5,31.8,2323,31,2
3,Steven Jackson*,STL,23,RB,16,16,346,1528,13,59,4.4,95.5,21.6,110,90,806,9.0,3,64,5.6,50.4,2334,16,4
4,Rudi Johnson,CIN,27,RB,16,15,341,1309,12,22,3.8,81.8,21.3,31,23,124,5.4,0,18,1.4,7.8,1433,12,6
5,Edgerrin James,ARI,28,RB,16,16,337,1159,6,18,3.4,72.4,21.1,61,38,217,5.7,0,14,2.4,13.6,1376,6,3
6,Willie Parker*,PIT,26,RB,16,16,337,1494,13,76,4.4,93.4,21.1,42,31,222,7.2,3,25,1.9,13.9,1716,16,7
7,Tiki Barber*,NYG,31,RB,16,16,327,1662,5,55,5.1,103.9,20.4,75,58,465,8.0,0,28,3.6,29.1,2127,5,3
8,Jamal Lewis,BAL,27,RB,16,16,314,1132,9,52,3.6,70.8,19.6,26,18,115,6.4,0,15,1.1,7.2,1247,9,4
9,Frank Gore*,SFO,23,RB,16,16,312,1695,8,72,5.4,105.9,19.5,86,61,485,8.0,1,39,3.8,30.3,2180,9,6
10,Chester Taylor,MIN,27,RB,15,15,303,1216,6,95,4.0,81.1,20.2,51,42,288,6.9,0,24,2.8,19.2,1504,6,5
11,Thomas Jones,CHI,28,RB,16,16,296,1210,6,30,4.1,75.6,18.5,47,36,154,4.3,0,21,2.3,9.6,1364,6,1
12,Warrick Dunn,ATL,31,RB,16,16,286,1140,4,90,4.0,71.3,17.9,28,22,170,7.7,1,18,1.4,10.6,1310,5,1
13,Travis Henry,TEN,28,RB,14,13,270,1211,7,70,4.5,86.5,19.3,25,18,78,4.3,0,12,1.3,5.6,1289,7,3
14,Julius Jones,DAL,25,RB,16,16,267,1084,4,77,4.1,67.8,16.7,15,9,142,15.8,0,39,0.6,8.9,1226,4,1
15,Ahman Green,GNB,29,RB,14,14,266,1059,5,70,4.0,75.6,19.0,63,46,373,8.1,1,20,3.3,26.6,1432,6,4
16,Willis McGahee,BUF,25,RB,14,14,259,990,6,57,3.8,70.7,18.5,28,18,156,8.7,0,56,1.3,11.1,1146,6,4
17,Shaun Alexander,SEA,29,RB,10,10,252,896,7,33,3.6,89.6,25.2,16,12,48,4.0,0,14,1.2,4.8,944,7,6
18,Ladell Betts,WAS,27,RB,16,9,245,1154,4,26,4.7,72.1,15.3,64,53,445,8.4,1,34,3.3,27.8,1599,5,6
