
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Michael Turner*,ATL,28,RB,16,15,334,1371,12,55,4.1,85.7,20.9,20,12,85,7.1,0,19,0.8,5.3,1456,12,2
2,Steven Jackson*,STL,27,RB,16,16,330,1241,6,42,3.8,77.6,20.6,62,46,383,8.3,0,49,2.9,23.9,1624,6,1
3,Arian Foster*+,HOU,24,RB,16,13,327,1616,16,74,4.9,101.0,20.4,84,66,604,9.2,2,50,4.1,37.8,2220,18,3
4,Rashard Mendenhall,PIT,23,RB,16,16,324,1273,13,50,3.9,79.6,20.3,34,23,167,7.3,0,24,1.4,10.4,1440,13,2
5,Cedric Benson,CIN,28,RB,16,16,321,1111,7,26,3.5,69.4,20.1,37,28,178,6.4,1,24,1.8,11.1,1289,8,7
6,Chris Johnson*,TEN,25,RB,16,16,316,1364,11,76,4.3,85.3,19.8,57,44,245,5.6,1,25,2.8,15.3,1609,12,3
7,Ray Rice,BAL,23,RB,16,14,307,1220,5,50,4.0,76.3,19.2,83,63,556,8.8,1,34,3.9,34.8,1776,6,0
8,Maurice Jones-Drew*,JAX,25,RB,14,14,299,1324,5,37,4.4,94.6,21.4,44,34,317,9.3,2,75,2.4,22.6,1641,7,2
9,Adrian Peterson*,MIN,25,RB,15,15,283,1298,12,80,4.6,86.5,18.9,50,36,341,9.5,1,34,2.4,22.7,1639,13,1
10,Ahmad Bradshaw,NYG,24,RB,16,11,276,1235,8,48,4.5,77.2,17.3,58,47,314,6.7,0,18,2.9,19.6,1549,8,7
11,Peyton Hillis,CLE,24,RB,16,14,270,1177,11,48,4.4,73.6,16.9,77,61,477,7.8,2,47,3.8,29.8,1654,13,8
12,Thomas Jones,KAN,32,RB,16,10,245,896,6,70,3.7,56.0,15.3,20,14,122,8.7,0,20,0.9,7.6,1018,6,3
13,Matt Forte,CHI,25,RB,16,16,237,1069,6,68,4.5,66.8,14.8,70,51,547,10.7,3,89,3.2,34.2,1616,9,3
14,Jamaal Charles*+,KAN,24,rb,16,6,230,1467,5,80,6.4,91.7,14.4,64,45,468,10.4,3,31,2.8,29.3,1935,8,3
