
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Chris Johnson*+,TEN,24,RB,16,16,358,2006,14,91,5.6,125.4,22.4,71,50,503,10.1,2,69,3.1,31.4,2509,16,3
2,Thomas Jones,NYJ,31,RB,16,16,331,1402,14,71,4.2,87.6,20.7,18,10,58,5.8,0,28,0.6,3.6,1460,14,2
3,Steven Jackson*,STL,26,RB,15,15,324,1416,4,58,4.4,94.4,21.6,75,51,322,6.3,0,38,3.4,21.5,1738,4,2
4,Adrian Peterson*+,MIN,24,RB,16,15,314,1383,18,64,4.4,86.4,19.6,57,43,436,10.1,0,63,2.7,27.3,1819,18,7
5,Maurice Jones-Drew*,JAX,24,RB,16,16,312,1391,15,80,4.5,86.9,19.5,71,53,374,7.1,1,19,3.3,23.4,1765,16,2
6,Cedric Benson,CIN,27,RB,13,13,301,1251,6,42,4.2,96.2,23.2,24,17,111,6.5,0,19,1.3,8.5,1362,6,1
7,Ryan Grant,GNB,27,RB,16,16,282,1253,11,62,4.4,78.3,17.6,30,25,197,7.9,0,27,1.6,12.3,1450,11,1
8,Matt Forte,CHI,24,RB,16,16,258,929,4,61,3.6,58.1,16.1,72,57,471,8.3,0,37,3.6,29.4,1400,4,6
9,Ray Rice*,BAL,22,RB,16,15,254,1339,7,59,5.3,83.7,15.9,101,78,702,9.0,1,63,4.9,43.9,2041,8,3
10,Knowshon Moreno,DEN,22,RB,16,9,247,947,7,36,3.8,59.2,15.4,41,28,213,7.6,2,27,1.8,13.3,1160,9,4
11,Rashard Mendenhall,PIT,22,RB,16,12,242,1108,7,60,4.6,69.3,15.1,32,25,261,10.4,1,26,1.6,16.3,1369,8,3
12,Ricky Williams,MIA,32,rb,16,7,241,1121,11,68,4.7,70.1,15.1,53,35,264,7.5,2,59,2.2,16.5,1385,13,5
13,Fred Jackson,BUF,28,RB,16,11,237,1062,2,43,4.5,66.4,14.8,61,46,371,8.1,2,21,2.9,23.2,1433,4,4
14,Frank Gore*,SFO,26,RB,14,14,229,1120,10,80,4.9,80.0,16.4,75,52,406,7.8,3,48,3.7,29.0,1526,13,4
15,Brandon Jacobs,NYG,27,RB,15,15,224,835,5,31,3.7,55.7,14.9,31,18,184,10.2,1,74,1.2,12.3,1019,6,2
16,LaDainian Tomlinson,SDG,30,RB,14,14,223,730,12,36,3.3,52.1,15.9,30,20,154,7.7,0,36,1.4,11.0,884,12,2
17,Jonathan Stewart,CAR,22,rb,16,3,221,1133,10,67,5.1,70.8,13.8,26,18,139,7.7,1,19,1.1,8.7,1272,11,3
18,Joseph Addai,IND,26,RB,15,15,219,828,10,21,3.8,55.2,14.6,63,51,336,6.6,3,25,3.4,22.4,1164,13,1
19,Kevin Smith,DET,23,RB,13,13,217,747,4,31,3.4,57.5,16.7,57,41,415,10.1,1,63,3.2,31.9,1162,5,3
20,DeAngelo Williams*,CAR,26,RB,13,13,216,1117,7,77,5.2,85.9,16.6,41,29,252,8.7,0,30,2.2,19.4,1369,7,3
21,Marion Barber,DAL,26,RB,15,15,214,932,7,35,4.4,62.1,14.3,36,26,221,8.5,0,42,1.7,14.7,1153,7,2
22,Cadillac Williams,TAM,27,RB,16,15,211,823,4,35,3.9,51.4,13.2,39,28,217,7.8,3,22,1.8,13.6,1040,7,1
23,Jerome Harrison,CLE,26,rb,14,7,194,862,5,71,4.4,61.6,13.9,50,34,220,6.5,2,18,2.4,15.7,1082,7,2
24,Laurence Maroney,NWE,24,rb,15,5,194,757,9,45,3.9,50.5,12.9,18,14,99,7.1,0,17,0.9,6.6,856,9,4
25,Jamaal Charles,KAN,23,RB,15,10,190,1120,7,76,5.9,74.7,12.7,55,40,297,7.4,1,49,2.7,19.8,1417,8,4
26,Larry Johnson,2TM,30,,14,7,178,581,0,27,3.3,41.5,12.7,21,15,80,5.3,0,22,1.1,5.7,661,0,2
27,Michael Turner,ATL,27,RB,11,11,178,871,10,58,4.9,79.2,16.2,7,5,35,7.0,0,10,0.5,3.2,906,10,4
28,Julius Jones,SEA,28,RB,14,14,177,663,2,62,3.7,47.4,12.6,43,35,232,6.6,2,49,2.5,16.6,895,4,0
