
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Ricky Williams*+,MIA,25,RB,16,16,383,1853,16,63,4.8,115.8,23.9,59,47,363,7.7,1,52,2.9,22.7,2216,17,7
2,LaDainian Tomlinson*,SDG,23,RB,16,16,372,1683,14,76,4.5,105.2,23.3,101,79,489,6.2,1,30,4.9,30.6,2172,15,3
3,Eddie George,TEN,29,RB,16,16,343,1165,12,35,3.4,72.8,21.4,46,36,255,7.1,2,14,2.3,15.9,1420,14,1
4,Travis Henry*,BUF,24,RB,16,16,325,1438,13,34,4.4,89.9,20.3,59,43,309,7.2,1,26,2.7,19.3,1747,14,11
5,Deuce McAllister*,NOR,24,RB,15,15,325,1388,13,62,4.3,92.5,21.7,74,47,352,7.5,3,30,3.1,23.5,1740,16,4
6,Corey Dillon,CIN,28,RB,16,16,314,1311,7,67,4.2,81.9,19.6,61,43,298,6.9,0,19,2.7,18.6,1609,7,5
7,Priest Holmes*+,KAN,29,RB,14,14,313,1615,21,56,5.2,115.4,22.4,81,70,672,9.6,3,64,5.0,48.0,2287,24,1
8,Jamal Lewis,BAL,23,RB,16,15,308,1327,6,75,4.3,82.9,19.3,60,47,442,9.4,1,77,2.9,27.6,1769,7,8
9,Tiki Barber,NYG,27,RB,16,15,304,1387,11,70,4.6,86.7,19.0,95,69,597,8.7,0,38,4.3,37.3,1984,11,9
10,Shaun Alexander,SEA,25,RB,16,16,295,1175,16,58,4.0,73.4,18.4,78,59,460,7.8,2,80,3.7,28.8,1635,18,3
11,Fred Taylor,JAX,26,RB,16,16,287,1314,8,62,4.6,82.1,17.9,57,49,408,8.3,0,72,3.1,25.5,1722,8,3
12,Ahman Green*,GNB,25,RB,14,14,286,1240,7,43,4.3,88.6,20.4,74,57,393,6.9,2,23,4.1,28.1,1633,9,4
13,Edgerrin James,IND,24,RB,14,14,277,989,2,20,3.6,70.6,19.8,80,61,354,5.8,1,23,4.4,25.3,1343,3,4
14,Clinton Portis,DEN,21,RB,16,12,273,1508,15,59,5.5,94.3,17.1,49,33,364,11.0,2,66,2.1,22.8,1872,17,5
15,Duce Staley,PHI,27,RB,16,16,269,1029,5,57,3.8,64.3,16.8,69,51,541,10.6,3,45,3.2,33.8,1570,8,3
16,Curtis Martin,NYJ,29,RB,16,16,261,1094,7,35,4.2,68.4,16.3,56,49,362,7.4,0,28,3.1,22.6,1456,7,0
17,Michael Bennett*,MIN,24,RB,16,16,255,1296,5,85,5.1,81.0,15.9,41,37,351,9.5,1,45,2.3,21.9,1647,6,4
18,Emmitt Smith,DAL,33,RB,16,16,254,975,5,30,3.8,60.9,15.9,24,16,89,5.6,0,17,1.0,5.6,1064,5,3
19,Antowain Smith,NWE,30,RB,16,15,252,982,6,42,3.9,61.4,15.8,42,31,243,7.8,2,35,1.9,15.2,1225,8,2
20,William Green,CLE,23,RB,16,10,243,887,6,64,3.7,55.4,15.2,27,16,113,7.1,0,18,1.0,7.1,1000,6,4
21,James Stewart,DET,31,RB,14,9,231,1021,4,30,4.4,72.9,16.5,70,46,333,7.2,2,52,3.3,23.8,1354,6,0
22,Warrick Dunn,ATL,27,RB,15,14,230,927,7,59,4.0,61.8,15.3,66,50,377,7.5,2,31,3.3,25.1,1304,9,4
23,Garrison Hearst,SFO,31,RB,16,16,215,972,8,40,4.5,60.8,13.4,69,48,317,6.6,1,16,3.0,19.8,1289,9,4
24,Anthony Thomas,CHI,25,RB,12,12,214,721,6,34,3.4,60.1,17.8,41,24,163,6.8,0,19,2.0,13.6,884,6,5
25,Marshall Faulk*,STL,29,RB,14,10,212,953,8,44,4.5,68.1,15.1,102,80,537,6.7,2,40,5.7,38.4,1490,10,4
26,Lamar Smith,CAR,32,RB,11,11,209,737,7,59,3.5,67.0,19.0,26,20,167,8.4,0,58,1.8,15.2,904,7,2
27,Stephen Davis,WAS,28,RB,12,12,207,820,7,33,4.0,68.3,17.3,33,23,142,6.2,1,14,1.9,11.8,962,8,4
28,Michael Pittman,TAM,27,RB,16,15,204,718,1,21,3.5,44.9,12.8,86,59,477,8.1,0,64,3.7,29.8,1195,1,3
29,Jonathan Wells,HOU,23,RB,16,11,197,529,3,37,2.7,33.1,12.3,12,9,48,5.3,0,9,0.6,3.0,577,3,3
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
