
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
15,Matt Forte,CHI,27,RB,15,15,248,1094,5,46,4.4,72.9,16.5,59,44,340,7.7,1,47,2.9,22.7,1434,6,2
16,Reggie Bush,MIA,27,RB,16,16,227,986,6,65,4.3,61.6,14.2,52,35,292,8.3,2,25,2.2,18.3,1278,8,4
17,Michael Turner,ATL,30,RB,16,16,222,800,10,43,3.6,50.0,13.9,30,19,128,6.7,1,60,1.2,8.0,928,11,3
18,Ahmad Bradshaw,NYG,26,RB,14,12,221,1015,6,37,4.6,72.5,15.8,31,23,245,10.7,0,59,1.6,17.5,1260,6,3
19,Darren McFadden,OAK,25,RB,12,12,216,707,2,64,3.3,58.9,18.0,63,42,258,6.1,1,20,3.5,21.5,965,3,2
20,Mikel Leshoure,DET,22,RB,14,14,215,798,9,16,3.7,57.0,15.4,49,34,214,6.3,0,15,2.4,15.3,1012,9,3
21,Vick Ballard,IND,22,RB,16,12,211,814,2,26,3.9,50.9,13.2,27,17,152,8.9,1,19,1.1,9.5,966,3,3
22,C.J. Spiller*,BUF,25,RB,16,9,207,1244,6,62,6.0,77.8,12.9,57,43,459,10.7,2,66,2.7,28.7,1703,8,3
23,LeSean McCoy,PHI,24,RB,12,12,200,840,2,34,4.2,70.0,16.7,67,54,373,6.9,3,36,4.5,31.1,1213,5,4
24,Ryan Mathews,SDG,25,RB,12,9,184,707,1,31,3.8,58.9,15.3,56,39,252,6.5,0,24,3.3,21.0,959,1,2
25,DeAngelo Williams,CAR,29,RB,16,10,173,737,5,65,4.3,46.1,10.8,20,13,187,14.4,2,53,0.8,11.7,924,7,2
26,Willis McGahee,DEN,31,RB,10,9,167,731,4,31,4.4,73.1,16.7,33,26,221,8.5,0,31,2.6,22.1,952,4,5
27,DeMarco Murray,DAL,24,RB,10,10,161,663,4,48,4.1,66.3,16.1,42,34,247,7.3,0,22,3.4,24.7,910,4,3
28,Jonathan Dwyer,PIT,23,rb,13,6,156,623,2,34,4.0,47.9,12.0,25,18,106,5.9,0,15,1.4,8.2,729,2,2
29,Mark Ingram,NOR,23,rb,16,5,156,602,5,31,3.9,37.6,9.8,10,6,29,4.8,0,16,0.4,1.8,631,5,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
30,Knowshon Moreno,DEN,25,rb,8,6,139,525,4,20,3.8,65.6,17.4,26,21,167,8.0,0,26,2.6,20.9,692,4,1
31,Alex Green,GNB,24,rb,12,4,135,464,0,41,3.4,38.7,11.3,30,18,125,6.9,0,19,1.5,10.4,589,0,1
32,Cam Newton,CAR,23,QB,16,16,127,741,8,72,5.8,46.3,7.9,1,0,6,,0,6,0.0,0.4,747,8,10
33,Robert Griffin*,WAS,22,QB,15,15,120,815,7,76,6.8,54.3,8.0,,,,,,,,,815,7,12
34,Bryce Brown,PHI,21,rb,16,4,115,564,4,65,4.9,35.3,7.2,19,13,56,4.3,0,11,0.8,3.5,620,4,4
35,Fred Jackson,BUF,31,RB,10,8,115,437,3,15,3.8,43.7,11.5,42,34,217,6.4,1,34,3.4,21.7,654,4,5
36,Michael Bush,CHI,28,rb,13,1,114,411,5,20,3.6,31.6,8.8,11,9,83,9.2,0,18,0.7,6.4,494,5,1
37,Felix Jones,DAL,25,rb,16,7,111,402,3,22,3.6,25.1,6.9,36,26,266,10.2,2,39,1.6,16.6,668,5,2
38,LaRod Stephens-Howling,ARI,25,rb,14,5,111,357,4,52,3.2,25.5,7.9,30,17,106,6.2,0,24,1.2,7.6,463,4,0
39,Bilal Powell,NYJ,24,rb,14,2,110,437,4,18,4.0,31.2,7.9,36,17,140,8.2,0,16,1.2,10.0,577,4,0
40,Isaac Redman,PIT,28,rb,14,5,110,410,2,28,3.7,29.3,7.9,23,19,244,12.8,0,55,1.4,17.4,654,2,3
41,Donald Brown,IND,25,rb,10,4,108,417,1,19,3.9,41.7,10.8,13,9,93,10.3,0,39,0.9,9.3,510,1,0
42,Bernard Pierce,BAL,21,,16,0,108,532,1,78,4.9,33.3,6.8,11,7,47,6.7,0,11,0.4,2.9,579,1,0
43,Pierre Thomas,NOR,28,rb,15,4,105,473,1,48,4.5,31.5,7.0,53,39,354,9.1,1,36,2.6,23.6,827,2,0
44,Rashad Jennings,JAX,27,rb,10,6,101,283,2,21,2.8,28.3,10.1,26,19,130,6.8,0,26,1.9,13.0,413,2,3
45,Daryl Richardson,STL,22,,16,0,98,475,0,53,4.8,29.7,6.1,36,24,163,6.8,0,26,1.5,10.2,638,0,3
46,Jackie Battle,SDG,29,rb,16,5,95,311,3,52,3.3,19.4,5.9,15,15,108,7.2,1,18,0.9,6.8,419,4,0
47,Jacquizz Rodgers,ATL,22,,16,0,94,362,1,43,3.9,22.6,5.9,59,53,402,7.6,1,32,3.3,25.1,764,2,0
48,Russell Wilson*,SEA,24,QB,16,16,94,489,4,25,5.2,30.6,5.9,,,,,,,,,489,4,6
49,Jonathan Stewart,CAR,25,rb,9,6,93,336,1,21,3.6,37.3,10.3,23,17,157,9.2,1,30,1.9,17.4,493,2,2
50,Daniel Thomas,MIA,25,,12,0,91,325,4,20,3.6,27.1,7.6,22,15,156,10.4,0,32,1.3,13.0,481,4,3
51,Beanie Wells,ARI,24,rb,8,7,88,234,5,31,2.7,29.3,11.0,1,1,24,24.0,0,24,0.1,3.0,258,5,1
52,Maurice Jones-Drew,JAX,27,rb,6,5,86,414,1,59,4.8,69.0,14.3,18,14,86,6.1,1,13,2.3,14.3,500,2,2
53,Peyton Hillis,KAN,26,rb,13,2,85,309,1,18,3.6,23.8,6.5,14,10,62,6.2,0,15,0.8,4.8,371,1,2
54,Ronnie Hillman,DEN,21,,14,0,84,327,1,31,3.9,23.4,6.0,12,10,62,6.2,0,29,0.7,4.4,389,1,2
55,Joique Bell,DET,26,,16,0,82,414,3,67,5.0,25.9,5.1,68,52,485,9.3,0,50,3.3,30.3,899,3,2
56,Robert Turbin,SEA,23,,16,0,80,354,0,26,4.4,22.1,5.0,23,19,181,9.5,0,20,1.2,11.3,535,0,0
57,Danny Woodhead,NWE,27,rb,16,2,76,301,4,19,4.0,18.8,4.8,55,40,446,11.2,3,25,2.5,27.9,747,7,1
58,Andre Brown,NYG,26,rb,10,2,73,385,8,31,5.3,38.5,7.3,17,12,86,7.2,0,17,1.2,8.6,471,8,0
59,Kendall Hunter,SFO,24,,11,0,72,371,2,26,5.2,33.7,6.5,12,9,60,6.7,0,12,0.8,5.5,431,2,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
60,Cedric Benson,GNB,30,rb,5,5,71,248,1,11,3.5,49.6,14.2,15,14,97,6.9,0,18,2.8,19.4,345,1,1
61,James Starks,GNB,26,rb,6,2,71,255,1,22,3.6,42.5,11.8,6,4,31,7.8,0,9,0.7,5.2,286,1,1
62,David Wilson,NYG,21,rb,16,2,71,358,4,52,5.0,22.4,4.4,9,4,34,8.5,1,15,0.3,2.1,392,5,1
63,Montario Hardesty,CLE,25,rb,13,1,65,271,1,25,4.2,20.8,5.0,5,2,16,8.0,0,9,0.2,1.2,287,1,2
64,Ben Tate,HOU,24,,11,0,65,279,2,25,4.3,25.4,5.9,11,11,49,4.5,0,11,1.0,4.5,328,2,1
65,Justin Forsett,HOU,27,,16,0,63,374,1,81,5.9,23.4,3.9,5,3,38,12.7,0,18,0.2,2.4,412,1,0
66,Colin Kaepernick,SFO,25,qb,13,7,63,415,5,50,6.6,31.9,4.8,,,,,,,,,415,5,9
67,Andrew Luck*,IND,23,QB,16,16,62,255,5,19,4.1,15.9,3.9,,,,,,,,,255,5,10
68,Shane Vereen,NWE,23,rb,13,1,62,251,3,16,4.0,19.3,4.8,13,8,149,18.6,1,83,0.6,11.5,400,4,1
69,Michael Vick,PHI,32,QB,10,10,62,332,1,20,5.4,33.2,6.2,,,,,,,,,332,1,11
70,Christian Ponder,MIN,24,QB,16,16,60,253,2,29,4.2,15.8,3.8,1,1,-15,-15.0,0,-15,0.1,-0.9,238,2,7
71,Shaun Draughn,KAN,25,,16,0,59,233,2,25,3.9,14.6,3.7,30,24,158,6.6,0,23,1.5,9.9,391,2,2
72,William Powell,ARI,24,rb,13,1,59,216,0,17,3.7,16.6,4.5,25,19,132,6.9,0,25,1.5,10.2,348,0,2
73,Marcel Reece*,OAK,27,FB/rb,16,14,59,271,0,17,4.6,16.9,3.7,73,52,496,9.5,1,56,3.3,31.0,767,1,2
74,Ryan Williams,ARI,22,rb,5,3,58,164,0,25,2.8,32.8,11.6,10,7,44,6.3,0,12,1.4,8.8,208,0,2
75,Brandon Bolden,NWE,22,,10,0,56,274,2,27,4.9,27.4,5.6,2,2,11,5.5,0,11,0.2,1.1,285,2,0
76,Aaron Rodgers*,GNB,29,QB,16,16,54,259,2,27,4.8,16.2,3.4,1,1,-1,-1.0,0,-1,0.1,-0.1,258,2,5
77,Mike Tolbert,CAR,27,fb,16,5,54,183,7,13,3.4,11.4,3.4,39,27,268,9.9,0,26,1.7,16.8,451,7,0
78,Rashard Mendenhall,PIT,25,rb,6,4,51,182,0,20,3.6,30.3,8.5,10,9,62,6.9,1,15,1.5,10.3,244,1,3
79,Lamar Miller,MIA,21,fb,13,1,51,250,1,28,4.9,19.2,3.9,8,6,45,7.5,0,12,0.5,3.5,295,1,0
80,Toby Gerhart,MIN,25,,16,0,50,169,1,22,3.4,10.6,3.1,27,20,155,7.8,0,21,1.3,9.7,324,1,2
81,Ryan Tannehill,MIA,24,QB,16,16,49,211,2,31,4.3,13.2,3.1,,,,,,,,,211,2,9
82,Ryan Fitzpatrick,BUF,30,QB,16,16,48,197,1,20,4.1,12.3,3.0,,,,,,,,,197,1,8
83,Darren Sproles,NOR,29,rb,13,6,48,244,1,47,5.1,18.8,3.7,104,75,667,8.9,7,44,5.8,51.3,911,8,0
84,Tashard Choice,BUF,28,,12,0,47,193,1,22,4.1,16.1,3.9,9,4,9,2.3,0,5,0.3,0.8,202,1,0
85,Andy Dalton,CIN,25,QB,16,16,47,120,4,17,2.6,7.5,2.9,,,,,,,,,120,4,4
86,Ronnie Brown,SDG,31,rb,14,1,46,220,0,21,4.8,15.7,3.3,59,49,371,7.6,0,25,3.5,26.5,591,0,0
87,Lance Ball,DEN,27,,15,0,42,158,1,22,3.8,10.5,2.8,12,7,61,8.7,1,17,0.5,4.1,219,2,1
88,Montell Owens,JAX,28,fb/rb,13,4,42,209,1,32,5.0,16.1,3.2,10,8,113,14.1,0,53,0.6,8.7,322,1,0
89,LeGarrette Blount,TAM,26,,13,0,41,151,2,35,3.7,11.6,3.2,2,1,2,2.0,0,2,0.1,0.2,153,2,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
90,Jay Cutler,CHI,29,QB,15,15,41,233,0,24,5.7,15.5,2.7,,,,,,,,,233,0,8
91,Jake Locker,TEN,24,QB,11,11,41,291,1,32,7.1,26.5,3.7,,,,,,,,,291,1,4
92,Chris Ivory,NOR,24,rb,6,2,40,217,2,56,5.4,36.2,6.7,3,2,15,7.5,0,13,0.3,2.5,232,2,0
93,Jalen Parmele,JAX,27,rb,11,2,40,143,0,28,3.6,13.0,3.6,9,7,60,8.6,0,26,0.6,5.5,203,0,0
94,Curtis Brinkley,SDG,27,rb,10,1,39,115,0,13,2.9,11.5,3.9,15,12,77,6.4,0,12,1.2,7.7,192,0,1
95,Josh Freeman,TAM,24,QB,16,16,39,139,0,13,3.6,8.7,2.4,,,,,,,,,139,0,10
96,Sam Bradford,STL,25,QB,16,16,37,127,1,21,3.4,7.9,2.3,,,,,,,,,127,1,7
97,Kevin Smith,DET,26,rb,12,2,37,134,1,19,3.6,11.2,3.1,16,10,79,7.9,1,13,0.8,6.6,213,2,0
98,Cedric Peerman,CIN,26,rb,14,1,36,258,1,48,7.2,18.4,2.6,9,9,85,9.4,0,16,0.6,6.1,343,1,0
99,Mike Goodson,OAK,25,,12,0,35,221,0,43,6.3,18.4,2.9,16,16,195,12.2,1,64,1.3,16.3,416,1,0
100,Matthew Stafford,DET,24,QB,16,16,35,126,4,11,3.6,7.9,2.2,1,1,3,3.0,0,3,0.1,0.2,129,4,6
101,DuJuan Harris,GNB,24,rb,4,2,34,157,2,21,4.6,39.3,8.5,2,2,17,8.5,0,11,0.5,4.3,174,2,0
102,Matt Ryan*,ATL,27,QB,16,16,34,141,1,16,4.1,8.8,2.1,,,,,,,,,141,1,3
103,Brian Leonard,CIN,28,,15,0,33,106,0,11,3.2,7.1,2.2,15,11,67,6.1,0,16,0.7,4.5,173,0,0
104,Delone Carter,IND,25,,10,0,32,122,3,20,3.8,12.2,3.2,2,1,13,13.0,0,13,0.1,1.3,135,3,1
105,Joe Flacco,BAL,27,QB,16,16,32,22,3,16,0.7,1.4,2.0,,,,,,,,,22,3,9
106,Ryan Grant,2TM,30,,5,1,32,132,2,18,4.1,26.4,6.4,2,1,34,34.0,0,34,0.2,6.8,166,2,1
107,Tim Tebow,NYJ,25,fb/te,12,2,32,102,0,22,3.2,8.5,2.7,,,,,,,,,102,0,0
108,Alex Smith,SFO,28,QB,10,9,31,132,0,24,4.3,13.2,3.1,,,,,,,,,132,0,3
109,Joe McKnight,NYJ,24,,15,0,30,179,0,61,6.0,11.9,2.0,2,1,18,18.0,0,18,0.1,1.2,197,0,3
110,Tony Romo,DAL,32,QB,16,16,30,49,1,15,1.6,3.1,1.9,1,1,-1,-1.0,0,-1,0.1,-0.1,48,1,6
111,Kahlil Bell,2TM,26,,7,0,29,76,0,18,2.6,10.9,4.1,2,2,13,6.5,0,11,0.3,1.9,89,0,1
112,Armando Allen,CHI,23,,15,0,27,124,1,46,4.6,8.3,1.8,3,2,16,8.0,0,15,0.1,1.1,140,1,0
113,Matt Cassel,KAN,30,QB,9,8,27,145,1,21,5.4,16.1,3.0,,,,,,,,,145,1,8
114,LaMichael James,SFO,23,,4,0,27,125,0,26,4.6,31.3,6.8,5,3,29,9.7,0,15,0.8,7.3,154,0,1
115,Philip Rivers,SDG,31,QB,16,16,27,40,0,11,1.5,2.5,1.7,,,,,,,,,40,0,15
116,Brandon Weeden,CLE,29,QB,15,15,27,111,0,25,4.1,7.4,1.8,1,0,-9,,0,-9,0.0,-0.6,102,0,6
117,Chris Rainey,PIT,24,,16,0,26,102,2,19,3.9,6.4,1.6,22,14,60,4.3,0,14,0.9,3.8,162,2,4
118,Ben Roethlisberger,PIT,30,QB,13,13,26,92,0,14,3.5,7.1,2.0,,,,,,,,,92,0,6
119,Baron Batch,PIT,25,,12,0,25,49,1,10,2.0,4.1,2.1,5,4,31,7.8,0,15,0.3,2.6,80,1,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
120,Jeremy Stewart,OAK,23,,4,0,25,101,0,14,4.0,25.3,6.3,8,8,62,7.8,0,26,2.0,15.5,163,0,0
121,Phillip Tanner,DAL,24,,14,0,25,61,0,9,2.4,4.4,1.8,5,4,41,10.3,0,15,0.3,2.9,102,0,0
122,Tom Brady*,NWE,35,QB,16,16,23,32,4,7,1.4,2.0,1.4,,,,,,,,,32,4,2
123,John Kuhn,GNB,30,fb,14,3,23,63,1,9,2.7,4.5,1.6,18,15,148,9.9,0,32,1.1,10.6,211,1,0
124,Peyton Manning*+,DEN,36,QB,16,16,23,6,0,10,0.3,0.4,1.4,,,,,,,,,6,0,2
125,Richard Murphy,JAX,26,,5,0,23,92,0,14,4.0,18.4,4.6,,,,,,,,,92,0,0
126,Evan Royster,WAS,25,,16,0,23,88,2,12,3.8,5.5,1.4,23,15,109,7.3,0,25,0.9,6.8,197,2,0
127,Leon Washington*,SEA,30,,16,0,23,83,1,14,3.6,5.2,1.4,8,4,31,7.8,0,9,0.3,1.9,114,1,2
128,Percy Harvin,MIN,24,WR,9,8,22,96,1,20,4.4,10.7,2.4,85,62,677,10.9,3,45,6.9,75.2,773,4,2
129,Mark Sanchez,NYJ,26,QB,15,15,22,28,0,8,1.3,1.9,1.5,,,,,,,,,28,0,14
130,Anthony Dixon,SFO,25,,16,0,21,78,2,9,3.7,4.9,1.3,,,,,,,,,78,2,0
131,Lance Dunbar,DAL,22,,12,0,21,75,0,18,3.6,6.3,1.8,12,6,33,5.5,0,14,0.5,2.8,108,0,1
132,Matt Schaub*,HOU,31,QB,16,16,21,-9,0,8,-0.4,-0.6,1.3,1,1,-6,-6.0,0,-6,0.1,-0.4,-15,0,4
133,Eli Manning*,NYG,31,QB,16,16,20,30,0,13,1.5,1.9,1.3,,,,,,,,,30,0,5
134,Jamie Harper,TEN,23,,10,0,19,30,3,13,1.6,3.0,1.9,1,1,8,8.0,0,8,0.1,0.8,38,3,0
135,Chad Henne,JAX,27,qb,10,6,19,64,1,15,3.4,6.4,1.9,0,1,-6,-6.0,0,-6,0.1,-0.6,58,1,4
136,Brady Quinn,KAN,28,QB,10,8,19,66,0,12,3.5,6.6,1.9,,,,,,,,,66,0,1
137,Blaine Gabbert,JAX,23,QB,10,10,18,56,0,10,3.1,5.6,1.8,,,,,,,,,56,0,5
138,Carson Palmer,OAK,33,QB,15,15,18,36,1,9,2.0,2.4,1.2,,,,,,,,,36,1,7
139,Jason Snelling,ATL,29,fb,16,2,18,63,0,11,3.5,3.9,1.1,35,31,203,6.5,1,16,1.9,12.7,266,1,1
140,Jacob Hester,DEN,27,,3,0,17,81,2,18,4.8,27.0,5.7,1,1,7,7.0,0,7,0.3,2.3,88,2,0
141,Keith Toston,JAX,25,rb,5,1,17,74,0,14,4.4,14.8,3.4,4,3,41,13.7,0,21,0.6,8.2,115,0,0
142,Anthony Allen,BAL,24,,16,0,16,61,1,20,3.8,3.8,1.0,4,2,12,6.0,0,7,0.1,0.8,73,1,0
143,Kevin Kolb,ARI,28,qb,6,5,16,100,1,22,6.3,16.7,2.7,,,,,,,,,100,1,2
144,Darius Reynaud,TEN,28,,16,0,16,33,0,11,2.1,2.1,1.0,10,5,35,7.0,0,9,0.3,2.2,68,0,1
145,Drew Brees*,NOR,33,QB,16,16,15,5,1,11,0.3,0.3,0.9,,,,,,,,,5,1,5
146,Le'Ron McClain,SDG,28,FB,16,9,14,42,0,17,3.0,2.6,0.9,10,8,29,3.6,0,12,0.5,1.8,71,0,0
147,Brad Smith,BUF,29,wr,15,2,14,116,1,35,8.3,7.7,0.9,22,14,152,10.9,2,35,0.9,10.1,268,3,1
148,Tyrod Taylor,BAL,23,,7,0,14,73,1,28,5.2,10.4,2.0,,,,,,,,,73,1,0
149,Darrel Young,WAS,25,fb/te,16,8,14,60,0,16,4.3,3.8,0.9,9,8,109,13.6,2,28,0.5,6.8,169,2,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
150,Matt Hasselbeck,TEN,37,qb,8,5,13,38,0,16,2.9,4.8,1.6,,,,,,,,,38,0,3
151,Jorvorskie Lane,MIA,25,fb,16,5,13,13,2,4,1.0,0.8,0.8,12,11,79,7.2,1,24,0.7,4.9,92,3,3
152,Dion Lewis,PHI,22,,9,0,13,69,1,17,5.3,7.7,1.4,2,2,24,12.0,0,28,0.2,2.7,93,1,0
153,Mewelde Moore,IND,30,,9,0,13,20,0,6,1.5,2.2,1.4,8,6,77,12.8,1,32,0.7,8.6,97,1,1
154,Dexter McCluster,KAN,24,wr,16,6,12,70,0,19,5.8,4.4,0.8,77,52,452,8.7,1,31,3.3,28.3,522,1,2
155,Michael Robinson,SEA,29,fb/wr,16,6,12,49,0,29,4.1,3.1,0.8,15,13,126,9.7,2,20,0.8,7.9,175,2,0
156,Nick Foles,PHI,23,qb,7,6,11,42,1,14,3.8,6.0,1.6,,,,,,,,,42,1,8
157,Danny Ware,TAM,27,rb,16,1,11,51,0,17,4.6,3.2,0.7,20,14,100,7.1,0,23,0.9,6.3,151,0,0
158,Randall Cobb,GNB,22,rb/wr,15,8,10,132,0,28,13.2,8.8,0.7,104,80,954,11.9,8,39,5.3,63.6,1086,8,4
159,Isaiah Pead,STL,23,rb,15,1,10,54,0,19,5.4,3.6,0.7,4,3,16,5.3,0,9,0.2,1.1,70,0,2
160,Terrelle Pryor,OAK,23,qb,3,1,10,51,1,9,5.1,17.0,3.3,1,1,22,22.0,0,22,0.3,7.3,73,1,0
161,Lex Hilliard,2TM,28,,14,9,9,33,0,9,3.7,2.4,0.6,9,4,23,5.8,0,9,0.3,1.6,56,0,0
162,Vonta Leach*+,BAL,31,FB,16,13,9,32,1,6,3.6,2.0,0.6,24,21,143,6.8,0,18,1.3,8.9,175,1,0
163,Kregg Lumpkin,NYG,28,,5,0,9,42,0,22,4.7,8.4,1.8,,,,,,,,,42,0,1
164,Nate Burleson,DET,31,wr,6,5,8,48,0,16,6.0,8.0,1.3,43,27,240,8.9,2,26,4.5,40.0,288,2,0
165,Brandon Jackson,CLE,27,,2,0,8,54,0,25,6.8,27.0,4.0,4,2,20,10.0,0,14,1.0,10.0,74,0,0
166,Ryan Mallett,NWE,24,,4,0,8,-9,0,-1,-1.1,-2.3,2.0,,,,,,,,,-9,0,0
167,Greg McElroy,NYJ,24,qb,2,1,8,30,0,15,3.8,15.0,4.0,,,,,,,,,30,0,1
168,Chris Ogbonnaya,CLE,26,rb,15,1,8,30,0,9,3.8,2.0,0.5,32,24,187,7.8,0,38,1.6,12.5,217,0,1
169,Brock Osweiler,DEN,22,,5,0,8,-13,0,-1,-1.6,-2.6,1.6,,,,,,,,,-13,0,0
170,Bernard Scott,CIN,28,,2,0,8,35,0,29,4.4,17.5,4.0,,,,,,,,,35,0,0
171,Johnny White,2TM,24,,7,0,8,34,0,9,4.3,4.9,1.1,,,,,,,,,34,0,0
172,Brandon Banks,WAS,25,,12,0,7,36,0,21,5.1,3.0,0.6,8,8,15,1.9,0,8,0.7,1.3,51,0,4
173,Antonio Brown,PIT,24,WR,13,10,7,24,0,13,3.4,1.8,0.5,106,66,787,11.9,5,60,5.1,60.5,811,5,4
174,Jason Campbell,CHI,31,qb,6,1,7,28,0,13,4.0,4.7,1.2,,,,,,,,,28,0,2
175,Cyrus Gray,KAN,23,,10,0,7,44,0,15,6.3,4.4,0.7,3,2,18,9.0,0,12,0.2,1.8,62,0,0
176,Mike Thomas,2TM,25,,16,4,7,57,0,22,8.1,3.6,0.4,40,18,108,6.0,1,12,1.1,6.8,165,1,1
177,Travis Benjamin,CLE,23,wr,14,3,6,66,0,35,11.0,4.7,0.4,37,18,298,16.6,2,69,1.3,21.3,364,2,1
178,Josh Cribbs*,CLE,29,wr,16,2,6,42,0,16,7.0,2.6,0.4,11,7,63,9.0,0,24,0.4,3.9,105,0,6
179,Stanley Havili,PHI,25,fb,15,2,6,22,1,8,3.7,1.5,0.4,12,7,43,6.1,0,9,0.5,2.9,65,1,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
180,Andrew Hawkins,CIN,26,wr,14,2,6,30,0,11,5.0,2.1,0.4,80,51,533,10.5,4,59,3.6,38.1,563,4,1
181,Julio Jones*,ATL,23,WR,16,15,6,30,0,18,5.0,1.9,0.4,128,79,1198,15.2,10,80,4.9,74.9,1228,10,0
182,Taiwan Jones,OAK,24,,14,0,6,21,0,7,3.5,1.5,0.4,2,2,11,5.5,0,7,0.1,0.8,32,0,1
183,Da'Rel Scott,NYG,24,,4,0,6,9,0,5,1.5,2.3,1.5,,,,,,,,,9,0,0
184,Nate Eachus,KAN,22,fb/rb,11,2,5,18,0,7,3.6,1.6,0.5,3,1,19,19.0,0,19,0.1,1.7,37,0,0
