
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Arian Foster*,HOU,26,RB,16,16,351,1424,15,46,4.1,89.0,21.9,58,40,217,5.4,2,23,2.5,13.6,1641,17,3
2,Adrian Peterson*+,MIN,27,RB,16,16,348,2097,12,82,6.0,131.1,21.8,51,40,217,5.4,1,20,2.5,13.6,2314,13,4
3,Alfred Morris,WAS,24,RB,16,16,335,1613,13,39,4.8,100.8,20.9,16,11,77,7.0,0,20,0.7,4.8,1690,13,4
4,Doug Martin*,TAM,23,RB,16,16,319,1454,11,70,4.6,90.9,19.9,70,49,472,9.6,1,64,3.1,29.5,1926,12,1
5,Marshawn Lynch*+,SEA,26,RB,16,15,315,1590,11,77,5.0,99.4,19.7,30,23,196,8.5,1,27,1.4,12.3,1786,12,5
6,Stevan Ridley,NWE,23,RB,16,12,290,1263,12,41,4.4,78.9,18.1,14,6,51,8.5,0,20,0.4,3.2,1314,12,4
7,Jamaal Charles*,KAN,26,RB,16,15,285,1509,5,91,5.3,94.3,17.8,49,35,236,6.7,1,22,2.2,14.8,1745,6,5
8,BenJarvus Green-Ellis,CIN,27,RB,15,15,278,1094,6,48,3.9,72.9,18.5,30,22,104,4.7,0,13,1.5,6.9,1198,6,3
9,Shonn Greene,NYJ,27,RB,16,14,276,1063,8,36,3.9,66.4,17.3,30,19,151,7.9,0,30,1.2,9.4,1214,8,4
10,Chris Johnson,TEN,27,RB,16,15,276,1243,6,94,4.5,77.7,17.3,49,36,232,6.4,0,22,2.3,14.5,1475,6,5
11,Trent Richardson,CLE,22,RB,15,15,267,950,11,32,3.6,63.3,17.8,70,51,367,7.2,1,27,3.4,24.5,1317,12,3
12,Frank Gore*,SFO,29,RB,16,16,258,1214,8,37,4.7,75.9,16.1,36,28,234,8.4,1,26,1.8,14.6,1448,9,3
13,Steven Jackson,STL,29,RB,16,16,258,1045,4,46,4.1,65.3,16.1,53,38,321,8.4,0,22,2.4,20.1,1366,4,0
14,Ray Rice*,BAL,25,RB,16,16,257,1143,9,46,4.4,71.4,16.1,83,61,478,7.8,1,43,3.8,29.9,1621,10,1
