
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Michael Turner*+,ATL,26,RB,16,16,376,1699,17,70,4.5,106.2,23.5,9,6,41,6.8,0,18,0.4,2.6,1740,17,3
2,Adrian Peterson*+,MIN,23,RB,16,15,363,1760,10,67,4.8,110.0,22.7,39,21,125,6.0,0,16,1.3,7.8,1885,10,9
3,Clinton Portis*,WAS,27,RB,16,16,342,1487,9,31,4.3,92.9,21.4,35,28,218,7.8,0,29,1.8,13.6,1705,9,3
4,Matt Forte,CHI,23,RB,16,16,316,1238,8,50,3.9,77.4,19.8,76,63,477,7.6,4,19,3.9,29.8,1715,12,1
5,Ryan Grant,GNB,26,RB,16,14,312,1203,4,57,3.9,75.2,19.5,22,18,116,6.4,1,17,1.1,7.3,1319,5,4
6,LaDainian Tomlinson,SDG,29,RB,16,16,292,1110,11,45,3.8,69.4,18.3,77,52,426,8.2,1,32,3.3,26.6,1536,12,1
7,Thomas Jones*,NYJ,30,RB,16,14,290,1312,13,59,4.5,82.0,18.1,42,36,207,5.8,2,19,2.3,12.9,1519,15,2
8,Jamal Lewis,CLE,29,RB,16,16,279,1002,4,29,3.6,62.6,17.4,32,23,178,7.7,0,18,1.4,11.1,1180,4,2
9,DeAngelo Williams,CAR,25,RB,16,16,273,1515,18,69,5.5,94.7,17.1,30,22,121,5.5,2,25,1.4,7.6,1636,20,0
10,Steve Slaton,HOU,22,RB,16,15,268,1282,9,71,4.8,80.1,16.8,59,50,377,7.5,1,46,3.1,23.6,1659,10,3
11,Steven Jackson,STL,25,RB,12,11,253,1042,7,56,4.1,86.8,21.1,62,40,379,9.5,1,53,3.3,31.6,1421,8,5
12,Chris Johnson*,TEN,23,RB,15,14,251,1228,9,66,4.9,81.9,16.7,62,43,260,6.0,1,25,2.9,17.3,1488,10,1
13,Marshawn Lynch*,BUF,22,RB,15,15,250,1036,8,50,4.1,69.1,16.7,67,47,300,6.4,1,42,3.1,20.0,1336,9,2
14,Frank Gore,SFO,25,RB,14,14,240,1036,6,41,4.3,74.0,17.1,66,43,373,8.7,2,26,3.1,26.6,1409,8,6
15,Marion Barber,DAL,25,RB,15,13,238,885,7,35,3.7,59.0,15.9,61,52,417,8.0,2,70,3.5,27.8,1302,9,7
16,Kevin Smith,DET,22,RB,16,12,238,976,8,50,4.1,61.0,14.9,54,39,286,7.3,0,27,2.4,17.9,1262,8,2
17,Brian Westbrook,PHI,29,RB,14,14,233,936,9,39,4.0,66.9,16.6,74,54,402,7.4,5,47,3.9,28.7,1338,14,2
18,Le'Ron McClain*+,BAL,24,FB,16,16,232,902,10,82,3.9,56.4,14.5,30,19,123,6.5,1,25,1.2,7.7,1025,11,4
19,Brandon Jacobs,NYG,26,RB,13,13,219,1089,15,44,5.0,83.8,16.8,12,6,36,6.0,0,9,0.5,2.8,1125,15,3
20,Justin Fargas,OAK,28,RB,14,14,218,853,1,42,3.9,60.9,15.6,15,10,52,5.2,0,12,0.7,3.7,905,1,3
21,Cedric Benson,CIN,26,RB,12,10,214,747,2,46,3.5,62.3,17.8,26,20,185,9.3,0,79,1.7,15.4,932,2,2
22,Ronnie Brown*,MIA,27,RB,16,13,214,916,10,62,4.3,57.3,13.4,43,33,254,7.7,0,39,2.1,15.9,1170,10,1
23,Willie Parker,PIT,28,RB,11,11,210,791,5,34,3.8,71.9,19.1,10,3,13,4.3,0,5,0.3,1.2,804,5,0
24,LenDale White,TEN,24,rb,16,2,200,773,15,80,3.9,48.3,12.5,10,5,16,3.2,0,7,0.3,1.0,789,15,1
25,Maurice Jones-Drew,JAX,23,rb,16,3,197,824,12,46,4.2,51.5,12.3,75,62,565,9.1,2,26,3.9,35.3,1389,14,6
26,Larry Johnson,KAN,29,RB,12,12,193,874,5,65,4.5,72.8,16.1,17,12,74,6.2,0,20,1.0,6.2,948,5,5
27,Warrick Dunn,TAM,33,rb,15,6,186,786,2,40,4.2,52.4,12.4,68,47,330,7.0,0,36,3.1,22.0,1116,2,0
28,Jonathan Stewart,CAR,21,,16,0,184,836,10,41,4.5,52.3,11.5,17,8,47,5.9,0,15,0.5,2.9,883,10,2
29,Derrick Ward,NYG,28,rb,16,3,182,1025,2,51,5.6,64.1,11.4,55,41,384,9.4,0,48,2.6,24.0,1409,2,2
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
30,Willis McGahee,BAL,27,RB,13,8,170,671,7,77,3.9,51.6,13.1,32,24,173,7.2,0,35,1.8,13.3,844,7,3
31,Ricky Williams,MIA,31,rb,16,3,160,659,4,51,4.1,41.2,10.0,39,29,219,7.6,1,47,1.8,13.7,878,5,5
32,Julius Jones,SEA,27,RB,15,10,158,698,2,33,4.4,46.5,10.5,25,14,66,4.7,0,17,0.9,4.4,764,2,4
33,Sammy Morris,NWE,31,rb,13,7,156,727,7,35,4.7,55.9,12.0,24,17,161,9.5,0,42,1.3,12.4,888,7,1
34,Joseph Addai,IND,25,RB,12,12,155,544,5,23,3.5,45.3,12.9,39,25,206,8.2,2,55,2.1,17.2,750,7,1
35,Dominic Rhodes,IND,29,rb,15,4,152,538,6,38,3.5,35.9,10.1,59,45,302,6.7,3,29,3.0,20.1,840,9,0
36,Tim Hightower,ARI,22,rb,16,7,143,399,10,30,2.8,24.9,8.9,50,34,237,7.0,0,26,2.1,14.8,636,10,2
37,Fred Taylor,JAX,32,RB,13,13,143,556,1,34,3.9,42.8,11.0,22,16,98,6.1,0,17,1.2,7.5,654,1,1
38,Mewelde Moore,PIT,26,,16,4,140,588,5,32,4.2,36.8,8.8,53,40,320,8.0,1,25,2.5,20.0,908,6,2
39,Edgerrin James,ARI,30,rb,13,7,133,514,3,35,3.9,39.5,10.2,18,12,85,7.1,0,16,0.9,6.5,599,3,2
40,Earnest Graham,TAM,28,RB,10,10,132,563,4,68,4.3,56.3,13.2,33,23,174,7.6,0,24,2.3,17.4,737,4,2
41,Maurice Morris,SEA,29,rb,13,6,132,574,0,45,4.3,44.2,10.2,27,19,136,7.2,2,13,1.5,10.5,710,2,1
42,Fred Jackson,BUF,27,,16,3,130,571,3,32,4.4,35.7,8.1,45,37,317,8.6,0,65,2.3,19.8,888,3,3
43,Pierre Thomas,NOR,24,rb,15,5,129,625,9,42,4.8,41.7,8.6,41,31,284,9.2,3,24,2.1,18.9,909,12,1
44,Darren McFadden,OAK,21,rb,13,5,113,499,4,50,4.4,38.4,8.7,39,29,285,9.8,0,27,2.2,21.9,784,4,3
45,Deuce McAllister,NOR,30,rb,13,6,107,418,5,19,3.9,32.2,8.2,23,18,128,7.1,1,20,1.4,9.8,546,6,0
46,Ray Rice,BAL,21,,13,4,107,454,0,60,4.2,34.9,8.2,43,33,273,8.3,0,40,2.5,21.0,727,0,1
47,Reggie Bush,NOR,23,RB,10,9,106,404,2,43,3.8,40.4,10.6,73,52,440,8.5,4,42,5.2,44.0,844,6,3
48,Chris Perry,CIN,27,rb,13,6,104,269,2,25,2.6,20.7,8.0,34,20,71,3.6,0,12,1.5,5.5,340,2,5
49,Chester Taylor,MIN,29,,16,1,101,399,4,21,4.0,24.9,6.3,55,45,399,8.9,2,47,2.8,24.9,798,6,2
50,Michael Bush,OAK,24,,15,0,95,421,3,67,4.4,28.1,6.3,30,19,162,8.5,0,25,1.3,10.8,583,3,1
51,Jerious Norwood,ATL,25,,16,0,95,489,4,45,5.1,30.6,5.9,54,36,338,9.4,2,67,2.3,21.1,827,6,2
52,Tashard Choice,DAL,24,,16,3,92,472,2,38,5.1,29.5,5.8,30,21,185,8.8,0,50,1.3,11.6,657,2,0
53,Kevin Faulk,NWE,32,,15,3,83,507,3,41,6.1,33.8,5.5,74,58,486,8.4,3,22,3.9,32.4,993,6,0
54,LaMont Jordan,NWE,30,,8,0,80,363,4,49,4.5,45.4,10.0,,,,,,,,,363,4,1
55,Antonio Pittman,STL,23,fb,12,5,79,296,0,24,3.7,24.7,6.6,27,18,132,7.3,0,27,1.5,11.0,428,0,1
56,Correll Buckhalter,PHI,30,,14,2,76,369,2,33,4.9,26.4,5.4,32,26,324,12.5,2,59,1.9,23.1,693,4,0
57,DeShaun Foster,SFO,28,,16,2,76,234,1,18,3.1,14.6,4.8,20,16,133,8.3,1,31,1.0,8.3,367,2,2
58,Rudi Johnson,DET,29,,14,4,76,237,1,27,3.1,16.9,5.4,14,12,88,7.3,1,34,0.9,6.3,325,2,1
59,Michael Pittman,DEN,33,,8,3,76,320,4,20,4.2,40.0,9.5,13,10,112,11.2,0,40,1.3,14.0,432,4,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
60,Leon Washington*+,NYJ,26,,16,1,76,448,6,61,5.9,28.0,4.8,61,47,355,7.6,2,40,2.9,22.2,803,8,3
61,Ahman Green,HOU,31,,8,1,74,294,3,14,4.0,36.8,9.3,14,11,32,2.9,0,8,1.4,4.0,326,3,0
62,BenJarvus Green-Ellis,NWE,23,,9,3,74,275,5,15,3.7,30.6,8.2,6,3,37,12.3,0,20,0.3,4.1,312,5,0
63,Matt Cassel,NWE,26,QB,16,15,73,270,2,19,3.7,16.9,4.6,,,,,,,,,270,2,7
64,David Garrard,JAX,30,QB,16,16,73,322,2,24,4.4,20.1,4.6,1,1,-6,-6.0,0,-6,0.1,-0.4,316,2,7
65,Peyton Hillis,DEN,22,rb,12,6,68,343,5,19,5.0,28.6,5.7,19,14,179,12.8,1,47,1.2,14.9,522,6,0
66,Ahmad Bradshaw,NYG,22,,15,0,67,355,1,77,5.3,23.7,4.5,6,5,42,8.4,1,18,0.3,2.8,397,2,3
67,Jamaal Charles,KAN,22,,16,2,67,357,0,30,5.3,22.3,4.2,39,27,272,10.1,1,75,1.7,17.0,629,1,2
68,Cadillac Williams,TAM,26,,6,1,63,233,4,28,3.7,38.8,10.5,7,7,43,6.1,0,25,1.2,7.2,276,4,1
69,T.J. Duckett,SEA,27,,16,0,62,172,8,29,2.8,10.8,3.9,,,,,,,,,172,8,0
70,Tyler Thigpen,KAN,24,QB,14,11,62,386,3,32,6.2,27.6,4.4,1,1,37,37.0,1,37,0.1,2.6,423,4,6
71,Ladell Betts,WAS,29,,13,0,61,206,1,14,3.4,15.8,4.7,35,22,200,9.1,0,27,1.7,15.4,406,1,1
72,Darren Sproles,SDG,25,,16,0,61,330,1,37,5.4,20.6,3.8,34,29,342,11.8,5,66,1.8,21.4,672,6,3
73,Selvin Young,DEN,25,rb,8,5,61,303,1,49,5.0,37.9,7.6,8,3,16,5.3,0,8,0.4,2.0,319,1,1
74,Ryan Fitzpatrick,CIN,26,QB,13,12,60,304,2,22,5.1,23.4,4.6,1,1,-3,-3.0,0,-3,0.1,-0.2,301,2,11
75,Jay Cutler*,DEN,25,QB,16,16,57,200,2,18,3.5,12.5,3.6,,,,,,,,,200,2,5
76,Aaron Rodgers,GNB,25,QB,16,16,56,207,4,21,3.7,12.9,3.5,,,,,,,,,207,4,10
77,Matt Ryan,ATL,23,QB,16,16,55,104,1,17,1.9,6.5,3.4,,,,,,,,,104,1,6
78,Joe Flacco,BAL,23,QB,16,16,52,180,2,38,3.5,11.3,3.3,1,1,43,43.0,0,43,0.1,2.7,223,2,11
79,Jason Campbell,WAS,27,QB,16,16,47,258,1,23,5.5,16.1,2.9,,,,,,,,,258,1,7
