
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
117,Vinny Testaverde,DAL,41,QB,16,15,21,38,1,10,1.8,2.4,1.3,,,,,,,,,38,1,8
118,Joe Burns,BUF,25,,16,0,20,73,0,21,3.7,4.6,1.3,3,1,7,7.0,0,7,0.1,0.4,80,0,0
119,Chris Fuamatu-Ma'afala,JAX,27,,7,1,20,69,1,10,3.5,9.9,2.9,6,4,19,4.8,0,8,0.6,2.7,88,1,0
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
120,Arlen Harris,STL,24,,14,1,20,63,0,14,3.2,4.5,1.4,4,4,44,11.0,0,21,0.3,3.1,107,0,1
121,Garrison Hearst,DEN,33,,7,0,20,81,1,11,4.1,11.6,2.9,3,2,20,10.0,0,15,0.3,2.9,101,1,0
122,Michael Turner,SDG,22,,14,1,20,104,0,30,5.2,7.4,1.4,5,4,8,2.0,0,7,0.3,0.6,112,0,1
123,Mark Brunell,WAS,34,QB,9,9,19,62,0,21,3.3,6.9,2.1,,,,,,,,,62,0,6
124,Marc Bulger,STL,27,QB,14,14,19,89,3,19,4.7,6.4,1.4,,,,,,,,,89,3,5
125,Brock Forsey,MIA,24,,7,0,19,53,0,15,2.8,7.6,2.7,,,,,,,,,53,0,1
126,Craig Krenzel,CHI,23,qb,6,5,18,41,0,12,2.3,6.8,3.0,,,,,,,,,41,0,8
127,Carson Palmer,CIN,25,QB,13,13,18,47,1,14,2.6,3.6,1.4,,,,,,,,,47,1,2
128,Robert Holcombe,TEN,29,FB,16,8,17,62,0,20,3.6,3.9,1.1,21,11,60,5.5,0,9,0.7,3.8,122,0,0
129,Kerry Collins,OAK,32,QB,14,13,16,36,0,8,2.3,2.6,1.1,,,,,,,,,36,0,7
130,Brett Favre,GNB,35,QB,16,16,16,36,0,17,2.3,2.3,1.0,,,,,,,,,36,0,4
131,Lorenzo Neal,SDG,34,FB,16,10,16,53,0,8,3.3,3.3,1.0,19,13,66,5.1,0,12,0.8,4.1,119,0,1
132,Jamal Robertson,2TM,27,,12,0,16,71,1,16,4.4,5.9,1.3,5,4,34,8.5,0,14,0.3,2.8,105,1,3
133,Joey Harris,CAR,24,,4,0,15,53,0,19,3.5,13.3,3.8,,,,,,,,,53,0,0
134,A.J. Feeley,MIA,27,QB,11,8,14,13,1,7,0.9,1.2,1.3,,,,,,,,,13,1,10
135,Rabih Abdullah,NWE,29,,9,0,13,13,1,5,1.0,1.4,1.4,2,1,9,9.0,0,9,0.1,1.0,22,1,0
136,Earnest Graham,TAM,24,,9,0,13,73,0,13,5.6,8.1,1.4,,,,,,,,,73,0,0
137,Kurt Warner,NYG,33,QB,10,9,13,30,1,13,2.3,3.0,1.3,,,,,,,,,30,1,12
138,Quincy Carter,NYJ,27,,7,3,12,20,0,9,1.7,2.9,1.7,,,,,,,,,20,0,2
139,Jay Fiedler,MIA,33,qb,8,7,12,59,0,26,4.9,7.4,1.5,,,,,,,,,59,0,9
140,David Garrard,JAX,26,,4,2,12,76,1,12,6.3,19.0,3.0,,,,,,,,,76,1,0
141,James Jackson,2TM,28,,5,0,12,81,0,38,6.8,16.2,2.4,8,6,22,3.7,0,13,1.2,4.4,103,0,1
142,Tim Rattay,SFO,27,QB,9,9,12,55,0,15,4.6,6.1,1.3,,,,,,,,,55,0,11
143,Tony Richardson*,KAN,33,FB,16,16,12,56,0,13,4.7,3.5,0.8,26,19,118,6.2,0,22,1.2,7.4,174,0,0
144,Musa Smith,BAL,22,,9,0,12,48,0,13,4.0,5.3,1.3,4,2,31,15.5,0,25,0.2,3.4,79,0,0
145,Thomas Tapeh,PHI,24,,7,0,12,42,0,10,3.5,6.0,1.7,2,2,15,7.5,0,13,0.3,2.1,57,0,0
146,Bobby Wade,CHI,23,WR,16,14,12,76,0,14,6.3,4.8,0.8,89,42,481,11.5,0,40,2.6,30.1,557,0,2
147,Rex Grossman,CHI,24,,3,3,11,48,1,8,4.4,16.0,3.7,,,,,,,,,48,1,2
148,Tony Hollings,HOU,23,,7,0,11,47,0,13,4.3,6.7,1.6,7,5,46,9.2,0,27,0.7,6.6,93,0,0
149,Billy Volek,TEN,28,QB,10,8,11,50,1,14,4.5,5.0,1.1,1,1,0,0.0,0,0,0.1,0.0,50,1,6
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
150,Ki-Jana Carter,NOR,31,,2,0,10,17,0,8,1.7,8.5,5.0,,,,,,,,,17,0,0
151,Koy Detmer,PHI,31,,16,1,10,-7,0,2,-0.7,-0.4,0.6,,,,,,,,,-7,0,1
152,Trent Dilfer,SEA,32,,5,2,10,14,0,11,1.4,2.8,2.0,,,,,,,,,14,0,1
153,Jon Kitna,CIN,32,,4,3,10,42,0,15,4.2,10.5,2.5,,,,,,,,,42,0,2
154,Nick Luchey,GNB,27,fb,16,6,10,24,0,4,2.4,1.5,0.6,4,2,20,10.0,0,11,0.1,1.3,44,0,0
155,Patrick Ramsey,WAS,25,qb,9,7,10,19,0,17,1.9,2.1,1.1,,,,,,,,,19,0,6
156,Alan Ricard,BAL,27,FB,16,9,10,36,0,14,3.6,2.3,0.6,14,11,39,3.5,0,8,0.7,2.4,75,0,0
157,Fred Beasley,SFO,30,FB,14,10,9,15,0,4,1.7,1.1,0.6,25,10,44,4.4,0,9,0.7,3.1,59,0,0
158,Chris Chambers,MIA,26,WR,15,15,9,76,0,24,8.4,5.1,0.6,140,69,898,13.0,7,76,4.6,59.9,974,7,1
159,Justin Griffith,ATL,24,FB,12,11,9,39,0,10,4.3,3.3,0.8,31,22,220,10.0,1,62,1.8,18.3,259,1,0
160,Shaun King,ARI,27,,3,2,9,30,0,16,3.3,10.0,3.0,,,,,,,,,30,0,4
161,Tommy Maddox,PIT,33,,4,3,9,15,0,10,1.7,3.8,2.3,,,,,,,,,15,0,3
162,Eric McCoo,PHI,24,,1,0,9,54,0,12,6.0,54.0,9.0,5,2,15,7.5,0,8,2.0,15.0,69,0,0
163,Andrew Pinnock,SDG,24,,1,0,9,26,0,11,2.9,26.0,9.0,3,3,26,8.7,0,14,3.0,26.0,52,0,1
164,Bernard Berrian,CHI,24,,16,1,8,28,0,25,3.5,1.8,0.5,44,15,225,15.0,2,49,0.9,14.1,253,2,0
165,Adimchinobe Echemandu,CLE,24,,4,0,8,25,0,6,3.1,6.3,2.0,4,3,25,8.3,0,19,0.8,6.3,50,0,1
166,Larry Fitzgerald,ARI,21,WR,16,16,8,14,0,10,1.8,0.9,0.5,115,58,780,13.4,8,48,3.6,48.8,794,8,1
167,Dante Hall,KAN,26,wr,16,6,8,56,0,17,7.0,3.5,0.5,38,25,230,9.2,0,22,1.6,14.4,286,0,1
168,Dennis Northcutt,CLE,27,WR,16,11,8,19,0,8,2.4,1.2,0.5,94,55,806,14.7,2,58,3.4,50.4,825,2,2
169,Antwaan Randle El,PIT,25,wr,16,7,8,34,0,12,4.3,2.1,0.5,63,43,601,14.0,3,39,2.7,37.6,635,3,5
170,Matt Schaub,ATL,23,,6,1,8,26,0,11,3.3,4.3,1.3,,,,,,,,,26,0,1
171,Jim Sorgi,IND,24,,4,0,8,-5,0,2,-0.6,-1.3,2.0,,,,,,,,,-5,0,1
172,Heath Evans,SEA,26,,15,0,7,20,0,7,2.9,1.3,0.5,4,2,12,6.0,0,9,0.1,0.8,32,0,1
173,Troy Fleming,TEN,24,,16,0,7,40,0,13,5.7,2.5,0.4,28,19,164,8.6,2,37,1.2,10.3,204,2,0
174,Johnnie Morton,KAN,33,WR,13,12,7,43,0,14,6.1,3.3,0.5,79,55,795,14.5,3,52,4.2,61.2,838,3,2
175,Chris Simms,TAM,24,,5,2,7,14,0,12,2.0,2.8,1.4,,,,,,,,,14,0,3
176,Hines Ward*,PIT,28,WR,16,16,7,25,1,16,3.6,1.6,0.4,108,80,1004,12.6,4,58,5.0,62.8,1029,5,1
177,B.J. Askew,NYJ,24,,16,0,6,23,0,14,3.8,1.4,0.4,2,2,12,6.0,0,11,0.1,0.8,35,0,0
178,Brandon Bennett,CAR,31,,8,0,6,17,1,11,2.8,2.1,0.8,,,,,,,,,17,1,0
179,Nate Burleson,MIN,23,WR,16,15,6,49,0,11,8.2,3.1,0.4,102,68,1006,14.8,9,68,4.3,62.9,1055,9,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
180,T.J. Houshmandzadeh,CIN,27,WR,16,13,6,51,0,16,8.5,3.2,0.4,108,73,978,13.4,4,62,4.6,61.1,1029,4,0
181,Chad Hutchinson,CHI,27,qb,5,5,6,14,0,11,2.3,2.8,1.2,,,,,,,,,14,0,8
182,Eli Manning,NYG,23,qb,9,7,6,35,0,15,5.8,3.9,0.7,,,,,,,,,35,0,3
183,Luke McCown,CLE,23,,5,4,6,25,0,11,4.2,5.0,1.2,,,,,,,,,25,0,2
184,Santana Moss,NYJ,25,WR,15,14,6,18,0,12,3.0,1.2,0.4,78,45,838,18.6,5,69,3.0,55.9,856,5,2
185,Adrian Peterson,CHI,25,,14,0,6,19,0,13,3.2,1.4,0.4,2,2,30,15.0,0,30,0.1,2.1,49,0,0
186,Stanley Pritchett,ATL,31,,14,2,6,18,0,8,3.0,1.3,0.4,4,2,5,2.5,1,4,0.1,0.4,23,1,0
187,Donte' Stallworth,NOR,24,WR,16,10,6,37,0,26,6.2,2.3,0.4,106,58,767,13.2,5,45,3.6,47.9,804,5,0
188,Walter Williams,GNB,27,,1,0,6,42,0,28,7.0,42.0,6.0,,,,,,,,,42,0,0
189,Darian Barnes,DAL,24,FB,16,10,5,10,0,8,2.0,0.6,0.3,14,10,59,5.9,1,14,0.6,3.7,69,1,1
190,Michael Clayton,TAM,22,WR,16,13,5,30,0,15,6.0,1.9,0.3,122,80,1193,14.9,7,75,5.0,74.6,1223,7,1
191,Ken Dorsey,SFO,23,qb,8,7,5,7,0,3,1.4,0.9,0.6,,,,,,,,,7,0,5
