
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Eddie George*+,TEN,27,RB,16,16,403,1509,14,35,3.7,94.3,25.2,65,50,453,9.1,2,24,3.1,28.3,1962,16,5
2,Edgerrin James*,IND,22,RB,16,16,387,1709,13,30,4.4,106.8,24.2,87,63,594,9.4,5,60,3.9,37.1,2303,18,5
3,Jerome Bettis,PIT,28,RB,16,16,355,1341,8,30,3.8,83.8,22.2,20,13,97,7.5,0,25,0.8,6.1,1438,8,1
4,James Stewart,DET,29,RB,16,16,339,1184,10,38,3.5,74.0,21.2,48,32,287,9.0,1,32,2.0,17.9,1471,11,4
5,Stephen Davis*,WAS,26,RB,15,15,332,1318,11,50,4.0,87.9,22.1,49,33,313,9.5,0,39,2.2,20.9,1631,11,4
6,Curtis Martin,NYJ,27,RB,16,16,316,1204,9,55,3.8,75.3,19.8,96,70,508,7.3,2,31,4.4,31.8,1712,11,2
7,Corey Dillon*,CIN,26,RB,16,16,315,1435,7,80,4.6,89.7,19.7,26,18,158,8.8,0,31,1.1,9.9,1593,7,4
8,Jamal Lewis,BAL,21,RB,16,13,309,1364,6,45,4.4,85.3,19.3,36,27,296,11.0,0,45,1.7,18.5,1660,6,6
9,Lamar Smith,MIA,30,RB,15,15,309,1139,14,68,3.7,75.9,20.6,38,31,201,6.5,2,28,2.1,13.4,1340,16,3
10,Mike Anderson,DEN,27,RB,16,12,297,1487,15,80,5.0,92.9,18.6,32,23,169,7.3,0,18,1.4,10.6,1656,15,4
11,Robert Smith*,MIN,28,RB,16,16,295,1521,7,72,5.2,95.1,18.4,44,36,348,9.7,3,53,2.3,21.8,1869,10,4
12,Emmitt Smith,DAL,31,RB,16,16,294,1203,9,52,4.1,75.2,18.4,14,11,79,7.2,0,19,0.7,4.9,1282,9,6
13,Fred Taylor,JAX,24,RB,13,13,292,1399,12,71,4.8,107.6,22.5,53,36,240,6.7,2,19,2.8,18.5,1639,14,4
14,James Allen,CHI,25,RB,16,15,290,1120,2,29,3.9,70.0,18.1,60,39,291,7.5,1,26,2.4,18.2,1411,3,5
15,Jamal Anderson,ATL,28,RB,16,16,282,1024,6,42,3.6,64.0,17.6,58,42,382,9.1,0,55,2.6,23.9,1406,6,6
16,Ricky Watters,SEA,31,RB,16,16,278,1242,7,55,4.5,77.6,17.4,92,63,613,9.7,2,59,3.9,38.3,1855,9,5
17,Ahman Green,GNB,23,RB,16,11,263,1175,10,39,4.5,73.4,16.4,99,73,559,7.7,3,31,4.6,34.9,1734,13,6
18,Charlie Garner*,SFO,28,RB,16,15,258,1142,7,42,4.4,71.4,16.1,94,68,647,9.5,3,62,4.3,40.4,1789,10,4
19,Marshall Faulk*+,STL,27,RB,14,14,253,1359,18,36,5.4,97.1,18.1,113,81,830,10.2,8,72,5.8,59.3,2189,26,0
20,Warrick Dunn*,TAM,25,RB,16,14,248,1133,8,70,4.6,70.8,15.5,69,44,422,9.6,1,45,2.8,26.4,1555,9,1
21,Ricky Williams,NOR,23,RB,10,10,248,1000,8,26,4.0,100.0,24.8,55,44,409,9.3,1,24,4.4,40.9,1409,9,6
22,Tyrone Wheatley,OAK,28,RB,14,13,232,1046,9,80,4.5,74.7,16.6,34,20,156,7.8,1,17,1.4,11.1,1202,10,4
23,Ron Dayne,NYG,22,rb,16,4,228,770,5,50,3.4,48.1,14.3,3,3,11,3.7,0,12,0.2,0.7,781,5,1
24,Tiki Barber,NYG,25,RB,16,12,213,1006,8,78,4.7,62.9,13.3,95,70,719,10.3,1,36,4.4,44.9,1725,9,9
25,Michael Pittman,ARI,25,RB,16,12,184,719,4,29,3.9,44.9,11.5,91,73,579,7.9,2,36,4.6,36.2,1298,6,5
26,Tim Biakabutuka,CAR,26,RB,12,11,173,627,2,43,3.6,52.3,14.4,58,34,341,10.0,2,25,2.8,28.4,968,4,4
27,Travis Prentice,CLE,24,RB,16,11,173,512,7,17,3.0,32.0,10.8,43,37,191,5.2,1,13,2.3,11.9,703,8,2
28,Kevin Faulk,NWE,24,RB,16,9,164,570,4,18,3.5,35.6,10.3,68,51,465,9.1,1,52,3.2,29.1,1035,5,6
29,Shawn Bryson,BUF,24,rb,16,7,161,591,0,24,3.7,36.9,10.1,46,32,271,8.5,2,32,2.0,16.9,862,2,1
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
